time,Houston,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. D. Howard (P. Beverley gains possession),,,,Jump ball: D. Favors vs. D. Howard (P. Beverley gains possession)
11:43.0,,,0-0,,Personal foul by D. Favors (drawn by D. Howard)
11:38.0,T. Ariza misses 3-pt shot from 25 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by E. Kanter
11:17.0,,,0-0,,D. Favors misses 2-pt shot from 5 ft
11:16.0,,,0-0,,Offensive rebound by D. Favors
11:14.0,,,0-2,2,D. Favors makes 2-pt shot from 2 ft
11:07.0,Turnover by P. Beverley (bad pass; steal by D. Favors),,0-2,,
10:47.0,,,0-2,,T. Burke misses 2-pt shot from 4 ft
10:46.0,Defensive rebound by T. Jones,,0-2,,
10:33.0,D. Howard makes 2-pt shot from 1 ft,2,2-2,,
10:13.0,,,2-2,,Shooting foul by T. Jones (drawn by G. Hayward)
10:13.0,,,2-3,1,G. Hayward makes free throw 1 of 2
10:13.0,,,2-4,1,G. Hayward makes free throw 2 of 2
9:56.0,D. Howard misses 2-pt shot from 8 ft,,2-4,,
9:53.0,Offensive rebound by T. Ariza,,2-4,,
9:53.0,T. Ariza makes 2-pt shot from 7 ft,2,4-4,,
9:45.0,Personal foul by T. Ariza (drawn by G. Hayward),,4-4,,
9:37.0,,,4-6,2,E. Kanter makes 2-pt shot from 1 ft
9:25.0,D. Howard makes 2-pt shot at rim,2,6-6,,
9:06.0,,,6-6,,E. Kanter misses 3-pt shot from 24 ft
9:04.0,Defensive rebound by T. Ariza,,6-6,,
8:49.0,J. Harden misses 2-pt shot from 4 ft,,6-6,,
8:46.0,Offensive rebound by D. Howard,,6-6,,
8:46.0,D. Howard makes 2-pt shot at rim,2,8-6,,
8:35.0,Personal foul by J. Harden (drawn by A. Burks),,8-6,,
8:22.0,,,8-8,2,D. Favors makes 2-pt shot from 4 ft (assist by T. Burke)
8:02.0,D. Howard makes 2-pt shot from 4 ft,2,10-8,,
7:35.0,,,10-10,2,D. Favors makes 2-pt shot from 15 ft (assist by T. Burke)
7:18.0,D. Howard makes 2-pt shot at rim,2,12-10,,
7:12.0,,,12-12,2,A. Burks makes 2-pt shot from 2 ft
7:01.0,Houston full timeout,,12-12,,
6:49.0,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden),3,15-12,,
6:32.0,,,15-14,2,E. Kanter makes 2-pt shot from 1 ft
6:20.0,Turnover by J. Harden (bad pass),,15-14,,
5:59.0,,,15-16,2,A. Burks makes 2-pt shot at rim
5:38.0,D. Howard makes 2-pt shot from 3 ft,2,17-16,,
5:18.0,Violation by D. Howard (def goaltending),,17-16,,
5:18.0,,,17-18,2,E. Kanter makes 2-pt shot from 4 ft
5:06.0,T. Ariza misses 3-pt shot from 24 ft,,17-18,,
5:04.0,,,17-18,,Defensive rebound by E. Kanter
4:57.0,Personal foul by D. Howard (drawn by A. Burks),,17-18,,
4:57.0,,,17-18,,R. Hood enters the game for A. Burks
4:57.0,D. Motiejunas enters the game for T. Jones,,17-18,,
4:57.0,T. Black enters the game for P. Beverley,,17-18,,
4:57.0,J. Terry enters the game for D. Howard,,17-18,,
4:49.0,,,17-20,2,D. Favors makes 2-pt shot from 14 ft (assist by G. Hayward)
4:24.0,J. Harden misses 2-pt shot from 20 ft,,17-20,,
4:23.0,,,17-20,,Defensive rebound by D. Favors
4:07.0,,,17-20,,T. Burke misses 2-pt shot from 4 ft
4:06.0,Defensive rebound by D. Motiejunas,,17-20,,
4:03.0,J. Harden makes 2-pt shot from 1 ft,2,19-20,,
4:03.0,Shooting foul by G. Hayward (drawn by J. Harden),,19-20,,
4:03.0,,,19-20,,T. Booker enters the game for E. Kanter
4:03.0,K. Papanikolaou enters the game for T. Ariza,,19-20,,
4:03.0,J. Harden makes free throw 1 of 1,1,20-20,,
3:48.0,,,20-20,,Turnover by D. Favors (bad pass; steal by T. Black)
3:39.0,J. Harden misses 2-pt shot from 8 ft (block by R. Hood),,20-20,,
3:37.0,Offensive rebound by J. Harden,,20-20,,
3:34.0,K. Papanikolaou makes 3-pt shot from 22 ft (assist by J. Harden),3,23-20,,
3:18.0,,,23-22,2,T. Booker makes 2-pt shot from 5 ft
3:02.0,K. Papanikolaou misses 2-pt shot from 6 ft,,23-22,,
3:02.0,Offensive rebound by Team,,23-22,,
3:02.0,Turnover by J. Terry (lost ball),,23-22,,
3:02.0,,,23-22,,Utah full timeout
2:53.0,,,23-22,,T. Booker misses 2-pt shot from 16 ft
2:51.0,Defensive rebound by J. Harden,,23-22,,
2:45.0,J. Harden misses 2-pt shot from 3 ft (block by D. Favors),,23-22,,
2:43.0,Offensive rebound by Team,,23-22,,
2:31.0,T. Black misses 2-pt shot from 5 ft,,23-22,,
2:28.0,Offensive rebound by D. Motiejunas,,23-22,,
2:16.0,J. Terry makes 3-pt shot from 24 ft (assist by J. Harden),3,26-22,,
1:56.0,,,26-25,3,R. Hood makes 3-pt shot from 22 ft (assist by D. Favors)
1:41.0,Shooting foul by T. Booker (drawn by D. Motiejunas),,26-25,,
1:41.0,D. Motiejunas misses free throw 1 of 2,,26-25,,
1:41.0,Offensive rebound by Team,,26-25,,
1:41.0,D. Howard enters the game for J. Harden,,26-25,,
1:41.0,I. Canaan enters the game for T. Black,,26-25,,
1:41.0,,,26-25,,R. Gobert enters the game for D. Favors
1:41.0,,,26-25,,D. Exum enters the game for T. Burke
1:41.0,D. Motiejunas makes free throw 2 of 2,1,27-25,,
1:23.0,,,27-25,,Turnover by R. Hood (bad pass; steal by D. Motiejunas)
1:09.0,Turnover by D. Howard (traveling),,27-25,,
0:58.0,,,27-27,2,G. Hayward makes 2-pt shot at rim
0:43.0,D. Motiejunas misses 3-pt shot from 25 ft,,27-27,,
0:42.0,,,27-27,,Defensive rebound by G. Hayward
0:23.0,,,27-27,,T. Booker misses 2-pt shot from 9 ft
0:22.0,Defensive rebound by D. Howard,,27-27,,
0:03.0,J. Terry misses 3-pt shot from 25 ft,,27-27,,
0:02.0,Offensive rebound by I. Canaan,,27-27,,
0:01.0,I. Canaan misses 2-pt shot from 15 ft,,27-27,,
0:00.0,Offensive rebound by Team,,27-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,27-27,,R. Hood misses 3-pt shot from 24 ft
11:42.0,,,27-27,,Offensive rebound by Team
11:21.0,,,27-29,2,A. Burks makes 2-pt shot from 21 ft
11:01.0,D. Howard misses 2-pt shot from 4 ft,,27-29,,
10:59.0,,,27-29,,Defensive rebound by A. Burks
