time,Indiana,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. R. Hibbert (N. Hilario gains possession),,,,Jump ball: M. Gortat vs. R. Hibbert (N. Hilario gains possession)
11:38.0,,,0-2,2,M. Gortat makes 2-pt shot from 1 ft (assist by N. Hilario)
11:14.0,C. Miles misses 3-pt shot from 26 ft,,0-2,,
11:13.0,,,0-2,,Defensive rebound by G. Temple
11:09.0,,,0-2,,Turnover by J. Wall (bad pass; steal by L. Scola)
10:53.0,D. Sloan misses 2-pt shot from 14 ft,,0-2,,
10:53.0,Offensive rebound by Team,,0-2,,
10:53.0,,,0-2,,Personal foul by P. Pierce (drawn by D. Sloan)
10:42.0,C. Miles misses 2-pt shot from 1 ft (block by M. Gortat),,0-2,,
10:41.0,,,0-2,,Defensive rebound by G. Temple
10:37.0,,,0-4,2,J. Wall makes 2-pt shot at rim (assist by G. Temple)
10:13.0,S. Hill makes 2-pt shot from 14 ft (assist by C. Miles),2,2-4,,
10:06.0,Personal foul by S. Hill (drawn by P. Pierce),,2-4,,
10:03.0,,,2-4,,Turnover by P. Pierce (bad pass)
9:44.0,C. Miles misses 2-pt shot from 7 ft (block by M. Gortat),,2-4,,
9:43.0,,,2-4,,Defensive rebound by G. Temple
9:37.0,,,2-4,,P. Pierce misses 3-pt shot from 27 ft
9:35.0,Defensive rebound by R. Hibbert,,2-4,,
9:28.0,Turnover by D. Sloan (bad pass),,2-4,,
9:17.0,,,2-4,,N. Hilario misses 2-pt shot from 14 ft
9:16.0,Defensive rebound by R. Hibbert,,2-4,,
9:05.0,R. Hibbert misses 2-pt shot from 14 ft,,2-4,,
9:04.0,,,2-4,,Defensive rebound by P. Pierce
8:56.0,,,2-4,,M. Gortat misses 2-pt shot from 15 ft
8:54.0,Defensive rebound by L. Scola,,2-4,,
8:37.0,L. Scola misses 2-pt shot from 9 ft,,2-4,,
8:36.0,Offensive rebound by Team,,2-4,,
8:28.0,D. Sloan misses 2-pt shot from 1 ft,,2-4,,
8:26.0,,,2-4,,Defensive rebound by P. Pierce
8:21.0,,,2-7,3,G. Temple makes 3-pt shot from 25 ft (assist by J. Wall)
8:07.0,Turnover by C. Miles (lost ball),,2-7,,
7:53.0,,,2-7,,M. Gortat misses 2-pt shot from 12 ft
7:52.0,Defensive rebound by L. Scola,,2-7,,
7:37.0,,,2-7,,Personal foul by J. Wall (drawn by D. Sloan)
7:30.0,L. Scola misses 2-pt shot from 19 ft,,2-7,,
7:29.0,Offensive rebound by C. Miles,,2-7,,
7:16.0,D. Sloan makes 3-pt shot from 24 ft (assist by S. Hill),3,5-7,,
7:02.0,,,5-7,,Shooting foul by R. Hibbert (drawn by N. Hilario)
7:02.0,,,5-8,1,N. Hilario makes free throw 1 of 2
7:02.0,C. Copeland enters the game for S. Hill,,5-8,,
7:02.0,,,5-9,1,N. Hilario makes free throw 2 of 2
6:49.0,R. Hibbert misses 2-pt shot from 4 ft,,5-9,,
6:48.0,,,5-9,,Defensive rebound by Team
6:35.0,,,5-9,,J. Wall misses 2-pt shot from 14 ft
6:33.0,Defensive rebound by C. Copeland,,5-9,,
6:23.0,C. Miles misses 3-pt shot from 26 ft,,5-9,,
6:23.0,,,5-9,,Defensive rebound by M. Gortat
6:17.0,,,5-9,,J. Wall misses 2-pt shot from 15 ft
6:16.0,Defensive rebound by D. Sloan,,5-9,,
6:05.0,D. Sloan makes 3-pt shot from 25 ft (assist by L. Scola),3,8-9,,
5:41.0,,,8-9,,M. Gortat misses 2-pt shot from 5 ft (block by R. Hibbert)
5:39.0,Defensive rebound by L. Scola,,8-9,,
5:35.0,D. Sloan makes 2-pt shot from 1 ft,2,10-9,,
5:16.0,,,10-9,,G. Temple misses 2-pt shot from 1 ft
5:15.0,,,10-9,,Offensive rebound by G. Temple
5:14.0,,,10-11,2,G. Temple makes 2-pt shot from 2 ft
4:54.0,C. Miles misses 3-pt shot from 24 ft,,10-11,,
4:53.0,,,10-11,,Defensive rebound by M. Gortat
4:50.0,Violation by C. Miles (def goaltending),,10-11,,
4:50.0,,,10-13,2,J. Wall makes 2-pt shot at rim (assist by M. Gortat)
4:50.0,,,10-13,,Shooting foul by D. Sloan (drawn by J. Wall)
4:50.0,,,10-13,,Washington full timeout
4:50.0,,,10-13,,D. Gooden enters the game for N. Hilario
4:50.0,,,10-14,1,J. Wall makes free throw 1 of 1
4:32.0,C. Copeland misses 2-pt shot from 16 ft,,10-14,,
4:31.0,,,10-14,,Defensive rebound by M. Gortat
4:13.0,,,10-14,,P. Pierce misses 2-pt shot from 16 ft
4:12.0,Defensive rebound by R. Hibbert,,10-14,,
3:59.0,C. Copeland makes 2-pt shot from 18 ft (assist by D. Sloan),2,12-14,,
3:47.0,,,12-14,,M. Gortat misses 2-pt shot from 11 ft
3:46.0,Defensive rebound by C. Copeland,,12-14,,
3:33.0,D. Sloan makes 3-pt shot from 25 ft (assist by L. Scola),3,15-14,,
3:10.0,,,15-14,,Shooting foul by R. Hibbert (drawn by M. Gortat)
3:10.0,,,15-15,1,M. Gortat makes free throw 1 of 2
3:10.0,I. Mahinmi enters the game for R. Hibbert,,15-15,,
3:10.0,,,15-15,,O. Porter enters the game for P. Pierce
3:10.0,,,15-16,1,M. Gortat makes free throw 2 of 2
2:53.0,C. Miles misses 2-pt shot from 2 ft,,15-16,,
2:53.0,Offensive rebound by I. Mahinmi,,15-16,,
2:44.0,C. Copeland makes 3-pt shot from 25 ft (assist by C. Miles),3,18-16,,
2:29.0,,,18-18,2,J. Wall makes 2-pt shot from 4 ft
2:16.0,L. Scola misses 2-pt shot from 19 ft,,18-18,,
2:15.0,,,18-18,,Defensive rebound by J. Wall
2:09.0,,,18-18,,G. Temple misses 3-pt shot from 25 ft
2:08.0,Defensive rebound by D. Sloan,,18-18,,
1:55.0,Indiana full timeout,,18-18,,
1:45.0,D. Sloan misses 3-pt shot from 25 ft (block by J. Wall),,18-18,,
1:45.0,Offensive rebound by Team,,18-18,,
1:45.0,Turnover by Team (shot clock),,18-18,,
1:31.0,,,18-21,3,G. Temple makes 3-pt shot from 22 ft (assist by J. Wall)
1:13.0,I. Mahinmi makes 2-pt shot at rim (assist by C. Copeland),2,20-21,,
1:02.0,,,20-21,,G. Temple misses 2-pt shot from 17 ft
1:01.0,Defensive rebound by I. Mahinmi,,20-21,,
0:51.0,C. Copeland makes 2-pt shot from 15 ft,2,22-21,,
0:39.0,,,22-21,,D. Gooden misses 2-pt shot from 4 ft (block by L. Scola)
0:37.0,,,22-21,,Offensive rebound by D. Gooden
0:35.0,,,22-21,,D. Gooden misses 2-pt shot from 2 ft
0:34.0,Defensive rebound by C. Copeland,,22-21,,
0:30.0,L. Scola makes 2-pt shot from 2 ft (assist by C. Copeland),2,24-21,,
0:07.0,,,24-24,3,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall)
0:02.0,D. Sloan misses 3-pt shot from 27 ft,,24-24,,
0:01.0,,,24-24,,Defensive rebound by D. Gooden
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,Shooting foul by O. Porter (drawn by D. Rudez),,24-24,,
11:36.0,D. Rudez makes free throw 1 of 2,1,25-24,,
11:36.0,D. Rudez makes free throw 2 of 2,1,26-24,,
11:27.0,Personal foul by D. Rudez (drawn by O. Porter),,26-24,,
11:27.0,,,26-24,,G. Rice enters the game for G. Temple
11:20.0,,,26-24,,D. Gooden misses 2-pt shot from 21 ft
11:19.0,Defensive rebound by D. Rudez,,26-24,,
11:09.0,Offensive foul by D. Rudez,,26-24,,
11:09.0,Turnover by D. Rudez (offensive foul),,26-24,,
10:54.0,,,26-24,,K. Seraphin misses 2-pt shot from 13 ft
10:52.0,Defensive rebound by S. Hill,,26-24,,
10:35.0,C. Copeland misses 2-pt shot from 13 ft (block by K. Seraphin),,26-24,,
10:33.0,Offensive rebound by C. Copeland,,26-24,,
10:32.0,C. Copeland misses 2-pt shot from 6 ft (block by D. Gooden),,26-24,,
10:30.0,,,26-24,,Defensive rebound by O. Porter
10:27.0,,,26-24,,G. Rice misses 2-pt shot from 3 ft
10:25.0,,,26-24,,Offensive rebound by G. Rice
10:23.0,,,26-26,2,G. Rice makes 2-pt shot at rim
10:07.0,C. Copeland makes 3-pt shot from 25 ft,3,29-26,,
9:51.0,,,29-26,,O. Porter misses 2-pt shot from 3 ft
9:49.0,Defensive rebound by I. Mahinmi,,29-26,,
9:30.0,I. Mahinmi makes 2-pt shot at rim (assist by C. Copeland),2,31-26,,
9:15.0,,,31-28,2,A. Miller makes 2-pt shot at rim
8:59.0,,,31-28,,Personal foul by D. Gooden (drawn by L. Allen)
8:59.0,Official timeout,,31-28,,
8:59.0,,,31-28,,N. Hilario enters the game for D. Gooden
8:47.0,I. Mahinmi misses 2-pt shot from 8 ft,,31-28,,
8:45.0,,,31-28,,Defensive rebound by G. Rice
8:42.0,,,31-28,,Offensive foul by K. Seraphin
8:42.0,,,31-28,,Turnover by K. Seraphin (offensive foul)
8:26.0,C. Copeland misses 3-pt shot from 26 ft,,31-28,,
8:26.0,,,31-28,,Defensive rebound by Team
8:11.0,,,31-28,,G. Rice misses 2-pt shot from 16 ft
8:10.0,Defensive rebound by S. Hill,,31-28,,
8:00.0,,,31-28,,Shooting block foul by A. Miller (drawn by S. Hill)
8:00.0,S. Hill makes free throw 1 of 2,1,32-28,,
8:00.0,S. Hill makes free throw 2 of 2,1,33-28,,
7:43.0,,,33-28,,Turnover by N. Hilario (offensive foul)
7:43.0,,,33-28,,Offensive foul by N. Hilario
7:35.0,S. Hill makes 2-pt shot from 1 ft,2,35-28,,
7:19.0,,,35-30,2,N. Hilario makes 2-pt shot from 17 ft (assist by A. Miller)
7:11.0,,,35-30,,Personal foul by N. Hilario (drawn by L. Allen)
7:11.0,Personal foul by L. Allen,,35-30,,
7:11.0,,,35-30,,J. Wall enters the game for A. Miller
7:11.0,,,35-30,,P. Pierce enters the game for G. Rice
7:00.0,L. Allen misses 2-pt shot from 10 ft,,35-30,,
6:58.0,,,35-30,,Defensive rebound by K. Seraphin
6:49.0,,,35-30,,Shooting foul by S. Hill (drawn by J. Wall)
6:49.0,,,35-31,1,J. Wall makes free throw 1 of 2
6:49.0,D. Sloan enters the game for S. Hill,,35-31,,
6:49.0,,,35-32,1,J. Wall makes free throw 2 of 2
6:26.0,C. Copeland misses 3-pt shot from 25 ft,,35-32,,
6:25.0,Offensive rebound by I. Mahinmi,,35-32,,
6:18.0,D. Sloan misses 3-pt shot from 27 ft,,35-32,,
6:17.0,Offensive rebound by C. Copeland,,35-32,,
5:58.0,D. Rudez makes 2-pt shot from 19 ft (assist by D. Sloan),2,37-32,,
5:52.0,,,37-32,,Turnover by J. Wall (bad pass)
5:52.0,,,37-32,,Washington full timeout
5:32.0,I. Mahinmi misses 2-pt shot from 13 ft,,37-32,,
5:32.0,,,37-32,,Defensive rebound by J. Wall
5:19.0,,,37-35,3,J. Wall makes 3-pt shot from 26 ft (assist by K. Seraphin)
5:00.0,Turnover by C. Copeland (lost ball; steal by J. Wall),,37-35,,
5:00.0,Jump ball: C. Copeland vs. J. Wall (O. Porter gains possession),,,,Jump ball: C. Copeland vs. J. Wall (O. Porter gains possession)
4:55.0,,,37-35,,O. Porter misses 2-pt shot from 3 ft (block by D. Rudez)
4:55.0,,,37-35,,Offensive rebound by Team
