time,Atlanta,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. A. Jefferson (K. Walker gains possession),,,,Jump ball: A. Horford vs. A. Jefferson (K. Walker gains possession)
11:46.0,,,0-0,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
11:44.0,Defensive rebound by J. Teague,,0-0,,
11:26.0,Shooting foul by A. Jefferson (drawn by D. Carroll),,0-0,,
11:26.0,D. Carroll makes free throw 1 of 2,1,1-0,,
11:26.0,D. Carroll misses free throw 2 of 2,,1-0,,
11:23.0,,,1-0,,Defensive rebound by M. Kidd-Gilchrist
11:11.0,,,1-0,,M. Williams misses 2-pt shot from 18 ft
11:10.0,Defensive rebound by D. Carroll,,1-0,,
11:02.0,P. Millsap makes 2-pt shot from 15 ft (assist by D. Carroll),2,3-0,,
10:36.0,,,3-0,,A. Jefferson misses 2-pt shot from 14 ft
10:34.0,Defensive rebound by P. Millsap,,3-0,,
10:29.0,Turnover by P. Millsap (lost ball; steal by A. Jefferson),,3-0,,
10:20.0,,,3-2,2,L. Stephenson makes 2-pt shot from 2 ft
10:03.0,D. Carroll makes 3-pt shot from 23 ft (assist by J. Teague),3,6-2,,
9:39.0,,,6-2,,K. Walker misses 2-pt shot from 5 ft (block by K. Korver)
9:38.0,Defensive rebound by P. Millsap,,6-2,,
9:25.0,J. Teague makes 3-pt shot from 27 ft (assist by A. Horford),3,9-2,,
9:02.0,,,9-2,,M. Williams misses 3-pt shot from 26 ft
9:01.0,Defensive rebound by A. Horford,,9-2,,
8:54.0,J. Teague makes 2-pt shot from 1 ft,2,11-2,,
8:54.0,,,11-2,,Charlotte full timeout
8:39.0,,,11-4,2,A. Jefferson makes 2-pt shot from 1 ft (assist by L. Stephenson)
8:17.0,P. Millsap misses 2-pt shot from 18 ft,,11-4,,
8:16.0,,,11-4,,Defensive rebound by L. Stephenson
8:09.0,,,11-6,2,L. Stephenson makes 2-pt shot from 1 ft
8:01.0,,,11-6,,Personal foul by M. Williams (drawn by P. Millsap)
7:51.0,A. Horford makes 2-pt shot from 1 ft (assist by P. Millsap),2,13-6,,
7:24.0,,,13-6,,L. Stephenson misses 2-pt shot from 21 ft
7:23.0,Defensive rebound by A. Horford,,13-6,,
7:20.0,Offensive foul by D. Carroll,,13-6,,
7:20.0,Turnover by D. Carroll (offensive foul),,13-6,,
7:08.0,,,13-6,,Turnover by K. Walker (bad pass; steal by A. Horford)
7:01.0,D. Carroll makes 3-pt shot from 25 ft (assist by J. Teague),3,16-6,,
6:49.0,,,16-6,,M. Williams misses 2-pt shot from 19 ft
6:48.0,Defensive rebound by P. Millsap,,16-6,,
6:29.0,Turnover by P. Millsap (lost ball; steal by M. Williams),,16-6,,
6:15.0,,,16-6,,Shooting foul by A. Horford (drawn by M. Kidd-Gilchrist)
6:15.0,,,16-8,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by K. Walker)
6:15.0,P. Antic enters the game for A. Horford,,16-8,,
6:15.0,,,16-9,1,M. Kidd-Gilchrist makes free throw 1 of 1
5:56.0,J. Teague misses 2-pt shot from 18 ft,,16-9,,
5:55.0,,,16-9,,Defensive rebound by L. Stephenson
5:44.0,,,16-9,,M. Williams misses 3-pt shot from 25 ft
5:43.0,Defensive rebound by D. Carroll,,16-9,,
5:37.0,Shooting foul by M. Williams (drawn by P. Millsap),,16-9,,
5:37.0,P. Millsap makes free throw 1 of 2,1,17-9,,
5:37.0,T. Sefolosha enters the game for K. Korver,,17-9,,
5:37.0,,,17-9,,P. Hairston enters the game for M. Kidd-Gilchrist
5:37.0,,,17-9,,C. Zeller enters the game for M. Williams
5:37.0,P. Millsap makes free throw 2 of 2,1,18-9,,
5:15.0,,,18-11,2,A. Jefferson makes 2-pt shot from 1 ft
5:05.0,P. Antic misses 3-pt shot from 25 ft,,18-11,,
5:03.0,,,18-11,,Defensive rebound by K. Walker
4:54.0,,,18-14,3,P. Hairston makes 3-pt shot from 24 ft (assist by L. Stephenson)
