time,Utah,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. D. Favors (A. Burks gains possession),,,,Jump ball: A. Drummond vs. D. Favors (A. Burks gains possession)
11:37.0,D. Favors makes 2-pt shot from 18 ft (assist by T. Burke),2,2-0,,
11:14.0,,,2-2,2,J. Smith makes 2-pt shot from 5 ft
11:03.0,E. Kanter makes 2-pt shot at rim (assist by D. Favors),2,4-2,,
10:44.0,,,4-5,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by J. Smith)
10:25.0,T. Burke makes 3-pt shot from 24 ft (assist by G. Hayward),3,7-5,,
10:06.0,,,7-5,,J. Smith misses 2-pt shot at rim
10:05.0,Defensive rebound by D. Favors,,7-5,,
9:50.0,E. Kanter misses 2-pt shot from 6 ft,,7-5,,
9:49.0,Offensive rebound by D. Favors,,7-5,,
9:46.0,D. Favors makes 2-pt shot at rim,2,9-5,,
9:25.0,,,9-7,2,G. Monroe makes 2-pt shot from 4 ft (assist by K. Caldwell-Pope)
9:06.0,D. Favors misses 2-pt shot from 11 ft,,9-7,,
9:05.0,,,9-7,,Defensive rebound by G. Monroe
8:52.0,,,9-9,2,G. Monroe makes 2-pt shot from 6 ft
8:38.0,A. Burks makes 2-pt shot at rim (assist by T. Burke),2,11-9,,
8:14.0,,,11-9,,K. Caldwell-Pope misses 3-pt shot from 26 ft
8:13.0,Defensive rebound by D. Favors,,11-9,,
8:04.0,,,11-9,,Personal foul by J. Smith (drawn by G. Hayward)
7:54.0,A. Burks makes 2-pt shot from 20 ft,2,13-9,,
7:38.0,,,13-9,,K. Caldwell-Pope misses 2-pt shot at rim (block by D. Favors)
7:37.0,,,13-9,,Offensive rebound by J. Smith
7:32.0,,,13-9,,J. Smith misses 2-pt shot from 17 ft
7:31.0,,,13-9,,Offensive rebound by Team
7:23.0,,,13-9,,K. Caldwell-Pope misses 2-pt shot from 15 ft
7:22.0,Defensive rebound by E. Kanter,,13-9,,
7:14.0,G. Hayward makes 2-pt shot from 16 ft,2,15-9,,
7:03.0,,,15-9,,Detroit full timeout
7:03.0,,,15-9,,C. Butler enters the game for A. Drummond
6:54.0,,,15-9,,B. Jennings misses 2-pt shot at rim
6:51.0,Defensive rebound by T. Burke,,15-9,,
6:37.0,A. Burks misses 3-pt shot from 22 ft,,15-9,,
6:36.0,,,15-9,,Defensive rebound by C. Butler
6:28.0,,,15-11,2,J. Smith makes 2-pt shot at rim
6:00.0,D. Favors makes 2-pt shot from 5 ft (assist by A. Burks),2,17-11,,
5:48.0,,,17-11,,B. Jennings misses 3-pt shot from 27 ft
5:47.0,,,17-11,,Offensive rebound by J. Smith
5:32.0,,,17-11,,J. Smith misses 2-pt shot from 19 ft
5:31.0,Defensive rebound by A. Burks,,17-11,,
5:14.0,E. Kanter misses 2-pt shot from 20 ft,,17-11,,
5:13.0,,,17-11,,Defensive rebound by G. Monroe
5:01.0,,,17-11,,G. Monroe misses 2-pt shot from 3 ft
5:00.0,Defensive rebound by D. Favors,,17-11,,
4:54.0,G. Hayward makes 2-pt shot from 18 ft,2,19-11,,
4:32.0,,,19-13,2,B. Jennings makes 2-pt shot from 16 ft
4:13.0,Turnover by G. Hayward (bad pass),,19-13,,
4:13.0,D. Exum enters the game for G. Hayward,,19-13,,
4:00.0,,,19-15,2,B. Jennings makes 2-pt shot at rim (assist by J. Smith)
3:36.0,A. Burks misses 2-pt shot from 21 ft,,19-15,,
3:35.0,,,19-15,,Defensive rebound by J. Smith
3:20.0,,,19-15,,K. Caldwell-Pope misses 3-pt shot from 26 ft
3:18.0,Defensive rebound by E. Kanter,,19-15,,
