time,San Antonio,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. T. Duncan (T. Parker gains possession),,,,Jump ball: A. Bogut vs. T. Duncan (T. Parker gains possession)
11:41.0,T. Duncan misses 2-pt shot from 16 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by K. Thompson
11:28.0,,,0-2,2,H. Barnes makes 2-pt shot from 20 ft (assist by D. Green)
11:09.0,D. Green makes 2-pt shot from 2 ft,2,2-2,,
10:52.0,,,2-4,2,H. Barnes makes 2-pt shot from 1 ft (assist by A. Bogut)
10:29.0,T. Parker makes 2-pt shot from 14 ft,2,4-4,,
10:19.0,K. Anderson enters the game for D. Green,,4-4,,
10:17.0,,,4-4,,Shooting foul by K. Anderson (drawn by H. Barnes)
10:17.0,,,4-5,1,H. Barnes makes free throw 1 of 2
10:17.0,D. Green enters the game for K. Anderson,,4-5,,
10:17.0,,,4-6,1,H. Barnes makes free throw 2 of 2
9:52.0,T. Duncan misses 2-pt shot from 17 ft,,4-6,,
9:51.0,,,4-6,,Defensive rebound by S. Curry
9:38.0,Violation by T. Duncan (kicked ball),,4-6,,
9:34.0,,,4-6,,K. Thompson misses 2-pt shot from 16 ft
9:33.0,,,4-6,,Offensive rebound by Team
9:33.0,Loose ball foul by T. Duncan (drawn by A. Bogut),,4-6,,
9:28.0,,,4-6,,S. Curry misses 3-pt shot from 26 ft
9:28.0,Defensive rebound by K. Leonard,,4-6,,
9:21.0,K. Leonard makes 2-pt shot from 19 ft,2,6-6,,
9:10.0,,,6-8,2,S. Curry makes 2-pt shot from 11 ft
8:53.0,T. Parker misses 2-pt shot from 17 ft,,6-8,,
8:52.0,Offensive rebound by M. Bonner,,6-8,,
8:46.0,San Antonio full timeout,,6-8,,
8:32.0,K. Leonard makes 2-pt shot from 13 ft,2,8-8,,
8:13.0,,,8-8,,Turnover by S. Curry (bad pass; steal by K. Leonard)
7:57.0,D. Green misses 3-pt shot from 25 ft,,8-8,,
7:56.0,,,8-8,,Defensive rebound by D. Green
7:46.0,,,8-8,,D. Green misses 2-pt shot from 23 ft
7:46.0,Defensive rebound by K. Leonard,,8-8,,
7:36.0,T. Duncan makes 2-pt shot from 17 ft (assist by K. Leonard),2,10-8,,
7:21.0,,,10-8,,D. Green misses 2-pt shot from 17 ft
7:20.0,Defensive rebound by T. Duncan,,10-8,,
7:13.0,T. Parker misses 2-pt shot from 14 ft,,10-8,,
7:11.0,,,10-8,,Defensive rebound by A. Bogut
7:01.0,,,10-11,3,H. Barnes makes 3-pt shot from 23 ft (assist by K. Thompson)
6:42.0,D. Green misses 2-pt shot from 18 ft,,10-11,,
6:41.0,,,10-11,,Defensive rebound by K. Thompson
6:35.0,,,10-11,,Turnover by K. Thompson (lost ball; steal by D. Green)
6:27.0,T. Parker misses 2-pt shot from 8 ft,,10-11,,
6:25.0,Offensive rebound by K. Leonard,,10-11,,
6:15.0,T. Parker makes 2-pt shot from 1 ft,2,12-11,,
6:15.0,Shooting foul by D. Green (drawn by T. Parker),,12-11,,
6:15.0,M. Ginobili enters the game for D. Green,,12-11,,
6:15.0,,,12-11,,A. Iguodala enters the game for D. Green
6:15.0,T. Parker makes free throw 1 of 1,1,13-11,,
5:59.0,,,13-13,2,A. Bogut makes 2-pt shot from 9 ft (assist by K. Thompson)
5:42.0,M. Bonner misses 2-pt shot from 17 ft,,13-13,,
5:40.0,,,13-13,,Defensive rebound by H. Barnes
5:34.0,,,13-13,,S. Curry misses 2-pt shot from 3 ft
5:33.0,Defensive rebound by M. Bonner,,13-13,,
5:26.0,M. Bonner misses 2-pt shot from 23 ft,,13-13,,
5:25.0,,,13-13,,Defensive rebound by H. Barnes
5:15.0,,,13-13,,K. Thompson misses 2-pt shot from 20 ft
5:14.0,Defensive rebound by K. Leonard,,13-13,,
5:08.0,,,13-13,,Violation by A. Iguodala (kicked ball)
5:08.0,A. Baynes enters the game for T. Duncan,,13-13,,
5:08.0,C. Joseph enters the game for T. Parker,,13-13,,
4:56.0,C. Joseph makes 2-pt shot from 14 ft (assist by A. Baynes),2,15-13,,
4:39.0,,,15-15,2,K. Thompson makes 2-pt shot from 8 ft (assist by A. Bogut)
4:23.0,M. Ginobili makes 2-pt shot from 9 ft,2,17-15,,
3:59.0,,,17-17,2,H. Barnes makes 2-pt shot from 14 ft
3:40.0,K. Leonard makes 2-pt shot from 12 ft,2,19-17,,
3:28.0,,,19-17,,Turnover by H. Barnes (lost ball; steal by C. Joseph)
3:22.0,C. Joseph misses 2-pt shot from 2 ft (block by H. Barnes),,19-17,,
3:19.0,,,19-17,,Defensive rebound by S. Curry
3:16.0,,,19-19,2,S. Curry makes 2-pt shot from 1 ft
2:53.0,K. Leonard misses 3-pt shot from 27 ft,,19-19,,
2:52.0,,,19-19,,Defensive rebound by A. Bogut
2:44.0,,,19-21,2,S. Curry makes 2-pt shot from 4 ft
2:44.0,,,19-21,,Shooting foul by C. Joseph (drawn by S. Curry)
2:44.0,,,19-21,,Golden State full timeout
2:44.0,K. Anderson enters the game for K. Leonard,,19-21,,
2:44.0,B. Diaw enters the game for M. Bonner,,19-21,,
2:44.0,,,19-21,,F. Ezeli enters the game for H. Barnes
2:44.0,,,19-21,,D. Green enters the game for A. Bogut
2:44.0,,,19-21,,L. Barbosa enters the game for K. Thompson
2:44.0,,,19-22,1,S. Curry makes free throw 1 of 1
2:19.0,B. Diaw makes 3-pt shot from 31 ft (assist by C. Joseph),3,22-22,,
2:07.0,,,22-22,,S. Curry misses 3-pt shot from 28 ft
2:06.0,Defensive rebound by Team,,22-22,,
1:52.0,Turnover by B. Diaw (lost ball; steal by L. Barbosa),,22-22,,
1:47.0,,,22-22,,Shooting foul by C. Joseph (drawn by D. Green)
1:47.0,,,22-23,1,D. Green makes free throw 1 of 2
1:47.0,,,22-23,,S. Livingston enters the game for S. Curry
1:47.0,,,22-24,1,D. Green makes free throw 2 of 2
1:35.0,M. Ginobili makes 3-pt shot from 28 ft (assist by C. Joseph),3,25-24,,
1:13.0,,,25-26,2,F. Ezeli makes 2-pt shot from 9 ft
0:57.0,M. Ginobili misses 3-pt shot from 26 ft,,25-26,,
0:56.0,,,25-26,,Defensive rebound by F. Ezeli
0:38.0,,,25-26,,Golden State full timeout
0:35.0,,,25-26,,S. Livingston misses 2-pt shot from 3 ft
0:35.0,,,25-26,,Offensive rebound by F. Ezeli
0:35.0,,,25-26,,Turnover by Team (shot clock)
0:31.0,M. Ginobili misses 2-pt shot from 2 ft,,25-26,,
0:30.0,Offensive rebound by A. Baynes,,25-26,,
0:30.0,A. Baynes makes 2-pt shot at rim,2,27-26,,
0:09.0,,,27-26,,A. Iguodala misses 2-pt shot from 4 ft (block by K. Anderson)
0:07.0,Defensive rebound by B. Diaw,,27-26,,
0:03.0,A. Baynes misses 2-pt shot from 1 ft (block by F. Ezeli),,27-26,,
0:03.0,Offensive rebound by Team,,27-26,,
0:01.0,M. Ginobili makes 2-pt shot from 15 ft (assist by A. Baynes),2,29-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,29-26,,Offensive foul by S. Livingston
11:49.0,,,29-26,,Turnover by S. Livingston (offensive foul)
11:35.0,B. Diaw misses 3-pt shot from 26 ft,,29-26,,
11:34.0,,,29-26,,Defensive rebound by L. Barbosa
11:24.0,,,29-26,,Turnover by A. Iguodala (lost ball)
11:06.0,M. Ginobili misses 2-pt shot from 18 ft,,29-26,,
11:05.0,,,29-26,,Defensive rebound by D. Green
10:55.0,,,29-26,,S. Livingston misses 2-pt shot from 13 ft
10:54.0,Defensive rebound by A. Baynes,,29-26,,
10:43.0,A. Baynes makes 2-pt shot from 2 ft (assist by T. Parker),2,31-26,,
10:32.0,,,31-26,,Turnover by A. Iguodala (lost ball; steal by M. Ginobili)
10:24.0,K. Anderson misses 2-pt shot from 3 ft,,31-26,,
10:23.0,,,31-26,,Defensive rebound by A. Iguodala
10:14.0,,,31-26,,L. Barbosa misses 3-pt shot from 23 ft
10:13.0,Defensive rebound by B. Diaw,,31-26,,
9:58.0,A. Baynes misses 2-pt shot from 1 ft,,31-26,,
9:57.0,Offensive rebound by B. Diaw,,31-26,,
9:53.0,,,31-26,,Personal foul by S. Livingston (drawn by B. Diaw)
9:53.0,D. Green enters the game for M. Ginobili,,31-26,,
9:53.0,T. Duncan enters the game for A. Baynes,,31-26,,
9:53.0,,,31-26,,K. Thompson enters the game for L. Barbosa
9:53.0,B. Diaw makes free throw 1 of 2,1,32-26,,
9:53.0,B. Diaw misses free throw 2 of 2,,32-26,,
9:52.0,,,32-26,,Defensive rebound by F. Ezeli
9:38.0,,,32-29,3,D. Green makes 3-pt shot from 26 ft (assist by S. Livingston)
9:18.0,K. Anderson misses 2-pt shot from 13 ft (block by D. Green),,32-29,,
9:16.0,,,32-29,,Defensive rebound by F. Ezeli
9:09.0,,,32-29,,K. Thompson misses 2-pt shot from 10 ft
9:06.0,Defensive rebound by T. Duncan,,32-29,,
8:55.0,D. Green misses 3-pt shot from 23 ft,,32-29,,
8:54.0,,,32-29,,Defensive rebound by F. Ezeli
8:42.0,,,32-32,3,K. Thompson makes 3-pt shot from 26 ft (assist by A. Iguodala)
8:42.0,San Antonio full timeout,,32-32,,
8:42.0,,,32-32,,A. Bogut enters the game for F. Ezeli
8:42.0,K. Leonard enters the game for K. Anderson,,32-32,,
8:31.0,Turnover by B. Diaw (lost ball; steal by A. Bogut),,32-32,,
8:28.0,,,32-32,,Shooting foul by B. Diaw (drawn by D. Green)
8:28.0,,,32-33,1,D. Green makes free throw 1 of 2
8:28.0,,,32-34,1,D. Green makes free throw 2 of 2
8:07.0,Shooting foul by D. Green (drawn by T. Parker),,32-34,,
8:07.0,T. Parker makes free throw 1 of 2,1,33-34,,
8:07.0,M. Bonner enters the game for B. Diaw,,33-34,,
8:07.0,,,33-34,,H. Barnes enters the game for D. Green
8:07.0,T. Parker makes free throw 2 of 2,1,34-34,,
7:54.0,Violation by T. Duncan (kicked ball),,34-34,,
7:49.0,,,34-34,,K. Thompson misses 2-pt shot from 10 ft
7:47.0,Defensive rebound by T. Duncan,,34-34,,
7:41.0,T. Parker misses 2-pt shot from 2 ft,,34-34,,
7:39.0,,,34-34,,Defensive rebound by K. Thompson
7:26.0,,,34-36,2,S. Livingston makes 2-pt shot from 10 ft (assist by A. Bogut)
7:05.0,T. Parker misses 2-pt shot from 18 ft,,34-36,,
7:04.0,Offensive rebound by T. Parker,,34-36,,
7:01.0,D. Green misses 3-pt shot from 26 ft,,34-36,,
7:00.0,,,34-36,,Defensive rebound by A. Iguodala
6:47.0,,,34-38,2,H. Barnes makes 2-pt shot from 19 ft (assist by A. Bogut)
6:35.0,,,34-38,,Personal foul by A. Bogut (drawn by T. Duncan)
6:35.0,C. Joseph enters the game for T. Parker,,34-38,,
6:35.0,,,34-38,,S. Curry enters the game for S. Livingston
6:27.0,C. Joseph makes 2-pt shot from 17 ft,2,36-38,,
6:13.0,,,36-38,,K. Thompson misses 2-pt shot from 5 ft
6:13.0,Defensive rebound by T. Duncan,,36-38,,
6:13.0,,,36-38,,Technical foul by K. Thompson
6:13.0,K. Leonard makes technical free throw,1,37-38,,
5:58.0,Shooting foul by A. Iguodala (drawn by K. Leonard),,37-38,,
5:58.0,Official timeout,,37-38,,
5:58.0,,,37-38,,B. Rush enters the game for A. Iguodala
5:58.0,K. Leonard makes free throw 1 of 2,1,38-38,,
5:58.0,K. Leonard makes free throw 2 of 2,1,39-38,,
5:40.0,,,39-38,,H. Barnes misses 2-pt shot from 11 ft
5:39.0,Defensive rebound by T. Duncan,,39-38,,
5:29.0,D. Green misses 3-pt shot from 27 ft,,39-38,,
5:28.0,,,39-38,,Defensive rebound by H. Barnes
5:17.0,Personal foul by K. Leonard (drawn by A. Bogut),,39-38,,
5:04.0,,,39-38,,Turnover by A. Bogut (offensive goaltending)
4:42.0,T. Duncan misses 2-pt shot from 11 ft,,39-38,,
4:39.0,Offensive rebound by K. Leonard,,39-38,,
4:24.0,T. Duncan misses 2-pt shot from 10 ft,,39-38,,
4:23.0,,,39-38,,Defensive rebound by S. Curry
4:04.0,,,39-38,,B. Rush misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by T. Duncan,,39-38,,
3:50.0,K. Leonard misses 2-pt shot from 20 ft,,39-38,,
3:49.0,,,39-38,,Defensive rebound by K. Thompson
3:41.0,,,39-38,,S. Curry misses 3-pt shot from 23 ft
3:39.0,Defensive rebound by T. Duncan,,39-38,,
3:25.0,C. Joseph makes 2-pt shot from 18 ft,2,41-38,,
3:08.0,,,41-40,2,K. Thompson makes 2-pt shot from 2 ft
2:57.0,D. Green makes 2-pt shot from 1 ft (assist by T. Duncan),2,43-40,,
2:56.0,,,43-40,,Golden State full timeout
2:56.0,,,43-40,,D. Green enters the game for B. Rush
2:53.0,T. Parker enters the game for D. Green,,43-40,,
2:53.0,M. Ginobili enters the game for C. Joseph,,43-40,,
2:42.0,,,43-40,,Offensive foul by A. Bogut
