time,Oklahoma City,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. L. Sanders (R. Jackson gains possession),,,,Jump ball: S. Adams vs. L. Sanders (R. Jackson gains possession)
11:38.0,S. Adams misses 2-pt shot from 5 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by L. Sanders
11:20.0,,,0-0,,J. Dudley misses 3-pt shot from 23 ft
11:19.0,Defensive rebound by S. Adams,,0-0,,
11:01.0,R. Jackson misses 2-pt shot from 13 ft,,0-0,,
11:00.0,Offensive rebound by S. Adams,,0-0,,
10:55.0,,,0-0,,Personal foul by L. Sanders (drawn by S. Adams)
10:47.0,Turnover by L. Thomas (traveling),,0-0,,
10:38.0,,,0-0,,L. Sanders misses 2-pt shot from 4 ft
10:37.0,Defensive rebound by S. Adams,,0-0,,
10:19.0,S. Ibaka misses 2-pt shot from 14 ft,,0-0,,
10:19.0,,,0-0,,Defensive rebound by Team
10:05.0,,,0-0,,Turnover by E. Ilyasova (traveling)
9:52.0,S. Ibaka makes 3-pt shot from 27 ft (assist by J. Lamb),3,3-0,,
9:35.0,,,3-2,2,J. Parker makes 2-pt shot at rim (assist by L. Sanders)
9:13.0,L. Thomas misses 2-pt shot from 16 ft,,3-2,,
9:12.0,,,3-2,,Defensive rebound by E. Ilyasova
9:05.0,,,3-4,2,L. Sanders makes 2-pt shot at rim (assist by B. Knight)
8:49.0,L. Thomas misses 2-pt shot from 2 ft,,3-4,,
8:47.0,,,3-4,,Defensive rebound by L. Sanders
8:39.0,,,3-4,,Turnover by B. Knight (bad pass; steal by J. Lamb)
8:31.0,L. Thomas misses 2-pt shot from 15 ft,,3-4,,
8:29.0,,,3-4,,Defensive rebound by E. Ilyasova
8:17.0,,,3-4,,Turnover by B. Knight (bad pass; steal by R. Jackson)
8:11.0,R. Jackson makes 2-pt shot at rim,2,5-4,,
7:56.0,,,5-4,,E. Ilyasova misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by J. Lamb,,5-4,,
7:48.0,Offensive foul by S. Ibaka,,5-4,,
7:48.0,Turnover by S. Ibaka (offensive foul),,5-4,,
7:48.0,,,5-4,,Z. Pachulia enters the game for L. Sanders
7:38.0,,,5-6,2,B. Knight makes 2-pt shot at rim (assist by Z. Pachulia)
7:22.0,Turnover by J. Lamb (bad pass; steal by Z. Pachulia),,5-6,,
