time,Utah,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. J. Valanciunas (E. Kanter gains possession),,,,Jump ball: D. Favors vs. J. Valanciunas (E. Kanter gains possession)
11:41.0,A. Burks misses 3-pt shot from 23 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by K. Lowry
11:26.0,,,0-2,2,J. Valanciunas makes 2-pt shot from 6 ft
11:06.0,E. Kanter misses 2-pt shot from 17 ft,,0-2,,
11:04.0,,,0-2,,Defensive rebound by J. Valanciunas
10:55.0,,,0-4,2,D. DeRozan makes 2-pt shot from 14 ft
10:42.0,T. Burke misses 2-pt shot from 16 ft,,0-4,,
10:41.0,,,0-4,,Defensive rebound by J. Valanciunas
10:31.0,Violation by D. Favors (kicked ball),,0-4,,
10:24.0,Personal foul by D. Favors (drawn by J. Valanciunas),,0-4,,
10:17.0,,,0-4,,J. Valanciunas misses 2-pt shot from 13 ft
10:16.0,Defensive rebound by A. Burks,,0-4,,
9:54.0,T. Burke misses 3-pt shot from 25 ft,,0-4,,
9:53.0,,,0-4,,Defensive rebound by D. DeRozan
9:46.0,,,0-6,2,D. DeRozan makes 2-pt shot from 15 ft
9:30.0,A. Burks misses 2-pt shot from 15 ft,,0-6,,
9:29.0,Offensive rebound by Team,,0-6,,
9:22.0,E. Kanter makes 2-pt shot at rim (assist by G. Hayward),2,2-6,,
9:03.0,,,2-8,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan)
8:39.0,E. Kanter makes 3-pt shot from 22 ft (assist by A. Burks),3,5-8,,
8:19.0,,,5-10,2,K. Lowry makes 2-pt shot from 1 ft
8:04.0,D. Favors makes 2-pt shot at rim (assist by T. Burke),2,7-10,,
7:38.0,Personal foul by E. Kanter (drawn by J. Valanciunas),,7-10,,
7:31.0,,,7-10,,T. Ross misses 3-pt shot from 23 ft
7:30.0,Defensive rebound by A. Burks,,7-10,,
7:22.0,,,7-10,,Personal foul by T. Ross (drawn by G. Hayward)
7:10.0,D. Favors makes 2-pt shot from 3 ft (assist by A. Burks),2,9-10,,
6:50.0,,,9-12,2,D. DeRozan makes 2-pt shot from 4 ft
6:31.0,T. Burke makes 2-pt shot from 18 ft (assist by D. Favors),2,11-12,,
6:16.0,,,11-12,,A. Johnson misses 2-pt shot from 18 ft
6:15.0,Defensive rebound by T. Burke,,11-12,,
5:55.0,A. Burks misses 2-pt shot from 20 ft,,11-12,,
5:55.0,Offensive rebound by Team,,11-12,,
5:55.0,,,11-12,,Toronto full timeout
5:55.0,J. Ingles enters the game for G. Hayward,,11-12,,
5:38.0,D. Favors misses 2-pt shot from 15 ft,,11-12,,
5:35.0,Offensive rebound by A. Burks,,11-12,,
5:33.0,A. Burks makes 2-pt shot from 5 ft,2,13-12,,
5:07.0,,,13-14,2,J. Valanciunas makes 2-pt shot from 6 ft
4:49.0,D. Favors makes 2-pt shot from 2 ft (assist by T. Burke),2,15-14,,
4:27.0,,,15-14,,D. DeRozan misses 2-pt shot from 2 ft
4:25.0,Defensive rebound by D. Favors,,15-14,,
