time,New York,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Dalembert vs. Z. Pachulia (J. Smith gains possession),,,,Jump ball: S. Dalembert vs. Z. Pachulia (J. Smith gains possession)
11:34.0,I. Shumpert makes 2-pt shot from 15 ft (assist by J. Smith),2,2-0,,
11:21.0,,,2-0,,B. Knight misses 2-pt shot at rim
11:18.0,,,2-0,,Offensive rebound by J. Parker
11:14.0,,,2-2,2,J. Parker makes 2-pt shot at rim
10:59.0,,,2-2,,Personal foul by G. Antetokounmpo (drawn by C. Anthony)
10:55.0,I. Shumpert misses 2-pt shot from 16 ft,,2-2,,
10:52.0,,,2-2,,Defensive rebound by G. Antetokounmpo
10:42.0,,,2-4,2,Z. Pachulia makes 2-pt shot from 14 ft (assist by K. Middleton)
10:25.0,I. Shumpert makes 2-pt shot at rim (assist by C. Anthony),2,4-4,,
10:25.0,Shooting foul by G. Antetokounmpo (drawn by I. Shumpert),,4-4,,
10:25.0,,,4-4,,J. Dudley enters the game for G. Antetokounmpo
10:25.0,I. Shumpert makes free throw 1 of 1,1,5-4,,
10:15.0,,,5-4,,Turnover by Z. Pachulia (bad pass)
10:04.0,Turnover by S. Dalembert (bad pass; steal by Z. Pachulia),,5-4,,
10:01.0,,,5-6,2,J. Parker makes 2-pt shot at rim (assist by B. Knight)
9:52.0,,,5-6,,Personal foul by K. Middleton (drawn by I. Shumpert)
9:46.0,S. Dalembert makes 2-pt shot from 15 ft (assist by I. Shumpert),2,7-6,,
9:25.0,,,7-6,,Z. Pachulia misses 2-pt shot at rim
9:22.0,,,7-6,,Offensive rebound by Z. Pachulia
9:14.0,,,7-9,3,K. Middleton makes 3-pt shot from 25 ft (assist by B. Knight)
9:03.0,,,7-9,,Shooting block foul by J. Dudley (drawn by C. Anthony)
9:03.0,C. Anthony makes free throw 1 of 2,1,8-9,,
9:03.0,C. Anthony misses free throw 2 of 2,,8-9,,
9:02.0,,,8-9,,Defensive rebound by J. Parker
8:42.0,,,8-12,3,J. Dudley makes 3-pt shot from 22 ft (assist by J. Parker)
8:28.0,Turnover by S. Dalembert (lost ball),,8-12,,
8:12.0,Personal foul by S. Larkin (drawn by B. Knight),,8-12,,
7:59.0,,,8-12,,Turnover by Z. Pachulia (lost ball; steal by I. Shumpert)
7:36.0,I. Shumpert makes 2-pt shot from 13 ft,2,10-12,,
7:24.0,,,10-12,,J. Dudley misses 2-pt shot from 3 ft (block by S. Dalembert)
7:21.0,Defensive rebound by I. Shumpert,,10-12,,
7:17.0,C. Anthony makes 3-pt shot from 25 ft (assist by I. Shumpert),3,13-12,,
7:00.0,,,13-15,3,K. Middleton makes 3-pt shot from 23 ft (assist by B. Knight)
6:48.0,C. Anthony misses 2-pt shot from 11 ft,,13-15,,
6:47.0,Offensive rebound by S. Dalembert,,13-15,,
6:46.0,Turnover by I. Shumpert (bad pass),,13-15,,
6:46.0,,,13-15,,J. Henson enters the game for Z. Pachulia
6:37.0,,,13-15,,B. Knight misses 3-pt shot from 28 ft
6:36.0,,,13-15,,Offensive rebound by J. Parker
6:33.0,,,13-15,,J. Parker misses 2-pt shot from 11 ft
6:32.0,Defensive rebound by C. Anthony,,13-15,,
6:24.0,C. Anthony misses 3-pt shot from 25 ft,,13-15,,
6:22.0,,,13-15,,Defensive rebound by J. Henson
6:08.0,,,13-15,,K. Middleton misses 2-pt shot from 5 ft
6:07.0,,,13-15,,Offensive rebound by J. Henson
6:06.0,,,13-15,,J. Henson misses 2-pt shot at rim (block by S. Dalembert)
6:05.0,,,13-15,,Offensive rebound by J. Henson
6:05.0,,,13-15,,Turnover by J. Henson (traveling)
6:05.0,New York full timeout,,13-15,,
5:56.0,I. Shumpert makes 2-pt shot from 15 ft (assist by S. Dalembert),2,15-15,,
5:34.0,,,15-17,2,B. Knight makes 2-pt shot at rim
