time,New Orleans,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. Thompson (J. Holiday gains possession),,,,Jump ball: A. Davis vs. J. Thompson (J. Holiday gains possession)
11:43.0,A. Ajinca makes 2-pt shot from 11 ft (assist by E. Gordon),2,2-0,,
11:30.0,,,2-0,,Turnover by R. Gay (bad pass)
11:15.0,E. Gordon misses 2-pt shot from 4 ft (block by D. Cousins),,2-0,,
11:14.0,,,2-0,,Defensive rebound by D. Cousins
11:05.0,,,2-2,2,J. Thompson makes 2-pt shot at rim (assist by D. Collison)
10:51.0,A. Davis misses 2-pt shot from 20 ft,,2-2,,
10:51.0,Offensive rebound by T. Evans,,2-2,,
10:39.0,Shooting foul by R. Gay (drawn by A. Ajinca),,2-2,,
10:39.0,A. Ajinca misses free throw 1 of 2,,2-2,,
10:39.0,Offensive rebound by Team,,2-2,,
10:39.0,A. Ajinca makes free throw 2 of 2,1,3-2,,
10:27.0,,,3-2,,Turnover by J. Thompson (bad pass)
10:12.0,E. Gordon makes 2-pt shot from 8 ft (assist by J. Holiday),2,5-2,,
10:02.0,Violation by J. Holiday (kicked ball),,5-2,,
9:49.0,,,5-2,,R. Gay misses 2-pt shot from 18 ft
9:48.0,Defensive rebound by J. Holiday,,5-2,,
9:38.0,Shooting foul by J. Thompson (drawn by J. Holiday),,5-2,,
9:38.0,J. Holiday makes free throw 1 of 2,1,6-2,,
9:38.0,J. Holiday misses free throw 2 of 2,,6-2,,
9:37.0,,,6-2,,Defensive rebound by J. Thompson
9:29.0,Personal foul by A. Ajinca (drawn by D. Cousins),,6-2,,
9:16.0,,,6-5,3,D. Collison makes 3-pt shot from 25 ft (assist by D. Cousins)
8:53.0,J. Holiday misses 2-pt shot from 18 ft,,6-5,,
8:52.0,,,6-5,,Defensive rebound by R. Gay
8:39.0,,,6-5,,Shooting foul by E. Gordon (drawn by J. Thompson)
8:39.0,,,6-6,1,J. Thompson makes free throw 1 of 2
8:39.0,,,6-7,1,J. Thompson makes free throw 2 of 2
8:24.0,A. Davis misses 2-pt shot from 13 ft,,6-7,,
8:23.0,,,6-7,,Defensive rebound by J. Thompson
8:14.0,,,6-9,2,D. Cousins makes 2-pt shot from 3 ft (assist by D. Collison)
7:57.0,E. Gordon misses 3-pt shot from 25 ft,,6-9,,
7:56.0,,,6-9,,Defensive rebound by J. Thompson
7:44.0,,,6-9,,Turnover by R. Gay (bad pass)
7:32.0,E. Gordon misses 2-pt shot from 9 ft,,6-9,,
7:31.0,,,6-9,,Defensive rebound by D. Cousins
7:16.0,,,6-9,,D. Cousins misses 2-pt shot from 4 ft
7:15.0,,,6-9,,Offensive rebound by J. Thompson
7:14.0,,,6-9,,J. Thompson misses 2-pt shot from 3 ft
7:12.0,,,6-9,,Offensive rebound by J. Thompson
7:12.0,,,6-11,2,J. Thompson makes 2-pt shot at rim
7:00.0,A. Davis misses 2-pt shot from 19 ft,,6-11,,
6:59.0,,,6-11,,Defensive rebound by D. Cousins
6:44.0,,,6-13,2,R. Gay makes 2-pt shot from 2 ft (assist by D. Cousins)
6:44.0,New Orleans full timeout,,6-13,,
6:22.0,Turnover by E. Gordon (traveling),,6-13,,
6:09.0,,,6-15,2,D. Cousins makes 2-pt shot from 5 ft (assist by D. Collison)
5:50.0,T. Evans misses 2-pt shot from 6 ft,,6-15,,
5:50.0,,,6-15,,Defensive rebound by D. Cousins
5:39.0,Def 3 sec tech foul by A. Ajinca,,6-15,,
