time,Charlotte,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. A. Jefferson (S. Hill gains possession),,,,Jump ball: R. Hibbert vs. A. Jefferson (S. Hill gains possession)
11:39.0,,,0-0,,Turnover by R. Hibbert (3 sec)
11:23.0,M. Williams misses 2-pt shot from 15 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by S. Hill
11:06.0,,,0-2,2,R. Hibbert makes 2-pt shot from 6 ft
10:44.0,A. Jefferson misses 2-pt shot from 1 ft,,0-2,,
10:43.0,,,0-2,,Defensive rebound by R. Hibbert
10:28.0,,,0-4,2,C. Copeland makes 2-pt shot from 3 ft
10:16.0,A. Jefferson makes 2-pt shot at rim,2,2-4,,
10:00.0,,,2-4,,Shooting foul by A. Jefferson (drawn by R. Hibbert)
10:00.0,,,2-4,,R. Hibbert misses free throw 1 of 2
10:00.0,,,2-4,,Offensive rebound by Team
10:00.0,,,2-5,1,R. Hibbert makes free throw 2 of 2
9:43.0,K. Walker makes 2-pt shot from 1 ft (assist by A. Jefferson),2,4-5,,
9:31.0,,,4-5,,S. Hill misses 3-pt shot from 27 ft
9:30.0,Defensive rebound by K. Walker,,4-5,,
9:16.0,G. Henderson misses 2-pt shot from 19 ft,,4-5,,
9:15.0,,,4-5,,Defensive rebound by R. Hibbert
9:04.0,,,4-5,,D. Sloan misses 2-pt shot from 9 ft
9:03.0,Defensive rebound by L. Stephenson,,4-5,,
8:58.0,Turnover by L. Stephenson (lost ball; steal by L. Scola),,4-5,,
8:44.0,,,4-7,2,R. Hibbert makes 2-pt shot from 18 ft (assist by D. Sloan)
8:28.0,M. Williams misses 2-pt shot from 18 ft,,4-7,,
8:27.0,,,4-7,,Defensive rebound by R. Hibbert
8:18.0,,,4-7,,Shooting foul by M. Williams (drawn by L. Scola)
8:18.0,,,4-9,2,L. Scola makes 2-pt shot from 6 ft (assist by R. Hibbert)
8:18.0,,,4-10,1,L. Scola makes free throw 1 of 1
8:05.0,G. Henderson misses 2-pt shot from 3 ft (block by R. Hibbert),,4-10,,
8:04.0,,,4-10,,Defensive rebound by D. Sloan
7:59.0,,,4-10,,C. Copeland misses 3-pt shot from 25 ft
7:58.0,Defensive rebound by K. Walker,,4-10,,
7:48.0,K. Walker misses 2-pt shot from 15 ft,,4-10,,
7:47.0,,,4-10,,Defensive rebound by R. Hibbert
7:37.0,,,4-12,2,R. Hibbert makes 2-pt shot from 19 ft (assist by C. Copeland)
7:10.0,A. Jefferson makes 2-pt shot from 7 ft,2,6-12,,
6:50.0,,,6-12,,R. Hibbert misses 2-pt shot from 7 ft
6:49.0,Defensive rebound by A. Jefferson,,6-12,,
6:48.0,,,6-12,,Personal foul by L. Scola (drawn by A. Jefferson)
6:28.0,Shooting foul by R. Hibbert (drawn by A. Jefferson),,6-12,,
6:28.0,A. Jefferson makes free throw 1 of 2,1,7-12,,
6:28.0,C. Zeller enters the game for M. Williams,,7-12,,
6:28.0,A. Jefferson makes free throw 2 of 2,1,8-12,,
6:15.0,,,8-12,,R. Hibbert misses 2-pt shot from 7 ft
6:15.0,Defensive rebound by Team,,8-12,,
6:04.0,Turnover by K. Walker (bad pass; steal by D. Sloan),,8-12,,
5:58.0,,,8-12,,Shooting foul by K. Walker (drawn by D. Sloan)
5:58.0,,,8-12,,Indiana full timeout
5:58.0,,,8-12,,D. Sloan misses free throw 1 of 2
5:58.0,,,8-12,,Offensive rebound by Team
5:58.0,,,8-13,1,D. Sloan makes free throw 2 of 2
5:43.0,A. Jefferson misses 2-pt shot from 8 ft,,8-13,,
5:42.0,,,8-13,,Defensive rebound by D. Sloan
5:24.0,,,8-15,2,C. Copeland makes 2-pt shot at rim
5:06.0,A. Jefferson makes 2-pt shot from 6 ft,2,10-15,,
4:54.0,Personal foul by L. Stephenson (drawn by S. Hill),,10-15,,
4:54.0,B. Roberts enters the game for K. Walker,,10-15,,
4:41.0,,,10-17,2,R. Hibbert makes 2-pt shot from 17 ft (assist by D. Sloan)
4:29.0,L. Stephenson makes 2-pt shot from 15 ft,2,12-17,,
4:16.0,,,12-17,,R. Hibbert misses 2-pt shot from 2 ft (block by L. Stephenson)
4:15.0,Defensive rebound by A. Jefferson,,12-17,,
4:09.0,L. Stephenson makes 2-pt shot from 17 ft,2,14-17,,
3:54.0,,,14-17,,S. Hill misses 3-pt shot from 25 ft
3:53.0,,,14-17,,Offensive rebound by Team
3:53.0,Loose ball foul by C. Zeller (drawn by L. Scola),,14-17,,
3:53.0,,,14-17,,L. Scola misses free throw 1 of 2
3:53.0,,,14-17,,Offensive rebound by Team
3:53.0,,,14-17,,R. Stuckey enters the game for S. Hill
3:53.0,B. Biyombo enters the game for A. Jefferson,,14-17,,
3:53.0,,,14-18,1,L. Scola makes free throw 2 of 2
3:40.0,L. Stephenson misses 2-pt shot from 16 ft,,14-18,,
3:39.0,Offensive rebound by Team,,14-18,,
3:39.0,,,14-18,,L. Allen enters the game for L. Scola
3:28.0,B. Roberts makes 2-pt shot from 20 ft,2,16-18,,
3:10.0,K. Walker enters the game for G. Henderson,,16-18,,
3:10.0,M. Williams enters the game for L. Stephenson,,16-18,,
3:04.0,,,16-18,,C. Copeland misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by C. Zeller,,16-18,,
2:53.0,C. Zeller makes 2-pt shot from 20 ft (assist by K. Walker),2,18-18,,
2:32.0,,,18-18,,R. Hibbert misses 2-pt shot from 7 ft (block by B. Biyombo)
2:30.0,Defensive rebound by B. Roberts,,18-18,,
2:22.0,B. Roberts makes 2-pt shot from 18 ft,2,20-18,,
2:08.0,,,20-18,,R. Stuckey misses 2-pt shot from 18 ft
2:07.0,Defensive rebound by M. Williams,,20-18,,
1:56.0,C. Zeller misses 2-pt shot from 20 ft,,20-18,,
1:55.0,,,20-18,,Defensive rebound by L. Allen
1:35.0,,,20-18,,D. Sloan misses 3-pt shot from 24 ft
1:34.0,Defensive rebound by B. Biyombo,,20-18,,
1:16.0,K. Walker makes 2-pt shot from 15 ft,2,22-18,,
1:10.0,,,22-18,,Indiana full timeout
1:10.0,Charlotte full timeout,,22-18,,
1:10.0,,,22-18,,I. Mahinmi enters the game for R. Hibbert
1:10.0,,,22-18,,A. Price enters the game for D. Sloan
0:56.0,,,22-18,,R. Stuckey misses 2-pt shot from 13 ft
0:55.0,,,22-18,,Offensive rebound by L. Allen
0:54.0,,,22-20,2,L. Allen makes 2-pt shot from 6 ft
0:40.0,M. Williams makes 3-pt shot from 28 ft (assist by K. Walker),3,25-20,,
0:26.0,,,25-20,,Turnover by A. Price (bad pass; steal by M. Williams)
0:22.0,M. Williams misses 2-pt shot at rim,,25-20,,
0:21.0,Offensive rebound by B. Roberts,,25-20,,
0:20.0,,,25-20,,Personal foul by R. Stuckey (drawn by B. Roberts)
0:03.0,B. Roberts makes 3-pt shot from 27 ft (assist by K. Walker),3,28-20,,
0:00.0,,,28-20,,A. Price misses 3-pt shot from 36 ft
0:00.0,,,28-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,B. Biyombo makes 2-pt shot at rim (assist by L. Stephenson),2,30-20,,
11:23.0,,,30-20,,R. Stuckey misses 3-pt shot from 26 ft
11:22.0,Defensive rebound by L. Stephenson,,30-20,,
11:14.0,L. Stephenson misses 2-pt shot from 18 ft,,30-20,,
11:13.0,Offensive rebound by B. Biyombo,,30-20,,
11:13.0,B. Biyombo makes 2-pt shot at rim,2,32-20,,
10:52.0,,,32-20,,Turnover by D. Rudez (bad pass; steal by C. Zeller)
10:32.0,L. Stephenson misses 2-pt shot from 9 ft,,32-20,,
10:31.0,,,32-20,,Defensive rebound by I. Mahinmi
10:21.0,,,32-22,2,L. Allen makes 2-pt shot from 2 ft (assist by I. Mahinmi)
10:03.0,K. Walker makes 2-pt shot at rim,2,34-22,,
9:39.0,,,34-22,,Shooting foul by B. Biyombo (drawn by I. Mahinmi)
9:39.0,,,34-22,,I. Mahinmi misses free throw 1 of 2
9:39.0,,,34-22,,Offensive rebound by Team
9:39.0,,,34-22,,S. Hill enters the game for D. Rudez
9:39.0,,,34-22,,I. Mahinmi misses free throw 2 of 2
9:39.0,Defensive rebound by B. Biyombo,,34-22,,
9:24.0,Turnover by K. Walker (bad pass; steal by I. Mahinmi),,34-22,,
9:16.0,,,34-24,2,S. Hill makes 2-pt shot from 2 ft
9:01.0,,,34-24,,Violation by R. Stuckey (kicked ball)
8:54.0,C. Zeller misses 2-pt shot from 20 ft,,34-24,,
8:53.0,Offensive rebound by L. Stephenson,,34-24,,
8:38.0,K. Walker misses 2-pt shot from 15 ft,,34-24,,
8:37.0,,,34-24,,Defensive rebound by L. Allen
8:30.0,Personal foul by B. Biyombo (drawn by R. Stuckey),,34-24,,
8:30.0,Official timeout,,34-24,,
8:30.0,,,34-24,,Technical foul by R. Stuckey
8:30.0,Technical foul by B. Biyombo (drawn by R. Stuckey),,34-24,,
8:30.0,A. Jefferson enters the game for B. Roberts,,34-24,,
8:30.0,G. Henderson enters the game for B. Biyombo,,34-24,,
8:19.0,,,34-24,,A. Price misses 3-pt shot from 29 ft
8:09.0,Defensive rebound by L. Stephenson,,34-24,,
8:06.0,A. Jefferson makes 2-pt shot from 18 ft (assist by L. Stephenson),2,36-24,,
7:49.0,,,36-24,,Turnover by L. Allen (bad pass; steal by K. Walker)
7:32.0,Shooting foul by I. Mahinmi (drawn by A. Jefferson),,36-24,,
7:32.0,,,36-24,,Technical foul by I. Mahinmi (drawn by A. Jefferson)
7:32.0,K. Walker misses technical free throw,,36-24,,
7:32.0,Offensive rebound by Team,,36-24,,
7:32.0,A. Jefferson makes free throw 1 of 2,1,37-24,,
7:32.0,A. Jefferson makes free throw 2 of 2,1,38-24,,
7:20.0,,,38-24,,Shooting foul by C. Zeller (drawn by R. Stuckey)
7:20.0,,,38-25,1,R. Stuckey makes free throw 1 of 2
7:20.0,M. Williams enters the game for C. Zeller,,38-25,,
7:20.0,,,38-25,,R. Stuckey misses free throw 2 of 2
7:20.0,Defensive rebound by G. Henderson,,38-25,,
7:05.0,M. Williams misses 3-pt shot from 23 ft,,38-25,,
7:03.0,,,38-25,,Defensive rebound by I. Mahinmi
6:57.0,Personal foul by M. Williams (drawn by L. Allen),,38-25,,
6:44.0,,,38-25,,S. Hill misses 2-pt shot from 16 ft
6:43.0,Defensive rebound by M. Williams,,38-25,,
6:35.0,Turnover by G. Henderson (lost ball),,38-25,,
6:20.0,,,38-25,,L. Allen misses 2-pt shot from 17 ft
6:19.0,Defensive rebound by M. Williams,,38-25,,
5:59.0,A. Jefferson misses 2-pt shot from 20 ft,,38-25,,
5:58.0,,,38-25,,Defensive rebound by R. Stuckey
5:51.0,,,38-25,,Indiana full timeout
5:51.0,J. Maxiell enters the game for M. Williams,,38-25,,
5:51.0,,,38-25,,R. Hibbert enters the game for I. Mahinmi
5:35.0,,,38-27,2,R. Hibbert makes 2-pt shot from 7 ft
5:17.0,L. Stephenson makes 2-pt shot from 1 ft (assist by A. Jefferson),2,40-27,,
4:56.0,,,40-27,,Turnover by S. Hill (bad pass)
4:56.0,,,40-27,,D. Rudez enters the game for R. Stuckey
4:42.0,A. Jefferson makes 2-pt shot from 7 ft,2,42-27,,
4:25.0,,,42-29,2,L. Allen makes 2-pt shot from 19 ft (assist by A. Price)
3:59.0,L. Stephenson misses 2-pt shot from 17 ft,,42-29,,
3:58.0,,,42-29,,Defensive rebound by R. Hibbert
3:48.0,,,42-31,2,A. Price makes 2-pt shot from 17 ft
3:26.0,A. Jefferson makes 2-pt shot from 13 ft (assist by G. Henderson),2,44-31,,
3:08.0,,,44-31,,Shooting foul by A. Jefferson (drawn by R. Hibbert)
3:08.0,,,44-31,,R. Hibbert misses free throw 1 of 2
3:08.0,,,44-31,,Offensive rebound by Team
3:08.0,,,44-31,,D. Sloan enters the game for A. Price
3:08.0,,,44-31,,L. Scola enters the game for L. Allen
3:08.0,B. Biyombo enters the game for A. Jefferson,,44-31,,
3:08.0,B. Roberts enters the game for G. Henderson,,44-31,,
3:08.0,,,44-32,1,R. Hibbert makes free throw 2 of 2
2:59.0,K. Walker misses 2-pt shot from 19 ft,,44-32,,
2:57.0,Offensive rebound by B. Biyombo,,44-32,,
2:57.0,B. Biyombo misses 2-pt shot from 1 ft,,44-32,,
2:55.0,,,44-32,,Defensive rebound by R. Hibbert
2:39.0,,,44-35,3,D. Rudez makes 3-pt shot from 26 ft (assist by R. Hibbert)
2:24.0,J. Maxiell makes 2-pt shot from 15 ft (assist by L. Stephenson),2,46-35,,
2:17.0,Personal foul by B. Biyombo (drawn by R. Hibbert),,46-35,,
2:17.0,Charlotte full timeout,,46-35,,
2:17.0,,,46-35,,R. Stuckey enters the game for D. Rudez
2:17.0,,,46-36,1,R. Hibbert makes free throw 1 of 2
2:17.0,,,46-37,1,R. Hibbert makes free throw 2 of 2
1:57.0,Turnover by L. Stephenson (back court),,46-37,,
1:41.0,,,46-37,,Turnover by S. Hill (bad pass; steal by B. Roberts)
1:34.0,B. Roberts misses 3-pt shot from 26 ft,,46-37,,
1:33.0,Offensive rebound by J. Maxiell,,46-37,,
1:21.0,J. Maxiell misses 2-pt shot from 18 ft,,46-37,,
1:21.0,Offensive rebound by Team,,46-37,,
1:21.0,,,46-37,,Personal foul by L. Scola (drawn by K. Walker)
1:10.0,J. Maxiell misses 2-pt shot from 19 ft,,46-37,,
1:08.0,Offensive rebound by B. Biyombo,,46-37,,
1:08.0,B. Biyombo misses 2-pt shot at rim,,46-37,,
1:07.0,,,46-37,,Defensive rebound by L. Scola
1:00.0,,,46-39,2,D. Sloan makes 2-pt shot from 1 ft
0:41.0,K. Walker makes 3-pt shot from 27 ft (assist by L. Stephenson),3,49-39,,
0:32.0,,,49-41,2,R. Stuckey makes 2-pt shot from 16 ft (assist by D. Sloan)
0:08.0,L. Stephenson misses 3-pt shot from 30 ft,,49-41,,
0:07.0,,,49-41,,Defensive rebound by R. Hibbert
0:01.0,,,49-41,,Shooting foul by K. Walker (drawn by D. Sloan)
0:01.0,,,49-42,1,D. Sloan makes free throw 1 of 2
0:01.0,,,49-43,1,D. Sloan makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,L. Stephenson makes 2-pt shot from 18 ft,2,51-43,,
11:20.0,,,51-45,2,R. Hibbert makes 2-pt shot from 19 ft (assist by D. Sloan)
11:04.0,A. Jefferson misses 2-pt shot from 7 ft,,51-45,,
11:03.0,,,51-45,,Defensive rebound by D. Sloan
10:57.0,,,51-45,,Shooting foul by G. Henderson (drawn by C. Copeland)
10:57.0,,,51-46,1,C. Copeland makes free throw 1 of 2
10:57.0,,,51-47,1,C. Copeland makes free throw 2 of 2
10:45.0,G. Henderson misses 3-pt shot from 23 ft,,51-47,,
10:44.0,,,51-47,,Defensive rebound by D. Sloan
10:38.0,,,51-47,,D. Sloan misses 2-pt shot from 3 ft
10:37.0,,,51-47,,Offensive rebound by L. Scola
10:32.0,,,51-47,,L. Scola misses 2-pt shot from 11 ft
