time,Utah,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Favors (D. Green gains possession),,,,Jump ball: A. Bogut vs. D. Favors (D. Green gains possession)
11:45.0,,,0-0,,K. Thompson misses 2-pt shot from 3 ft
11:43.0,Defensive rebound by D. Favors,,0-0,,
11:28.0,Turnover by E. Kanter (3 sec),,0-0,,
11:03.0,,,0-3,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
10:44.0,Turnover by T. Burke (bad pass),,0-3,,
10:39.0,,,0-3,,H. Barnes misses 2-pt shot from 5 ft (block by D. Favors)
10:39.0,,,0-3,,Offensive rebound by Team
10:35.0,,,0-3,,H. Barnes misses 3-pt shot from 23 ft
10:34.0,Defensive rebound by T. Burke,,0-3,,
10:13.0,D. Favors misses 2-pt shot from 7 ft (block by A. Bogut),,0-3,,
10:12.0,,,0-3,,Defensive rebound by A. Bogut
10:06.0,,,0-6,3,S. Curry makes 3-pt shot from 28 ft (assist by A. Bogut)
9:55.0,T. Burke misses 2-pt shot from 14 ft,,0-6,,
9:54.0,,,0-6,,Defensive rebound by D. Green
9:46.0,,,0-6,,K. Thompson misses 3-pt shot from 25 ft
9:45.0,,,0-6,,Offensive rebound by H. Barnes
9:40.0,,,0-6,,S. Curry misses 3-pt shot from 26 ft
9:39.0,Defensive rebound by G. Hayward,,0-6,,
9:20.0,G. Hayward misses 2-pt shot from 18 ft,,0-6,,
9:19.0,,,0-6,,Defensive rebound by S. Curry
9:15.0,,,0-8,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
9:15.0,Utah full timeout,,0-8,,
9:01.0,G. Hayward misses 2-pt shot from 18 ft (block by H. Barnes),,0-8,,
9:00.0,,,0-8,,Defensive rebound by D. Green
8:56.0,,,0-10,2,H. Barnes makes 2-pt shot at rim (assist by D. Green)
8:34.0,D. Favors misses 2-pt shot from 8 ft,,0-10,,
8:33.0,,,0-10,,Defensive rebound by S. Curry
8:28.0,,,0-10,,S. Curry misses 2-pt shot from 17 ft
8:26.0,Defensive rebound by G. Hayward,,0-10,,
8:21.0,Turnover by E. Kanter (lost ball),,0-10,,
8:07.0,,,0-12,2,H. Barnes makes 2-pt shot from 6 ft (assist by S. Curry)
7:53.0,E. Kanter makes 2-pt shot from 16 ft (assist by T. Burke),2,2-12,,
7:46.0,,,2-12,,D. Green misses 3-pt shot from 26 ft
7:44.0,Defensive rebound by Team,,2-12,,
7:34.0,D. Favors misses 2-pt shot from 3 ft,,2-12,,
7:33.0,,,2-12,,Defensive rebound by Team
7:31.0,,,2-12,,Turnover by S. Curry (bad pass; steal by D. Favors)
7:18.0,A. Burks misses 2-pt shot from 7 ft,,2-12,,
7:17.0,Offensive rebound by D. Favors,,2-12,,
7:17.0,D. Favors makes 2-pt shot at rim,2,4-12,,
6:59.0,,,4-14,2,K. Thompson makes 2-pt shot from 18 ft (assist by A. Bogut)
6:40.0,A. Burks misses 3-pt shot from 22 ft,,4-14,,
6:39.0,Offensive rebound by E. Kanter,,4-14,,
6:35.0,E. Kanter misses 2-pt shot from 1 ft,,4-14,,
6:34.0,,,4-14,,Defensive rebound by D. Green
6:14.0,,,4-14,,H. Barnes misses 2-pt shot from 22 ft
6:13.0,Defensive rebound by E. Kanter,,4-14,,
5:51.0,E. Kanter makes 2-pt shot from 7 ft,2,6-14,,
5:42.0,,,6-16,2,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry)
5:28.0,Turnover by G. Hayward (bad pass; steal by K. Thompson),,6-16,,
5:24.0,,,6-16,,Shooting foul by A. Burks (drawn by K. Thompson)
5:24.0,,,6-17,1,K. Thompson makes free throw 1 of 2
5:24.0,J. Ingles enters the game for G. Hayward,,6-17,,
5:24.0,,,6-17,,K. Thompson misses free throw 2 of 2
5:22.0,Defensive rebound by D. Favors,,6-17,,
5:06.0,T. Burke misses 2-pt shot from 10 ft,,6-17,,
5:05.0,,,6-17,,Defensive rebound by H. Barnes
4:59.0,,,6-19,2,S. Curry makes 2-pt shot from 1 ft
4:42.0,Shooting foul by H. Barnes (drawn by A. Burks),,6-19,,
4:42.0,A. Burks makes free throw 1 of 2,1,7-19,,
4:42.0,,,7-19,,A. Iguodala enters the game for H. Barnes
4:42.0,A. Burks makes free throw 2 of 2,1,8-19,,
4:38.0,,,8-19,,Golden State full timeout
4:38.0,T. Booker enters the game for E. Kanter,,8-19,,
4:32.0,,,8-19,,K. Thompson misses 3-pt shot from 28 ft
4:29.0,,,8-19,,Offensive rebound by Team
4:19.0,,,8-19,,D. Green misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by J. Ingles,,8-19,,
4:03.0,T. Burke misses 2-pt shot from 18 ft,,8-19,,
4:01.0,,,8-19,,Defensive rebound by D. Green
3:48.0,,,8-19,,A. Bogut misses 2-pt shot from 11 ft
3:47.0,,,8-19,,Offensive rebound by Team
3:47.0,,,8-19,,L. Barbosa enters the game for K. Thompson
3:34.0,,,8-19,,A. Bogut misses 2-pt shot from 15 ft
3:33.0,Defensive rebound by A. Burks,,8-19,,
3:15.0,T. Booker misses 2-pt shot from 2 ft,,8-19,,
3:14.0,,,8-19,,Defensive rebound by D. Green
3:09.0,,,8-19,,S. Curry misses 3-pt shot from 27 ft
3:08.0,,,8-19,,Offensive rebound by L. Barbosa
2:58.0,,,8-21,2,L. Barbosa makes 2-pt shot from 2 ft (assist by S. Curry)
2:38.0,J. Ingles misses 3-pt shot from 25 ft,,8-21,,
2:37.0,,,8-21,,Defensive rebound by D. Green
2:21.0,,,8-24,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
2:09.0,,,8-24,,Violation by A. Bogut (kicked ball)
2:09.0,,,8-24,,H. Barnes enters the game for D. Green
2:09.0,,,8-24,,M. Speights enters the game for A. Bogut
2:09.0,D. Exum enters the game for T. Burke,,8-24,,
2:09.0,R. Gobert enters the game for D. Favors,,8-24,,
1:56.0,A. Burks misses 2-pt shot from 3 ft,,8-24,,
1:55.0,Offensive rebound by R. Gobert,,8-24,,
1:53.0,R. Gobert misses 2-pt shot at rim (block by H. Barnes),,8-24,,
1:52.0,Offensive rebound by A. Burks,,8-24,,
1:52.0,A. Burks makes 2-pt shot from 1 ft,2,10-24,,
1:34.0,,,10-24,,S. Curry misses 2-pt shot from 20 ft
1:33.0,Defensive rebound by D. Exum,,10-24,,
1:17.0,Offensive charge foul by A. Burks,,10-24,,
1:17.0,Turnover by A. Burks (offensive foul),,10-24,,
1:17.0,,,10-24,,S. Livingston enters the game for S. Curry
1:17.0,I. Clark enters the game for A. Burks,,10-24,,
