time,Washington,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,,,0-0,,Violation by Team (delay of game)
12:00.0,Jump ball: M. Gortat vs. L. Sanders (N. Hilario gains possession),,,,Jump ball: M. Gortat vs. L. Sanders (N. Hilario gains possession)
11:39.0,Turnover by N. Hilario (lost ball; steal by G. Antetokounmpo),,0-0,,
11:33.0,,,0-0,,J. Parker misses 2-pt shot from 1 ft
11:31.0,,,0-0,,Offensive rebound by L. Sanders
11:31.0,,,0-0,,L. Sanders misses 2-pt shot at rim
11:30.0,Defensive rebound by P. Pierce,,0-0,,
11:09.0,,,0-0,,Personal foul by L. Sanders (drawn by M. Gortat)
11:00.0,N. Hilario misses 2-pt shot from 3 ft,,0-0,,
10:59.0,Offensive rebound by M. Gortat,,0-0,,
10:59.0,M. Gortat makes 2-pt shot at rim,2,2-0,,
10:46.0,,,2-2,2,B. Knight makes 2-pt shot from 17 ft
10:31.0,M. Gortat misses 2-pt shot from 1 ft,,2-2,,
10:29.0,,,2-2,,Defensive rebound by J. Parker
10:24.0,,,2-2,,B. Knight misses 2-pt shot from 2 ft (block by J. Wall)
10:22.0,Defensive rebound by J. Wall,,2-2,,
10:15.0,J. Wall misses 2-pt shot from 17 ft,,2-2,,
10:13.0,,,2-2,,Defensive rebound by B. Knight
10:09.0,,,2-2,,Offensive foul by G. Antetokounmpo
10:09.0,,,2-2,,Turnover by G. Antetokounmpo (offensive foul)
9:53.0,P. Pierce makes 2-pt shot from 14 ft,2,4-2,,
9:37.0,,,4-2,,L. Sanders misses 2-pt shot from 1 ft (block by M. Gortat)
9:37.0,,,4-2,,Offensive rebound by Team
9:30.0,,,4-4,2,L. Sanders makes 2-pt shot from 4 ft
9:22.0,Turnover by J. Wall (bad pass; steal by J. Parker),,4-4,,
9:18.0,,,4-6,2,L. Sanders makes 2-pt shot at rim (assist by G. Antetokounmpo)
8:58.0,P. Pierce misses 3-pt shot from 26 ft,,4-6,,
8:56.0,,,4-6,,Defensive rebound by J. Parker
8:48.0,,,4-6,,J. Parker misses 2-pt shot at rim
8:45.0,,,4-6,,Offensive rebound by J. Parker
8:35.0,Personal foul by J. Wall (drawn by B. Knight),,4-6,,
8:25.0,,,4-6,,J. Parker misses 2-pt shot from 7 ft
8:24.0,,,4-6,,Offensive rebound by Team
8:13.0,,,4-6,,G. Antetokounmpo misses 2-pt shot from 1 ft
8:12.0,,,4-6,,Offensive rebound by Team
8:12.0,,,4-6,,Offensive foul by B. Knight
8:12.0,,,4-6,,Turnover by B. Knight (offensive foul)
8:00.0,Turnover by J. Wall (bad pass; steal by J. Parker),,4-6,,
7:45.0,,,4-8,2,J. Parker makes 2-pt shot from 12 ft
7:33.0,Turnover by M. Gortat (lost ball; steal by L. Sanders),,4-8,,
7:29.0,,,4-8,,Turnover by K. Middleton (bad pass; steal by G. Temple)
7:21.0,M. Gortat misses 2-pt shot from 4 ft (block by L. Sanders),,4-8,,
7:21.0,Offensive rebound by Team,,4-8,,
7:20.0,Turnover by N. Hilario (bad pass; steal by G. Antetokounmpo),,4-8,,
7:15.0,,,4-10,2,G. Antetokounmpo makes 2-pt shot at rim
7:08.0,Washington full timeout,,4-10,,
6:57.0,P. Pierce misses 2-pt shot from 17 ft,,4-10,,
6:56.0,Offensive rebound by M. Gortat,,4-10,,
6:53.0,M. Gortat makes 2-pt shot from 3 ft,2,6-10,,
6:42.0,,,6-12,2,B. Knight makes 2-pt shot from 14 ft
6:27.0,Turnover by N. Hilario (lost ball; steal by B. Knight),,6-12,,
6:07.0,,,6-14,2,G. Antetokounmpo makes 2-pt shot at rim (assist by B. Knight)
5:53.0,N. Hilario makes 2-pt shot from 14 ft (assist by P. Pierce),2,8-14,,
