time,Portland,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. H. Sims (L. Aldridge gains possession),,,,Jump ball: R. Lopez vs. H. Sims (L. Aldridge gains possession)
11:48.0,N. Batum makes 2-pt shot from 1 ft (assist by D. Lillard),2,2-0,,
11:39.0,,,2-0,,Turnover by H. Sims (bad pass)
11:25.0,Turnover by N. Batum (bad pass; steal by T. Wroten),,2-0,,
11:19.0,,,2-0,,M. Carter-Williams misses 2-pt shot from 19 ft
11:16.0,,,2-0,,Offensive rebound by B. Davies
11:05.0,,,2-0,,H. Sims misses 2-pt shot from 17 ft
11:03.0,,,2-0,,Offensive rebound by B. Davies
10:50.0,,,2-0,,M. Carter-Williams misses 2-pt shot from 3 ft
10:48.0,Defensive rebound by L. Aldridge,,2-0,,
10:38.0,Turnover by N. Batum (bad pass; steal by L. Mbah a Moute),,2-0,,
10:32.0,,,2-2,2,L. Mbah a Moute makes 2-pt shot from 1 ft
10:05.0,Turnover by Team (shot clock),,2-2,,
9:51.0,,,2-2,,M. Carter-Williams misses 2-pt shot from 1 ft
9:49.0,Defensive rebound by R. Lopez,,2-2,,
9:39.0,,,2-2,,Personal foul by B. Davies (drawn by R. Lopez)
9:31.0,W. Matthews misses 3-pt shot from 24 ft,,2-2,,
9:29.0,Offensive rebound by R. Lopez,,2-2,,
9:17.0,R. Lopez misses 2-pt shot from 16 ft,,2-2,,
9:15.0,Offensive rebound by L. Aldridge,,2-2,,
9:03.0,L. Aldridge misses 2-pt shot from 7 ft,,2-2,,
9:01.0,,,2-2,,Defensive rebound by B. Davies
8:57.0,,,2-4,2,T. Wroten makes 2-pt shot from 1 ft (assist by B. Davies)
8:40.0,N. Batum misses 3-pt shot from 25 ft,,2-4,,
8:38.0,,,2-4,,Defensive rebound by B. Davies
8:23.0,,,2-4,,M. Carter-Williams misses 2-pt shot from 14 ft
8:20.0,Defensive rebound by N. Batum,,2-4,,
8:13.0,L. Aldridge makes 2-pt shot from 18 ft (assist by N. Batum),2,4-4,,
7:58.0,,,4-4,,T. Wroten misses 3-pt shot from 24 ft
7:56.0,Defensive rebound by D. Lillard,,4-4,,
7:49.0,Turnover by D. Lillard (lost ball; steal by M. Carter-Williams),,4-4,,
7:38.0,,,4-4,,T. Wroten misses 2-pt shot from 1 ft
7:37.0,Defensive rebound by R. Lopez,,4-4,,
7:30.0,W. Matthews misses 3-pt shot from 24 ft,,4-4,,
7:28.0,,,4-4,,Defensive rebound by L. Mbah a Moute
7:20.0,,,4-4,,M. Carter-Williams misses 2-pt shot from 1 ft
7:18.0,Defensive rebound by W. Matthews,,4-4,,
7:10.0,L. Aldridge misses 2-pt shot from 18 ft,,4-4,,
7:08.0,,,4-4,,Defensive rebound by L. Mbah a Moute
7:02.0,,,4-6,2,T. Wroten makes 2-pt shot at rim (assist by L. Mbah a Moute)
6:51.0,,,4-6,,Personal foul by M. Carter-Williams (drawn by D. Lillard)
6:51.0,,,4-6,,K. McDaniels enters the game for B. Davies
6:51.0,,,4-6,,N. Noel enters the game for M. Carter-Williams
6:43.0,Turnover by L. Aldridge (lost ball; steal by T. Wroten),,4-6,,
6:38.0,,,4-8,2,L. Mbah a Moute makes 2-pt shot at rim (assist by T. Wroten)
6:16.0,W. Matthews misses 3-pt shot from 25 ft,,4-8,,
6:14.0,Offensive rebound by R. Lopez,,4-8,,
6:13.0,R. Lopez makes 2-pt shot at rim,2,6-8,,
5:56.0,,,6-8,,Shooting foul by L. Aldridge (drawn by T. Wroten)
5:56.0,,,6-8,,Philadelphia full timeout
5:56.0,,,6-9,1,T. Wroten makes free throw 1 of 2
5:56.0,,,6-10,1,T. Wroten makes free throw 2 of 2
5:42.0,L. Aldridge misses 2-pt shot from 2 ft,,6-10,,
5:40.0,,,6-10,,Defensive rebound by H. Sims
5:32.0,,,6-10,,Turnover by T. Wroten (bad pass; steal by N. Batum)
5:21.0,W. Matthews makes 2-pt shot from 4 ft (assist by L. Aldridge),2,8-10,,
5:15.0,,,8-10,,Turnover by T. Wroten (bad pass)
5:15.0,,,8-10,,A. Shved enters the game for L. Mbah a Moute
5:07.0,,,8-10,,Personal foul by H. Sims (drawn by D. Lillard)
5:00.0,D. Lillard makes 2-pt shot from 16 ft (assist by R. Lopez),2,10-10,,
4:38.0,,,10-10,,H. Sims misses 2-pt shot from 4 ft
4:37.0,Defensive rebound by N. Batum,,10-10,,
4:33.0,Turnover by D. Lillard (bad pass),,10-10,,
4:33.0,C. Kaman enters the game for R. Lopez,,10-10,,
4:33.0,S. Blake enters the game for N. Batum,,10-10,,
4:33.0,,,10-10,,D. Gordon enters the game for H. Sims
4:11.0,,,10-10,,A. Shved misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by C. Kaman,,10-10,,
4:00.0,D. Lillard makes 2-pt shot at rim,2,12-10,,
3:54.0,,,12-12,2,D. Gordon makes 2-pt shot from 1 ft (assist by T. Wroten)
3:38.0,L. Aldridge makes 2-pt shot from 18 ft (assist by W. Matthews),2,14-12,,
3:15.0,,,14-12,,D. Gordon misses 2-pt shot from 15 ft
3:14.0,Defensive rebound by L. Aldridge,,14-12,,
3:11.0,,,14-12,,Personal foul by T. Wroten (drawn by S. Blake)
3:11.0,,,14-12,,H. Thompson enters the game for T. Wroten
3:11.0,Portland full timeout,,14-12,,
3:11.0,A. Crabbe enters the game for W. Matthews,,14-12,,
2:55.0,L. Aldridge makes 2-pt shot from 15 ft (assist by C. Kaman),2,16-12,,
2:42.0,Personal foul by D. Lillard (drawn by N. Noel),,16-12,,
2:42.0,W. Barton enters the game for D. Lillard,,16-12,,
2:34.0,,,16-14,2,A. Shved makes 2-pt shot from 10 ft
2:13.0,L. Aldridge misses 2-pt shot from 2 ft (block by N. Noel),,16-14,,
2:10.0,Offensive rebound by L. Aldridge,,16-14,,
2:09.0,L. Aldridge misses 2-pt shot from 2 ft,,16-14,,
2:07.0,Offensive rebound by L. Aldridge,,16-14,,
2:07.0,L. Aldridge makes 2-pt shot from 2 ft,2,18-14,,
1:54.0,,,18-16,2,A. Shved makes 2-pt shot from 2 ft (assist by K. McDaniels)
1:41.0,A. Crabbe makes 3-pt shot from 23 ft (assist by S. Blake),3,21-16,,
1:28.0,,,21-16,,Turnover by D. Gordon (step out of bounds)
1:17.0,Shooting foul by D. Gordon (drawn by C. Kaman),,21-16,,
1:17.0,C. Kaman misses free throw 1 of 2,,21-16,,
1:17.0,Offensive rebound by Team,,21-16,,
1:17.0,,,21-16,,M. Carter-Williams enters the game for K. McDaniels
1:17.0,C. Kaman makes free throw 2 of 2,1,22-16,,
1:06.0,,,22-18,2,N. Noel makes 2-pt shot from 15 ft (assist by A. Shved)
0:53.0,Turnover by W. Barton (bad pass; steal by A. Shved),,22-18,,
0:53.0,J. Freeland enters the game for L. Aldridge,,22-18,,
0:47.0,,,22-18,,H. Thompson misses 2-pt shot from 15 ft
0:45.0,Defensive rebound by W. Barton,,22-18,,
0:42.0,W. Barton makes 2-pt shot at rim (assist by A. Crabbe),2,24-18,,
0:38.0,Personal foul by W. Barton (drawn by M. Carter-Williams),,24-18,,
0:27.0,,,24-20,2,D. Gordon makes 2-pt shot from 8 ft (assist by A. Shved)
