time,Washington,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Varejao (K. Humphries gains possession),,,,Jump ball: M. Gortat vs. A. Varejao (K. Humphries gains possession)
11:46.0,P. Pierce makes 2-pt shot from 1 ft (assist by J. Wall),2,2-0,,
11:36.0,,,2-0,,Shooting foul by P. Pierce (drawn by L. James)
11:36.0,,,2-1,1,L. James makes free throw 1 of 2
11:36.0,,,2-2,1,L. James makes free throw 2 of 2
11:22.0,Turnover by K. Humphries (bad pass; steal by S. Marion),,2-2,,
11:16.0,,,2-2,,L. James misses 3-pt shot from 25 ft
11:14.0,,,2-2,,Offensive rebound by K. Love
10:59.0,,,2-2,,Shooting foul by K. Humphries (drawn by L. James)
10:59.0,,,2-3,1,L. James makes free throw 1 of 2
10:59.0,,,2-4,1,L. James makes free throw 2 of 2
10:45.0,M. Gortat makes 2-pt shot from 4 ft (assist by B. Beal),2,4-4,,
10:23.0,,,4-6,2,A. Varejao makes 2-pt shot from 17 ft (assist by L. James)
10:09.0,M. Gortat makes 2-pt shot from 4 ft (assist by P. Pierce),2,6-6,,
9:42.0,,,6-6,,L. James misses 3-pt shot from 23 ft
9:41.0,Defensive rebound by K. Humphries,,6-6,,
9:33.0,B. Beal misses 3-pt shot from 26 ft,,6-6,,
9:32.0,,,6-6,,Defensive rebound by A. Varejao
9:22.0,,,6-8,2,A. Varejao makes 2-pt shot at rim (assist by K. Irving)
8:58.0,K. Humphries misses 2-pt shot from 19 ft,,6-8,,
8:54.0,,,6-8,,Defensive rebound by K. Love
8:43.0,,,6-10,2,A. Varejao makes 2-pt shot from 1 ft (assist by L. James)
8:27.0,,,6-10,,Violation by K. Love (kicked ball)
8:19.0,J. Wall makes 3-pt shot from 23 ft (assist by M. Gortat),3,9-10,,
7:58.0,,,9-10,,K. Love misses 2-pt shot from 4 ft (block by K. Humphries)
7:58.0,,,9-10,,Offensive rebound by Team
7:55.0,,,9-10,,K. Love misses 3-pt shot from 26 ft
7:54.0,Defensive rebound by P. Pierce,,9-10,,
7:36.0,K. Humphries misses 2-pt shot from 17 ft,,9-10,,
7:34.0,Offensive rebound by P. Pierce,,9-10,,
7:31.0,Turnover by P. Pierce (lost ball; steal by K. Irving),,9-10,,
7:20.0,,,9-10,,K. Irving misses 2-pt shot from 14 ft
7:19.0,Defensive rebound by J. Wall,,9-10,,
7:00.0,,,9-10,,Personal foul by K. Irving (drawn by K. Humphries)
6:46.0,J. Wall misses 2-pt shot from 18 ft,,9-10,,
6:44.0,,,9-10,,Defensive rebound by L. James
6:29.0,,,9-12,2,A. Varejao makes 2-pt shot from 14 ft (assist by K. Irving)
6:04.0,Shooting foul by K. Love (drawn by K. Humphries),,9-12,,
6:04.0,K. Humphries misses free throw 1 of 2,,9-12,,
6:04.0,Offensive rebound by Team,,9-12,,
6:04.0,K. Humphries makes free throw 2 of 2,1,10-12,,
5:38.0,,,10-12,,L. James misses 2-pt shot from 18 ft
5:36.0,Defensive rebound by Team,,10-12,,
5:35.0,,,10-12,,Cleveland full timeout
5:35.0,Jump ball: M. Gortat vs. K. Love (K. Humphries gains possession),,,,Jump ball: M. Gortat vs. K. Love (K. Humphries gains possession)
5:27.0,Turnover by J. Wall (bad pass; steal by L. James),,10-12,,
5:21.0,,,10-12,,Shooting foul by B. Beal (drawn by L. James)
5:21.0,,,10-13,1,L. James makes free throw 1 of 2
5:21.0,,,10-13,,D. Waiters enters the game for S. Marion
5:21.0,,,10-14,1,L. James makes free throw 2 of 2
5:00.0,K. Humphries misses 2-pt shot from 18 ft,,10-14,,
4:59.0,,,10-14,,Defensive rebound by L. James
4:55.0,,,10-16,2,K. Love makes 2-pt shot at rim (assist by L. James)
4:33.0,B. Beal misses 3-pt shot from 25 ft,,10-16,,
4:32.0,,,10-16,,Defensive rebound by A. Varejao
4:20.0,,,10-19,3,K. Irving makes 3-pt shot from 23 ft (assist by D. Waiters)
4:15.0,Washington full timeout,,10-19,,
4:03.0,Turnover by J. Wall (bad pass; steal by D. Waiters),,10-19,,
3:55.0,,,10-21,2,D. Waiters makes 2-pt shot from 1 ft (assist by L. James)
3:41.0,O. Porter enters the game for P. Pierce,,10-21,,
3:41.0,,,10-21,,T. Thompson enters the game for K. Love
3:36.0,B. Beal misses 2-pt shot from 17 ft,,10-21,,
3:35.0,Offensive rebound by M. Gortat,,10-21,,
3:24.0,Offensive charge foul by B. Beal,,10-21,,
3:24.0,Turnover by B. Beal (offensive foul),,10-21,,
3:24.0,R. Butler enters the game for B. Beal,,10-21,,
3:15.0,,,10-21,,Turnover by L. James (lost ball; steal by R. Butler)
3:03.0,M. Gortat misses 2-pt shot from 7 ft,,10-21,,
3:01.0,,,10-21,,Defensive rebound by A. Varejao
2:56.0,,,10-23,2,L. James makes 2-pt shot from 1 ft
2:36.0,O. Porter misses 3-pt shot from 23 ft,,10-23,,
2:35.0,Offensive rebound by Team,,10-23,,
2:35.0,,,10-23,,Personal foul by K. Irving (drawn by K. Humphries)
2:35.0,D. Gooden enters the game for M. Gortat,,10-23,,
