time,LA Clippers,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. D. Jordan (K. Caldwell-Pope gains possession),,,,Jump ball: A. Drummond vs. D. Jordan (K. Caldwell-Pope gains possession)
11:38.0,,,0-0,,D. Augustin misses 3-pt shot from 23 ft
11:37.0,,,0-0,,Offensive rebound by A. Drummond
11:36.0,,,0-2,2,A. Drummond makes 2-pt shot at rim
11:16.0,Turnover by B. Griffin (bad pass),,0-2,,
10:58.0,,,0-2,,D. Augustin misses 3-pt shot from 22 ft
10:57.0,Defensive rebound by B. Griffin,,0-2,,
10:52.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,2-2,,
10:32.0,,,2-2,,A. Drummond misses 2-pt shot from 3 ft
10:31.0,Defensive rebound by D. Jordan,,2-2,,
10:25.0,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul),2,4-2,,
10:04.0,,,4-2,,G. Monroe misses 2-pt shot from 3 ft
10:03.0,Defensive rebound by R. Bullock,,4-2,,
9:45.0,R. Bullock misses 3-pt shot from 23 ft,,4-2,,
9:43.0,,,4-2,,Defensive rebound by G. Monroe
9:28.0,,,4-2,,K. Caldwell-Pope misses 2-pt shot from 5 ft
9:26.0,Defensive rebound by D. Jordan,,4-2,,
9:19.0,R. Bullock misses 3-pt shot from 25 ft,,4-2,,
9:18.0,,,4-2,,Defensive rebound by D. Augustin
9:10.0,Personal foul by R. Bullock (drawn by J. Smith),,4-2,,
8:58.0,,,4-2,,J. Smith misses 2-pt shot from 6 ft
8:56.0,Defensive rebound by D. Jordan,,4-2,,
8:45.0,R. Bullock makes 3-pt shot from 23 ft (assist by B. Griffin),3,7-2,,
8:27.0,,,7-2,,Turnover by G. Monroe (lost ball; steal by B. Griffin)
8:23.0,Shooting foul by K. Caldwell-Pope (drawn by R. Bullock),,7-2,,
8:23.0,R. Bullock makes free throw 1 of 2,1,8-2,,
8:23.0,R. Bullock makes free throw 2 of 2,1,9-2,,
8:13.0,,,9-2,,Shooting foul by R. Bullock (drawn by G. Monroe)
8:13.0,,,9-3,1,G. Monroe makes free throw 1 of 2
8:13.0,H. Turkoglu enters the game for R. Bullock,,9-3,,
8:13.0,,,9-3,,G. Monroe misses free throw 2 of 2
8:12.0,,,9-3,,Offensive rebound by A. Drummond
8:00.0,,,9-5,2,J. Smith makes 2-pt shot from 5 ft (assist by D. Augustin)
7:41.0,H. Turkoglu misses 3-pt shot from 22 ft,,9-5,,
7:40.0,,,9-5,,Defensive rebound by D. Augustin
7:33.0,,,9-5,,Shooting foul by H. Turkoglu (drawn by G. Monroe)
7:33.0,,,9-6,1,G. Monroe makes free throw 1 of 2
7:33.0,,,9-7,1,G. Monroe makes free throw 2 of 2
7:21.0,H. Turkoglu misses 3-pt shot from 25 ft,,9-7,,
7:20.0,,,9-7,,Defensive rebound by A. Drummond
7:00.0,,,9-10,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by J. Smith)
6:41.0,,,9-10,,Def 3 sec tech foul by A. Drummond
6:41.0,J. Redick makes technical free throw,1,10-10,,
6:39.0,Turnover by H. Turkoglu (bad pass; steal by A. Drummond),,10-10,,
6:34.0,,,10-12,2,A. Drummond makes 2-pt shot at rim
6:15.0,Turnover by J. Redick (bad pass; steal by J. Smith),,10-12,,
6:11.0,,,10-14,2,J. Smith makes 2-pt shot at rim
5:57.0,H. Turkoglu misses 3-pt shot from 24 ft,,10-14,,
5:57.0,,,10-14,,Defensive rebound by Team
5:57.0,,,10-14,,Detroit full timeout
5:45.0,,,10-14,,Shooting foul by H. Turkoglu (drawn by J. Smith)
5:45.0,,,10-15,1,J. Smith makes free throw 1 of 2
5:45.0,,,10-16,1,J. Smith makes free throw 2 of 2
5:29.0,H. Turkoglu makes 3-pt shot from 23 ft (assist by B. Griffin),3,13-16,,
5:09.0,,,13-18,2,D. Augustin makes 2-pt shot from 23 ft
4:53.0,B. Griffin misses 2-pt shot from 4 ft (block by J. Smith),,13-18,,
4:53.0,Offensive rebound by Team,,13-18,,
4:44.0,D. Jordan misses 2-pt shot from 3 ft (block by J. Smith),,13-18,,
4:42.0,,,13-18,,Defensive rebound by A. Drummond
4:31.0,,,13-18,,G. Monroe misses 2-pt shot at rim
4:30.0,,,13-18,,Offensive rebound by G. Monroe
4:29.0,,,13-18,,G. Monroe misses 2-pt shot at rim
4:28.0,Defensive rebound by J. Redick,,13-18,,
4:15.0,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin),3,16-18,,
4:09.0,,,16-18,,Detroit full timeout
4:09.0,J. Crawford enters the game for J. Redick,,16-18,,
4:09.0,,,16-18,,C. Butler enters the game for G. Monroe
3:54.0,,,16-18,,Shooting foul by B. Griffin (drawn by A. Drummond)
3:54.0,,,16-18,,A. Drummond misses free throw 1 of 2
3:54.0,,,16-18,,Offensive rebound by Team
3:54.0,,,16-18,,A. Drummond misses free throw 2 of 2
3:53.0,,,16-18,,Offensive rebound by C. Butler
3:43.0,,,16-18,,C. Butler misses 2-pt shot from 18 ft
3:42.0,,,16-18,,Offensive rebound by A. Drummond
3:41.0,,,16-18,,Shooting foul by D. Jordan (drawn by A. Drummond)
3:41.0,,,16-19,1,A. Drummond makes free throw 1 of 2
3:41.0,,,16-20,1,A. Drummond makes free throw 2 of 2
3:30.0,C. Paul misses 2-pt shot from 4 ft (block by A. Drummond),,16-20,,
3:28.0,Offensive rebound by B. Griffin,,16-20,,
3:20.0,H. Turkoglu makes 3-pt shot from 25 ft (assist by C. Paul),3,19-20,,
2:53.0,,,19-22,2,A. Drummond makes 2-pt shot at rim (assist by D. Augustin)
2:39.0,S. Hawes enters the game for D. Jordan,,19-22,,
2:36.0,J. Crawford makes 2-pt shot from 1 ft (assist by C. Paul),2,21-22,,
2:15.0,,,21-22,,Turnover by C. Butler (traveling)
2:01.0,C. Paul makes 2-pt shot at rim,2,23-22,,
1:49.0,,,23-22,,Turnover by A. Drummond (lost ball)
1:39.0,B. Griffin misses 2-pt shot from 20 ft,,23-22,,
1:38.0,,,23-22,,Defensive rebound by J. Smith
1:31.0,,,23-24,2,A. Drummond makes 2-pt shot from 1 ft (assist by J. Smith)
1:18.0,J. Crawford makes 2-pt shot from 20 ft (assist by B. Griffin),2,25-24,,
0:58.0,,,25-24,,Turnover by D. Augustin (lost ball)
0:58.0,J. Farmar enters the game for C. Paul,,25-24,,
0:50.0,Offensive foul by J. Crawford,,25-24,,
0:50.0,Turnover by J. Crawford (offensive foul),,25-24,,
0:50.0,G. Davis enters the game for B. Griffin,,25-24,,
0:35.0,,,25-24,,C. Butler misses 3-pt shot from 23 ft
0:34.0,Defensive rebound by S. Hawes,,25-24,,
0:26.0,J. Crawford misses 3-pt shot from 26 ft,,25-24,,
0:25.0,,,25-24,,Defensive rebound by A. Drummond
0:05.0,,,25-26,2,D. Augustin makes 2-pt shot from 4 ft
0:05.0,,,25-26,,Shooting foul by J. Farmar (drawn by D. Augustin)
0:05.0,,,25-27,1,D. Augustin makes free throw 1 of 1
0:01.0,J. Crawford misses 3-pt shot from 45 ft,,25-27,,
0:00.0,Offensive rebound by Team,,25-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,25-27,,Personal foul by K. Caldwell-Pope (drawn by J. Farmar)
11:51.0,,,25-27,,K. Singler enters the game for K. Caldwell-Pope
11:34.0,S. Hawes misses 2-pt shot from 17 ft,,25-27,,
11:33.0,,,25-27,,Defensive rebound by C. Butler
11:24.0,,,25-27,,Turnover by K. Singler (bad pass; steal by J. Farmar)
11:19.0,J. Farmar misses 2-pt shot from 1 ft,,25-27,,
11:19.0,,,25-27,,Defensive rebound by J. Jerebko
11:01.0,,,25-27,,Shooting foul by G. Davis (drawn by G. Monroe)
11:01.0,,,25-27,,G. Monroe misses free throw 1 of 2
