time,New York,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. S. Dalembert (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. S. Dalembert (R. Westbrook gains possession)
11:44.0,,,0-2,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
11:23.0,J. Smith misses 2-pt shot from 19 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by S. Adams
11:16.0,,,0-4,2,L. Thomas makes 2-pt shot from 14 ft (assist by R. Westbrook)
10:52.0,S. Dalembert makes 2-pt shot at rim (assist by J. Calderon),2,2-4,,
10:35.0,,,2-6,2,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook)
10:20.0,Shooting foul by S. Adams (drawn by S. Dalembert),,2-6,,
10:20.0,S. Dalembert makes 2-pt shot from 3 ft,2,4-6,,
10:20.0,S. Dalembert makes free throw 1 of 1,1,5-6,,
10:06.0,,,5-6,,S. Ibaka misses 3-pt shot from 23 ft
10:05.0,,,5-6,,Offensive rebound by Team
10:05.0,Loose ball foul by S. Dalembert (drawn by S. Adams),,5-6,,
9:58.0,,,5-8,2,R. Westbrook makes 2-pt shot at rim
9:52.0,I. Shumpert misses 3-pt shot from 24 ft,,5-8,,
9:48.0,,,5-8,,Defensive rebound by S. Adams
9:41.0,,,5-8,,L. Thomas misses 2-pt shot from 2 ft (block by S. Dalembert)
9:41.0,,,5-8,,Offensive rebound by S. Ibaka
9:41.0,,,5-8,,Shooting foul by Q. Acy (drawn by S. Ibaka)
9:41.0,,,5-9,1,S. Ibaka makes free throw 1 of 2
9:41.0,,,5-9,,S. Ibaka misses free throw 2 of 2
9:40.0,Defensive rebound by S. Dalembert,,5-9,,
9:31.0,,,5-9,,Personal foul by L. Thomas (drawn by Q. Acy)
9:16.0,Q. Acy misses 2-pt shot from 11 ft,,5-9,,
9:15.0,Offensive rebound by J. Smith,,5-9,,
9:11.0,J. Calderon misses 3-pt shot from 24 ft,,5-9,,
9:10.0,,,5-9,,Defensive rebound by S. Adams
9:03.0,,,5-9,,R. Westbrook misses 2-pt shot from 16 ft
9:02.0,Defensive rebound by S. Dalembert,,5-9,,
8:43.0,I. Shumpert misses 2-pt shot from 10 ft,,5-9,,
8:42.0,Offensive rebound by S. Dalembert,,5-9,,
8:42.0,S. Dalembert misses 2-pt shot from 3 ft,,5-9,,
8:41.0,,,5-9,,Defensive rebound by A. Roberson
8:35.0,,,5-11,2,R. Westbrook makes 2-pt shot at rim
8:27.0,New York full timeout,,5-11,,
8:17.0,J. Calderon misses 3-pt shot from 24 ft,,5-11,,
8:15.0,Offensive rebound by Team,,5-11,,
8:04.0,J. Smith misses 2-pt shot from 22 ft,,5-11,,
8:03.0,,,5-11,,Defensive rebound by S. Adams
7:52.0,,,5-11,,S. Ibaka misses 2-pt shot from 15 ft
7:51.0,Defensive rebound by J. Calderon,,5-11,,
7:36.0,S. Dalembert misses 2-pt shot from 15 ft,,5-11,,
7:35.0,,,5-11,,Defensive rebound by R. Westbrook
7:28.0,,,5-11,,Offensive foul by R. Westbrook
7:28.0,,,5-11,,Turnover by R. Westbrook (offensive foul)
