time,Golden State,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. A. Drummond (D. Green gains possession),,,,Jump ball: A. Bogut vs. A. Drummond (D. Green gains possession)
11:43.0,,,0-0,,Personal foul by K. Caldwell-Pope (drawn by K. Thompson)
11:34.0,D. Green misses 2-pt shot from 4 ft (block by A. Drummond),,0-0,,
11:33.0,,,0-0,,Defensive rebound by K. Caldwell-Pope
11:27.0,,,0-0,,J. Smith misses 2-pt shot from 3 ft
11:26.0,,,0-0,,Offensive rebound by J. Smith
11:24.0,,,0-2,2,J. Smith makes 2-pt shot at rim
11:19.0,Shooting foul by K. Singler (drawn by S. Curry),,0-2,,
11:19.0,S. Curry makes free throw 1 of 2,1,1-2,,
11:19.0,S. Curry misses free throw 2 of 2,,1-2,,
11:18.0,,,1-2,,Defensive rebound by A. Drummond
11:04.0,,,1-2,,K. Singler misses 2-pt shot from 6 ft
11:03.0,Defensive rebound by H. Barnes,,1-2,,
10:56.0,H. Barnes misses 2-pt shot from 7 ft,,1-2,,
10:55.0,,,1-2,,Defensive rebound by A. Drummond
10:48.0,,,1-2,,J. Smith misses 2-pt shot at rim
10:47.0,,,1-2,,Offensive rebound by J. Smith
10:47.0,,,1-2,,J. Smith misses 2-pt shot at rim
10:47.0,Defensive rebound by A. Bogut,,1-2,,
10:47.0,,,1-2,,Personal foul by A. Drummond (drawn by A. Bogut)
10:30.0,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry),2,3-2,,
10:15.0,,,3-4,2,K. Singler makes 2-pt shot from 1 ft (assist by A. Drummond)
10:15.0,,,3-4,,Shooting foul by H. Barnes (drawn by K. Singler)
10:15.0,,,3-5,1,K. Singler makes free throw 1 of 1
10:05.0,K. Thompson misses 2-pt shot at rim,,3-5,,
10:04.0,,,3-5,,Defensive rebound by K. Singler
9:48.0,,,3-7,2,J. Smith makes 2-pt shot at rim (assist by K. Singler)
9:31.0,A. Bogut misses 2-pt shot from 4 ft,,3-7,,
9:29.0,,,3-7,,Defensive rebound by B. Jennings
9:14.0,,,3-7,,A. Drummond misses 2-pt shot from 5 ft
9:11.0,Defensive rebound by D. Green,,3-7,,
9:06.0,S. Curry misses 3-pt shot from 26 ft,,3-7,,
9:05.0,,,3-7,,Defensive rebound by K. Singler
8:58.0,,,3-9,2,B. Jennings makes 2-pt shot from 15 ft (assist by K. Singler)
8:49.0,D. Green makes 3-pt shot from 26 ft (assist by S. Curry),3,6-9,,
8:25.0,,,6-9,,Shooting foul by S. Curry (drawn by B. Jennings)
8:25.0,,,6-10,1,B. Jennings makes free throw 1 of 2
8:25.0,,,6-11,1,B. Jennings makes free throw 2 of 2
8:13.0,Turnover by K. Thompson (bad pass; steal by K. Singler),,6-11,,
8:09.0,,,6-13,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by K. Singler)
7:56.0,K. Thompson makes 2-pt shot at rim,2,8-13,,
7:38.0,,,8-13,,J. Smith misses 2-pt shot from 5 ft
7:37.0,Defensive rebound by S. Curry,,8-13,,
7:27.0,S. Curry misses 2-pt shot from 3 ft (block by J. Smith),,8-13,,
7:25.0,,,8-13,,Defensive rebound by B. Jennings
7:20.0,,,8-13,,B. Jennings misses 2-pt shot from 3 ft (block by A. Bogut)
7:19.0,,,8-13,,Offensive rebound by K. Caldwell-Pope
7:15.0,,,8-13,,K. Caldwell-Pope misses 3-pt shot from 27 ft
7:14.0,Defensive rebound by H. Barnes,,8-13,,
7:04.0,S. Curry makes 2-pt shot at rim,2,10-13,,
6:48.0,,,10-13,,A. Drummond misses 2-pt shot at rim
6:46.0,Defensive rebound by A. Bogut,,10-13,,
6:41.0,A. Bogut misses 2-pt shot from 1 ft,,10-13,,
6:38.0,,,10-13,,Defensive rebound by A. Drummond
6:28.0,,,10-13,,B. Jennings misses 2-pt shot from 10 ft
6:28.0,Defensive rebound by Team,,10-13,,
6:28.0,,,10-13,,Violation by K. Singler (kicked ball)
6:28.0,,,10-13,,G. Monroe enters the game for A. Drummond
6:18.0,Turnover by D. Green (bad pass),,10-13,,
5:56.0,,,10-13,,G. Monroe misses 2-pt shot from 1 ft (block by A. Bogut)
5:54.0,Defensive rebound by S. Curry,,10-13,,
5:48.0,Turnover by H. Barnes (bad pass),,10-13,,
5:48.0,,,10-13,,Detroit full timeout
5:48.0,A. Iguodala enters the game for H. Barnes,,10-13,,
5:23.0,,,10-15,2,B. Jennings makes 2-pt shot from 15 ft
5:11.0,D. Green misses 3-pt shot from 24 ft,,10-15,,
5:10.0,,,10-15,,Defensive rebound by J. Smith
5:03.0,,,10-17,2,J. Smith makes 2-pt shot at rim (assist by B. Jennings)
4:48.0,A. Iguodala misses 3-pt shot from 27 ft,,10-17,,
4:47.0,Offensive rebound by D. Green,,10-17,,
4:41.0,K. Thompson misses 2-pt shot from 17 ft,,10-17,,
4:40.0,,,10-17,,Defensive rebound by K. Singler
4:30.0,Def 3 sec tech foul by D. Green,,10-17,,
4:30.0,L. Barbosa enters the game for K. Thompson,,10-17,,
4:30.0,,,10-18,1,B. Jennings makes technical free throw
4:15.0,,,10-18,,G. Monroe misses 2-pt shot from 3 ft
4:14.0,Defensive rebound by D. Green,,10-18,,
4:06.0,D. Green misses 2-pt shot from 1 ft,,10-18,,
4:05.0,Offensive rebound by A. Bogut,,10-18,,
4:04.0,A. Bogut makes 2-pt shot at rim,2,12-18,,
3:50.0,,,12-18,,B. Jennings misses 3-pt shot from 25 ft
3:49.0,Defensive rebound by D. Green,,12-18,,
3:40.0,S. Curry makes 2-pt shot from 1 ft,2,14-18,,
3:36.0,,,14-18,,Detroit full timeout
3:36.0,M. Speights enters the game for A. Bogut,,14-18,,
3:36.0,,,14-18,,A. Drummond enters the game for J. Smith
3:25.0,,,14-18,,Shooting foul by L. Barbosa (drawn by K. Caldwell-Pope)
3:25.0,,,14-19,1,K. Caldwell-Pope makes free throw 1 of 2
3:25.0,,,14-19,,C. Butler enters the game for K. Singler
3:25.0,,,14-20,1,K. Caldwell-Pope makes free throw 2 of 2
3:15.0,S. Curry misses 2-pt shot from 21 ft,,14-20,,
3:14.0,,,14-20,,Defensive rebound by A. Drummond
2:59.0,,,14-20,,G. Monroe misses 2-pt shot from 4 ft
2:57.0,Defensive rebound by M. Speights,,14-20,,
2:53.0,L. Barbosa makes 2-pt shot from 1 ft (assist by S. Curry),2,16-20,,
2:33.0,,,16-20,,K. Caldwell-Pope misses 2-pt shot from 3 ft (block by M. Speights)
2:32.0,Defensive rebound by M. Speights,,16-20,,
2:31.0,Turnover by M. Speights (bad pass; steal by C. Butler),,16-20,,
2:26.0,,,16-20,,B. Jennings misses 2-pt shot from 10 ft
2:25.0,,,16-20,,Offensive rebound by A. Drummond
2:24.0,,,16-20,,A. Drummond misses 2-pt shot from 1 ft (block by M. Speights)
2:24.0,,,16-20,,Offensive rebound by Team
2:17.0,,,16-20,,C. Butler misses 2-pt shot from 16 ft
2:11.0,Defensive rebound by A. Iguodala,,16-20,,
2:08.0,D. Green makes 2-pt shot at rim (assist by A. Iguodala),2,18-20,,
1:54.0,,,18-20,,Turnover by B. Jennings (bad pass; steal by D. Green)
1:50.0,L. Barbosa makes 2-pt shot at rim (assist by S. Curry),2,20-20,,
1:43.0,,,20-20,,Detroit full timeout
1:43.0,H. Barnes enters the game for D. Green,,20-20,,
1:31.0,,,20-22,2,K. Caldwell-Pope makes 2-pt shot from 22 ft (assist by B. Jennings)
1:15.0,M. Speights misses 2-pt shot from 20 ft,,20-22,,
1:13.0,,,20-22,,Defensive rebound by G. Monroe
1:08.0,Personal foul by M. Speights (drawn by B. Jennings),,20-22,,
0:51.0,,,20-22,,B. Jennings misses 2-pt shot from 5 ft
0:50.0,Defensive rebound by M. Speights,,20-22,,
0:45.0,Shooting foul by C. Butler (drawn by A. Iguodala),,20-22,,
0:45.0,A. Iguodala makes free throw 1 of 2,1,21-22,,
0:45.0,S. Livingston enters the game for S. Curry,,21-22,,
0:45.0,A. Iguodala misses free throw 2 of 2,,21-22,,
0:45.0,,,21-22,,Defensive rebound by C. Butler
0:28.0,,,21-22,,A. Drummond misses 2-pt shot from 3 ft
0:26.0,,,21-22,,Offensive rebound by A. Drummond
0:26.0,,,21-22,,Turnover by G. Monroe (offensive goaltending)
0:07.0,Turnover by A. Iguodala (lost ball; steal by K. Caldwell-Pope),,21-22,,
0:03.0,,,21-22,,Shooting foul by L. Barbosa (drawn by B. Jennings)
0:03.0,,,21-23,1,B. Jennings makes free throw 1 of 2
0:03.0,,,21-24,1,B. Jennings makes free throw 2 of 2
0:01.0,S. Livingston misses 3-pt shot from 47 ft,,21-24,,
0:00.0,Offensive rebound by Team,,21-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,21-24,,G. Monroe misses 2-pt shot from 1 ft
11:38.0,Defensive rebound by M. Speights,,21-24,,
11:22.0,M. Speights makes 2-pt shot at rim (assist by S. Livingston),2,23-24,,
10:57.0,,,23-24,,A. Drummond misses 2-pt shot at rim
10:56.0,Defensive rebound by A. Iguodala,,23-24,,
