time,Cleveland,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Stoudemire vs. A. Varejao (K. Love gains possession),,,,Jump ball: A. Stoudemire vs. A. Varejao (K. Love gains possession)
11:43.0,K. Love misses 2-pt shot from 13 ft (block by Q. Acy),,0-0,,
11:42.0,Offensive rebound by Team,,0-0,,
11:37.0,L. James misses 2-pt shot from 13 ft,,0-0,,
11:36.0,Offensive rebound by K. Love,,0-0,,
11:33.0,K. Love misses 2-pt shot from 4 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by A. Stoudemire
11:12.0,,,0-0,,C. Anthony misses 2-pt shot from 1 ft
11:11.0,,,0-0,,Offensive rebound by Team
11:08.0,,,0-0,,J. Calderon misses 2-pt shot from 15 ft
11:07.0,,,0-0,,Offensive rebound by Q. Acy
11:03.0,,,0-0,,A. Stoudemire misses 2-pt shot from 5 ft
11:02.0,,,0-0,,Offensive rebound by I. Shumpert
11:02.0,,,0-0,,I. Shumpert misses 2-pt shot at rim
11:00.0,,,0-0,,Offensive rebound by I. Shumpert
10:41.0,,,0-0,,A. Stoudemire misses 2-pt shot from 13 ft
10:40.0,,,0-0,,Offensive rebound by C. Anthony
10:38.0,,,0-0,,C. Anthony misses 3-pt shot from 26 ft
10:37.0,Defensive rebound by L. James,,0-0,,
10:32.0,S. Marion makes 2-pt shot from 7 ft (assist by L. James),2,2-0,,
10:18.0,,,2-2,2,A. Stoudemire makes 2-pt shot at rim
10:04.0,L. James makes 2-pt shot at rim (assist by S. Marion),2,4-2,,
9:46.0,,,4-2,,C. Anthony misses 2-pt shot from 20 ft
9:44.0,,,4-2,,Offensive rebound by C. Anthony
9:41.0,,,4-4,2,Q. Acy makes 2-pt shot from 5 ft (assist by C. Anthony)
9:41.0,,,4-4,,Shooting foul by A. Varejao (drawn by Q. Acy)
9:41.0,,,4-5,1,Q. Acy makes free throw 1 of 1
9:22.0,Turnover by L. James (bad pass),,4-5,,
8:59.0,,,4-7,2,A. Stoudemire makes 2-pt shot at rim (assist by J. Calderon)
8:40.0,K. Love makes 2-pt shot at rim (assist by A. Varejao),2,6-7,,
8:25.0,,,6-7,,Turnover by C. Anthony (lost ball)
8:15.0,A. Varejao makes 2-pt shot from 6 ft (assist by K. Love),2,8-7,,
8:00.0,,,8-7,,I. Shumpert misses 3-pt shot from 26 ft
7:59.0,Defensive rebound by A. Varejao,,8-7,,
7:49.0,K. Love makes 2-pt shot from 16 ft (assist by L. James),2,10-7,,
7:28.0,,,10-10,3,C. Anthony makes 3-pt shot from 22 ft (assist by A. Stoudemire)
7:23.0,,,10-10,,Personal foul by J. Calderon (drawn by L. James)
7:23.0,,,10-10,,S. Dalembert enters the game for A. Stoudemire
7:20.0,K. Love misses 2-pt shot from 19 ft,,10-10,,
7:19.0,,,10-10,,Defensive rebound by S. Dalembert
7:08.0,,,10-10,,J. Calderon misses 3-pt shot from 28 ft
7:07.0,,,10-10,,Offensive rebound by I. Shumpert
6:59.0,,,10-12,2,C. Anthony makes 2-pt shot at rim (assist by I. Shumpert)
6:38.0,K. Irving misses 3-pt shot from 25 ft,,10-12,,
6:37.0,Offensive rebound by S. Marion,,10-12,,
