time,Cleveland,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. A. Varejao (G. Vasquez gains possession),,,,Jump ball: J. Valanciunas vs. A. Varejao (G. Vasquez gains possession)
11:41.0,,,0-0,,J. Valanciunas misses 2-pt shot from 13 ft
11:40.0,Defensive rebound by A. Varejao,,0-0,,
11:30.0,A. Varejao makes 2-pt shot from 15 ft (assist by L. James),2,2-0,,
11:11.0,,,2-0,,T. Ross misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by K. Love,,2-0,,
10:54.0,L. James makes 2-pt shot from 5 ft (assist by S. Marion),2,4-0,,
10:36.0,,,4-2,2,J. Valanciunas makes 2-pt shot from 19 ft (assist by K. Lowry)
10:11.0,A. Varejao misses 2-pt shot from 10 ft,,4-2,,
10:10.0,Offensive rebound by K. Irving,,4-2,,
10:04.0,K. Love makes 3-pt shot from 23 ft (assist by K. Irving),3,7-2,,
9:45.0,,,7-2,,G. Vasquez misses 3-pt shot from 26 ft
9:44.0,Defensive rebound by K. Irving,,7-2,,
9:39.0,K. Irving misses 2-pt shot from 3 ft,,7-2,,
9:38.0,,,7-2,,Defensive rebound by T. Ross
9:21.0,,,7-4,2,A. Johnson makes 2-pt shot from 2 ft (assist by G. Vasquez)
9:15.0,Turnover by K. Love (bad pass; steal by K. Lowry),,7-4,,
9:09.0,,,7-6,2,G. Vasquez makes 2-pt shot from 7 ft (assist by K. Lowry)
8:49.0,A. Varejao makes 2-pt shot from 3 ft (assist by L. James),2,9-6,,
8:27.0,,,9-6,,T. Ross misses 2-pt shot from 5 ft
8:27.0,Defensive rebound by A. Varejao,,9-6,,
8:21.0,K. Irving makes 2-pt shot from 2 ft (assist by A. Varejao),2,11-6,,
8:05.0,,,11-6,,J. Valanciunas misses 2-pt shot from 7 ft
8:04.0,Defensive rebound by K. Love,,11-6,,
7:53.0,A. Varejao makes 2-pt shot from 1 ft (assist by L. James),2,13-6,,
7:47.0,,,13-6,,Toronto full timeout
7:36.0,,,13-8,2,K. Lowry makes 2-pt shot from 17 ft (assist by A. Johnson)
7:23.0,Shooting foul by J. Valanciunas (drawn by L. James),,13-8,,
7:23.0,L. James makes free throw 1 of 2,1,14-8,,
7:23.0,L. James misses free throw 2 of 2,,14-8,,
7:23.0,,,14-8,,Defensive rebound by T. Ross
7:07.0,,,14-8,,K. Lowry misses 2-pt shot from 8 ft
7:06.0,,,14-8,,Offensive rebound by A. Johnson
7:03.0,,,14-10,2,A. Johnson makes 2-pt shot at rim
6:54.0,,,14-10,,Shooting block foul by J. Valanciunas (drawn by A. Varejao)
6:54.0,A. Varejao misses free throw 1 of 2,,14-10,,
6:54.0,Offensive rebound by Team,,14-10,,
6:54.0,,,14-10,,P. Patterson enters the game for J. Valanciunas
6:54.0,A. Varejao makes free throw 2 of 2,1,15-10,,
6:39.0,,,15-10,,K. Lowry misses 2-pt shot from 4 ft
6:38.0,Defensive rebound by K. Love,,15-10,,
6:16.0,K. Love misses 2-pt shot from 12 ft,,15-10,,
6:15.0,,,15-10,,Defensive rebound by A. Johnson
6:03.0,Violation by A. Varejao (kicked ball),,15-10,,
6:03.0,T. Thompson enters the game for A. Varejao,,15-10,,
6:03.0,D. Waiters enters the game for K. Irving,,15-10,,
5:50.0,,,15-10,,Turnover by K. Lowry (bad pass; steal by L. James)
5:40.0,S. Marion makes 3-pt shot from 23 ft (assist by D. Waiters),3,18-10,,
5:22.0,,,18-10,,G. Vasquez misses 2-pt shot from 2 ft
5:21.0,Defensive rebound by T. Thompson,,18-10,,
5:16.0,Turnover by L. James (bad pass),,18-10,,
5:01.0,,,18-12,2,K. Lowry makes 2-pt shot from 2 ft
4:53.0,Turnover by S. Marion (bad pass; steal by A. Johnson),,18-12,,
4:49.0,,,18-12,,Shooting foul by D. Waiters (drawn by K. Lowry)
4:49.0,,,18-13,1,K. Lowry makes free throw 1 of 2
4:49.0,,,18-13,,L. Williams enters the game for G. Vasquez
4:49.0,,,18-13,,J. Johnson enters the game for T. Ross
4:49.0,,,18-13,,K. Lowry misses free throw 2 of 2
4:49.0,,,18-13,,Offensive rebound by Team
4:31.0,,,18-13,,K. Lowry misses 2-pt shot from 3 ft
4:30.0,Defensive rebound by K. Love,,18-13,,
4:23.0,D. Waiters misses 2-pt shot from 18 ft,,18-13,,
4:23.0,,,18-13,,Defensive rebound by L. Williams
4:10.0,,,18-13,,P. Patterson misses 3-pt shot from 26 ft
4:09.0,,,18-13,,Offensive rebound by Team
4:09.0,Loose ball foul by T. Thompson (drawn by A. Johnson),,18-13,,
4:03.0,Personal foul by S. Marion (drawn by L. Williams),,18-13,,
3:54.0,,,18-15,2,A. Johnson makes 2-pt shot from 7 ft (assist by K. Lowry)
3:30.0,L. James misses 2-pt shot from 20 ft,,18-15,,
3:29.0,,,18-15,,Defensive rebound by K. Lowry
3:19.0,,,18-15,,A. Johnson misses 2-pt shot from 3 ft
3:19.0,Defensive rebound by L. James,,18-15,,
3:14.0,Shooting foul by K. Lowry (drawn by L. James),,18-15,,
3:14.0,L. James makes free throw 1 of 2,1,19-15,,
3:14.0,J. Jones enters the game for S. Marion,,19-15,,
3:14.0,L. James makes free throw 2 of 2,1,20-15,,
3:02.0,,,20-15,,J. Johnson misses 2-pt shot from 2 ft
3:01.0,,,20-15,,Offensive rebound by A. Johnson
2:59.0,,,20-17,2,A. Johnson makes 2-pt shot from 1 ft
2:45.0,K. Love makes 3-pt shot from 23 ft (assist by L. James),3,23-17,,
2:28.0,,,23-17,,P. Patterson misses 3-pt shot from 23 ft
2:27.0,,,23-17,,Offensive rebound by P. Patterson
2:22.0,,,23-19,2,A. Johnson makes 2-pt shot from 4 ft (assist by K. Lowry)
2:01.0,,,23-19,,Personal foul by J. Johnson (drawn by T. Thompson)
2:01.0,Cleveland full timeout,,23-19,,
2:01.0,,,23-19,,G. Vasquez enters the game for K. Lowry
1:46.0,K. Love misses 2-pt shot from 7 ft,,23-19,,
1:45.0,Offensive rebound by T. Thompson,,23-19,,
1:42.0,T. Thompson makes 2-pt shot from 2 ft,2,25-19,,
1:25.0,,,25-21,2,A. Johnson makes 2-pt shot from 4 ft (assist by J. Johnson)
1:07.0,D. Waiters misses 3-pt shot from 23 ft,,25-21,,
1:06.0,,,25-21,,Defensive rebound by P. Patterson
0:51.0,,,25-21,,P. Patterson misses 3-pt shot from 26 ft
0:50.0,Defensive rebound by D. Waiters,,25-21,,
0:42.0,K. Love makes 3-pt shot from 23 ft (assist by D. Waiters),3,28-21,,
0:27.0,,,28-21,,J. Johnson misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by D. Waiters,,28-21,,
0:05.0,L. James misses 2-pt shot from 2 ft,,28-21,,
0:04.0,Offensive rebound by T. Thompson,,28-21,,
0:03.0,T. Thompson makes 2-pt shot at rim,2,30-21,,
0:00.0,,,30-21,,G. Vasquez misses 3-pt shot from 48 ft
0:00.0,,,30-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Turnover by A. Varejao (bad pass),,30-21,,
11:28.0,,,30-24,3,L. Williams makes 3-pt shot from 22 ft (assist by P. Patterson)
11:17.0,D. Waiters misses 2-pt shot from 6 ft,,30-24,,
11:16.0,Offensive rebound by T. Thompson,,30-24,,
11:15.0,T. Thompson misses 2-pt shot from 2 ft,,30-24,,
11:15.0,Offensive rebound by Team,,30-24,,
11:15.0,,,30-24,,T. Ross enters the game for J. Johnson
11:11.0,D. Waiters makes 2-pt shot from 2 ft (assist by A. Varejao),2,32-24,,
10:56.0,,,32-24,,Turnover by L. Williams (lost ball)
10:42.0,J. Jones makes 3-pt shot from 23 ft (assist by D. Waiters),3,35-24,,
10:23.0,,,35-24,,P. Patterson misses 3-pt shot from 22 ft
10:22.0,Defensive rebound by T. Thompson,,35-24,,
10:03.0,J. Jones makes 3-pt shot from 23 ft (assist by T. Thompson),3,38-24,,
9:56.0,,,38-24,,Toronto full timeout
9:56.0,,,38-24,,K. Lowry enters the game for G. Vasquez
9:50.0,,,38-26,2,K. Lowry makes 2-pt shot from 3 ft
9:50.0,Shooting block foul by J. Jones (drawn by K. Lowry),,38-26,,
9:50.0,,,38-27,1,K. Lowry makes free throw 1 of 1
9:30.0,D. Waiters misses 2-pt shot from 20 ft,,38-27,,
9:29.0,Offensive rebound by A. Varejao,,38-27,,
9:18.0,,,38-27,,Violation by P. Patterson (kicked ball)
9:09.0,K. Irving misses 2-pt shot from 10 ft,,38-27,,
9:08.0,,,38-27,,Defensive rebound by J. Valanciunas
8:51.0,,,38-27,,T. Ross misses 2-pt shot from 17 ft
8:50.0,,,38-27,,Offensive rebound by P. Patterson
8:43.0,,,38-27,,L. Williams misses 2-pt shot from 11 ft
8:43.0,,,38-27,,Offensive rebound by L. Williams
8:43.0,Personal foul by J. Jones (drawn by L. Williams),,38-27,,
8:43.0,,,38-27,,A. Johnson enters the game for P. Patterson
8:43.0,L. James enters the game for D. Waiters,,38-27,,
8:37.0,,,38-27,,Turnover by L. Williams (bad pass; steal by A. Varejao)
8:24.0,Shooting foul by L. Williams (drawn by J. Jones),,38-27,,
8:24.0,J. Jones makes free throw 1 of 3,1,39-27,,
8:24.0,J. Jones misses free throw 2 of 3,,39-27,,
8:24.0,Offensive rebound by Team,,39-27,,
8:24.0,,,39-27,,J. Johnson enters the game for L. Williams
8:24.0,J. Jones makes free throw 3 of 3,1,40-27,,
8:13.0,,,40-29,2,A. Johnson makes 2-pt shot from 3 ft (assist by K. Lowry)
7:52.0,L. James misses 2-pt shot from 19 ft,,40-29,,
7:51.0,,,40-29,,Defensive rebound by J. Johnson
7:43.0,,,40-29,,Turnover by K. Lowry (lost ball; steal by L. James)
7:38.0,A. Varejao makes 2-pt shot from 14 ft (assist by L. James),2,42-29,,
7:37.0,Loose ball foul by T. Thompson (drawn by A. Johnson),,42-29,,
7:37.0,K. Love enters the game for T. Thompson,,42-29,,
7:21.0,,,42-29,,T. Ross misses 3-pt shot from 25 ft
7:21.0,Defensive rebound by L. James,,42-29,,
7:14.0,Turnover by L. James (lost ball; steal by T. Ross),,42-29,,
7:10.0,,,42-29,,Shooting foul by A. Varejao (drawn by A. Johnson)
7:10.0,,,42-29,,A. Johnson misses free throw 1 of 2
7:10.0,,,42-29,,Offensive rebound by Team
7:10.0,D. Waiters enters the game for J. Jones,,42-29,,
7:10.0,,,42-30,1,A. Johnson makes free throw 2 of 2
6:58.0,Offensive foul by A. Varejao,,42-30,,
6:58.0,Turnover by A. Varejao (offensive foul),,42-30,,
6:46.0,,,42-30,,Turnover by A. Johnson (bad pass; steal by K. Irving)
6:39.0,K. Irving misses 2-pt shot from 1 ft (block by J. Valanciunas),,42-30,,
6:37.0,,,42-30,,Defensive rebound by T. Ross
6:16.0,,,42-33,3,T. Ross makes 3-pt shot from 24 ft (assist by K. Lowry)
6:00.0,K. Love misses 3-pt shot from 26 ft,,42-33,,
5:59.0,,,42-33,,Defensive rebound by J. Valanciunas
5:45.0,,,42-33,,J. Valanciunas misses 2-pt shot from 5 ft
5:44.0,,,42-33,,Offensive rebound by A. Johnson
5:43.0,,,42-33,,A. Johnson misses 2-pt shot from 1 ft
5:43.0,Defensive rebound by Team,,42-33,,
5:43.0,,,42-33,,Loose ball foul by J. Valanciunas (drawn by A. Varejao)
5:43.0,Official timeout,,42-33,,
5:43.0,,,42-33,,C. Hayes enters the game for J. Valanciunas
5:43.0,T. Thompson enters the game for A. Varejao,,42-33,,
5:31.0,Turnover by K. Love (lost ball; steal by J. Johnson),,42-33,,
5:12.0,,,42-33,,Turnover by T. Ross (lost ball; steal by D. Waiters)
4:54.0,K. Love misses 3-pt shot from 23 ft,,42-33,,
4:53.0,,,42-33,,Defensive rebound by J. Johnson
4:41.0,,,42-33,,K. Lowry misses 2-pt shot from 10 ft
4:40.0,,,42-33,,Offensive rebound by A. Johnson
4:39.0,,,42-35,2,A. Johnson makes 2-pt shot from 1 ft
4:20.0,Shooting foul by A. Johnson (drawn by T. Thompson),,42-35,,
4:20.0,T. Thompson misses free throw 1 of 2,,42-35,,
4:20.0,Offensive rebound by Team,,42-35,,
4:20.0,S. Marion enters the game for K. Irving,,42-35,,
4:20.0,,,42-35,,G. Vasquez enters the game for T. Ross
4:20.0,,,42-35,,P. Patterson enters the game for A. Johnson
4:20.0,T. Thompson misses free throw 2 of 2,,42-35,,
4:18.0,,,42-35,,Defensive rebound by P. Patterson
4:05.0,,,42-35,,G. Vasquez misses 2-pt shot from 5 ft
4:04.0,Defensive rebound by Team,,42-35,,
4:04.0,,,42-35,,Loose ball foul by C. Hayes (drawn by T. Thompson)
