time,Orlando,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. K. O'Quinn (E. Kanter gains possession),,,,Jump ball: D. Favors vs. K. O'Quinn (E. Kanter gains possession)
11:34.0,,,0-2,2,R. Hood makes 2-pt shot from 18 ft (assist by T. Burke)
11:13.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by T. Harris),2,2-2,,
10:58.0,,,2-4,2,E. Kanter makes 2-pt shot at rim (assist by T. Burke)
10:41.0,C. Frye misses 3-pt shot from 24 ft,,2-4,,
10:39.0,,,2-4,,Defensive rebound by D. Favors
10:22.0,,,2-4,,T. Burke misses 2-pt shot from 19 ft
10:20.0,Defensive rebound by E. Fournier,,2-4,,
10:16.0,,,2-4,,Personal foul by E. Kanter (drawn by C. Frye)
10:06.0,T. Harris misses 2-pt shot from 2 ft (block by D. Favors),,2-4,,
10:04.0,Offensive rebound by E. Fournier,,2-4,,
10:01.0,Turnover by K. O'Quinn (bad pass; steal by G. Hayward),,2-4,,
9:51.0,,,2-6,2,D. Favors makes 2-pt shot from 4 ft (assist by T. Burke)
9:32.0,K. O'Quinn makes 2-pt shot from 19 ft,2,4-6,,
9:06.0,,,4-6,,T. Burke misses 2-pt shot from 19 ft
9:06.0,,,4-6,,Offensive rebound by Team
9:06.0,,,4-6,,Turnover by Team (shot clock)
8:49.0,Shooting foul by R. Hood (drawn by E. Fournier),,4-6,,
8:49.0,E. Fournier makes free throw 1 of 2,1,5-6,,
8:49.0,E. Fournier misses free throw 2 of 2,,5-6,,
8:48.0,,,5-6,,Defensive rebound by D. Favors
8:35.0,,,5-6,,Turnover by E. Kanter (lost ball)
8:18.0,T. Harris makes 2-pt shot from 6 ft,2,7-6,,
7:59.0,,,7-6,,Turnover by D. Favors (traveling)
7:37.0,K. O'Quinn makes 2-pt shot from 7 ft,2,9-6,,
7:22.0,,,9-6,,D. Favors misses 2-pt shot from 2 ft
7:21.0,Defensive rebound by C. Frye,,9-6,,
7:12.0,T. Harris misses 2-pt shot from 5 ft,,9-6,,
7:09.0,,,9-6,,Defensive rebound by G. Hayward
7:05.0,,,9-6,,G. Hayward misses 2-pt shot from 11 ft
7:04.0,Defensive rebound by C. Frye,,9-6,,
6:48.0,Turnover by K. O'Quinn (bad pass),,9-6,,
6:32.0,,,9-6,,Shooting foul by K. O'Quinn (drawn by R. Hood)
6:32.0,,,9-7,1,R. Hood makes free throw 1 of 2
6:32.0,D. Dedmon enters the game for K. O'Quinn,,9-7,,
6:32.0,,,9-7,,R. Hood misses free throw 2 of 2
6:31.0,Defensive rebound by C. Frye,,9-7,,
6:14.0,Turnover by E. Fournier (bad pass),,9-7,,
6:14.0,,,9-7,,Utah full timeout
6:14.0,,,9-7,,J. Ingles enters the game for R. Hood
6:04.0,Personal foul by E. Fournier (drawn by G. Hayward),,9-7,,
5:57.0,,,9-9,2,G. Hayward makes 2-pt shot from 20 ft
5:44.0,D. Dedmon makes 2-pt shot at rim (assist by V. Oladipo),2,11-9,,
5:21.0,,,11-9,,T. Burke misses 2-pt shot from 5 ft
5:19.0,,,11-9,,Offensive rebound by E. Kanter
5:19.0,,,11-11,2,E. Kanter makes 2-pt shot from 1 ft
5:06.0,V. Oladipo makes 2-pt shot from 7 ft,2,13-11,,
