time,Orlando,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. K. O'Quinn (J. Teague gains possession),,,,Jump ball: A. Horford vs. K. O'Quinn (J. Teague gains possession)
11:46.0,,,0-0,,Turnover by D. Carroll (bad pass)
11:36.0,Turnover by K. O'Quinn (bad pass; steal by K. Korver),,0-0,,
11:26.0,,,0-2,2,A. Horford makes 2-pt shot from 16 ft (assist by J. Teague)
11:14.0,T. Harris misses 3-pt shot from 24 ft,,0-2,,
11:13.0,,,0-2,,Defensive rebound by J. Teague
11:00.0,,,0-2,,Turnover by J. Teague (bad pass; steal by V. Oladipo)
10:46.0,K. O'Quinn makes 2-pt shot from 12 ft,2,2-2,,
10:21.0,,,2-2,,J. Teague misses 3-pt shot from 24 ft
10:19.0,Defensive rebound by T. Harris,,2-2,,
10:10.0,E. Fournier makes 2-pt shot at rim (assist by T. Harris),2,4-2,,
9:56.0,Violation by C. Frye (kicked ball),,4-2,,
9:46.0,,,4-4,2,P. Millsap makes 2-pt shot from 1 ft (assist by K. Korver)
9:29.0,T. Harris misses 3-pt shot from 25 ft,,4-4,,
9:28.0,,,4-4,,Defensive rebound by A. Horford
9:08.0,,,4-6,2,A. Horford makes 2-pt shot from 17 ft (assist by D. Carroll)
8:54.0,V. Oladipo makes 3-pt shot from 23 ft (assist by T. Harris),3,7-6,,
8:40.0,,,7-8,2,P. Millsap makes 2-pt shot from 17 ft (assist by D. Carroll)
8:27.0,E. Fournier misses 3-pt shot from 24 ft,,7-8,,
8:26.0,,,7-8,,Defensive rebound by D. Carroll
8:04.0,,,7-10,2,A. Horford makes 2-pt shot from 1 ft (assist by D. Carroll)
7:50.0,C. Frye makes 3-pt shot from 24 ft (assist by V. Oladipo),3,10-10,,
7:26.0,,,10-13,3,J. Teague makes 3-pt shot from 25 ft (assist by A. Horford)
6:58.0,E. Fournier makes 2-pt shot from 3 ft,2,12-13,,
6:44.0,,,12-13,,Shooting foul by V. Oladipo (drawn by D. Carroll)
6:44.0,,,12-14,1,D. Carroll makes free throw 1 of 2
6:44.0,,,12-15,1,D. Carroll makes free throw 2 of 2
6:31.0,Shooting foul by D. Carroll (drawn by T. Harris),,12-15,,
6:31.0,T. Harris makes free throw 1 of 2,1,13-15,,
6:31.0,T. Harris makes free throw 2 of 2,1,14-15,,
6:21.0,,,14-17,2,A. Horford makes 2-pt shot from 6 ft (assist by J. Teague)
6:07.0,V. Oladipo makes 2-pt shot from 21 ft,2,16-17,,
5:59.0,,,16-17,,Atlanta full timeout
5:54.0,Violation by V. Oladipo (kicked ball),,16-17,,
5:42.0,,,16-17,,D. Carroll misses 2-pt shot from 17 ft
5:40.0,Defensive rebound by K. O'Quinn,,16-17,,
5:27.0,V. Oladipo makes 2-pt shot from 1 ft,2,18-17,,
5:14.0,,,18-19,2,D. Carroll makes 2-pt shot from 1 ft (assist by K. Korver)
4:54.0,Offensive charge foul by T. Harris,,18-19,,
4:54.0,Turnover by T. Harris (offensive foul),,18-19,,
4:54.0,D. Dedmon enters the game for K. O'Quinn,,18-19,,
4:54.0,,,18-19,,E. Brand enters the game for A. Horford
4:37.0,,,18-21,2,J. Teague makes 2-pt shot from 19 ft (assist by P. Millsap)
4:22.0,Turnover by C. Frye (bad pass),,18-21,,
4:22.0,,,18-21,,T. Sefolosha enters the game for D. Carroll
4:00.0,,,18-21,,P. Millsap misses 3-pt shot from 25 ft
3:58.0,Defensive rebound by E. Fournier,,18-21,,
3:51.0,Turnover by E. Fournier (bad pass; steal by E. Brand),,18-21,,
3:46.0,Personal foul by E. Fournier (drawn by J. Teague),,18-21,,
3:46.0,,,18-21,,S. Mack enters the game for K. Korver
3:46.0,B. Gordon enters the game for E. Fournier,,18-21,,
3:41.0,,,18-23,2,P. Millsap makes 2-pt shot from 2 ft (assist by T. Sefolosha)
3:26.0,C. Frye misses 3-pt shot from 25 ft,,18-23,,
3:25.0,,,18-23,,Defensive rebound by E. Brand
3:08.0,,,18-23,,T. Sefolosha misses 3-pt shot from 23 ft
3:06.0,Defensive rebound by C. Frye,,18-23,,
2:57.0,V. Oladipo makes 2-pt shot from 1 ft (assist by B. Gordon),2,20-23,,
2:41.0,Personal foul by V. Oladipo (drawn by J. Teague),,20-23,,
2:41.0,Orlando full timeout,,20-23,,
2:41.0,,,20-23,,D. Schroder enters the game for J. Teague
2:41.0,K. O'Quinn enters the game for C. Frye,,20-23,,
2:41.0,E. Payton enters the game for V. Oladipo,,20-23,,
2:30.0,,,20-23,,P. Millsap misses 2-pt shot from 19 ft
2:28.0,Defensive rebound by T. Harris,,20-23,,
2:20.0,B. Gordon makes 2-pt shot from 17 ft,2,22-23,,
2:08.0,,,22-23,,T. Sefolosha misses 3-pt shot from 24 ft
2:06.0,Defensive rebound by D. Dedmon,,22-23,,
1:56.0,Shooting foul by P. Millsap (drawn by K. O'Quinn),,22-23,,
1:56.0,K. O'Quinn misses free throw 1 of 2,,22-23,,
1:56.0,Offensive rebound by Team,,22-23,,
1:56.0,,,22-23,,A. Horford enters the game for P. Millsap
1:56.0,,,22-23,,M. Scott enters the game for E. Brand
1:56.0,W. Green enters the game for T. Harris,,22-23,,
1:56.0,K. O'Quinn makes free throw 2 of 2,1,23-23,,
1:37.0,,,23-23,,M. Scott misses 3-pt shot from 24 ft
1:35.0,Defensive rebound by W. Green,,23-23,,
1:20.0,B. Gordon makes 3-pt shot from 23 ft,3,26-23,,
1:03.0,,,26-25,2,D. Schroder makes 2-pt shot from 1 ft
0:40.0,B. Gordon misses 2-pt shot from 16 ft,,26-25,,
0:38.0,Offensive rebound by D. Dedmon,,26-25,,
0:37.0,Turnover by D. Dedmon (bad pass; steal by S. Mack),,26-25,,
0:34.0,,,26-25,,Shooting foul by E. Payton (drawn by M. Scott)
0:34.0,,,26-26,1,M. Scott makes free throw 1 of 2
0:34.0,,,26-27,1,M. Scott makes free throw 2 of 2
0:12.0,E. Payton misses 2-pt shot from 11 ft (block by A. Horford),,26-27,,
0:11.0,Offensive rebound by Team,,26-27,,
0:09.0,K. O'Quinn misses 2-pt shot from 16 ft,,26-27,,
0:08.0,,,26-27,,Defensive rebound by S. Mack
0:02.0,,,26-29,2,M. Scott makes 2-pt shot from 9 ft (assist by S. Mack)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Turnover by D. Dedmon (lost ball; steal by D. Schroder),,26-29,,
11:37.0,,,26-29,,Turnover by D. Schroder (lost ball)
11:37.0,Turnover by Team (5 sec inbounds),,26-29,,
11:33.0,,,26-29,,D. Schroder misses 2-pt shot from 17 ft
11:32.0,Defensive rebound by C. Frye,,26-29,,
11:23.0,W. Green misses 2-pt shot from 16 ft,,26-29,,
11:22.0,,,26-29,,Defensive rebound by D. Schroder
11:06.0,,,26-29,,T. Sefolosha misses 2-pt shot from 2 ft
11:04.0,Defensive rebound by W. Green,,26-29,,
10:59.0,W. Green misses 3-pt shot from 24 ft,,26-29,,
10:58.0,,,26-29,,Defensive rebound by S. Mack
10:42.0,,,26-29,,A. Horford misses 2-pt shot from 19 ft
10:41.0,Defensive rebound by C. Frye,,26-29,,
10:27.0,E. Payton makes 2-pt shot from 18 ft,2,28-29,,
10:07.0,,,28-29,,S. Mack misses 2-pt shot from 9 ft (block by D. Dedmon)
10:07.0,,,28-29,,Offensive rebound by Team
10:03.0,,,28-29,,D. Schroder misses 2-pt shot from 1 ft
10:01.0,Defensive rebound by C. Frye,,28-29,,
9:53.0,B. Gordon misses 2-pt shot from 19 ft,,28-29,,
9:51.0,,,28-29,,Defensive rebound by S. Mack
9:43.0,,,28-31,2,A. Horford makes 2-pt shot at rim (assist by S. Mack)
9:35.0,Orlando full timeout,,28-31,,
9:26.0,,,28-31,,Personal foul by D. Schroder (drawn by C. Frye)
9:17.0,W. Green misses 2-pt shot from 17 ft,,28-31,,
9:16.0,,,28-31,,Defensive rebound by M. Scott
9:01.0,Personal foul by W. Green (drawn by D. Schroder),,28-31,,
8:50.0,,,28-31,,S. Mack misses 3-pt shot from 25 ft
8:49.0,Defensive rebound by Team,,28-31,,
8:36.0,W. Green misses 2-pt shot from 15 ft,,28-31,,
8:34.0,Offensive rebound by D. Dedmon,,28-31,,
8:34.0,D. Dedmon misses 2-pt shot at rim,,28-31,,
8:34.0,Offensive rebound by Team,,28-31,,
8:34.0,,,28-31,,K. Korver enters the game for S. Mack
8:24.0,B. Gordon misses 2-pt shot from 21 ft,,28-31,,
8:21.0,,,28-31,,Defensive rebound by D. Schroder
8:09.0,,,28-31,,A. Horford misses 2-pt shot from 15 ft
8:07.0,,,28-31,,Offensive rebound by T. Sefolosha
8:05.0,,,28-33,2,T. Sefolosha makes 2-pt shot at rim
7:57.0,E. Payton misses 2-pt shot from 3 ft,,28-33,,
7:55.0,,,28-33,,Defensive rebound by A. Horford
7:42.0,,,28-33,,Turnover by A. Horford (lost ball; steal by D. Dedmon)
7:36.0,W. Green misses 2-pt shot from 2 ft,,28-33,,
7:34.0,Offensive rebound by W. Green,,28-33,,
7:30.0,Turnover by D. Dedmon (bad pass; steal by K. Korver),,28-33,,
7:14.0,,,28-33,,M. Scott misses 2-pt shot from 1 ft
7:14.0,,,28-33,,Offensive rebound by Team
7:14.0,E. Fournier enters the game for D. Dedmon,,28-33,,
7:14.0,V. Oladipo enters the game for B. Gordon,,28-33,,
7:14.0,T. Harris enters the game for W. Green,,28-33,,
7:07.0,,,28-33,,D. Schroder misses 3-pt shot from 24 ft
7:06.0,Defensive rebound by C. Frye,,28-33,,
6:52.0,V. Oladipo misses 2-pt shot from 22 ft,,28-33,,
6:51.0,Offensive rebound by E. Fournier,,28-33,,
6:44.0,,,28-33,,P. Millsap enters the game for M. Scott
6:44.0,,,28-33,,D. Carroll enters the game for T. Sefolosha
6:42.0,Shooting foul by A. Horford (drawn by C. Frye),,28-33,,
6:42.0,C. Frye makes free throw 1 of 3,1,29-33,,
6:42.0,C. Frye misses free throw 2 of 3,,29-33,,
6:42.0,Offensive rebound by Team,,29-33,,
6:42.0,C. Frye makes free throw 3 of 3,1,30-33,,
6:30.0,,,30-33,,D. Carroll misses 3-pt shot from 23 ft
6:28.0,Defensive rebound by T. Harris,,30-33,,
6:19.0,E. Fournier misses 2-pt shot from 14 ft,,30-33,,
6:18.0,,,30-33,,Defensive rebound by D. Schroder
6:06.0,,,30-35,2,A. Horford makes 2-pt shot at rim (assist by D. Schroder)
5:42.0,T. Harris misses 2-pt shot from 1 ft,,30-35,,
5:40.0,,,30-35,,Defensive rebound by A. Horford
5:27.0,,,30-35,,D. Schroder misses 2-pt shot from 19 ft
5:25.0,Defensive rebound by T. Harris,,30-35,,
5:15.0,E. Fournier makes 2-pt shot from 1 ft (assist by T. Harris),2,32-35,,
5:15.0,,,32-35,,Atlanta full timeout
5:15.0,,,32-35,,M. Scott enters the game for A. Horford
5:15.0,,,32-35,,J. Teague enters the game for D. Schroder
5:00.0,Personal foul by E. Fournier (drawn by P. Millsap),,32-35,,
4:52.0,,,32-35,,P. Millsap misses 2-pt shot from 4 ft
4:51.0,Defensive rebound by T. Harris,,32-35,,
4:48.0,Turnover by T. Harris (bad pass; steal by J. Teague),,32-35,,
4:37.0,,,32-35,,J. Teague misses 3-pt shot from 24 ft
4:36.0,Defensive rebound by C. Frye,,32-35,,
4:22.0,C. Frye misses 3-pt shot from 22 ft,,32-35,,
4:21.0,,,32-35,,Defensive rebound by K. Korver
4:09.0,,,32-35,,Shooting foul by C. Frye (drawn by P. Millsap)
4:09.0,,,32-35,,P. Millsap misses free throw 1 of 2
4:09.0,,,32-35,,Offensive rebound by Team
4:09.0,,,32-36,1,P. Millsap makes free throw 2 of 2
3:52.0,,,32-36,,Violation by M. Scott (kicked ball)
