time,Indiana,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. J. Valanciunas (C. Watson gains possession),,,,Jump ball: R. Hibbert vs. J. Valanciunas (C. Watson gains possession)
11:46.0,D. West makes 2-pt shot from 19 ft (assist by C. Watson),2,2-0,,
11:33.0,,,2-0,,Turnover by A. Johnson (bad pass; steal by C. Miles)
11:30.0,Shooting foul by A. Johnson (drawn by C. Miles),,2-0,,
11:30.0,C. Miles makes free throw 1 of 2,1,3-0,,
11:30.0,C. Miles makes free throw 2 of 2,1,4-0,,
11:14.0,,,4-0,,Turnover by T. Ross (traveling)
11:00.0,R. Hibbert misses 2-pt shot from 3 ft,,4-0,,
10:59.0,,,4-0,,Defensive rebound by J. Valanciunas
10:52.0,,,4-0,,K. Lowry misses 2-pt shot from 22 ft
10:51.0,Defensive rebound by R. Stuckey,,4-0,,
10:44.0,C. Miles misses 3-pt shot from 25 ft,,4-0,,
10:43.0,,,4-0,,Defensive rebound by T. Ross
10:19.0,,,4-0,,J. Valanciunas misses 2-pt shot from 3 ft
10:18.0,,,4-0,,Offensive rebound by J. Valanciunas
10:16.0,,,4-2,2,J. Valanciunas makes 2-pt shot from 2 ft
9:54.0,C. Watson misses 2-pt shot from 15 ft,,4-2,,
9:53.0,,,4-2,,Defensive rebound by J. Valanciunas
9:41.0,Personal foul by C. Watson (drawn by J. Valanciunas),,4-2,,
9:31.0,,,4-2,,T. Ross misses 3-pt shot from 26 ft
9:30.0,Defensive rebound by R. Stuckey,,4-2,,
9:24.0,,,4-2,,Personal foul by J. Valanciunas (drawn by R. Hibbert)
9:12.0,C. Miles misses 2-pt shot from 16 ft,,4-2,,
9:11.0,,,4-2,,Defensive rebound by J. Valanciunas
8:53.0,,,4-2,,L. Fields misses 2-pt shot from 7 ft
8:52.0,,,4-2,,Offensive rebound by L. Fields
8:49.0,,,4-4,2,L. Fields makes 2-pt shot from 1 ft
8:39.0,,,4-4,,Personal foul by K. Lowry (drawn by C. Watson)
8:30.0,R. Hibbert misses 2-pt shot from 20 ft,,4-4,,
8:29.0,,,4-4,,Defensive rebound by T. Ross
8:21.0,,,4-6,2,T. Ross makes 2-pt shot from 11 ft
7:57.0,D. West misses 2-pt shot from 18 ft,,4-6,,
7:55.0,,,4-6,,Defensive rebound by T. Ross
7:47.0,,,4-8,2,L. Fields makes 2-pt shot from 6 ft (assist by T. Ross)
7:27.0,Turnover by C. Watson (bad pass),,4-8,,
7:21.0,Personal foul by R. Stuckey (drawn by K. Lowry),,4-8,,
7:13.0,,,4-8,,Shooting foul by R. Stuckey (drawn by L. Fields)
7:13.0,,,4-9,1,L. Fields makes free throw 1 of 2
7:13.0,S. Hill enters the game for R. Stuckey,,4-9,,
7:13.0,,,4-10,1,L. Fields makes free throw 2 of 2
6:58.0,D. West misses 2-pt shot from 10 ft,,4-10,,
6:57.0,,,4-10,,Defensive rebound by T. Ross
6:47.0,,,4-10,,J. Valanciunas misses 2-pt shot from 3 ft (block by R. Hibbert)
6:46.0,,,4-10,,Offensive rebound by J. Valanciunas
6:45.0,,,4-10,,Shooting foul by C. Miles (drawn by J. Valanciunas)
6:45.0,,,4-11,1,J. Valanciunas makes free throw 1 of 2
6:45.0,,,4-12,1,J. Valanciunas makes free throw 2 of 2
6:42.0,Indiana full timeout,,4-12,,
6:35.0,C. Miles misses 2-pt shot from 19 ft,,4-12,,
6:34.0,Offensive rebound by D. West,,4-12,,
6:25.0,C. Watson makes 3-pt shot from 25 ft (assist by D. West),3,7-12,,
6:05.0,,,7-12,,T. Ross misses 3-pt shot from 24 ft
6:04.0,Defensive rebound by C. Watson,,7-12,,
5:59.0,C. Watson makes 2-pt shot from 2 ft,2,9-12,,
5:40.0,,,9-15,3,K. Lowry makes 3-pt shot from 26 ft (assist by L. Fields)
5:16.0,C. Miles makes 3-pt shot from 23 ft (assist by D. West),3,12-15,,
5:02.0,,,12-15,,Shooting foul by S. Hill (drawn by T. Ross)
