time,Boston,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. T. Zeller (R. Rondo gains possession),,,,Jump ball: N. Noel vs. T. Zeller (R. Rondo gains possession)
11:41.0,J. Sullinger misses 3-pt shot from 25 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by H. Thompson
11:24.0,Personal foul by T. Zeller (drawn by L. Mbah a Moute),,0-0,,
11:17.0,,,0-0,,Shooting foul by T. Zeller (drawn by L. Mbah a Moute)
11:17.0,,,0-0,,L. Mbah a Moute misses free throw 1 of 2
11:17.0,,,0-0,,Offensive rebound by Team
11:17.0,,,0-1,1,L. Mbah a Moute makes free throw 2 of 2
11:00.0,J. Green misses 3-pt shot from 24 ft,,0-1,,
10:58.0,,,0-1,,Defensive rebound by L. Mbah a Moute
10:52.0,,,0-1,,H. Thompson misses 2-pt shot from 21 ft
10:49.0,,,0-1,,Offensive rebound by R. Covington
10:48.0,,,0-1,,R. Covington misses 2-pt shot from 5 ft
10:46.0,Defensive rebound by T. Zeller,,0-1,,
10:35.0,A. Bradley misses 2-pt shot from 13 ft,,0-1,,
10:33.0,Offensive rebound by R. Rondo,,0-1,,
10:30.0,R. Rondo misses 2-pt shot from 3 ft,,0-1,,
10:28.0,,,0-1,,Defensive rebound by R. Covington
10:21.0,,,0-1,,R. Covington misses 3-pt shot from 24 ft
10:19.0,,,0-1,,Offensive rebound by N. Noel
10:15.0,,,0-4,3,R. Covington makes 3-pt shot from 25 ft (assist by N. Noel)
10:05.0,J. Green misses 2-pt shot from 5 ft,,0-4,,
10:02.0,,,0-4,,Defensive rebound by H. Thompson
9:54.0,,,0-4,,L. Mbah a Moute misses 2-pt shot from 3 ft
9:52.0,Defensive rebound by R. Rondo,,0-4,,
9:33.0,T. Zeller misses 2-pt shot from 4 ft,,0-4,,
9:32.0,Offensive rebound by J. Sullinger,,0-4,,
9:32.0,J. Sullinger misses 2-pt shot from 1 ft (block by R. Covington),,0-4,,
9:32.0,Offensive rebound by Team,,0-4,,
9:32.0,K. Olynyk enters the game for T. Zeller,,0-4,,
9:32.0,Jump ball: R. Covington vs. J. Sullinger (R. Rondo gains possession),,,,Jump ball: R. Covington vs. J. Sullinger (R. Rondo gains possession)
9:25.0,A. Bradley misses 3-pt shot from 25 ft,,0-4,,
9:23.0,,,0-4,,Defensive rebound by M. Carter-Williams
9:14.0,,,0-4,,L. Mbah a Moute misses 3-pt shot from 22 ft
9:12.0,Defensive rebound by R. Rondo,,0-4,,
9:06.0,K. Olynyk misses 2-pt shot from 6 ft,,0-4,,
9:04.0,,,0-4,,Defensive rebound by R. Covington
8:50.0,,,0-7,3,R. Covington makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
8:44.0,Turnover by J. Sullinger (bad pass; steal by R. Covington),,0-7,,
8:37.0,,,0-7,,Turnover by M. Carter-Williams (lost ball; steal by R. Rondo)
8:33.0,J. Green makes 2-pt shot from 1 ft (assist by R. Rondo),2,2-7,,
8:12.0,,,2-7,,N. Noel misses 2-pt shot from 2 ft
8:11.0,,,2-7,,Offensive rebound by N. Noel
8:11.0,,,2-9,2,N. Noel makes 2-pt shot from 2 ft
7:51.0,A. Bradley misses 3-pt shot from 24 ft,,2-9,,
7:50.0,,,2-9,,Defensive rebound by M. Carter-Williams
7:43.0,,,2-11,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by N. Noel)
7:42.0,Boston full timeout,,2-11,,
7:27.0,Shooting foul by H. Thompson (drawn by A. Bradley),,2-11,,
7:27.0,A. Bradley makes free throw 1 of 2,1,3-11,,
7:27.0,A. Bradley makes free throw 2 of 2,1,4-11,,
7:19.0,,,4-11,,Offensive charge foul by R. Covington
7:19.0,,,4-11,,Turnover by R. Covington (offensive foul)
7:03.0,J. Sullinger misses 2-pt shot from 11 ft,,4-11,,
7:01.0,Offensive rebound by Team,,4-11,,
6:59.0,,,4-11,,Loose ball foul by N. Noel (drawn by K. Olynyk)
6:46.0,Shooting foul by L. Mbah a Moute (drawn by K. Olynyk),,4-11,,
6:46.0,K. Olynyk makes 2-pt shot from 2 ft (assist by A. Bradley),2,6-11,,
6:46.0,K. Olynyk makes free throw 1 of 1,1,7-11,,
