time,San Antonio,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. T. Chandler (C. Parsons gains possession),,,,Jump ball: A. Baynes vs. T. Chandler (C. Parsons gains possession)
11:47.0,,,0-0,,D. Nowitzki misses 2-pt shot from 14 ft
11:46.0,,,0-0,,Offensive rebound by T. Chandler
11:36.0,,,0-0,,M. Ellis misses 2-pt shot from 17 ft
11:35.0,Defensive rebound by K. Anderson,,0-0,,
11:13.0,M. Belinelli makes 2-pt shot from 21 ft,2,2-0,,
10:57.0,,,2-0,,C. Parsons misses 3-pt shot from 26 ft
10:56.0,Defensive rebound by K. Anderson,,2-0,,
10:46.0,M. Belinelli makes 2-pt shot from 2 ft (assist by A. Baynes),2,4-0,,
10:26.0,,,4-3,3,M. Ellis makes 3-pt shot from 23 ft (assist by C. Parsons)
10:03.0,C. Joseph makes 2-pt shot from 15 ft (assist by B. Diaw),2,6-3,,
9:48.0,,,6-3,,D. Nowitzki misses 2-pt shot from 20 ft
9:47.0,Defensive rebound by K. Anderson,,6-3,,
9:39.0,K. Anderson misses 2-pt shot from 7 ft,,6-3,,
9:36.0,,,6-3,,Defensive rebound by T. Chandler
9:30.0,,,6-3,,Turnover by R. Rondo (bad pass; steal by K. Anderson)
9:17.0,,,6-3,,Personal foul by R. Rondo (drawn by B. Diaw)
9:12.0,C. Joseph misses 2-pt shot from 20 ft,,6-3,,
9:09.0,,,6-3,,Defensive rebound by T. Chandler
9:02.0,,,6-5,2,C. Parsons makes 2-pt shot from 2 ft
8:46.0,K. Anderson makes 3-pt shot from 23 ft (assist by B. Diaw),3,9-5,,
8:32.0,,,9-5,,Turnover by R. Rondo (bad pass; steal by C. Joseph)
8:27.0,C. Joseph makes 2-pt shot at rim,2,11-5,,
8:10.0,,,11-5,,D. Nowitzki misses 3-pt shot from 25 ft
8:09.0,Defensive rebound by K. Anderson,,11-5,,
7:52.0,B. Diaw misses 2-pt shot from 7 ft,,11-5,,
7:50.0,,,11-5,,Defensive rebound by D. Nowitzki
7:39.0,,,11-5,,R. Rondo misses 2-pt shot from 21 ft
7:38.0,,,11-5,,Offensive rebound by D. Nowitzki
7:37.0,,,11-5,,Shooting foul by K. Anderson (drawn by D. Nowitzki)
7:37.0,,,11-6,1,D. Nowitzki makes free throw 1 of 2
7:37.0,,,11-6,,G. Smith enters the game for T. Chandler
7:37.0,,,11-7,1,D. Nowitzki makes free throw 2 of 2
7:19.0,M. Belinelli misses 2-pt shot from 17 ft,,11-7,,
7:18.0,,,11-7,,Defensive rebound by R. Rondo
7:11.0,,,11-7,,Shooting foul by K. Anderson (drawn by G. Smith)
7:11.0,,,11-8,1,G. Smith makes free throw 1 of 2
7:11.0,A. Daye enters the game for K. Anderson,,11-8,,
7:11.0,,,11-8,,G. Smith misses free throw 2 of 2
7:09.0,Defensive rebound by B. Diaw,,11-8,,
6:53.0,A. Baynes makes 2-pt shot from 5 ft,2,13-8,,
6:43.0,,,13-8,,C. Parsons misses 3-pt shot from 23 ft
6:42.0,Defensive rebound by C. Joseph,,13-8,,
6:26.0,B. Diaw misses 3-pt shot from 25 ft,,13-8,,
6:25.0,,,13-8,,Defensive rebound by R. Rondo
6:17.0,,,13-10,2,M. Ellis makes 2-pt shot from 1 ft
6:17.0,San Antonio full timeout,,13-10,,
6:17.0,,,13-10,,T. Chandler enters the game for D. Nowitzki
6:17.0,,,13-10,,R. Jefferson enters the game for G. Smith
6:02.0,A. Baynes misses 2-pt shot from 14 ft,,13-10,,
6:02.0,,,13-10,,Defensive rebound by R. Jefferson
5:36.0,,,13-13,3,M. Ellis makes 3-pt shot from 23 ft (assist by R. Rondo)
5:14.0,A. Baynes makes 2-pt shot from 14 ft (assist by M. Belinelli),2,15-13,,
4:52.0,,,15-13,,R. Rondo misses 2-pt shot from 3 ft (block by B. Diaw)
4:50.0,Defensive rebound by A. Baynes,,15-13,,
4:41.0,A. Baynes misses 2-pt shot from 19 ft,,15-13,,
4:41.0,,,15-13,,Defensive rebound by C. Parsons
4:26.0,,,15-15,2,R. Jefferson makes 2-pt shot from 1 ft (assist by R. Rondo)
4:11.0,Offensive charge foul by B. Diaw,,15-15,,
4:11.0,Turnover by B. Diaw (offensive foul),,15-15,,
4:11.0,,,15-15,,D. Harris enters the game for R. Rondo
4:11.0,J. Ayres enters the game for A. Baynes,,15-15,,
3:59.0,Personal foul by J. Ayres (drawn by T. Chandler),,15-15,,
3:54.0,,,15-17,2,M. Ellis makes 2-pt shot from 21 ft
3:27.0,C. Joseph misses 2-pt shot from 12 ft,,15-17,,
3:26.0,,,15-17,,Defensive rebound by C. Parsons
3:13.0,,,15-19,2,M. Ellis makes 2-pt shot at rim
3:05.0,C. Joseph misses 2-pt shot from 1 ft (block by T. Chandler),,15-19,,
3:02.0,,,15-19,,Defensive rebound by T. Chandler
