time,Phoenix,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hill vs. A. Len (E. Bledsoe gains possession),,,,Jump ball: J. Hill vs. A. Len (E. Bledsoe gains possession)
11:41.0,M. Morris misses 2-pt shot from 17 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by K. Bryant
11:26.0,,,0-0,,Turnover by J. Hill (bad pass; steal by P. Tucker)
11:18.0,A. Len makes 2-pt shot from 4 ft,2,2-0,,
10:56.0,,,2-3,3,R. Price makes 3-pt shot from 25 ft (assist by E. Davis)
10:41.0,E. Bledsoe misses 3-pt shot from 26 ft,,2-3,,
10:40.0,Offensive rebound by A. Len,,2-3,,
10:32.0,Turnover by G. Dragic (bad pass; steal by J. Hill),,2-3,,
10:13.0,,,2-3,,J. Hill misses 2-pt shot from 8 ft
10:10.0,Defensive rebound by A. Len,,2-3,,
10:05.0,Shooting foul by K. Bryant (drawn by M. Morris),,2-3,,
10:05.0,M. Morris misses free throw 1 of 2,,2-3,,
10:05.0,Offensive rebound by Team,,2-3,,
10:05.0,M. Morris makes free throw 2 of 2,1,3-3,,
9:55.0,,,3-5,2,J. Hill makes 2-pt shot from 5 ft (assist by W. Johnson)
9:44.0,G. Dragic misses 3-pt shot from 25 ft,,3-5,,
9:43.0,,,3-5,,Defensive rebound by E. Davis
9:33.0,,,3-7,2,J. Hill makes 2-pt shot from 2 ft (assist by R. Price)
9:22.0,E. Bledsoe misses 2-pt shot from 1 ft (block by E. Davis),,3-7,,
9:20.0,Offensive rebound by E. Bledsoe,,3-7,,
9:13.0,A. Len makes 2-pt shot from 1 ft,2,5-7,,
8:57.0,,,5-9,2,R. Price makes 2-pt shot from 1 ft (assist by K. Bryant)
8:49.0,G. Dragic misses 2-pt shot from 1 ft,,5-9,,
8:48.0,,,5-9,,Defensive rebound by K. Bryant
8:41.0,,,5-9,,J. Hill misses 2-pt shot from 19 ft
8:40.0,Defensive rebound by E. Bledsoe,,5-9,,
8:34.0,E. Bledsoe misses 2-pt shot from 19 ft,,5-9,,
8:32.0,,,5-9,,Defensive rebound by W. Johnson
8:27.0,Violation by M. Morris (kicked ball),,5-9,,
8:23.0,,,5-9,,W. Johnson misses 3-pt shot from 25 ft
8:22.0,Defensive rebound by E. Bledsoe,,5-9,,
8:20.0,Turnover by E. Bledsoe (bad pass),,5-9,,
8:03.0,,,5-9,,J. Hill misses 2-pt shot from 5 ft
8:01.0,Defensive rebound by M. Morris,,5-9,,
7:55.0,P. Tucker misses 2-pt shot from 13 ft,,5-9,,
7:52.0,,,5-9,,Defensive rebound by E. Davis
7:45.0,,,5-12,3,R. Price makes 3-pt shot from 28 ft (assist by K. Bryant)
7:24.0,M. Morris makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,7-12,,
7:12.0,,,7-12,,W. Johnson misses 3-pt shot from 23 ft
7:11.0,Defensive rebound by A. Len,,7-12,,
7:05.0,P. Tucker makes 2-pt shot from 1 ft,2,9-12,,
6:41.0,,,9-12,,J. Hill misses 2-pt shot from 11 ft
6:39.0,Defensive rebound by A. Len,,9-12,,
6:26.0,G. Dragic makes 3-pt shot from 25 ft (assist by M. Morris),3,12-12,,
6:03.0,,,12-12,,J. Hill misses 2-pt shot from 19 ft
6:02.0,,,12-12,,Offensive rebound by E. Davis
6:01.0,,,12-14,2,E. Davis makes 2-pt shot at rim
6:01.0,,,12-14,,Shooting foul by M. Morris (drawn by E. Davis)
