time,Phoenix,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:44.0,,,0-0,,T. Evans misses 2-pt shot from 15 ft
12:00.0,Jump ball: A. Davis vs. A. Len (J. Holiday gains possession),,,,Jump ball: A. Davis vs. A. Len (J. Holiday gains possession)
11:42.0,Defensive rebound by E. Bledsoe,,0-0,,
11:24.0,M. Morris misses 2-pt shot from 1 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by A. Davis
11:14.0,,,0-0,,J. Holiday misses 2-pt shot from 15 ft
11:13.0,Defensive rebound by E. Bledsoe,,0-0,,
11:01.0,E. Bledsoe misses 3-pt shot from 24 ft,,0-0,,
11:00.0,,,0-0,,Defensive rebound by O. Asik
10:37.0,,,0-0,,A. Davis misses 2-pt shot from 13 ft
10:36.0,,,0-0,,Offensive rebound by O. Asik
10:35.0,,,0-0,,Turnover by Team (shot clock)
10:23.0,G. Dragic misses 2-pt shot from 10 ft,,0-0,,
10:22.0,Offensive rebound by A. Len,,0-0,,
10:12.0,E. Bledsoe misses 3-pt shot from 23 ft,,0-0,,
10:11.0,,,0-0,,Defensive rebound by L. Babbitt
10:02.0,,,0-0,,Shooting foul by A. Len (drawn by O. Asik)
10:02.0,,,0-0,,O. Asik misses free throw 1 of 2
10:02.0,,,0-0,,Offensive rebound by Team
10:02.0,,,0-0,,O. Asik misses free throw 2 of 2
10:01.0,,,0-0,,Offensive rebound by L. Babbitt
9:47.0,,,0-0,,A. Davis misses 2-pt shot from 20 ft
9:45.0,Defensive rebound by E. Bledsoe,,0-0,,
9:41.0,E. Bledsoe misses 2-pt shot from 11 ft,,0-0,,
9:39.0,,,0-0,,Defensive rebound by Team
9:24.0,,,0-0,,T. Evans misses 2-pt shot from 1 ft (block by P. Tucker)
9:23.0,Defensive rebound by A. Len,,0-0,,
9:09.0,G. Dragic makes 2-pt shot from 1 ft,2,2-0,,
9:02.0,,,2-0,,T. Evans misses 2-pt shot from 1 ft
9:02.0,,,2-0,,Offensive rebound by Team
8:52.0,,,2-2,2,O. Asik makes 2-pt shot at rim (assist by J. Holiday)
8:41.0,M. Morris misses 2-pt shot from 12 ft (block by A. Davis),,2-2,,
8:39.0,,,2-2,,Defensive rebound by A. Davis
8:31.0,,,2-4,2,A. Davis makes 2-pt shot from 2 ft (assist by T. Evans)
8:21.0,Turnover by E. Bledsoe (lost ball; steal by J. Holiday),,2-4,,
8:20.0,Loose ball foul by E. Bledsoe (drawn by J. Holiday),,2-4,,
8:09.0,,,2-4,,Shooting foul by A. Len (drawn by O. Asik)
8:09.0,,,2-4,,O. Asik misses free throw 1 of 2
8:09.0,,,2-4,,Offensive rebound by Team
8:09.0,M. Plumlee enters the game for A. Len,,2-4,,
8:09.0,,,2-4,,O. Asik misses free throw 2 of 2
8:07.0,Defensive rebound by P. Tucker,,2-4,,
7:59.0,,,2-4,,Personal foul by T. Evans (drawn by G. Dragic)
7:45.0,P. Tucker makes 2-pt shot from 9 ft,2,4-4,,
7:29.0,,,4-7,3,L. Babbitt makes 3-pt shot from 23 ft (assist by J. Holiday)
7:18.0,E. Bledsoe misses 3-pt shot from 26 ft,,4-7,,
7:17.0,,,4-7,,Defensive rebound by T. Evans
7:05.0,,,4-7,,J. Holiday misses 2-pt shot from 2 ft (block by E. Bledsoe)
7:05.0,,,4-7,,Offensive rebound by Team
6:59.0,,,4-9,2,T. Evans makes 2-pt shot from 2 ft
6:46.0,M. Morris makes 2-pt shot from 1 ft,2,6-9,,
6:34.0,,,6-11,2,A. Davis makes 2-pt shot from 20 ft (assist by T. Evans)
6:19.0,M. Morris misses 2-pt shot from 3 ft,,6-11,,
6:16.0,,,6-11,,Defensive rebound by L. Babbitt
6:02.0,,,6-14,3,T. Evans makes 3-pt shot from 26 ft
5:41.0,G. Dragic misses 2-pt shot from 11 ft,,6-14,,
5:40.0,Offensive rebound by E. Bledsoe,,6-14,,
5:39.0,E. Bledsoe makes 2-pt shot from 2 ft,2,8-14,,
5:24.0,,,8-16,2,T. Evans makes 2-pt shot from 1 ft
5:14.0,G. Dragic misses 2-pt shot from 15 ft,,8-16,,
5:13.0,,,8-16,,Defensive rebound by J. Holiday
5:10.0,Personal foul by G. Dragic (drawn by A. Davis),,8-16,,
5:10.0,,,8-16,,New Orleans full timeout
4:56.0,,,8-16,,T. Evans misses 2-pt shot from 2 ft (block by E. Bledsoe)
4:54.0,Defensive rebound by E. Bledsoe,,8-16,,
4:50.0,Turnover by E. Bledsoe (bad pass; steal by T. Evans),,8-16,,
4:40.0,Personal foul by M. Morris (drawn by A. Davis),,8-16,,
4:40.0,,,8-17,1,A. Davis makes free throw 1 of 2
4:40.0,G. Green enters the game for E. Bledsoe,,8-17,,
4:40.0,,,8-17,,R. Anderson enters the game for O. Asik
4:40.0,,,8-17,,D. Cunningham enters the game for L. Babbitt
4:40.0,,,8-18,1,A. Davis makes free throw 2 of 2
4:22.0,G. Dragic makes 2-pt shot from 2 ft,2,10-18,,
4:11.0,,,10-18,,Shooting foul by M. Morris (drawn by J. Holiday)
4:11.0,,,10-19,1,J. Holiday makes free throw 1 of 2
4:11.0,M. Morris enters the game for M. Morris,,10-19,,
4:11.0,,,10-20,1,J. Holiday makes free throw 2 of 2
4:00.0,G. Dragic makes 2-pt shot at rim,2,12-20,,
3:48.0,,,12-22,2,T. Evans makes 2-pt shot at rim (assist by J. Holiday)
3:27.0,M. Plumlee misses 2-pt shot at rim,,12-22,,
3:26.0,,,12-22,,Defensive rebound by T. Evans
