time,Charlotte,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. N. Vucevic (C. Zeller gains possession),,,,Jump ball: B. Biyombo vs. N. Vucevic (C. Zeller gains possession)
11:44.0,G. Henderson makes 2-pt shot from 16 ft (assist by M. Kidd-Gilchrist),2,2-0,,
11:29.0,,,2-2,2,E. Payton makes 2-pt shot from 5 ft
11:18.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by E. Payton),,2-2,,
11:13.0,,,2-2,,T. Harris misses 2-pt shot from 1 ft
11:11.0,Defensive rebound by C. Zeller,,2-2,,
10:57.0,G. Henderson misses 2-pt shot from 14 ft,,2-2,,
10:56.0,,,2-2,,Defensive rebound by N. Vucevic
10:42.0,,,2-4,2,N. Vucevic makes 2-pt shot from 5 ft (assist by E. Payton)
10:27.0,M. Kidd-Gilchrist misses 2-pt shot from 5 ft,,2-4,,
10:25.0,Offensive rebound by M. Kidd-Gilchrist,,2-4,,
10:11.0,K. Walker makes 3-pt shot from 26 ft,3,5-4,,
9:47.0,,,5-6,2,T. Harris makes 2-pt shot from 14 ft (assist by E. Payton)
9:34.0,K. Walker misses 2-pt shot from 5 ft (block by N. Vucevic),,5-6,,
9:32.0,,,5-6,,Defensive rebound by K. O'Quinn
9:28.0,,,5-6,,E. Payton misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist)
9:28.0,,,5-6,,Offensive rebound by Team
9:15.0,,,5-6,,N. Vucevic misses 2-pt shot from 7 ft
9:14.0,Defensive rebound by G. Henderson,,5-6,,
9:05.0,G. Henderson misses 2-pt shot from 14 ft,,5-6,,
9:03.0,,,5-6,,Defensive rebound by N. Vucevic
8:44.0,,,5-6,,K. O'Quinn misses 2-pt shot from 5 ft
8:43.0,Defensive rebound by B. Biyombo,,5-6,,
8:28.0,C. Zeller makes 2-pt shot from 19 ft (assist by K. Walker),2,7-6,,
8:11.0,,,7-6,,T. Harris misses 3-pt shot from 23 ft
8:10.0,Defensive rebound by G. Henderson,,7-6,,
8:01.0,C. Zeller misses 2-pt shot from 7 ft,,7-6,,
8:00.0,,,7-6,,Defensive rebound by T. Harris
7:52.0,,,7-6,,Turnover by T. Harris (lost ball; steal by B. Biyombo)
7:48.0,Shooting foul by K. O'Quinn (drawn by M. Kidd-Gilchrist),,7-6,,
7:48.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,8-6,,
7:48.0,M. Kidd-Gilchrist misses free throw 2 of 2,,8-6,,
7:47.0,,,8-6,,Defensive rebound by K. O'Quinn
7:40.0,Violation by K. Walker (kicked ball),,8-6,,
7:32.0,,,8-6,,N. Vucevic misses 2-pt shot from 12 ft
7:31.0,,,8-6,,Offensive rebound by Team
7:16.0,,,8-6,,N. Vucevic misses 2-pt shot from 8 ft
7:15.0,Defensive rebound by M. Kidd-Gilchrist,,8-6,,
7:07.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,10-6,,
6:55.0,,,10-6,,E. Payton misses 2-pt shot from 6 ft
6:53.0,Defensive rebound by C. Zeller,,10-6,,
6:41.0,K. Walker makes 2-pt shot from 18 ft,2,12-6,,
6:34.0,,,12-6,,Orlando full timeout
6:30.0,,,12-6,,V. Oladipo misses 2-pt shot from 1 ft
6:27.0,Defensive rebound by B. Biyombo,,12-6,,
6:07.0,Turnover by K. Walker (bad pass; steal by N. Vucevic),,12-6,,
