time,Atlanta,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. D. Jordan (C. Paul gains possession),,,,Jump ball: A. Horford vs. D. Jordan (C. Paul gains possession)
11:45.0,,,0-2,2,J. Redick makes 2-pt shot from 16 ft (assist by C. Paul)
11:23.0,A. Horford misses 2-pt shot from 17 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by B. Griffin
11:09.0,,,0-4,2,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul)
10:52.0,P. Millsap makes 2-pt shot at rim (assist by K. Korver),2,2-4,,
10:34.0,,,2-6,2,D. Jordan makes 2-pt shot at rim (assist by M. Barnes)
10:11.0,P. Millsap misses 2-pt shot from 1 ft,,2-6,,
10:07.0,,,2-6,,Defensive rebound by D. Jordan
10:03.0,,,2-6,,B. Griffin misses 2-pt shot from 17 ft
10:01.0,Defensive rebound by J. Teague,,2-6,,
9:46.0,D. Carroll misses 2-pt shot from 17 ft,,2-6,,
9:44.0,,,2-6,,Defensive rebound by D. Jordan
9:38.0,,,2-9,3,M. Barnes makes 3-pt shot from 22 ft (assist by C. Paul)
9:22.0,A. Horford misses 2-pt shot from 16 ft,,2-9,,
9:21.0,,,2-9,,Defensive rebound by B. Griffin
9:15.0,,,2-11,2,C. Paul makes 2-pt shot from 11 ft
9:13.0,Atlanta full timeout,,2-11,,
8:53.0,D. Carroll makes 3-pt shot from 24 ft (assist by A. Horford),3,5-11,,
8:31.0,,,5-11,,M. Barnes misses 2-pt shot from 21 ft
8:28.0,Defensive rebound by A. Horford,,5-11,,
8:08.0,A. Horford makes 2-pt shot from 17 ft (assist by D. Carroll),2,7-11,,
7:43.0,,,7-11,,M. Barnes misses 3-pt shot from 24 ft
7:42.0,,,7-11,,Offensive rebound by D. Jordan
7:33.0,,,7-11,,C. Paul misses 2-pt shot from 18 ft
7:31.0,,,7-11,,Offensive rebound by D. Jordan
7:31.0,,,7-13,2,D. Jordan makes 2-pt shot at rim
7:18.0,J. Teague misses 3-pt shot from 25 ft,,7-13,,
7:16.0,,,7-13,,Defensive rebound by M. Barnes
7:08.0,,,7-13,,Shooting foul by P. Millsap (drawn by M. Barnes)
7:08.0,,,7-14,1,M. Barnes makes free throw 1 of 2
7:08.0,,,7-15,1,M. Barnes makes free throw 2 of 2
6:48.0,A. Horford misses 2-pt shot from 3 ft (block by D. Jordan),,7-15,,
6:46.0,,,7-15,,Defensive rebound by D. Jordan
6:43.0,,,7-15,,Turnover by M. Barnes (lost ball; steal by D. Carroll)
6:32.0,P. Millsap misses 2-pt shot from 2 ft,,7-15,,
6:30.0,,,7-15,,Defensive rebound by B. Griffin
6:22.0,,,7-15,,Turnover by J. Redick (bad pass)
6:05.0,D. Carroll makes 2-pt shot from 4 ft,2,9-15,,
5:39.0,,,9-15,,M. Barnes misses 3-pt shot from 22 ft
5:38.0,Defensive rebound by P. Millsap,,9-15,,
5:34.0,P. Antic enters the game for A. Horford,,9-15,,
5:31.0,P. Millsap misses 2-pt shot from 1 ft,,9-15,,
5:29.0,Offensive rebound by D. Carroll,,9-15,,
5:27.0,P. Millsap makes 2-pt shot at rim (assist by D. Carroll),2,11-15,,
5:27.0,Shooting foul by B. Griffin (drawn by P. Millsap),,11-15,,
5:27.0,T. Sefolosha enters the game for K. Korver,,11-15,,
5:27.0,P. Millsap makes free throw 1 of 1,1,12-15,,
5:18.0,,,12-15,,J. Redick misses 3-pt shot from 26 ft
5:17.0,Defensive rebound by D. Carroll,,12-15,,
5:09.0,P. Antic makes 3-pt shot from 26 ft (assist by D. Carroll),3,15-15,,
4:48.0,,,15-15,,Turnover by J. Redick (bad pass; steal by J. Teague)
4:44.0,J. Teague makes 2-pt shot from 2 ft,2,17-15,,
