time,LA Lakers,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hill vs. D. Jordan (E. Davis gains possession),,,,Jump ball: J. Hill vs. D. Jordan (E. Davis gains possession)
11:48.0,Turnover by K. Bryant (bad pass),,0-0,,
11:25.0,,,0-3,3,M. Barnes makes 3-pt shot from 26 ft (assist by B. Griffin)
11:10.0,K. Bryant misses 3-pt shot from 26 ft,,0-3,,
11:09.0,,,0-3,,Defensive rebound by Team
10:58.0,,,0-5,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
10:46.0,Shooting foul by D. Jordan (drawn by E. Davis),,0-5,,
10:46.0,E. Davis misses free throw 1 of 2,,0-5,,
10:46.0,Offensive rebound by Team,,0-5,,
10:46.0,E. Davis misses free throw 2 of 2,,0-5,,
10:44.0,Offensive rebound by J. Hill,,0-5,,
10:37.0,Turnover by J. Lin (lost ball; steal by D. Jordan),,0-5,,
10:30.0,,,0-5,,C. Paul misses 2-pt shot from 2 ft
10:28.0,Defensive rebound by J. Hill,,0-5,,
10:20.0,E. Davis misses 2-pt shot from 1 ft,,0-5,,
10:17.0,,,0-5,,Defensive rebound by C. Paul
10:10.0,,,0-5,,B. Griffin misses 2-pt shot from 17 ft
10:08.0,,,0-5,,Offensive rebound by D. Jordan
10:02.0,,,0-5,,M. Barnes misses 3-pt shot from 24 ft
10:00.0,Defensive rebound by J. Lin,,0-5,,
9:47.0,W. Ellington makes 3-pt shot from 24 ft,3,3-5,,
9:33.0,,,3-5,,J. Redick misses 3-pt shot from 23 ft
9:32.0,Defensive rebound by J. Lin,,3-5,,
9:14.0,J. Lin misses 2-pt shot from 21 ft,,3-5,,
9:13.0,,,3-5,,Defensive rebound by B. Griffin
9:03.0,,,3-7,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
8:38.0,J. Lin misses 3-pt shot from 25 ft,,3-7,,
8:36.0,,,3-7,,Defensive rebound by B. Griffin
8:27.0,,,3-9,2,C. Paul makes 2-pt shot from 15 ft
8:13.0,W. Ellington misses 2-pt shot from 21 ft,,3-9,,
8:11.0,,,3-9,,Defensive rebound by D. Jordan
7:59.0,,,3-9,,B. Griffin misses 2-pt shot from 18 ft
7:58.0,,,3-9,,Offensive rebound by D. Jordan
7:49.0,,,3-9,,Shooting foul by J. Lin (drawn by M. Barnes)
7:49.0,,,3-10,1,M. Barnes makes free throw 1 of 2
7:49.0,,,3-11,1,M. Barnes makes free throw 2 of 2
7:34.0,J. Hill makes 2-pt shot from 18 ft (assist by W. Ellington),2,5-11,,
7:20.0,,,5-13,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
7:20.0,,,5-13,,Shooting foul by J. Hill (drawn by B. Griffin)
7:20.0,,,5-13,,B. Griffin misses free throw 1 of 1
7:17.0,,,5-13,,Offensive rebound by J. Redick
7:03.0,,,5-15,2,J. Redick makes 2-pt shot from 22 ft (assist by B. Griffin)
6:46.0,J. Hill makes 2-pt shot from 1 ft (assist by K. Bryant),2,7-15,,
6:35.0,,,7-17,2,C. Paul makes 2-pt shot from 14 ft
6:16.0,E. Davis misses 2-pt shot from 2 ft,,7-17,,
6:14.0,,,7-17,,Defensive rebound by D. Jordan
6:04.0,,,7-19,2,C. Paul makes 2-pt shot from 13 ft (assist by B. Griffin)
5:55.0,LA Lakers full timeout,,7-19,,
5:41.0,J. Lin misses 2-pt shot from 7 ft,,7-19,,
5:40.0,Offensive rebound by E. Davis,,7-19,,
