time,New Orleans,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. T. Zeller (J. Holiday gains possession),,,,Jump ball: A. Davis vs. T. Zeller (J. Holiday gains possession)
11:43.0,J. Holiday misses 2-pt shot from 2 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by T. Zeller
11:26.0,,,0-2,2,E. Turner makes 2-pt shot from 9 ft
11:13.0,A. Davis makes 2-pt shot from 2 ft (assist by J. Holiday),2,2-2,,
10:54.0,,,2-2,,E. Turner misses 2-pt shot from 12 ft
10:53.0,Defensive rebound by O. Asik,,2-2,,
10:47.0,J. Holiday misses 3-pt shot from 24 ft,,2-2,,
10:46.0,,,2-2,,Defensive rebound by A. Bradley
10:41.0,,,2-2,,A. Bradley misses 2-pt shot from 20 ft (block by J. Holiday)
10:40.0,Defensive rebound by J. Holiday,,2-2,,
10:39.0,,,2-2,,Personal foul by A. Bradley (drawn by J. Holiday)
10:26.0,E. Gordon makes 2-pt shot from 2 ft (assist by O. Asik),2,4-2,,
10:09.0,,,4-2,,Turnover by J. Sullinger (bad pass; steal by J. Holiday)
10:01.0,E. Gordon makes 3-pt shot from 24 ft (assist by J. Holiday),3,7-2,,
9:44.0,,,7-2,,T. Zeller misses 2-pt shot from 6 ft
9:43.0,Defensive rebound by J. Holiday,,7-2,,
9:35.0,E. Gordon misses 2-pt shot from 13 ft,,7-2,,
9:33.0,Offensive rebound by O. Asik,,7-2,,
9:31.0,O. Asik misses 2-pt shot at rim,,7-2,,
9:30.0,,,7-2,,Defensive rebound by E. Turner
9:24.0,,,7-2,,A. Bradley misses 3-pt shot from 22 ft
9:23.0,Defensive rebound by A. Davis,,7-2,,
9:12.0,A. Davis misses 2-pt shot from 19 ft,,7-2,,
9:11.0,Offensive rebound by J. Holiday,,7-2,,
9:03.0,Turnover by O. Asik (lost ball),,7-2,,
8:48.0,,,7-4,2,J. Crowder makes 2-pt shot from 14 ft (assist by E. Turner)
8:22.0,E. Gordon misses 3-pt shot from 24 ft,,7-4,,
8:21.0,,,7-4,,Defensive rebound by J. Sullinger
8:03.0,,,7-6,2,J. Crowder makes 2-pt shot from 14 ft (assist by T. Zeller)
7:44.0,A. Davis makes 2-pt shot from 17 ft (assist by O. Asik),2,9-6,,
7:15.0,,,9-8,2,J. Sullinger makes 2-pt shot from 13 ft
7:02.0,Turnover by J. Holiday (lost ball),,9-8,,
6:53.0,,,9-8,,Turnover by E. Turner (lost ball; steal by J. Holiday)
6:48.0,Turnover by J. Holiday (bad pass; steal by J. Sullinger),,9-8,,
6:42.0,Personal block foul by J. Holiday (drawn by E. Turner),,9-8,,
6:42.0,Personal foul by D. Cunningham (drawn by J. Crowder),,9-8,,
6:35.0,,,9-8,,J. Crowder misses 2-pt shot from 14 ft
6:32.0,,,9-8,,Offensive rebound by T. Zeller
6:32.0,,,9-8,,T. Zeller misses 2-pt shot from 2 ft
6:30.0,,,9-8,,Offensive rebound by A. Bradley
6:27.0,,,9-11,3,E. Turner makes 3-pt shot from 24 ft (assist by J. Crowder)
6:09.0,A. Davis misses 2-pt shot from 15 ft,,9-11,,
6:09.0,,,9-11,,Defensive rebound by J. Crowder
6:06.0,,,9-11,,Shooting foul by A. Davis (drawn by J. Sullinger)
6:06.0,,,9-12,1,J. Sullinger makes free throw 1 of 2
6:06.0,,,9-12,,M. Thornton enters the game for J. Crowder
6:06.0,,,9-13,1,J. Sullinger makes free throw 2 of 2
5:53.0,A. Davis makes 2-pt shot from 13 ft (assist by O. Asik),2,11-13,,
5:37.0,,,11-13,,A. Bradley misses 2-pt shot from 1 ft
5:36.0,Defensive rebound by O. Asik,,11-13,,
5:30.0,Shooting foul by T. Zeller (drawn by A. Davis),,11-13,,
5:30.0,,,11-13,,Boston full timeout
5:30.0,A. Davis makes free throw 1 of 2,1,12-13,,
5:30.0,A. Davis makes free throw 2 of 2,1,13-13,,
5:13.0,,,13-13,,M. Thornton misses 2-pt shot from 16 ft
5:12.0,Defensive rebound by D. Cunningham,,13-13,,
4:55.0,J. Holiday misses 2-pt shot from 2 ft,,13-13,,
4:54.0,,,13-13,,Defensive rebound by E. Turner
4:36.0,,,13-13,,J. Sullinger misses 3-pt shot from 24 ft
4:35.0,Defensive rebound by O. Asik,,13-13,,
4:23.0,A. Davis misses 2-pt shot from 10 ft,,13-13,,
4:23.0,,,13-13,,Defensive rebound by Team
4:23.0,Loose ball foul by O. Asik (drawn by T. Zeller),,13-13,,
4:23.0,T. Evans enters the game for J. Holiday,,13-13,,
4:23.0,R. Anderson enters the game for O. Asik,,13-13,,
4:23.0,,,13-13,,M. Smart enters the game for A. Bradley
4:23.0,,,13-13,,B. Bass enters the game for T. Zeller
4:02.0,,,13-16,3,B. Bass makes 3-pt shot from 23 ft (assist by J. Sullinger)
3:35.0,T. Evans makes 2-pt shot from 21 ft,2,15-16,,
3:22.0,Personal foul by T. Evans (drawn by M. Thornton),,15-16,,
3:22.0,,,15-17,1,M. Thornton makes free throw 1 of 2
3:22.0,,,15-18,1,M. Thornton makes free throw 2 of 2
2:58.0,R. Anderson misses 2-pt shot from 14 ft,,15-18,,
2:57.0,,,15-18,,Defensive rebound by E. Turner
2:52.0,,,15-18,,M. Thornton misses 3-pt shot from 23 ft
2:50.0,,,15-18,,Offensive rebound by B. Bass
2:34.0,,,15-18,,Shooting foul by R. Anderson (drawn by M. Thornton)
2:34.0,New Orleans full timeout,,15-18,,
2:34.0,J. Fredette enters the game for E. Gordon,,15-18,,
2:34.0,,,15-19,1,M. Thornton makes free throw 1 of 2
2:34.0,,,15-19,,K. Olynyk enters the game for J. Sullinger
2:34.0,,,15-20,1,M. Thornton makes free throw 2 of 2
2:17.0,R. Anderson makes 3-pt shot from 25 ft (assist by T. Evans),3,18-20,,
2:00.0,,,18-22,2,K. Olynyk makes 2-pt shot at rim (assist by E. Turner)
1:32.0,R. Anderson misses 2-pt shot from 8 ft,,18-22,,
1:31.0,,,18-22,,Defensive rebound by B. Bass
1:16.0,,,18-22,,Turnover by K. Olynyk (lost ball; steal by R. Anderson)
1:13.0,T. Evans makes 2-pt shot at rim (assist by R. Anderson),2,20-22,,
0:53.0,,,20-22,,E. Turner misses 3-pt shot from 24 ft
0:50.0,Defensive rebound by T. Evans,,20-22,,
0:39.0,J. Salmons enters the game for D. Cunningham,,20-22,,
0:39.0,,,20-22,,J. Crowder enters the game for E. Turner
0:34.0,Shooting foul by K. Olynyk (drawn by J. Fredette),,20-22,,
0:34.0,J. Fredette makes free throw 1 of 2,1,21-22,,
0:34.0,J. Fredette makes free throw 2 of 2,1,22-22,,
0:28.0,,,22-22,,K. Olynyk misses 2-pt shot from 14 ft
0:27.0,Defensive rebound by A. Davis,,22-22,,
0:03.0,J. Fredette misses 2-pt shot from 8 ft,,22-22,,
0:01.0,,,22-22,,Defensive rebound by B. Bass
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,22-22,,Turnover by J. Young (bad pass; steal by R. Anderson)
11:32.0,T. Evans makes 2-pt shot at rim (assist by R. Anderson),2,24-22,,
11:20.0,,,24-22,,B. Bass misses 2-pt shot from 13 ft
11:18.0,Defensive rebound by R. Anderson,,24-22,,
11:13.0,,,24-22,,Personal foul by K. Olynyk (drawn by R. Anderson)
11:00.0,R. Anderson misses 3-pt shot from 24 ft,,24-22,,
