time,Minnesota,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. R. Hibbert (C. Watson gains possession),,,,Jump ball: G. Dieng vs. R. Hibbert (C. Watson gains possession)
11:45.0,,,0-2,2,D. West makes 2-pt shot from 16 ft (assist by C. Watson)
11:32.0,Shooting foul by S. Hill (drawn by A. Wiggins),,0-2,,
11:32.0,A. Wiggins makes free throw 1 of 2,1,1-2,,
11:32.0,A. Wiggins makes free throw 2 of 2,1,2-2,,
11:13.0,,,2-2,,R. Hibbert misses 2-pt shot from 3 ft
11:12.0,,,2-2,,Offensive rebound by R. Hibbert
11:10.0,,,2-2,,R. Hibbert misses 2-pt shot from 1 ft
11:07.0,Defensive rebound by C. Budinger,,2-2,,
11:00.0,T. Young misses 2-pt shot from 17 ft,,2-2,,
10:59.0,,,2-2,,Defensive rebound by C. Watson
10:38.0,,,2-2,,Shooting foul by M. Williams (drawn by C. Watson)
10:38.0,,,2-3,1,C. Watson makes free throw 1 of 2
10:38.0,,,2-4,1,C. Watson makes free throw 2 of 2
10:27.0,C. Budinger makes 3-pt shot from 25 ft (assist by M. Williams),3,5-4,,
10:05.0,,,5-6,2,R. Hibbert makes 2-pt shot from 6 ft
9:51.0,G. Dieng makes 2-pt shot at rim (assist by T. Young),2,7-6,,
9:39.0,,,7-8,2,R. Hibbert makes 2-pt shot from 17 ft (assist by C. Watson)
9:30.0,M. Williams makes 2-pt shot from 14 ft,2,9-8,,
9:16.0,,,9-8,,C. Miles misses 3-pt shot from 26 ft
9:14.0,Defensive rebound by T. Young,,9-8,,
9:03.0,T. Young misses 2-pt shot from 18 ft,,9-8,,
9:02.0,,,9-8,,Defensive rebound by S. Hill
8:49.0,,,9-11,3,C. Watson makes 3-pt shot from 23 ft (assist by S. Hill)
8:36.0,C. Budinger misses 2-pt shot from 3 ft,,9-11,,
8:35.0,,,9-11,,Defensive rebound by R. Hibbert
8:26.0,,,9-11,,Turnover by S. Hill (bad pass; steal by G. Dieng)
8:19.0,Turnover by C. Budinger (traveling),,9-11,,
8:08.0,,,9-11,,C. Miles misses 2-pt shot from 2 ft (block by G. Dieng)
8:07.0,,,9-11,,Offensive rebound by Team
8:05.0,,,9-11,,S. Hill misses 2-pt shot from 17 ft
8:04.0,Defensive rebound by G. Dieng,,9-11,,
7:47.0,G. Dieng misses 2-pt shot from 11 ft,,9-11,,
7:46.0,,,9-11,,Defensive rebound by D. West
7:33.0,,,9-11,,D. West misses 2-pt shot from 17 ft
7:32.0,Defensive rebound by M. Williams,,9-11,,
7:24.0,Turnover by M. Williams (lost ball; steal by C. Watson),,9-11,,
7:16.0,,,9-11,,Turnover by S. Hill (bad pass; steal by C. Budinger)
7:09.0,T. Young makes 2-pt shot from 1 ft (assist by A. Wiggins),2,11-11,,
6:49.0,,,11-11,,D. West misses 2-pt shot from 2 ft
6:47.0,,,11-11,,Offensive rebound by R. Hibbert
6:47.0,,,11-13,2,R. Hibbert makes 2-pt shot at rim
6:35.0,A. Wiggins misses 2-pt shot from 15 ft,,11-13,,
6:34.0,,,11-13,,Defensive rebound by R. Hibbert
6:23.0,,,11-13,,Turnover by R. Hibbert (bad pass; steal by C. Budinger)
6:09.0,M. Williams misses 2-pt shot from 17 ft,,11-13,,
6:08.0,,,11-13,,Defensive rebound by C. Miles
6:01.0,,,11-13,,C. Miles misses 2-pt shot from 6 ft
6:00.0,Defensive rebound by M. Williams,,11-13,,
5:52.0,M. Williams makes 2-pt shot from 16 ft,2,13-13,,
5:43.0,,,13-13,,Indiana full timeout
5:38.0,,,13-13,,R. Hibbert misses 2-pt shot from 16 ft
5:36.0,Defensive rebound by M. Williams,,13-13,,
5:25.0,G. Dieng makes 2-pt shot at rim (assist by M. Williams),2,15-13,,
5:06.0,,,15-15,2,D. West makes 2-pt shot from 1 ft (assist by R. Hibbert)
4:48.0,C. Budinger misses 2-pt shot from 1 ft,,15-15,,
4:46.0,,,15-15,,Defensive rebound by C. Miles
4:41.0,,,15-17,2,C. Watson makes 2-pt shot from 20 ft
4:19.0,M. Williams misses 2-pt shot from 16 ft,,15-17,,
4:17.0,Offensive rebound by T. Young,,15-17,,
4:14.0,T. Young misses 2-pt shot at rim,,15-17,,
4:12.0,,,15-17,,Defensive rebound by D. West
3:57.0,,,15-17,,R. Hibbert misses 2-pt shot from 11 ft
3:56.0,Defensive rebound by Team,,15-17,,
3:56.0,,,15-17,,L. Scola enters the game for D. West
3:56.0,,,15-17,,R. Stuckey enters the game for C. Miles
3:35.0,Turnover by G. Dieng (lost ball; steal by R. Stuckey),,15-17,,
3:27.0,,,15-17,,R. Hibbert misses 2-pt shot from 1 ft (block by G. Dieng)
3:23.0,,,15-17,,Offensive rebound by Team
3:23.0,A. Bennett enters the game for C. Budinger,,15-17,,
3:23.0,R. Hummel enters the game for T. Young,,15-17,,
3:15.0,,,15-17,,Turnover by L. Scola (bad pass; steal by G. Dieng)
3:08.0,M. Williams makes 2-pt shot from 15 ft,2,17-17,,
2:55.0,,,17-17,,Shooting foul by A. Wiggins (drawn by R. Stuckey)
2:55.0,Minnesota full timeout,,17-17,,
2:55.0,,,17-18,1,R. Stuckey makes free throw 1 of 2
2:55.0,,,17-19,1,R. Stuckey makes free throw 2 of 2
2:40.0,G. Dieng makes 2-pt shot from 2 ft (assist by A. Wiggins),2,19-19,,
2:21.0,,,19-19,,R. Stuckey misses 3-pt shot from 22 ft
2:20.0,Defensive rebound by G. Dieng,,19-19,,
2:16.0,,,19-19,,Personal foul by R. Stuckey (drawn by A. Wiggins)
2:11.0,,,19-19,,Personal foul by S. Hill (drawn by A. Wiggins)
2:11.0,,,19-19,,D. Rudez enters the game for S. Hill
2:02.0,A. Wiggins makes 2-pt shot from 2 ft (assist by G. Dieng),2,21-19,,
1:50.0,Personal foul by G. Dieng (drawn by R. Hibbert),,21-19,,
1:44.0,,,21-19,,L. Scola misses 2-pt shot from 4 ft (block by A. Wiggins)
1:42.0,Defensive rebound by A. Bennett,,21-19,,
1:32.0,R. Hummel misses 3-pt shot from 23 ft,,21-19,,
1:30.0,Offensive rebound by Team,,21-19,,
1:30.0,,,21-19,,L. Allen enters the game for R. Hibbert
1:30.0,,,21-19,,D. Sloan enters the game for C. Watson
1:24.0,A. Wiggins makes 2-pt shot from 1 ft (assist by G. Dieng),2,23-19,,
0:58.0,,,23-21,2,L. Allen makes 2-pt shot from 11 ft (assist by D. Sloan)
0:46.0,M. Williams misses 3-pt shot from 26 ft,,23-21,,
0:43.0,Offensive rebound by Team,,23-21,,
0:26.0,A. Bennett makes 2-pt shot from 20 ft (assist by M. Williams),2,25-21,,
0:02.0,,,25-21,,L. Allen misses 2-pt shot from 17 ft
0:02.0,,,25-21,,Offensive rebound by Team
0:02.0,,,25-21,,Turnover by Team (shot clock)
0:00.0,M. Williams misses 3-pt shot from 58 ft,,25-21,,
0:00.0,Offensive rebound by Team,,25-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,A. Wiggins misses 2-pt shot from 7 ft,,25-21,,
11:46.0,,,25-21,,Defensive rebound by L. Allen
