time,Atlanta,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. N. Noel (M. Muscala gains possession),,,,Jump ball: A. Horford vs. N. Noel (M. Muscala gains possession)
11:43.0,Turnover by Team (shot clock),,0-0,,
11:16.0,,,0-3,3,K. McDaniels makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
11:02.0,T. Sefolosha misses 2-pt shot from 1 ft (block by R. Covington),,0-3,,
11:01.0,Offensive rebound by Team,,0-3,,
10:57.0,A. Horford makes 2-pt shot at rim (assist by K. Korver),2,2-3,,
10:54.0,,,2-3,,Turnover by R. Covington (bad pass; steal by M. Muscala)
10:34.0,D. Schroder makes 2-pt shot at rim,2,4-3,,
10:13.0,,,4-3,,Shooting foul by M. Muscala (drawn by K. McDaniels)
10:13.0,,,4-4,1,K. McDaniels makes free throw 1 of 2
10:13.0,,,4-5,1,K. McDaniels makes free throw 2 of 2
10:01.0,T. Sefolosha misses 2-pt shot from 1 ft,,4-5,,
10:00.0,,,4-5,,Defensive rebound by M. Carter-Williams
9:51.0,,,4-5,,Shooting foul by M. Muscala (drawn by L. Mbah a Moute)
9:51.0,,,4-5,,L. Mbah a Moute misses free throw 1 of 2
9:51.0,,,4-5,,Offensive rebound by Team
9:51.0,M. Scott enters the game for M. Muscala,,4-5,,
9:51.0,,,4-6,1,L. Mbah a Moute makes free throw 2 of 2
9:35.0,A. Horford makes 2-pt shot from 16 ft,2,6-6,,
9:22.0,,,6-6,,L. Mbah a Moute misses 2-pt shot from 1 ft
9:21.0,Defensive rebound by A. Horford,,6-6,,
9:06.0,Turnover by A. Horford (bad pass; steal by M. Carter-Williams),,6-6,,
8:45.0,,,6-6,,L. Mbah a Moute misses 3-pt shot from 26 ft
8:44.0,Defensive rebound by A. Horford,,6-6,,
8:26.0,Turnover by D. Schroder (lost ball),,6-6,,
8:16.0,,,6-6,,R. Covington misses 3-pt shot from 26 ft
8:14.0,,,6-6,,Offensive rebound by M. Carter-Williams
8:14.0,,,6-6,,M. Carter-Williams misses 2-pt shot at rim
8:13.0,Defensive rebound by M. Scott,,6-6,,
8:08.0,A. Horford makes 2-pt shot at rim (assist by D. Schroder),2,8-6,,
7:47.0,,,8-6,,Shooting foul by M. Scott (drawn by L. Mbah a Moute)
7:47.0,,,8-7,1,L. Mbah a Moute makes free throw 1 of 2
7:47.0,,,8-8,1,L. Mbah a Moute makes free throw 2 of 2
7:39.0,K. Korver misses 3-pt shot from 28 ft,,8-8,,
7:38.0,,,8-8,,Defensive rebound by N. Noel
7:29.0,,,8-8,,Turnover by R. Covington (lost ball)
7:23.0,,,8-8,,Personal foul by K. McDaniels (drawn by K. Korver)
7:13.0,D. Schroder makes 3-pt shot from 25 ft (assist by T. Sefolosha),3,11-8,,
6:54.0,,,11-8,,R. Covington misses 2-pt shot from 13 ft
6:53.0,Defensive rebound by M. Scott,,11-8,,
6:42.0,M. Scott makes 2-pt shot from 1 ft (assist by A. Horford),2,13-8,,
6:33.0,,,13-10,2,N. Noel makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
6:24.0,E. Brand enters the game for M. Scott,,13-10,,
6:24.0,Atlanta full timeout,,13-10,,
6:22.0,,,13-10,,Personal foul by M. Carter-Williams (drawn by D. Schroder)
6:08.0,T. Sefolosha makes 2-pt shot from 4 ft (assist by A. Horford),2,15-10,,
5:49.0,,,15-10,,N. Noel misses 2-pt shot from 19 ft
5:48.0,Defensive rebound by D. Schroder,,15-10,,
5:37.0,A. Horford makes 2-pt shot from 1 ft (assist by K. Korver),2,17-10,,
5:22.0,,,17-10,,Turnover by N. Noel (back court)
5:22.0,,,17-10,,H. Sims enters the game for K. McDaniels
5:22.0,,,17-10,,T. Wroten enters the game for N. Noel
5:22.0,K. Bazemore enters the game for K. Korver,,17-10,,
5:22.0,M. Scott enters the game for A. Horford,,17-10,,
5:02.0,D. Schroder misses 2-pt shot from 9 ft,,17-10,,
5:01.0,,,17-10,,Defensive rebound by H. Sims
4:48.0,,,17-10,,H. Sims misses 2-pt shot from 17 ft
4:46.0,,,17-10,,Offensive rebound by H. Sims
4:30.0,,,17-13,3,M. Carter-Williams makes 3-pt shot from 23 ft (assist by T. Wroten)
4:03.0,M. Scott misses 2-pt shot from 18 ft,,17-13,,
4:02.0,,,17-13,,Defensive rebound by H. Sims
3:54.0,,,17-15,2,M. Carter-Williams makes 2-pt shot from 1 ft
3:37.0,,,17-15,,J. Grant enters the game for L. Mbah a Moute
3:37.0,S. Mack enters the game for D. Schroder,,17-15,,
3:35.0,M. Scott makes 2-pt shot from 17 ft (assist by T. Sefolosha),2,19-15,,
3:35.0,,,19-15,,Philadelphia full timeout
3:20.0,Personal foul by E. Brand (drawn by T. Wroten),,19-15,,
3:08.0,,,19-15,,H. Sims misses 2-pt shot from 17 ft
3:07.0,,,19-15,,Offensive rebound by R. Covington
3:07.0,,,19-15,,Shooting foul by M. Scott (drawn by R. Covington)
3:07.0,,,19-16,1,R. Covington makes free throw 1 of 2
3:07.0,,,19-16,,H. Thompson enters the game for M. Carter-Williams
3:07.0,,,19-17,1,R. Covington makes free throw 2 of 2
2:55.0,A. Horford enters the game for M. Scott,,19-17,,
2:55.0,,,19-17,,Personal foul by T. Wroten (drawn by E. Brand)
2:55.0,,,19-17,,J. Sampson enters the game for R. Covington
2:40.0,A. Horford misses 2-pt shot from 12 ft,,19-17,,
2:40.0,Offensive rebound by Team,,19-17,,
2:40.0,Turnover by Team (shot clock),,19-17,,
2:34.0,,,19-17,,T. Wroten misses 2-pt shot from 2 ft
2:32.0,Defensive rebound by A. Horford,,19-17,,
2:27.0,K. Bazemore makes 3-pt shot from 25 ft (assist by S. Mack),3,22-17,,
2:09.0,,,22-20,3,H. Thompson makes 3-pt shot from 26 ft (assist by J. Sampson)
2:00.0,Shooting foul by H. Sims (drawn by A. Horford),,22-20,,
2:00.0,A. Horford misses free throw 1 of 2,,22-20,,
2:00.0,Offensive rebound by Team,,22-20,,
2:00.0,K. Korver enters the game for T. Sefolosha,,22-20,,
2:00.0,A. Horford makes free throw 2 of 2,1,23-20,,
1:51.0,,,23-20,,T. Wroten misses 2-pt shot from 1 ft
1:50.0,Defensive rebound by E. Brand,,23-20,,
1:44.0,K. Korver misses 3-pt shot from 26 ft,,23-20,,
1:43.0,,,23-20,,Defensive rebound by Team
1:23.0,,,23-20,,J. Grant misses 2-pt shot from 21 ft
1:22.0,Defensive rebound by K. Bazemore,,23-20,,
1:10.0,Turnover by A. Horford (traveling),,23-20,,
0:59.0,,,23-20,,Turnover by H. Sims (bad pass; steal by E. Brand)
0:51.0,S. Mack misses 3-pt shot from 25 ft,,23-20,,
0:50.0,,,23-20,,Defensive rebound by J. Sampson
0:37.0,,,23-20,,Offensive charge foul by H. Thompson
0:37.0,,,23-20,,Turnover by H. Thompson (offensive foul)
0:32.0,S. Mack makes 2-pt shot from 1 ft (assist by K. Korver),2,25-20,,
0:12.0,,,25-20,,H. Sims misses 2-pt shot from 6 ft (block by E. Brand)
0:09.0,Defensive rebound by S. Mack,,25-20,,
0:02.0,S. Mack misses 2-pt shot at rim (block by H. Sims),,25-20,,
0:01.0,Offensive rebound by E. Brand,,25-20,,
0:00.0,E. Brand misses 2-pt shot from 5 ft,,25-20,,
0:00.0,Offensive rebound by Team,,25-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,25-20,,H. Thompson misses 2-pt shot from 20 ft
11:43.0,Defensive rebound by K. Bazemore,,25-20,,
11:42.0,Turnover by K. Bazemore (lost ball),,25-20,,
11:28.0,,,25-20,,Turnover by J. Sampson (lost ball)
11:12.0,M. Muscala makes 2-pt shot at rim (assist by S. Mack),2,27-20,,
10:46.0,,,27-20,,T. Wroten misses 2-pt shot from 1 ft
10:44.0,Defensive rebound by M. Muscala,,27-20,,
10:39.0,K. Bazemore misses 3-pt shot from 25 ft,,27-20,,
