time,San Antonio,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. M. Gortat (T. Parker gains possession),,,,Jump ball: T. Duncan vs. M. Gortat (T. Parker gains possession)
11:47.0,D. Green misses 3-pt shot from 30 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by M. Gortat
11:34.0,,,0-0,,Turnover by N. Hilario (bad pass)
11:23.0,T. Parker makes 2-pt shot from 19 ft,2,2-0,,
11:02.0,,,2-0,,N. Hilario misses 2-pt shot from 16 ft
11:01.0,Defensive rebound by D. Green,,2-0,,
10:47.0,A. Daye makes 2-pt shot from 17 ft (assist by T. Duncan),2,4-0,,
10:35.0,,,4-0,,B. Beal misses 2-pt shot from 5 ft
10:34.0,Defensive rebound by A. Daye,,4-0,,
10:26.0,D. Green misses 3-pt shot from 23 ft,,4-0,,
10:25.0,,,4-0,,Defensive rebound by N. Hilario
10:10.0,,,4-2,2,M. Gortat makes 2-pt shot from 8 ft
9:55.0,T. Parker misses 2-pt shot from 18 ft,,4-2,,
9:54.0,,,4-2,,Defensive rebound by M. Gortat
9:42.0,,,4-2,,N. Hilario misses 2-pt shot from 2 ft
9:41.0,Defensive rebound by T. Duncan,,4-2,,
9:29.0,A. Daye misses 2-pt shot from 19 ft,,4-2,,
9:28.0,,,4-2,,Defensive rebound by M. Gortat
9:11.0,,,4-2,,J. Wall misses 2-pt shot from 17 ft
9:10.0,Defensive rebound by A. Daye,,4-2,,
9:00.0,T. Duncan makes 2-pt shot from 1 ft (assist by T. Splitter),2,6-2,,
8:39.0,,,6-4,2,P. Pierce makes 2-pt shot from 15 ft
8:21.0,A. Daye misses 3-pt shot from 27 ft,,6-4,,
8:20.0,,,6-4,,Defensive rebound by N. Hilario
8:08.0,,,6-6,2,M. Gortat makes 2-pt shot from 12 ft
7:51.0,T. Duncan makes 2-pt shot from 12 ft (assist by T. Parker),2,8-6,,
7:39.0,,,8-9,3,P. Pierce makes 3-pt shot from 25 ft (assist by J. Wall)
7:16.0,T. Parker makes 2-pt shot from 1 ft,2,10-9,,
7:11.0,,,10-9,,Shooting foul by D. Green (drawn by B. Beal)
7:11.0,,,10-10,1,B. Beal makes free throw 1 of 2
7:11.0,C. Joseph enters the game for A. Daye,,10-10,,
7:11.0,,,10-11,1,B. Beal makes free throw 2 of 2
6:56.0,T. Duncan misses 2-pt shot from 18 ft,,10-11,,
6:55.0,,,10-11,,Defensive rebound by N. Hilario
6:47.0,,,10-14,3,P. Pierce makes 3-pt shot from 26 ft (assist by J. Wall)
6:45.0,San Antonio full timeout,,10-14,,
6:45.0,M. Ginobili enters the game for D. Green,,10-14,,
6:21.0,M. Ginobili makes 3-pt shot from 27 ft,3,13-14,,
6:09.0,Personal foul by M. Ginobili (drawn by P. Pierce),,13-14,,
6:09.0,B. Diaw enters the game for T. Splitter,,13-14,,
5:57.0,,,13-14,,P. Pierce misses 2-pt shot from 9 ft
5:56.0,,,13-14,,Offensive rebound by Team
5:56.0,Loose ball foul by B. Diaw (drawn by M. Gortat),,13-14,,
5:56.0,,,13-14,,R. Butler enters the game for B. Beal
5:40.0,,,13-14,,N. Hilario misses 2-pt shot from 2 ft (block by T. Duncan)
5:38.0,Defensive rebound by T. Duncan,,13-14,,
5:26.0,T. Duncan misses 2-pt shot from 4 ft,,13-14,,
5:25.0,,,13-14,,Defensive rebound by R. Butler
5:18.0,,,13-17,3,R. Butler makes 3-pt shot from 25 ft (assist by J. Wall)
4:56.0,B. Diaw misses 3-pt shot from 26 ft,,13-17,,
4:56.0,,,13-17,,Defensive rebound by Team
4:56.0,P. Mills enters the game for T. Parker,,13-17,,
4:41.0,,,13-19,2,M. Gortat makes 2-pt shot at rim (assist by P. Pierce)
4:27.0,M. Ginobili misses 3-pt shot from 25 ft,,13-19,,
4:26.0,,,13-19,,Defensive rebound by N. Hilario
4:15.0,,,13-21,2,J. Wall makes 2-pt shot from 1 ft
