time,Miami,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. H. Whiteside (C. Bosh gains possession),,,,Jump ball: A. Bogut vs. H. Whiteside (C. Bosh gains possession)
11:42.0,H. Whiteside makes 2-pt shot from 3 ft (assist by M. Chalmers),2,2-0,,
11:22.0,,,2-0,,Turnover by S. Curry (bad pass)
11:07.0,C. Bosh misses 2-pt shot from 12 ft,,2-0,,
11:00.0,,,2-0,,Defensive rebound by A. Bogut
10:47.0,,,2-0,,H. Barnes misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by M. Chalmers,,2-0,,
10:33.0,H. Whiteside makes 2-pt shot at rim (assist by M. Chalmers),2,4-0,,
10:20.0,,,4-0,,S. Curry misses 2-pt shot at rim (block by H. Whiteside)
10:19.0,Defensive rebound by S. Napier,,4-0,,
10:05.0,C. Bosh misses 2-pt shot from 6 ft,,4-0,,
10:04.0,,,4-0,,Defensive rebound by A. Bogut
9:54.0,Def 3 sec tech foul by H. Whiteside,,4-0,,
9:54.0,,,4-1,1,S. Curry makes technical free throw
9:50.0,,,4-1,,Turnover by S. Curry (bad pass; steal by M. Chalmers)
9:36.0,S. Napier misses 3-pt shot from 23 ft,,4-1,,
9:35.0,,,4-1,,Defensive rebound by K. Thompson
9:26.0,,,4-1,,K. Thompson misses 3-pt shot from 25 ft
9:26.0,,,4-1,,Offensive rebound by S. Curry
9:21.0,,,4-3,2,S. Curry makes 2-pt shot from 14 ft
9:02.0,L. Deng misses 2-pt shot at rim,,4-3,,
9:01.0,Offensive rebound by L. Deng,,4-3,,
8:46.0,C. Bosh makes 3-pt shot from 24 ft (assist by S. Napier),3,7-3,,
8:30.0,,,7-6,3,S. Curry makes 3-pt shot from 23 ft (assist by A. Bogut)
8:04.0,L. Deng misses 2-pt shot from 11 ft,,7-6,,
8:03.0,,,7-6,,Defensive rebound by H. Barnes
7:57.0,,,7-9,3,S. Curry makes 3-pt shot from 31 ft
7:33.0,Turnover by C. Bosh (bad pass; steal by S. Curry),,7-9,,
7:27.0,,,7-9,,H. Barnes misses 3-pt shot from 27 ft
7:25.0,Defensive rebound by H. Whiteside,,7-9,,
7:13.0,C. Bosh misses 2-pt shot from 2 ft,,7-9,,
7:11.0,Offensive rebound by C. Bosh,,7-9,,
7:11.0,C. Bosh makes 2-pt shot at rim,2,9-9,,
7:01.0,,,9-9,,Turnover by S. Curry (bad pass; steal by M. Chalmers)
