time,Utah,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. D. Favors (E. Kanter gains possession),,,,Jump ball: T. Duncan vs. D. Favors (E. Kanter gains possession)
11:38.0,D. Favors misses 2-pt shot from 13 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by T. Duncan
11:19.0,,,0-0,,T. Parker misses 2-pt shot from 1 ft (block by D. Favors)
11:17.0,Defensive rebound by D. Favors,,0-0,,
11:02.0,Turnover by Team (back court),,0-0,,
10:52.0,,,0-2,2,T. Duncan makes 2-pt shot from 8 ft (assist by T. Parker)
10:25.0,J. Ingles misses 3-pt shot from 24 ft,,0-2,,
10:24.0,Offensive rebound by Team,,0-2,,
10:17.0,Turnover by J. Ingles (bad pass; steal by D. Green),,0-2,,
10:05.0,,,0-4,2,T. Duncan makes 2-pt shot from 7 ft
9:51.0,G. Hayward makes 2-pt shot from 19 ft (assist by T. Burke),2,2-4,,
9:37.0,,,2-4,,T. Duncan misses 2-pt shot from 20 ft
9:36.0,Defensive rebound by D. Favors,,2-4,,
9:26.0,D. Favors misses 2-pt shot from 6 ft,,2-4,,
9:25.0,,,2-4,,Defensive rebound by T. Duncan
9:13.0,,,2-6,2,T. Splitter makes 2-pt shot from 6 ft (assist by T. Duncan)
8:57.0,E. Kanter misses 2-pt shot from 13 ft,,2-6,,
8:56.0,,,2-6,,Defensive rebound by K. Leonard
8:49.0,,,2-8,2,K. Leonard makes 2-pt shot from 19 ft
8:49.0,Utah full timeout,,2-8,,
8:25.0,G. Hayward misses 2-pt shot from 9 ft,,2-8,,
8:24.0,,,2-8,,Defensive rebound by D. Green
8:13.0,,,2-10,2,T. Splitter makes 2-pt shot from 3 ft (assist by T. Duncan)
7:54.0,G. Hayward makes 3-pt shot from 24 ft (assist by T. Burke),3,5-10,,
7:44.0,,,5-12,2,T. Parker makes 2-pt shot at rim (assist by T. Duncan)
7:35.0,Shooting foul by T. Duncan (drawn by D. Favors),,5-12,,
7:35.0,D. Favors makes free throw 1 of 2,1,6-12,,
7:35.0,D. Favors misses free throw 2 of 2,,6-12,,
7:34.0,,,6-12,,Defensive rebound by T. Splitter
7:24.0,,,6-12,,Turnover by T. Duncan (bad pass; steal by G. Hayward)
7:16.0,G. Hayward misses 2-pt shot from 1 ft,,6-12,,
7:15.0,,,6-12,,Defensive rebound by D. Green
6:59.0,,,6-12,,T. Duncan misses 2-pt shot from 5 ft
6:58.0,Defensive rebound by D. Favors,,6-12,,
6:38.0,D. Favors makes 2-pt shot from 2 ft (assist by J. Ingles),2,8-12,,
6:21.0,,,8-14,2,T. Duncan makes 2-pt shot from 2 ft (assist by T. Splitter)
6:06.0,R. Gobert enters the game for E. Kanter,,8-14,,
5:54.0,J. Ingles makes 3-pt shot from 22 ft (assist by T. Burke),3,11-14,,
5:53.0,,,11-14,,San Antonio full timeout
5:53.0,,,11-14,,P. Mills enters the game for T. Parker
5:53.0,,,11-14,,B. Diaw enters the game for T. Splitter
5:53.0,,,11-14,,M. Ginobili enters the game for D. Green
5:39.0,,,11-14,,P. Mills misses 3-pt shot from 25 ft
5:38.0,Defensive rebound by R. Gobert,,11-14,,
5:22.0,T. Burke misses 3-pt shot from 24 ft,,11-14,,
5:21.0,Offensive rebound by D. Favors,,11-14,,
5:15.0,Turnover by Team (shot clock),,11-14,,
4:59.0,,,11-14,,A. Baynes enters the game for T. Duncan
4:52.0,,,11-14,,Turnover by M. Ginobili (bad pass; steal by J. Ingles)
4:48.0,T. Burke misses 2-pt shot at rim (block by M. Ginobili),,11-14,,
4:47.0,Offensive rebound by R. Gobert,,11-14,,
4:47.0,R. Gobert makes 2-pt shot at rim,2,13-14,,
4:47.0,,,13-14,,San Antonio full timeout
4:33.0,,,13-14,,M. Ginobili misses 2-pt shot from 1 ft
4:32.0,Defensive rebound by D. Favors,,13-14,,
4:21.0,J. Ingles misses 2-pt shot at rim,,13-14,,
4:20.0,,,13-14,,Defensive rebound by A. Baynes
4:07.0,,,13-17,3,P. Mills makes 3-pt shot from 24 ft (assist by M. Ginobili)
3:40.0,T. Burke misses 2-pt shot from 20 ft,,13-17,,
3:39.0,Offensive rebound by R. Gobert,,13-17,,
3:29.0,T. Burke misses 2-pt shot from 1 ft,,13-17,,
3:28.0,Offensive rebound by R. Gobert,,13-17,,
3:28.0,R. Gobert misses 2-pt shot from 1 ft,,13-17,,
3:25.0,Offensive rebound by R. Gobert,,13-17,,
3:25.0,R. Gobert misses 2-pt shot from 1 ft,,13-17,,
3:24.0,,,13-17,,Defensive rebound by A. Baynes
3:17.0,,,13-17,,M. Ginobili misses 2-pt shot from 3 ft
3:15.0,,,13-17,,Offensive rebound by A. Baynes
3:14.0,,,13-17,,A. Baynes misses 2-pt shot from 2 ft
3:11.0,,,13-17,,Offensive rebound by K. Leonard
2:59.0,,,13-17,,K. Leonard misses 2-pt shot from 8 ft
2:58.0,Defensive rebound by D. Favors,,13-17,,
2:40.0,J. Ingles misses 3-pt shot from 22 ft,,13-17,,
2:38.0,Offensive rebound by R. Gobert,,13-17,,
2:38.0,R. Gobert makes 2-pt shot at rim,2,15-17,,
2:18.0,,,15-20,3,P. Mills makes 3-pt shot from 24 ft (assist by B. Diaw)
