time,New York,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. H. Sims (F. Aldemir gains possession),,,,Jump ball: L. Amundson vs. H. Sims (F. Aldemir gains possession)
11:44.0,,,0-0,,Turnover by M. Carter-Williams (bad pass; steal by L. Galloway)
11:39.0,J. Calderon misses 2-pt shot from 2 ft (block by R. Covington),,0-0,,
11:37.0,Offensive rebound by L. Galloway,,0-0,,
11:37.0,L. Galloway misses 2-pt shot from 1 ft,,0-0,,
11:36.0,Offensive rebound by L. Amundson,,0-0,,
11:36.0,L. Amundson misses 2-pt shot at rim (block by F. Aldemir),,0-0,,
11:36.0,Offensive rebound by Team,,0-0,,
11:35.0,J. Calderon makes 2-pt shot from 8 ft (assist by C. Anthony),2,2-0,,
11:26.0,,,2-0,,R. Covington misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by J. Smith,,2-0,,
11:07.0,Turnover by J. Calderon (bad pass; steal by R. Covington),,2-0,,
10:55.0,,,2-0,,K. McDaniels misses 3-pt shot from 25 ft
10:54.0,Defensive rebound by L. Galloway,,2-0,,
10:48.0,L. Galloway misses 2-pt shot from 1 ft,,2-0,,
10:46.0,,,2-0,,Defensive rebound by F. Aldemir
10:40.0,,,2-2,2,M. Carter-Williams makes 2-pt shot from 17 ft
10:20.0,L. Galloway misses 2-pt shot from 15 ft,,2-2,,
10:19.0,,,2-2,,Defensive rebound by F. Aldemir
9:54.0,,,2-2,,R. Covington misses 3-pt shot from 25 ft
9:54.0,,,2-2,,Offensive rebound by Team
9:54.0,Loose ball foul by L. Amundson (drawn by H. Sims),,2-2,,
9:44.0,,,2-4,2,M. Carter-Williams makes 2-pt shot from 1 ft (assist by R. Covington)
9:20.0,Turnover by L. Amundson (offensive goaltending),,2-4,,
9:10.0,,,2-4,,M. Carter-Williams misses 2-pt shot from 17 ft
9:08.0,Defensive rebound by L. Amundson,,2-4,,
8:49.0,,,2-4,,Personal foul by F. Aldemir (drawn by J. Smith)
8:42.0,J. Calderon makes 3-pt shot from 25 ft (assist by J. Smith),3,5-4,,
8:21.0,,,5-4,,M. Carter-Williams misses 2-pt shot from 6 ft
8:19.0,Defensive rebound by L. Galloway,,5-4,,
8:09.0,C. Anthony misses 2-pt shot from 1 ft,,5-4,,
8:05.0,,,5-4,,Defensive rebound by H. Sims
7:53.0,,,5-6,2,K. McDaniels makes 2-pt shot at rim (assist by M. Carter-Williams)
7:40.0,J. Calderon makes 2-pt shot from 17 ft (assist by L. Amundson),2,7-6,,
7:26.0,,,7-6,,M. Carter-Williams misses 2-pt shot from 3 ft
7:25.0,,,7-6,,Offensive rebound by M. Carter-Williams
7:24.0,,,7-6,,M. Carter-Williams misses 2-pt shot at rim
7:23.0,,,7-6,,Offensive rebound by H. Sims
7:23.0,,,7-6,,H. Sims misses 2-pt shot from 1 ft
7:21.0,Defensive rebound by L. Amundson,,7-6,,
7:14.0,C. Anthony misses 2-pt shot from 1 ft,,7-6,,
7:12.0,,,7-6,,Defensive rebound by K. McDaniels
7:05.0,,,7-6,,H. Sims misses 2-pt shot from 2 ft
7:03.0,,,7-6,,Offensive rebound by M. Carter-Williams
7:03.0,,,7-8,2,M. Carter-Williams makes 2-pt shot at rim
7:02.0,New York full timeout,,7-8,,
7:02.0,,,7-8,,J. Grant enters the game for F. Aldemir
6:44.0,L. Amundson makes 2-pt shot from 8 ft (assist by J. Calderon),2,9-8,,
6:24.0,,,9-10,2,R. Covington makes 2-pt shot from 1 ft
6:09.0,J. Smith misses 2-pt shot from 17 ft,,9-10,,
6:08.0,,,9-10,,Defensive rebound by K. McDaniels
5:59.0,,,9-12,2,H. Sims makes 2-pt shot at rim (assist by M. Carter-Williams)
5:38.0,C. Anthony makes 2-pt shot from 5 ft,2,11-12,,
5:30.0,Personal foul by J. Smith (drawn by M. Carter-Williams),,11-12,,
5:30.0,,,11-12,,M. Thomas enters the game for H. Sims
5:30.0,T. Hardaway enters the game for L. Galloway,,11-12,,
5:30.0,L. Thomas enters the game for L. Amundson,,11-12,,
5:13.0,,,11-12,,M. Carter-Williams misses 2-pt shot from 6 ft (block by J. Smith)
5:10.0,Defensive rebound by L. Thomas,,11-12,,
5:04.0,L. Thomas makes 2-pt shot from 13 ft (assist by J. Calderon),2,13-12,,
4:43.0,,,13-12,,K. McDaniels misses 2-pt shot at rim
4:42.0,Defensive rebound by J. Calderon,,13-12,,
4:38.0,,,13-12,,H. Thompson enters the game for K. McDaniels
4:38.0,,,13-12,,L. Drew enters the game for R. Covington
4:35.0,,,13-12,,Personal foul by H. Thompson (drawn by T. Hardaway)
4:25.0,T. Hardaway misses 2-pt shot from 21 ft,,13-12,,
4:23.0,,,13-12,,Defensive rebound by M. Thomas
4:14.0,,,13-12,,L. Drew misses 3-pt shot from 27 ft
4:12.0,Defensive rebound by C. Anthony,,13-12,,
4:07.0,T. Hardaway misses 2-pt shot from 2 ft (block by J. Grant),,13-12,,
4:04.0,,,13-12,,Defensive rebound by M. Carter-Williams
3:57.0,,,13-12,,J. Grant misses 3-pt shot from 25 ft
3:56.0,Defensive rebound by C. Anthony,,13-12,,
3:48.0,,,13-12,,Personal foul by H. Thompson (drawn by C. Anthony)
3:48.0,,,13-12,,J. Sampson enters the game for M. Carter-Williams
3:48.0,A. Stoudemire enters the game for J. Smith,,13-12,,
3:43.0,L. Thomas misses 2-pt shot from 10 ft (block by J. Grant),,13-12,,
3:40.0,Offensive rebound by J. Calderon,,13-12,,
3:35.0,A. Stoudemire makes 2-pt shot from 1 ft (assist by J. Calderon),2,15-12,,
3:35.0,Shooting foul by M. Thomas (drawn by A. Stoudemire),,15-12,,
3:35.0,A. Stoudemire makes free throw 1 of 1,1,16-12,,
3:35.0,,,16-12,,Philadelphia full timeout
3:23.0,,,16-15,3,H. Thompson makes 3-pt shot from 25 ft (assist by L. Drew)
3:01.0,A. Stoudemire misses 2-pt shot from 7 ft,,16-15,,
2:59.0,,,16-15,,Defensive rebound by M. Thomas
2:50.0,,,16-15,,M. Thomas misses 3-pt shot from 24 ft
2:48.0,Defensive rebound by T. Hardaway,,16-15,,
2:41.0,Shooting foul by J. Sampson (drawn by T. Hardaway),,16-15,,
2:41.0,T. Hardaway makes free throw 1 of 2,1,17-15,,
2:41.0,S. Larkin enters the game for J. Calderon,,17-15,,
2:41.0,T. Hardaway makes free throw 2 of 2,1,18-15,,
2:18.0,,,18-17,2,J. Sampson makes 2-pt shot from 9 ft (assist by H. Thompson)
1:57.0,C. Anthony misses 3-pt shot from 25 ft,,18-17,,
1:55.0,,,18-17,,Defensive rebound by L. Drew
1:38.0,,,18-17,,Offensive foul by H. Thompson
1:38.0,,,18-17,,Turnover by H. Thompson (offensive foul)
1:38.0,,,18-17,,K. McDaniels enters the game for H. Thompson
1:38.0,T. Wear enters the game for C. Anthony,,18-17,,
1:17.0,T. Hardaway misses 3-pt shot from 26 ft,,18-17,,
1:15.0,Offensive rebound by T. Wear,,18-17,,
1:01.0,L. Thomas misses 2-pt shot from 7 ft,,18-17,,
1:00.0,,,18-17,,Defensive rebound by Team
0:43.0,Personal foul by T. Hardaway (drawn by K. McDaniels),,18-17,,
0:38.0,Personal foul by A. Stoudemire (drawn by L. Drew),,18-17,,
0:38.0,,,18-18,1,L. Drew makes free throw 1 of 2
0:38.0,,,18-18,,L. Drew misses free throw 2 of 2
0:33.0,Defensive rebound by A. Stoudemire,,18-18,,
0:17.0,L. Thomas misses 2-pt shot from 17 ft,,18-18,,
0:16.0,,,18-18,,Defensive rebound by J. Grant
0:00.0,,,18-18,,Turnover by J. Grant (traveling)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,S. Larkin makes 3-pt shot from 26 ft (assist by T. Wear),3,21-18,,
11:29.0,,,21-18,,Turnover by L. Drew (step out of bounds)
11:10.0,A. Stoudemire misses 2-pt shot from 2 ft (block by F. Aldemir),,21-18,,
11:09.0,Offensive rebound by Team,,21-18,,
11:06.0,T. Hardaway misses 2-pt shot from 18 ft,,21-18,,
11:05.0,Offensive rebound by T. Wear,,21-18,,
11:00.0,,,21-18,,Personal foul by K. McDaniels (drawn by A. Stoudemire)
10:51.0,T. Hardaway makes 2-pt shot from 14 ft (assist by L. Thomas),2,23-18,,
10:41.0,Personal foul by A. Stoudemire (drawn by H. Sims),,23-18,,
10:33.0,,,23-18,,Turnover by K. McDaniels (lost ball)
10:25.0,Turnover by S. Larkin (lost ball; steal by L. Drew),,23-18,,
10:22.0,,,23-20,2,K. McDaniels makes 2-pt shot at rim (assist by L. Drew)
10:07.0,S. Larkin makes 2-pt shot at rim (assist by L. Thomas),2,25-20,,
9:51.0,,,25-20,,K. McDaniels misses 2-pt shot from 15 ft
9:51.0,Defensive rebound by Team,,25-20,,
9:51.0,,,25-20,,Loose ball foul by H. Sims (drawn by A. Stoudemire)
9:51.0,,,25-20,,M. Carter-Williams enters the game for L. Drew
9:38.0,Shooting foul by H. Sims (drawn by A. Stoudemire),,25-20,,
9:38.0,A. Stoudemire makes free throw 1 of 2,1,26-20,,
9:38.0,A. Stoudemire makes free throw 2 of 2,1,27-20,,
9:28.0,,,27-22,2,H. Sims makes 2-pt shot from 18 ft (assist by M. Carter-Williams)
9:12.0,Turnover by T. Wear (bad pass; steal by M. Carter-Williams),,27-22,,
9:02.0,,,27-22,,M. Carter-Williams misses 3-pt shot from 24 ft
9:00.0,,,27-22,,Offensive rebound by F. Aldemir
8:55.0,,,27-22,,Philadelphia full timeout
8:55.0,,,27-22,,J. Grant enters the game for K. McDaniels
8:55.0,J. Smith enters the game for T. Wear,,27-22,,
8:55.0,L. Galloway enters the game for S. Larkin,,27-22,,
8:55.0,C. Anthony enters the game for A. Stoudemire,,27-22,,
8:45.0,,,27-22,,H. Sims misses 2-pt shot from 17 ft
8:43.0,Defensive rebound by L. Galloway,,27-22,,
8:24.0,T. Hardaway misses 3-pt shot from 29 ft (block by J. Grant),,27-22,,
8:22.0,Offensive rebound by T. Hardaway,,27-22,,
8:20.0,T. Hardaway misses 2-pt shot from 18 ft,,27-22,,
8:17.0,,,27-22,,Defensive rebound by F. Aldemir
8:09.0,,,27-24,2,M. Carter-Williams makes 2-pt shot from 1 ft (assist by H. Sims)
7:51.0,J. Smith misses 2-pt shot from 14 ft,,27-24,,
7:48.0,Offensive rebound by C. Anthony,,27-24,,
7:47.0,C. Anthony misses 2-pt shot from 2 ft (block by F. Aldemir),,27-24,,
7:45.0,Offensive rebound by C. Anthony,,27-24,,
7:45.0,C. Anthony misses 2-pt shot from 1 ft,,27-24,,
7:43.0,,,27-24,,Defensive rebound by H. Sims
7:37.0,,,27-26,2,J. Grant makes 2-pt shot at rim (assist by M. Carter-Williams)
7:24.0,Shooting foul by F. Aldemir (drawn by T. Hardaway),,27-26,,
7:24.0,T. Hardaway makes free throw 1 of 2,1,28-26,,
7:24.0,T. Hardaway misses free throw 2 of 2,,28-26,,
7:22.0,,,28-26,,Defensive rebound by Team
