time,Brooklyn,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Plumlee (C. Paul gains possession),,,,Jump ball: D. Jordan vs. M. Plumlee (C. Paul gains possession)
11:45.0,,,0-2,2,J. Redick makes 2-pt shot from 21 ft (assist by C. Paul)
11:20.0,J. Johnson misses 3-pt shot from 27 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by B. Griffin
11:09.0,,,0-2,,Shooting foul by B. Lopez (drawn by D. Jordan)
11:09.0,,,0-2,,D. Jordan misses free throw 1 of 2
11:09.0,,,0-2,,Offensive rebound by Team
11:09.0,,,0-2,,D. Jordan misses free throw 2 of 2
11:08.0,Defensive rebound by J. Johnson,,0-2,,
10:43.0,Turnover by M. Plumlee (offensive goaltending),,0-2,,
10:28.0,,,0-2,,B. Griffin misses 2-pt shot from 1 ft
10:27.0,,,0-2,,Offensive rebound by B. Griffin
10:25.0,,,0-4,2,B. Griffin makes 2-pt shot at rim
10:12.0,J. Jack misses 2-pt shot from 13 ft (block by D. Jordan),,0-4,,
10:10.0,,,0-4,,Defensive rebound by C. Paul
10:05.0,,,0-6,2,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul)
9:39.0,M. Plumlee makes 2-pt shot at rim,2,2-6,,
9:32.0,,,2-8,2,B. Griffin makes 2-pt shot at rim (assist by M. Barnes)
9:23.0,Brooklyn full timeout,,2-8,,
9:14.0,J. Jack makes 2-pt shot from 20 ft,2,4-8,,
8:52.0,,,4-8,,B. Griffin misses 2-pt shot from 5 ft
8:51.0,,,4-8,,Offensive rebound by Team
8:37.0,,,4-8,,J. Redick misses 3-pt shot from 23 ft
8:36.0,,,4-8,,Offensive rebound by D. Jordan
8:36.0,Loose ball foul by M. Plumlee (drawn by D. Jordan),,4-8,,
8:27.0,,,4-8,,C. Paul misses 2-pt shot from 16 ft
8:26.0,Defensive rebound by B. Lopez,,4-8,,
8:20.0,M. Plumlee makes 2-pt shot at rim (assist by J. Jack),2,6-8,,
8:04.0,,,6-10,2,B. Griffin makes 2-pt shot at rim (assist by J. Redick)
7:38.0,B. Lopez makes 2-pt shot from 6 ft,2,8-10,,
7:24.0,,,8-10,,Turnover by J. Redick (bad pass; steal by J. Johnson)
7:19.0,M. Plumlee makes 2-pt shot at rim (assist by J. Johnson),2,10-10,,
7:17.0,Violation by Team (delay of game),,10-10,,
7:07.0,,,10-12,2,D. Jordan makes 2-pt shot at rim (assist by J. Redick)
6:48.0,M. Plumlee makes 2-pt shot at rim (assist by J. Jack),2,12-12,,
6:33.0,,,12-12,,J. Redick misses 2-pt shot from 19 ft
6:31.0,Defensive rebound by M. Plumlee,,12-12,,
6:19.0,Shooting foul by M. Barnes (drawn by M. Plumlee),,12-12,,
6:19.0,M. Plumlee makes free throw 1 of 2,1,13-12,,
6:19.0,M. Plumlee makes free throw 2 of 2,1,14-12,,
6:11.0,,,14-14,2,J. Redick makes 2-pt shot from 1 ft (assist by C. Paul)
5:55.0,J. Jack makes 3-pt shot from 25 ft,3,17-14,,
5:41.0,,,17-16,2,D. Jordan makes 2-pt shot from 1 ft (assist by B. Griffin)
5:20.0,M. Plumlee misses 2-pt shot from 1 ft,,17-16,,
5:19.0,,,17-16,,Defensive rebound by C. Paul
5:16.0,,,17-16,,Shooting foul by J. Jack (drawn by B. Griffin)
5:16.0,,,17-17,1,B. Griffin makes free throw 1 of 2
5:16.0,A. Anderson enters the game for B. Bogdanovic,,17-17,,
5:16.0,,,17-17,,B. Griffin misses free throw 2 of 2
5:14.0,Defensive rebound by J. Johnson,,17-17,,
4:52.0,J. Johnson misses 3-pt shot from 25 ft,,17-17,,
4:51.0,,,17-17,,Defensive rebound by D. Jordan
4:45.0,,,17-20,3,M. Barnes makes 3-pt shot from 24 ft (assist by C. Paul)
4:32.0,J. Jack misses 2-pt shot from 9 ft,,17-20,,
4:31.0,,,17-20,,Defensive rebound by B. Griffin
4:29.0,,,17-20,,Turnover by B. Griffin (lost ball; steal by M. Plumlee)
4:27.0,M. Plumlee misses 2-pt shot from 4 ft,,17-20,,
4:26.0,,,17-20,,Defensive rebound by Team
4:23.0,,,17-20,,Turnover by C. Paul (bad pass; steal by J. Jack)
4:19.0,Turnover by J. Jack (bad pass; steal by C. Paul),,17-20,,
4:15.0,,,17-22,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
3:54.0,B. Lopez misses 2-pt shot from 10 ft,,17-22,,
3:53.0,,,17-22,,Defensive rebound by D. Jordan
3:45.0,,,17-24,2,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul)
3:41.0,Brooklyn full timeout,,17-24,,
3:41.0,,,17-24,,J. Crawford enters the game for J. Redick
3:22.0,J. Johnson makes 2-pt shot from 7 ft,2,19-24,,
3:14.0,,,19-24,,M. Barnes misses 3-pt shot from 24 ft
3:13.0,Defensive rebound by A. Anderson,,19-24,,
3:08.0,Turnover by J. Jack (lost ball),,19-24,,
2:59.0,,,19-27,3,J. Crawford makes 3-pt shot from 24 ft (assist by C. Paul)
2:36.0,J. Johnson misses 2-pt shot from 8 ft,,19-27,,
2:32.0,,,19-27,,Defensive rebound by J. Crawford
2:29.0,,,19-29,2,B. Griffin makes 2-pt shot at rim (assist by J. Crawford)
2:03.0,B. Lopez misses 2-pt shot from 8 ft,,19-29,,
2:00.0,,,19-29,,Defensive rebound by D. Jordan
1:50.0,,,19-29,,B. Griffin misses 2-pt shot from 19 ft
1:48.0,,,19-29,,Offensive rebound by D. Jordan
1:43.0,,,19-29,,Turnover by B. Griffin (lost ball; steal by A. Anderson)
1:38.0,A. Anderson makes 2-pt shot from 1 ft,2,21-29,,
1:35.0,,,21-29,,LA Clippers full timeout
1:35.0,,,21-29,,S. Hawes enters the game for B. Griffin
1:35.0,,,21-29,,A. Rivers enters the game for C. Paul
1:35.0,B. Bogdanovic enters the game for J. Johnson,,21-29,,
1:24.0,,,21-29,,J. Crawford misses 3-pt shot from 25 ft
1:22.0,,,21-29,,Offensive rebound by D. Jordan
1:20.0,,,21-31,2,D. Jordan makes 2-pt shot at rim
1:04.0,Shooting foul by S. Hawes (drawn by M. Plumlee),,21-31,,
1:04.0,M. Plumlee misses free throw 1 of 2,,21-31,,
1:04.0,Offensive rebound by Team,,21-31,,
1:04.0,,,21-31,,H. Turkoglu enters the game for M. Barnes
1:04.0,M. Plumlee misses free throw 2 of 2,,21-31,,
1:03.0,Offensive rebound by A. Anderson,,21-31,,
0:52.0,A. Anderson misses 3-pt shot from 24 ft,,21-31,,
0:51.0,,,21-31,,Defensive rebound by D. Jordan
0:44.0,,,21-31,,J. Crawford misses 2-pt shot from 22 ft
0:43.0,Defensive rebound by M. Plumlee,,21-31,,
0:33.0,J. Jack misses 2-pt shot from 22 ft,,21-31,,
0:32.0,,,21-31,,Defensive rebound by D. Jordan
0:21.0,,,21-31,,S. Hawes misses 2-pt shot from 2 ft (block by B. Lopez)
0:19.0,,,21-31,,Offensive rebound by D. Jordan
0:11.0,,,21-34,3,S. Hawes makes 3-pt shot from 26 ft (assist by A. Rivers)
0:01.0,J. Jack makes 2-pt shot from 14 ft,2,23-34,,
