time,Memphis,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. M. Gasol (D. Nowitzki gains possession),,,,Jump ball: T. Chandler vs. M. Gasol (D. Nowitzki gains possession)
11:44.0,,,0-2,2,C. Parsons makes 2-pt shot from 22 ft (assist by D. Nowitzki)
11:19.0,Turnover by Z. Randolph (bad pass),,0-2,,
11:02.0,,,0-4,2,C. Parsons makes 2-pt shot from 4 ft (assist by D. Nowitzki)
10:47.0,Z. Randolph misses 2-pt shot from 3 ft,,0-4,,
10:45.0,,,0-4,,Defensive rebound by D. Nowitzki
10:28.0,,,0-4,,R. Rondo misses 2-pt shot from 19 ft
10:27.0,Defensive rebound by B. Udrih,,0-4,,
10:14.0,M. Gasol makes 2-pt shot from 8 ft,2,2-4,,
9:51.0,,,2-4,,Turnover by T. Chandler (lost ball; steal by C. Lee)
9:49.0,Turnover by M. Gasol (bad pass; steal by M. Ellis),,2-4,,
9:44.0,,,2-6,2,M. Ellis makes 2-pt shot from 5 ft
9:24.0,C. Lee makes 3-pt shot from 23 ft (assist by M. Gasol),3,5-6,,
9:11.0,,,5-9,3,C. Parsons makes 3-pt shot from 24 ft (assist by T. Chandler)
8:55.0,Turnover by Z. Randolph (bad pass; steal by R. Rondo),,5-9,,
8:41.0,,,5-11,2,T. Chandler makes 2-pt shot from 1 ft (assist by D. Nowitzki)
8:33.0,Memphis full timeout,,5-11,,
8:24.0,J. Green makes 2-pt shot from 6 ft,2,7-11,,
8:07.0,,,7-11,,D. Nowitzki misses 2-pt shot from 14 ft
8:06.0,Defensive rebound by J. Green,,7-11,,
7:58.0,C. Lee misses 3-pt shot from 25 ft,,7-11,,
7:56.0,,,7-11,,Defensive rebound by R. Rondo
7:44.0,,,7-14,3,C. Parsons makes 3-pt shot from 22 ft (assist by R. Rondo)
7:30.0,,,7-14,,Personal block foul by C. Parsons (drawn by J. Green)
7:19.0,,,7-14,,Personal block foul by T. Chandler (drawn by Z. Randolph)
7:13.0,Z. Randolph makes 2-pt shot from 20 ft (assist by B. Udrih),2,9-14,,
6:59.0,,,9-16,2,R. Rondo makes 2-pt shot from 2 ft
6:38.0,J. Green makes 3-pt shot from 23 ft (assist by M. Gasol),3,12-16,,
6:20.0,,,12-16,,D. Nowitzki misses 2-pt shot from 13 ft
6:18.0,Defensive rebound by M. Gasol,,12-16,,
6:12.0,M. Gasol misses 2-pt shot from 3 ft (block by D. Nowitzki),,12-16,,
6:12.0,Offensive rebound by Team,,12-16,,
6:12.0,,,12-16,,D. Harris enters the game for R. Rondo
6:12.0,,,12-16,,D. Powell enters the game for D. Nowitzki
6:03.0,M. Gasol makes 2-pt shot from 2 ft (assist by B. Udrih),2,14-16,,
5:49.0,,,14-16,,Turnover by C. Parsons (bad pass)
