time,Memphis,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. M. Gasol (Z. Randolph gains possession),,,,Jump ball: D. Favors vs. M. Gasol (Z. Randolph gains possession)
11:38.0,M. Conley misses 2-pt shot from 13 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by E. Kanter
11:23.0,,,0-2,2,E. Kanter makes 2-pt shot from 1 ft (assist by G. Hayward)
11:09.0,Shooting foul by G. Hayward (drawn by J. Green),,0-2,,
11:09.0,J. Green makes free throw 1 of 2,1,1-2,,
11:09.0,J. Green makes free throw 2 of 2,1,2-2,,
10:49.0,,,2-2,,D. Exum misses 3-pt shot from 23 ft
10:47.0,Defensive rebound by Team,,2-2,,
10:33.0,Offensive foul by M. Gasol,,2-2,,
10:33.0,Turnover by M. Gasol (offensive foul),,2-2,,
10:09.0,,,2-2,,D. Favors misses 2-pt shot from 16 ft
10:07.0,Defensive rebound by C. Lee,,2-2,,
9:59.0,M. Gasol misses 2-pt shot from 17 ft,,2-2,,
9:58.0,,,2-2,,Defensive rebound by D. Favors
9:46.0,,,2-4,2,E. Kanter makes 2-pt shot from 3 ft
9:25.0,M. Conley misses 2-pt shot from 2 ft,,2-4,,
9:24.0,,,2-4,,Defensive rebound by D. Exum
9:19.0,,,2-7,3,G. Hayward makes 3-pt shot from 24 ft (assist by D. Exum)
9:05.0,M. Conley makes 2-pt shot from 1 ft (assist by M. Gasol),2,4-7,,
8:59.0,,,4-7,,D. Exum misses 2-pt shot from 7 ft
8:57.0,,,4-7,,Offensive rebound by D. Exum
8:49.0,,,4-7,,Turnover by D. Favors (traveling)
8:26.0,M. Gasol makes 2-pt shot from 4 ft (assist by J. Green),2,6-7,,
8:06.0,,,6-7,,D. Favors misses 2-pt shot from 8 ft (block by J. Green)
8:03.0,Defensive rebound by M. Conley,,6-7,,
8:00.0,J. Green misses 2-pt shot from 3 ft,,6-7,,
7:59.0,,,6-7,,Defensive rebound by J. Ingles
7:53.0,,,6-7,,Offensive charge foul by E. Kanter
7:53.0,,,6-7,,Turnover by E. Kanter (offensive foul)
7:28.0,J. Green makes 3-pt shot from 26 ft (assist by M. Gasol),3,9-7,,
7:08.0,,,9-9,2,E. Kanter makes 2-pt shot from 1 ft
6:56.0,,,9-9,,Personal foul by D. Favors (drawn by M. Gasol)
6:52.0,,,9-9,,Violation by G. Hayward (kicked ball)
6:44.0,Z. Randolph makes 2-pt shot from 16 ft (assist by M. Conley),2,11-9,,
6:29.0,,,11-11,2,D. Favors makes 2-pt shot from 7 ft (assist by J. Ingles)
5:57.0,M. Conley makes 2-pt shot from 18 ft,2,13-11,,
