time,Cleveland,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. T. Mozgov (K. Love gains possession),,,,Jump ball: R. Hibbert vs. T. Mozgov (K. Love gains possession)
11:47.0,,,0-0,,Personal foul by D. West (drawn by K. Love)
11:43.0,T. Mozgov makes 2-pt shot from 19 ft (assist by L. James),2,2-0,,
11:18.0,,,2-0,,C. Miles misses 3-pt shot from 25 ft
11:17.0,Defensive rebound by K. Irving,,2-0,,
10:58.0,L. James makes 2-pt shot from 3 ft,2,4-0,,
10:44.0,,,4-2,2,R. Hibbert makes 2-pt shot from 5 ft (assist by C. Miles)
10:26.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,7-2,,
10:14.0,,,7-4,2,D. West makes 2-pt shot from 19 ft (assist by G. Hill)
9:49.0,K. Irving makes 2-pt shot from 18 ft (assist by T. Mozgov),2,9-4,,
9:33.0,,,9-6,2,R. Hibbert makes 2-pt shot from 17 ft (assist by C. Miles)
9:16.0,K. Irving misses 3-pt shot from 24 ft,,9-6,,
9:15.0,,,9-6,,Defensive rebound by S. Hill
9:09.0,,,9-6,,C. Miles misses 3-pt shot from 24 ft
9:08.0,Defensive rebound by L. James,,9-6,,
8:59.0,L. James makes 2-pt shot from 1 ft,2,11-6,,
8:48.0,,,11-8,2,D. West makes 2-pt shot from 19 ft (assist by G. Hill)
8:26.0,K. Love makes 2-pt shot from 3 ft,2,13-8,,
8:13.0,,,13-10,2,D. West makes 2-pt shot from 1 ft (assist by S. Hill)
7:56.0,L. James makes 2-pt shot from 2 ft,2,15-10,,
7:35.0,,,15-10,,R. Hibbert misses 2-pt shot from 16 ft
7:34.0,Defensive rebound by L. James,,15-10,,
7:26.0,L. James misses 2-pt shot from 2 ft,,15-10,,
7:25.0,,,15-10,,Defensive rebound by R. Hibbert
7:20.0,,,15-10,,Shooting foul by T. Mozgov (drawn by G. Hill)
7:20.0,,,15-11,1,G. Hill makes free throw 1 of 2
7:20.0,,,15-12,1,G. Hill makes free throw 2 of 2
7:04.0,T. Mozgov makes 2-pt shot from 1 ft (assist by K. Irving),2,17-12,,
6:49.0,,,17-12,,D. West misses 2-pt shot from 18 ft
6:48.0,Defensive rebound by L. James,,17-12,,
6:41.0,K. Love misses 2-pt shot from 4 ft,,17-12,,
6:39.0,,,17-12,,Defensive rebound by D. West
6:31.0,,,17-12,,G. Hill misses 2-pt shot from 2 ft
6:29.0,Defensive rebound by L. James,,17-12,,
6:26.0,K. Irving makes 2-pt shot from 1 ft (assist by L. James),2,19-12,,
6:26.0,,,19-12,,Indiana full timeout
6:17.0,,,19-15,3,C. Miles makes 3-pt shot from 23 ft (assist by D. West)
5:54.0,Turnover by L. James (bad pass; steal by S. Hill),,19-15,,
5:31.0,,,19-15,,C. Miles misses 3-pt shot from 26 ft
5:30.0,,,19-15,,Offensive rebound by D. West
5:30.0,,,19-17,2,D. West makes 2-pt shot from 2 ft
5:13.0,L. James misses 3-pt shot from 25 ft,,19-17,,
5:12.0,,,19-17,,Defensive rebound by D. West
4:54.0,,,19-17,,G. Hill misses 2-pt shot from 19 ft
4:52.0,Defensive rebound by Team,,19-17,,
4:52.0,I. Shumpert enters the game for L. James,,19-17,,
4:42.0,K. Irving makes 2-pt shot from 12 ft,2,21-17,,
4:30.0,,,21-19,2,D. West makes 2-pt shot from 17 ft (assist by G. Hill)
4:15.0,K. Irving makes 2-pt shot from 16 ft,2,23-19,,
4:03.0,,,23-19,,Turnover by G. Hill (bad pass; steal by I. Shumpert)
3:54.0,Shooting foul by D. West (drawn by T. Mozgov),,23-19,,
3:54.0,T. Mozgov makes free throw 1 of 2,1,24-19,,
3:54.0,,,24-19,,L. Scola enters the game for S. Hill
3:54.0,,,24-19,,R. Stuckey enters the game for D. West
3:54.0,,,24-19,,C. Watson enters the game for R. Hibbert
3:54.0,,,24-19,,S. Whittington enters the game for G. Hill
3:54.0,T. Mozgov makes free throw 2 of 2,1,25-19,,
3:44.0,,,25-19,,C. Miles misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by T. Mozgov,,25-19,,
3:33.0,,,25-19,,Personal block foul by C. Miles (drawn by K. Irving)
3:16.0,J. Smith makes 3-pt shot from 27 ft (assist by I. Shumpert),3,28-19,,
2:52.0,,,28-21,2,S. Whittington makes 2-pt shot from 1 ft (assist by C. Miles)
2:39.0,T. Mozgov misses 2-pt shot from 2 ft,,28-21,,
2:37.0,,,28-21,,Defensive rebound by S. Whittington
2:32.0,Cleveland full timeout,,28-21,,
2:32.0,,,28-21,,D. Rudez enters the game for C. Miles
2:32.0,T. Thompson enters the game for T. Mozgov,,28-21,,
2:22.0,,,28-24,3,D. Rudez makes 3-pt shot from 22 ft (assist by C. Watson)
2:03.0,K. Irving misses 2-pt shot from 10 ft,,28-24,,
1:59.0,Offensive rebound by K. Irving,,28-24,,
1:59.0,,,28-24,,Personal foul by R. Stuckey (drawn by K. Irving)
1:59.0,M. Dellavedova enters the game for K. Irving,,28-24,,
1:59.0,L. James enters the game for J. Smith,,28-24,,
1:42.0,I. Shumpert makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,31-24,,
1:24.0,,,31-24,,R. Stuckey misses 2-pt shot from 6 ft
1:21.0,Defensive rebound by K. Love,,31-24,,
1:14.0,L. James misses 2-pt shot from 2 ft,,31-24,,
1:13.0,,,31-24,,Defensive rebound by L. Scola
1:08.0,,,31-27,3,D. Rudez makes 3-pt shot from 24 ft (assist by R. Stuckey)
0:54.0,Turnover by L. James (traveling),,31-27,,
0:54.0,S. Marion enters the game for K. Love,,31-27,,
0:33.0,,,31-27,,D. Rudez misses 3-pt shot from 27 ft
0:31.0,Defensive rebound by T. Thompson,,31-27,,
0:15.0,Shooting foul by S. Whittington (drawn by L. James),,31-27,,
0:15.0,L. James misses free throw 1 of 2,,31-27,,
0:15.0,Offensive rebound by Team,,31-27,,
0:15.0,,,31-27,,C. Miles enters the game for S. Whittington
0:15.0,L. James misses free throw 2 of 2,,31-27,,
0:15.0,,,31-27,,Defensive rebound by C. Miles
0:00.0,,,31-27,,R. Stuckey misses 2-pt shot from 16 ft
0:00.0,,,31-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,31-29,2,R. Stuckey makes 2-pt shot from 6 ft
11:16.0,L. James makes 2-pt shot from 18 ft,2,33-29,,
10:50.0,,,33-29,,C. Watson misses 2-pt shot from 15 ft
10:48.0,Defensive rebound by I. Shumpert,,33-29,,
10:36.0,L. James makes 2-pt shot from 2 ft,2,35-29,,
10:13.0,,,35-31,2,L. Scola makes 2-pt shot from 4 ft (assist by R. Stuckey)
9:51.0,Shooting foul by D. Rudez (drawn by L. James),,35-31,,
9:51.0,L. James makes free throw 1 of 2,1,36-31,,
9:51.0,,,36-31,,S. Hill enters the game for D. Rudez
9:51.0,T. Mozgov enters the game for I. Shumpert,,36-31,,
9:51.0,L. James makes free throw 2 of 2,1,37-31,,
