time,LA Lakers,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Sacre vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: R. Sacre vs. N. Vucevic (E. Payton gains possession)
11:46.0,,,0-0,,Turnover by E. Payton (bad pass; steal by R. Kelly)
11:41.0,J. Clarkson makes 2-pt shot from 1 ft (assist by R. Kelly),2,2-0,,
11:32.0,,,2-0,,N. Vucevic misses 2-pt shot from 4 ft
11:30.0,Defensive rebound by T. Black,,2-0,,
11:11.0,R. Sacre makes 2-pt shot from 11 ft,2,4-0,,
10:56.0,,,4-2,2,N. Vucevic makes 2-pt shot from 11 ft (assist by E. Payton)
10:29.0,W. Ellington makes 3-pt shot from 26 ft (assist by R. Kelly),3,7-2,,
10:18.0,,,7-4,2,N. Vucevic makes 2-pt shot from 8 ft (assist by E. Payton)
9:58.0,Turnover by W. Ellington (lost ball; steal by V. Oladipo),,7-4,,
9:48.0,,,7-4,,Turnover by V. Oladipo (bad pass; steal by J. Clarkson)
9:43.0,J. Clarkson makes 2-pt shot at rim,2,9-4,,
9:17.0,,,9-6,2,C. Frye makes 2-pt shot from 6 ft (assist by E. Payton)
8:47.0,R. Sacre misses 2-pt shot from 13 ft,,9-6,,
8:46.0,,,9-6,,Defensive rebound by N. Vucevic
8:33.0,,,9-6,,Turnover by E. Payton (lost ball; steal by J. Clarkson)
8:28.0,J. Clarkson makes 2-pt shot from 9 ft,2,11-6,,
8:07.0,,,11-6,,C. Frye misses 3-pt shot from 26 ft
8:06.0,Defensive rebound by Team,,11-6,,
7:51.0,Shooting foul by N. Vucevic (drawn by R. Sacre),,11-6,,
7:51.0,R. Sacre makes free throw 1 of 2,1,12-6,,
7:51.0,R. Sacre makes free throw 2 of 2,1,13-6,,
7:32.0,,,13-6,,Turnover by V. Oladipo (bad pass)
7:10.0,R. Kelly misses 2-pt shot from 8 ft,,13-6,,
7:09.0,Offensive rebound by T. Black,,13-6,,
7:09.0,T. Black misses 2-pt shot at rim,,13-6,,
7:06.0,Offensive rebound by J. Clarkson,,13-6,,
6:54.0,Turnover by T. Black (3 sec),,13-6,,
6:41.0,,,13-9,3,T. Harris makes 3-pt shot from 22 ft (assist by C. Frye)
6:15.0,R. Sacre misses 2-pt shot from 10 ft,,13-9,,
6:14.0,,,13-9,,Defensive rebound by V. Oladipo
6:08.0,,,13-9,,Turnover by V. Oladipo (lost ball; steal by J. Clarkson)
6:03.0,T. Black makes 2-pt shot at rim (assist by J. Clarkson),2,15-9,,
6:02.0,,,15-9,,Orlando full timeout
6:02.0,,,15-9,,A. Gordon enters the game for C. Frye
5:49.0,,,15-9,,N. Vucevic misses 2-pt shot from 18 ft
5:46.0,,,15-9,,Offensive rebound by A. Gordon
