time,Brooklyn,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. M. Plumlee (J. Dudley gains possession),,,,Jump ball: J. Henson vs. M. Plumlee (J. Dudley gains possession)
11:40.0,,,0-0,,G. Antetokounmpo misses 2-pt shot from 4 ft
11:39.0,,,0-0,,Offensive rebound by J. Henson
11:34.0,,,0-0,,J. Henson misses 2-pt shot from 7 ft
11:34.0,,,0-0,,Offensive rebound by Team
11:34.0,,,0-0,,Turnover by Team (shot clock)
11:10.0,J. Jack makes 2-pt shot at rim,2,2-0,,
10:56.0,,,2-0,,B. Knight misses 3-pt shot from 26 ft
10:55.0,,,2-0,,Offensive rebound by Team
10:52.0,,,2-0,,K. Middleton misses 3-pt shot from 23 ft
10:51.0,,,2-0,,Offensive rebound by G. Antetokounmpo
10:37.0,,,2-3,3,J. Dudley makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
10:16.0,K. Garnett makes 2-pt shot at rim (assist by M. Plumlee),2,4-3,,
10:02.0,,,4-3,,B. Knight misses 2-pt shot from 20 ft
10:01.0,Defensive rebound by K. Garnett,,4-3,,
9:59.0,,,4-3,,Personal block foul by J. Dudley (drawn by M. Plumlee)
9:49.0,J. Johnson misses 3-pt shot from 23 ft,,4-3,,
9:48.0,Offensive rebound by M. Plumlee,,4-3,,
9:47.0,Shooting foul by J. Henson (drawn by M. Plumlee),,4-3,,
9:47.0,M. Plumlee misses free throw 1 of 2,,4-3,,
9:47.0,Offensive rebound by Team,,4-3,,
9:47.0,M. Plumlee makes free throw 2 of 2,1,5-3,,
9:26.0,,,5-3,,G. Antetokounmpo misses 2-pt shot from 17 ft
9:25.0,Defensive rebound by J. Johnson,,5-3,,
9:09.0,J. Jack makes 3-pt shot from 23 ft (assist by A. Anderson),3,8-3,,
9:00.0,,,8-3,,K. Middleton misses 2-pt shot from 15 ft
8:59.0,,,8-3,,Offensive rebound by G. Antetokounmpo
8:52.0,,,8-5,2,G. Antetokounmpo makes 2-pt shot at rim (assist by B. Knight)
8:42.0,Turnover by J. Johnson (bad pass; steal by K. Middleton),,8-5,,
8:38.0,,,8-7,2,K. Middleton makes 2-pt shot at rim (assist by B. Knight)
8:15.0,K. Garnett makes 2-pt shot from 16 ft (assist by J. Johnson),2,10-7,,
8:05.0,,,10-7,,B. Knight misses 2-pt shot at rim
8:03.0,Defensive rebound by K. Garnett,,10-7,,
7:44.0,A. Anderson makes 3-pt shot from 23 ft (assist by M. Plumlee),3,13-7,,
7:22.0,,,13-9,2,J. Henson makes 2-pt shot from 4 ft
7:05.0,J. Jack makes 2-pt shot from 10 ft (assist by J. Johnson),2,15-9,,
6:50.0,,,15-12,3,B. Knight makes 3-pt shot from 25 ft (assist by K. Middleton)
6:28.0,J. Johnson misses 2-pt shot from 16 ft,,15-12,,
6:26.0,,,15-12,,Defensive rebound by G. Antetokounmpo
6:17.0,,,15-12,,K. Middleton misses 2-pt shot at rim
6:15.0,Defensive rebound by M. Plumlee,,15-12,,
6:01.0,Turnover by J. Jack (bad pass; steal by G. Antetokounmpo),,15-12,,
5:58.0,,,15-12,,B. Knight misses 2-pt shot at rim
