time,LA Lakers,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. R. Lopez (L. Aldridge gains possession),,,,Jump ball: T. Black vs. R. Lopez (L. Aldridge gains possession)
11:44.0,,,0-0,,Shooting foul by T. Black (drawn by N. Batum)
11:44.0,,,0-1,1,N. Batum makes free throw 1 of 2
11:44.0,,,0-2,1,N. Batum makes free throw 2 of 2
11:26.0,R. Kelly misses 2-pt shot from 5 ft,,0-2,,
11:25.0,,,0-2,,Defensive rebound by L. Aldridge
11:14.0,,,0-2,,L. Aldridge misses 2-pt shot from 22 ft
11:13.0,,,0-2,,Offensive rebound by R. Lopez
11:09.0,,,0-5,3,W. Matthews makes 3-pt shot from 23 ft (assist by R. Lopez)
10:49.0,W. Ellington misses 2-pt shot from 4 ft (block by R. Lopez),,0-5,,
10:48.0,Offensive rebound by W. Ellington,,0-5,,
10:42.0,W. Ellington misses 2-pt shot from 22 ft,,0-5,,
10:41.0,,,0-5,,Defensive rebound by N. Batum
10:33.0,,,0-5,,Shooting foul by R. Sacre (drawn by L. Aldridge)
10:33.0,,,0-6,1,L. Aldridge makes free throw 1 of 2
10:33.0,,,0-7,1,L. Aldridge makes free throw 2 of 2
10:14.0,W. Ellington makes 2-pt shot from 20 ft (assist by T. Black),2,2-7,,
9:59.0,,,2-7,,W. Matthews misses 3-pt shot from 24 ft
9:58.0,Defensive rebound by T. Black,,2-7,,
9:44.0,Shooting foul by D. Lillard (drawn by J. Clarkson),,2-7,,
9:44.0,J. Clarkson makes free throw 1 of 2,1,3-7,,
9:44.0,J. Clarkson makes free throw 2 of 2,1,4-7,,
9:29.0,,,4-10,3,N. Batum makes 3-pt shot from 24 ft (assist by L. Aldridge)
9:15.0,R. Kelly makes 3-pt shot from 23 ft (assist by J. Clarkson),3,7-10,,
8:51.0,,,7-10,,R. Lopez misses 2-pt shot at rim (block by T. Black)
8:50.0,Defensive rebound by T. Black,,7-10,,
8:43.0,J. Clarkson misses 2-pt shot from 4 ft,,7-10,,
8:41.0,Offensive rebound by J. Clarkson,,7-10,,
8:38.0,Shooting foul by W. Matthews (drawn by R. Sacre),,7-10,,
8:38.0,R. Sacre makes free throw 1 of 2,1,8-10,,
8:38.0,R. Sacre makes free throw 2 of 2,1,9-10,,
8:28.0,,,9-12,2,D. Lillard makes 2-pt shot from 1 ft
8:28.0,,,9-12,,Shooting foul by J. Clarkson (drawn by D. Lillard)
8:28.0,,,9-13,1,D. Lillard makes free throw 1 of 1
8:15.0,R. Sacre makes 2-pt shot from 18 ft (assist by J. Clarkson),2,11-13,,
8:00.0,,,11-13,,L. Aldridge misses 2-pt shot from 20 ft
7:59.0,Defensive rebound by R. Kelly,,11-13,,
7:41.0,R. Sacre misses 2-pt shot from 6 ft,,11-13,,
7:40.0,,,11-13,,Defensive rebound by L. Aldridge
7:24.0,,,11-13,,D. Lillard misses 3-pt shot from 26 ft
7:23.0,,,11-13,,Offensive rebound by W. Matthews
7:19.0,,,11-13,,L. Aldridge misses 3-pt shot from 24 ft
7:16.0,,,11-13,,Offensive rebound by D. Lillard
7:12.0,,,11-16,3,W. Matthews makes 3-pt shot from 23 ft (assist by D. Lillard)
6:50.0,W. Ellington misses 2-pt shot from 11 ft,,11-16,,
6:49.0,,,11-16,,Defensive rebound by L. Aldridge
6:38.0,,,11-18,2,W. Matthews makes 2-pt shot from 18 ft (assist by D. Lillard)
6:17.0,R. Kelly makes 2-pt shot from 17 ft (assist by T. Black),2,13-18,,
6:00.0,,,13-18,,Offensive foul by N. Batum
6:00.0,,,13-18,,Turnover by N. Batum (offensive foul)
5:40.0,R. Sacre makes 2-pt shot from 14 ft (assist by J. Clarkson),2,15-18,,
5:23.0,,,15-20,2,L. Aldridge makes 2-pt shot from 19 ft (assist by N. Batum)
5:04.0,J. Clarkson makes 2-pt shot from 6 ft,2,17-20,,
4:56.0,,,17-20,,Portland full timeout
4:56.0,C. Boozer enters the game for R. Sacre,,17-20,,
4:56.0,E. Davis enters the game for T. Black,,17-20,,
4:56.0,,,17-20,,S. Blake enters the game for W. Matthews
4:56.0,,,17-20,,M. Leonard enters the game for R. Lopez
4:44.0,,,17-22,2,M. Leonard makes 2-pt shot from 8 ft (assist by S. Blake)
4:29.0,W. Ellington makes 3-pt shot from 25 ft,3,20-22,,
4:18.0,Personal foul by C. Boozer (drawn by M. Leonard),,20-22,,
4:18.0,N. Young enters the game for R. Kelly,,20-22,,
4:18.0,J. Lin enters the game for W. Ellington,,20-22,,
4:18.0,W. Johnson enters the game for J. Clarkson,,20-22,,
4:12.0,,,20-22,,Turnover by D. Lillard (bad pass; steal by C. Boozer)
4:05.0,W. Johnson misses 2-pt shot from 20 ft,,20-22,,
4:04.0,,,20-22,,Defensive rebound by L. Aldridge
3:58.0,,,20-22,,Shooting foul by J. Lin (drawn by D. Lillard)
3:58.0,,,20-23,1,D. Lillard makes free throw 1 of 2
3:58.0,,,20-24,1,D. Lillard makes free throw 2 of 2
3:40.0,N. Young misses 3-pt shot from 24 ft (block by S. Blake),,20-24,,
3:39.0,,,20-24,,Defensive rebound by N. Batum
3:32.0,,,20-26,2,D. Lillard makes 2-pt shot from 1 ft
3:10.0,N. Young misses 2-pt shot from 16 ft,,20-26,,
3:10.0,,,20-26,,Defensive rebound by L. Aldridge
2:56.0,,,20-26,,L. Aldridge misses 2-pt shot from 21 ft
2:54.0,Defensive rebound by N. Young,,20-26,,
2:41.0,C. Boozer misses 2-pt shot from 20 ft,,20-26,,
2:40.0,,,20-26,,Defensive rebound by M. Leonard
2:31.0,,,20-28,2,L. Aldridge makes 2-pt shot from 2 ft (assist by D. Lillard)
2:11.0,E. Davis misses 2-pt shot from 3 ft,,20-28,,
2:10.0,,,20-28,,Defensive rebound by L. Aldridge
2:00.0,Loose ball foul by J. Lin (drawn by D. Lillard),,20-28,,
2:00.0,LA Lakers full timeout,,20-28,,
2:00.0,,,20-29,1,D. Lillard makes free throw 1 of 2
2:00.0,,,20-30,1,D. Lillard makes free throw 2 of 2
1:44.0,C. Boozer makes 2-pt shot from 20 ft (assist by E. Davis),2,22-30,,
1:27.0,,,22-30,,L. Aldridge misses 2-pt shot from 22 ft
1:26.0,,,22-30,,Offensive rebound by M. Leonard
1:11.0,,,22-30,,Shooting foul by W. Johnson (drawn by L. Aldridge)
1:11.0,,,22-31,1,L. Aldridge makes free throw 1 of 2
1:11.0,,,22-31,,C. McCollum enters the game for N. Batum
1:11.0,,,22-31,,W. Matthews enters the game for D. Lillard
1:11.0,,,22-32,1,L. Aldridge makes free throw 2 of 2
0:57.0,J. Lin misses 2-pt shot from 21 ft,,22-32,,
0:54.0,Offensive rebound by E. Davis,,22-32,,
0:53.0,E. Davis makes 2-pt shot at rim,2,24-32,,
0:43.0,,,24-32,,Turnover by S. Blake (bad pass)
0:34.0,J. Lin misses 2-pt shot from 19 ft,,24-32,,
0:33.0,,,24-32,,Defensive rebound by L. Aldridge
0:12.0,,,24-32,,L. Aldridge misses 2-pt shot from 8 ft (block by E. Davis)
0:11.0,Defensive rebound by E. Davis,,24-32,,
0:05.0,,,24-32,,Personal take foul by C. McCollum (drawn by N. Young)
0:00.0,N. Young misses 3-pt shot from 24 ft,,24-32,,
0:00.0,Offensive rebound by Team,,24-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,C. Boozer misses 2-pt shot from 15 ft,,24-32,,
11:44.0,,,24-32,,Defensive rebound by C. McCollum
11:35.0,,,24-35,3,M. Leonard makes 3-pt shot from 22 ft (assist by C. McCollum)
11:22.0,Turnover by N. Young (step out of bounds),,24-35,,
10:58.0,,,24-35,,Turnover by S. Blake (lost ball; steal by J. Lin)
10:50.0,W. Johnson misses 3-pt shot from 24 ft,,24-35,,
10:48.0,Offensive rebound by Team,,24-35,,
10:39.0,J. Lin misses 2-pt shot from 21 ft,,24-35,,
10:36.0,,,24-35,,Defensive rebound by W. Matthews
10:29.0,,,24-35,,W. Matthews misses 2-pt shot from 1 ft (block by E. Davis)
10:28.0,Defensive rebound by W. Johnson,,24-35,,
10:22.0,N. Young makes 2-pt shot from 6 ft,2,26-35,,
10:22.0,Shooting foul by M. Leonard (drawn by N. Young),,26-35,,
10:22.0,N. Young makes free throw 1 of 1,1,27-35,,
10:08.0,,,27-35,,C. McCollum misses 3-pt shot from 26 ft
10:06.0,,,27-35,,Offensive rebound by R. Lopez
10:06.0,,,27-35,,R. Lopez misses 2-pt shot from 1 ft
10:05.0,Defensive rebound by E. Davis,,27-35,,
9:53.0,C. Boozer misses 2-pt shot from 3 ft,,27-35,,
9:53.0,,,27-35,,Defensive rebound by C. McCollum
9:47.0,,,27-37,2,C. McCollum makes 2-pt shot from 1 ft
9:25.0,N. Young makes 2-pt shot from 16 ft,2,29-37,,
9:07.0,,,29-37,,Shooting foul by N. Young (drawn by W. Matthews)
9:07.0,,,29-38,1,W. Matthews makes free throw 1 of 2
9:07.0,,,29-39,1,W. Matthews makes free throw 2 of 2
8:42.0,C. Boozer misses 2-pt shot from 18 ft,,29-39,,
8:41.0,Offensive rebound by E. Davis,,29-39,,
8:37.0,N. Young misses 3-pt shot from 24 ft,,29-39,,
8:34.0,Offensive rebound by W. Johnson,,29-39,,
8:33.0,W. Johnson makes 2-pt shot from 7 ft,2,31-39,,
8:14.0,,,31-39,,S. Blake misses 3-pt shot from 24 ft
8:13.0,Defensive rebound by C. Boozer,,31-39,,
8:03.0,C. Boozer misses 2-pt shot from 15 ft,,31-39,,
8:03.0,,,31-39,,Defensive rebound by W. Matthews
7:57.0,,,31-41,2,C. McCollum makes 2-pt shot from 1 ft
7:36.0,N. Young makes 2-pt shot from 14 ft,2,33-41,,
7:35.0,,,33-41,,Portland full timeout
7:35.0,,,33-41,,D. Lillard enters the game for W. Matthews
7:35.0,R. Sacre enters the game for C. Boozer,,33-41,,
7:35.0,J. Clarkson enters the game for N. Young,,33-41,,
7:35.0,W. Ellington enters the game for J. Lin,,33-41,,
7:35.0,,,33-41,,T. Robinson enters the game for M. Leonard
7:35.0,,,33-41,,N. Batum enters the game for S. Blake
7:22.0,,,33-41,,N. Batum misses 2-pt shot from 22 ft
7:21.0,,,33-41,,Offensive rebound by R. Lopez
7:14.0,,,33-41,,R. Lopez misses 2-pt shot from 16 ft
7:11.0,Defensive rebound by J. Clarkson,,33-41,,
7:01.0,Turnover by W. Johnson (traveling),,33-41,,
6:43.0,,,33-44,3,C. McCollum makes 3-pt shot from 23 ft (assist by N. Batum)
6:18.0,W. Ellington misses 2-pt shot from 10 ft,,33-44,,
6:17.0,Offensive rebound by Team,,33-44,,
6:14.0,E. Davis makes 2-pt shot from 7 ft (assist by W. Johnson),2,35-44,,
6:04.0,,,35-44,,Turnover by D. Lillard (bad pass)
