time,Washington,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Gortat (K. Caldwell-Pope gains possession),,,,Jump ball: A. Drummond vs. M. Gortat (K. Caldwell-Pope gains possession)
11:33.0,,,0-2,2,A. Drummond makes 2-pt shot from 14 ft (assist by K. Caldwell-Pope)
11:15.0,M. Gortat makes 2-pt shot from 1 ft (assist by P. Pierce),2,2-2,,
10:53.0,,,2-4,2,K. Caldwell-Pope makes 2-pt shot from 22 ft (assist by G. Monroe)
10:41.0,,,2-4,,Personal foul by G. Monroe (drawn by N. Hilario)
10:31.0,N. Hilario misses 2-pt shot from 13 ft,,2-4,,
10:29.0,Offensive rebound by N. Hilario,,2-4,,
10:20.0,P. Pierce misses 3-pt shot from 25 ft,,2-4,,
10:19.0,,,2-4,,Defensive rebound by A. Drummond
9:58.0,,,2-4,,K. Caldwell-Pope misses 3-pt shot from 26 ft
9:56.0,Defensive rebound by M. Gortat,,2-4,,
9:53.0,J. Wall misses 2-pt shot from 14 ft,,2-4,,
9:52.0,Offensive rebound by Team,,2-4,,
9:52.0,,,2-4,,Loose ball foul by A. Drummond (drawn by M. Gortat)
9:42.0,N. Hilario misses 2-pt shot from 2 ft,,2-4,,
9:41.0,,,2-4,,Defensive rebound by G. Monroe
9:36.0,,,2-4,,R. Jackson misses 2-pt shot from 11 ft
9:35.0,Defensive rebound by N. Hilario,,2-4,,
9:28.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,4-4,,
9:10.0,Personal foul by N. Hilario (drawn by G. Monroe),,4-4,,
9:03.0,,,4-4,,C. Butler misses 3-pt shot from 24 ft
9:02.0,,,4-4,,Offensive rebound by A. Drummond
8:58.0,,,4-4,,A. Drummond misses 2-pt shot from 7 ft
8:56.0,Defensive rebound by G. Temple,,4-4,,
8:49.0,,,4-4,,Personal foul by R. Jackson (drawn by P. Pierce)
8:34.0,Turnover by N. Hilario (bad pass; steal by C. Butler),,4-4,,
8:22.0,,,4-6,2,G. Monroe makes 2-pt shot from 2 ft
8:01.0,Turnover by N. Hilario (step out of bounds),,4-6,,
7:45.0,,,4-6,,G. Monroe misses 2-pt shot from 2 ft
7:44.0,Defensive rebound by P. Pierce,,4-6,,
7:41.0,Offensive foul by N. Hilario,,4-6,,
7:41.0,Turnover by N. Hilario (offensive foul),,4-6,,
7:41.0,K. Seraphin enters the game for N. Hilario,,4-6,,
7:27.0,,,4-6,,R. Jackson misses 2-pt shot from 18 ft
7:26.0,Defensive rebound by M. Gortat,,4-6,,
7:17.0,K. Seraphin makes 2-pt shot from 5 ft (assist by J. Wall),2,6-6,,
6:56.0,,,6-6,,Shooting foul by K. Seraphin (drawn by G. Monroe)
6:56.0,,,6-6,,G. Monroe misses free throw 1 of 2
6:56.0,,,6-6,,Offensive rebound by Team
6:56.0,,,6-7,1,G. Monroe makes free throw 2 of 2
6:49.0,Shooting foul by C. Butler (drawn by P. Pierce),,6-7,,
6:49.0,P. Pierce makes free throw 1 of 2,1,7-7,,
6:49.0,,,7-7,,C. Martin enters the game for C. Butler
6:49.0,P. Pierce makes free throw 2 of 2,1,8-7,,
6:23.0,,,8-7,,G. Monroe misses 2-pt shot from 19 ft
6:22.0,Defensive rebound by P. Pierce,,8-7,,
6:11.0,J. Wall misses 3-pt shot from 23 ft,,8-7,,
6:10.0,,,8-7,,Defensive rebound by K. Caldwell-Pope
6:00.0,,,8-9,2,K. Caldwell-Pope makes 2-pt shot from 20 ft
5:50.0,G. Temple makes 2-pt shot at rim (assist by K. Seraphin),2,10-9,,
5:26.0,,,10-9,,G. Monroe misses 2-pt shot from 7 ft
5:25.0,,,10-9,,Offensive rebound by A. Drummond
5:23.0,,,10-11,2,A. Drummond makes 2-pt shot at rim
5:14.0,M. Gortat makes 2-pt shot at rim (assist by K. Seraphin),2,12-11,,
5:06.0,,,12-11,,Detroit full timeout
4:51.0,,,12-11,,R. Jackson misses 2-pt shot at rim
4:50.0,,,12-11,,Offensive rebound by Team
4:39.0,,,12-13,2,A. Drummond makes 2-pt shot at rim (assist by G. Monroe)
4:20.0,K. Seraphin misses 2-pt shot from 12 ft,,12-13,,
4:18.0,Offensive rebound by M. Gortat,,12-13,,
4:13.0,M. Gortat makes 2-pt shot from 4 ft,2,14-13,,
3:56.0,,,14-16,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by R. Jackson)
3:46.0,K. Seraphin makes 2-pt shot from 6 ft (assist by G. Temple),2,16-16,,
3:25.0,,,16-19,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by C. Martin)
3:15.0,J. Wall misses 2-pt shot from 1 ft,,16-19,,
3:14.0,Offensive rebound by M. Gortat,,16-19,,
3:12.0,M. Gortat makes 2-pt shot at rim,2,18-19,,
2:47.0,,,18-19,,R. Jackson misses 2-pt shot from 7 ft
2:46.0,,,18-19,,Offensive rebound by G. Monroe
2:46.0,Personal foul by P. Pierce (drawn by G. Monroe),,18-19,,
2:46.0,Washington full timeout,,18-19,,
2:46.0,,,18-19,,J. Meeks enters the game for G. Monroe
2:46.0,,,18-19,,A. Tolliver enters the game for K. Caldwell-Pope
2:46.0,,,18-19,,S. Dinwiddie enters the game for R. Jackson
2:46.0,R. Sessions enters the game for P. Pierce,,18-19,,
2:46.0,O. Porter enters the game for J. Wall,,18-19,,
2:42.0,,,18-21,2,A. Drummond makes 2-pt shot at rim (assist by A. Tolliver)
2:42.0,,,18-21,,Shooting foul by M. Gortat (drawn by A. Drummond)
2:42.0,,,18-21,,A. Drummond misses free throw 1 of 1
2:40.0,Defensive rebound by M. Gortat,,18-21,,
2:22.0,K. Seraphin misses 2-pt shot from 6 ft,,18-21,,
2:20.0,,,18-21,,Defensive rebound by A. Tolliver
2:00.0,,,18-24,3,A. Tolliver makes 3-pt shot from 26 ft (assist by A. Drummond)
1:37.0,M. Gortat makes 2-pt shot from 1 ft (assist by R. Sessions),2,20-24,,
1:14.0,,,20-27,3,J. Meeks makes 3-pt shot from 25 ft (assist by A. Drummond)
1:09.0,Offensive foul by K. Seraphin,,20-27,,
1:09.0,Turnover by K. Seraphin (offensive foul),,20-27,,
1:09.0,R. Butler enters the game for G. Temple,,20-27,,
1:09.0,K. Humphries enters the game for M. Gortat,,20-27,,
0:54.0,,,20-27,,S. Dinwiddie misses 3-pt shot from 25 ft
0:52.0,Defensive rebound by K. Seraphin,,20-27,,
0:40.0,R. Sessions misses 2-pt shot from 1 ft,,20-27,,
0:39.0,,,20-27,,Defensive rebound by A. Tolliver
0:32.0,,,20-27,,S. Dinwiddie misses 2-pt shot at rim
0:31.0,,,20-27,,Offensive rebound by A. Drummond
0:30.0,,,20-27,,A. Drummond misses 2-pt shot at rim
0:29.0,Defensive rebound by O. Porter,,20-27,,
0:09.0,K. Humphries makes 2-pt shot from 14 ft (assist by R. Sessions),2,22-27,,
0:02.0,,,22-27,,C. Martin misses 2-pt shot from 19 ft
0:00.0,Defensive rebound by K. Humphries,,22-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,22-27,,Personal foul by G. Monroe (drawn by N. Hilario)
11:36.0,R. Sessions makes 2-pt shot at rim,2,24-27,,
11:36.0,Shooting foul by S. Dinwiddie (drawn by R. Sessions),,24-27,,
11:36.0,R. Sessions makes free throw 1 of 1,1,25-27,,
11:26.0,Personal foul by R. Butler (drawn by J. Meeks),,25-27,,
11:13.0,K. Humphries makes 2-pt shot from 20 ft (assist by R. Sessions),2,27-27,,
10:54.0,,,27-30,3,A. Tolliver makes 3-pt shot from 26 ft (assist by S. Dinwiddie)
10:32.0,N. Hilario misses 2-pt shot at rim,,27-30,,
10:31.0,,,27-30,,Defensive rebound by C. Martin
10:18.0,,,27-30,,G. Monroe misses 2-pt shot from 5 ft
10:16.0,Defensive rebound by K. Humphries,,27-30,,
10:12.0,,,27-30,,Personal foul by J. Meeks (drawn by R. Butler)
10:04.0,N. Hilario misses 2-pt shot from 16 ft,,27-30,,
10:03.0,,,27-30,,Defensive rebound by C. Martin
9:51.0,,,27-30,,Turnover by A. Tolliver (bad pass; steal by O. Porter)
9:45.0,K. Humphries makes 2-pt shot at rim (assist by R. Sessions),2,29-30,,
9:23.0,,,29-30,,A. Tolliver misses 3-pt shot from 26 ft
9:22.0,Defensive rebound by R. Butler,,29-30,,
9:07.0,O. Porter makes 2-pt shot from 1 ft (assist by N. Hilario),2,31-30,,
9:00.0,,,31-30,,Detroit full timeout
8:41.0,,,31-32,2,G. Monroe makes 2-pt shot from 3 ft (assist by S. Dinwiddie)
8:23.0,N. Hilario makes 2-pt shot at rim (assist by R. Sessions),2,33-32,,
8:10.0,,,33-32,,J. Meeks misses 2-pt shot from 6 ft
8:07.0,Defensive rebound by K. Humphries,,33-32,,
8:03.0,R. Sessions misses 2-pt shot at rim,,33-32,,
8:02.0,,,33-32,,Defensive rebound by Team
7:42.0,Personal block foul by N. Hilario (drawn by S. Dinwiddie),,33-32,,
7:42.0,,,33-32,,R. Jackson enters the game for S. Dinwiddie
7:42.0,,,33-32,,C. Butler enters the game for C. Martin
7:42.0,J. Wall enters the game for R. Sessions,,33-32,,
7:42.0,M. Gortat enters the game for N. Hilario,,33-32,,
7:29.0,,,33-32,,R. Jackson misses 2-pt shot from 20 ft
7:28.0,Defensive rebound by J. Wall,,33-32,,
7:11.0,K. Humphries makes 2-pt shot at rim (assist by R. Butler),2,35-32,,
6:43.0,,,35-34,2,G. Monroe makes 2-pt shot from 5 ft
