time,Memphis,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. D. Jordan (Z. Randolph gains possession),,,,Jump ball: M. Gasol vs. D. Jordan (Z. Randolph gains possession)
11:40.0,J. Green misses 2-pt shot from 3 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by D. Jordan
11:32.0,,,0-0,,LA Clippers full timeout
11:23.0,,,0-0,,Turnover by C. Paul (bad pass; steal by J. Green)
10:58.0,C. Lee misses 2-pt shot from 4 ft,,0-0,,
10:56.0,,,0-0,,Defensive rebound by D. Jordan
10:47.0,,,0-0,,M. Barnes misses 3-pt shot from 27 ft
10:47.0,Defensive rebound by Team,,0-0,,
10:33.0,Z. Randolph misses 2-pt shot from 16 ft,,0-0,,
10:32.0,,,0-0,,Defensive rebound by J. Redick
10:23.0,,,0-0,,J. Redick misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by J. Green,,0-0,,
10:05.0,Z. Randolph misses 2-pt shot from 21 ft,,0-0,,
10:04.0,,,0-0,,Defensive rebound by D. Jordan
9:53.0,,,0-0,,S. Hawes misses 2-pt shot from 19 ft
9:53.0,,,0-0,,Offensive rebound by Team
9:53.0,Loose ball foul by M. Gasol (drawn by D. Jordan),,0-0,,
9:43.0,,,0-0,,S. Hawes misses 2-pt shot from 3 ft (block by M. Gasol)
9:41.0,,,0-0,,Offensive rebound by S. Hawes
9:39.0,,,0-0,,S. Hawes misses 2-pt shot from 2 ft
9:38.0,Defensive rebound by M. Gasol,,0-0,,
9:20.0,J. Green misses 2-pt shot from 4 ft (block by S. Hawes),,0-0,,
9:17.0,,,0-0,,Defensive rebound by M. Barnes
9:13.0,,,0-0,,M. Barnes misses 2-pt shot from 1 ft
9:09.0,Defensive rebound by J. Green,,0-0,,
9:06.0,J. Green makes 2-pt shot from 2 ft,2,2-0,,
8:46.0,,,2-2,2,J. Redick makes 2-pt shot from 17 ft (assist by C. Paul)
8:24.0,M. Conley misses 3-pt shot from 27 ft,,2-2,,
8:23.0,,,2-2,,Defensive rebound by Team
8:11.0,,,2-4,2,C. Paul makes 2-pt shot from 19 ft
7:48.0,J. Green misses 3-pt shot from 26 ft,,2-4,,
7:46.0,Offensive rebound by M. Conley,,2-4,,
7:37.0,M. Gasol misses 2-pt shot from 3 ft (block by S. Hawes),,2-4,,
7:36.0,Offensive rebound by Team,,2-4,,
7:19.0,M. Gasol makes 2-pt shot from 21 ft (assist by J. Green),2,4-4,,
7:09.0,,,4-6,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
6:39.0,J. Green misses 3-pt shot from 25 ft,,4-6,,
6:38.0,,,4-6,,Defensive rebound by D. Jordan
6:30.0,,,4-8,2,C. Paul makes 2-pt shot from 17 ft
6:24.0,Memphis full timeout,,4-8,,
6:14.0,M. Conley makes 2-pt shot from 3 ft,2,6-8,,
5:58.0,,,6-10,2,J. Redick makes 2-pt shot from 15 ft (assist by C. Paul)
5:33.0,M. Gasol makes 2-pt shot from 3 ft (assist by M. Conley),2,8-10,,
5:25.0,,,8-10,,Shooting foul by M. Gasol (drawn by D. Jordan)
5:25.0,,,8-10,,D. Jordan misses free throw 1 of 2
5:25.0,,,8-10,,Offensive rebound by Team
5:25.0,T. Allen enters the game for J. Green,,8-10,,
5:25.0,K. Koufos enters the game for M. Gasol,,8-10,,
5:25.0,,,8-10,,D. Jordan misses free throw 2 of 2
5:23.0,Defensive rebound by K. Koufos,,8-10,,
5:04.0,C. Lee misses 3-pt shot from 25 ft,,8-10,,
5:02.0,,,8-10,,Defensive rebound by M. Barnes
4:47.0,,,8-13,3,M. Barnes makes 3-pt shot from 23 ft (assist by J. Redick)
4:22.0,Z. Randolph misses 2-pt shot from 20 ft,,8-13,,
4:22.0,,,8-13,,Defensive rebound by Team
4:17.0,Personal foul by K. Koufos (drawn by D. Jordan),,8-13,,
4:12.0,,,8-15,2,C. Paul makes 2-pt shot from 15 ft
3:56.0,K. Koufos misses 2-pt shot from 15 ft,,8-15,,
3:54.0,,,8-15,,Defensive rebound by M. Barnes
3:53.0,,,8-15,,Turnover by M. Barnes (lost ball; steal by T. Allen)
3:47.0,C. Lee makes 2-pt shot from 11 ft (assist by M. Conley),2,10-15,,
3:37.0,,,10-15,,S. Hawes misses 3-pt shot from 25 ft
3:36.0,,,10-15,,Offensive rebound by Team
3:36.0,,,10-15,,J. Crawford enters the game for M. Barnes
3:36.0,B. Udrih enters the game for M. Conley,,10-15,,
3:30.0,,,10-15,,C. Paul misses 2-pt shot from 16 ft
3:29.0,Defensive rebound by Z. Randolph,,10-15,,
3:18.0,B. Udrih makes 2-pt shot from 19 ft (assist by K. Koufos),2,12-15,,
3:05.0,,,12-15,,Turnover by D. Jordan (lost ball; steal by C. Lee)
2:51.0,Z. Randolph misses 2-pt shot from 10 ft (block by S. Hawes),,12-15,,
2:49.0,,,12-15,,Defensive rebound by C. Paul
2:46.0,,,12-17,2,C. Paul makes 2-pt shot from 3 ft (assist by J. Redick)
2:29.0,Shooting foul by D. Jordan (drawn by Z. Randolph),,12-17,,
2:29.0,,,12-17,,LA Clippers full timeout
2:29.0,N. Calathes enters the game for C. Lee,,12-17,,
2:29.0,,,12-17,,A. Rivers enters the game for J. Redick
2:29.0,Z. Randolph misses free throw 1 of 2,,12-17,,
2:29.0,Offensive rebound by Team,,12-17,,
2:29.0,Z. Randolph makes free throw 2 of 2,1,13-17,,
2:15.0,,,13-17,,A. Rivers misses 3-pt shot from 26 ft
2:14.0,Defensive rebound by Z. Randolph,,13-17,,
1:57.0,Z. Randolph makes 2-pt shot from 4 ft,2,15-17,,
1:39.0,,,15-19,2,S. Hawes makes 2-pt shot from 3 ft (assist by J. Crawford)
1:30.0,K. Koufos makes 2-pt shot from 1 ft (assist by N. Calathes),2,17-19,,
1:10.0,,,17-22,3,J. Crawford makes 3-pt shot from 26 ft
0:49.0,T. Allen misses 2-pt shot from 19 ft,,17-22,,
0:47.0,Offensive rebound by Z. Randolph,,17-22,,
0:44.0,T. Allen makes 2-pt shot from 7 ft (assist by Z. Randolph),2,19-22,,
0:33.0,,,19-22,,Turnover by J. Crawford (bad pass; steal by N. Calathes)
0:28.0,N. Calathes misses 2-pt shot from 2 ft (block by C. Paul),,19-22,,
0:25.0,,,19-22,,Defensive rebound by C. Paul
0:04.0,,,19-22,,J. Crawford misses 3-pt shot from 26 ft
0:03.0,Defensive rebound by N. Calathes,,19-22,,
0:01.0,B. Udrih makes 2-pt shot from 1 ft (assist by N. Calathes),2,21-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,21-24,2,G. Davis makes 2-pt shot from 4 ft (assist by J. Crawford)
11:26.0,K. Koufos misses 2-pt shot from 4 ft,,21-24,,
11:23.0,,,21-24,,Defensive rebound by H. Turkoglu
11:11.0,,,21-24,,J. Redick misses 2-pt shot from 12 ft
11:09.0,Defensive rebound by K. Koufos,,21-24,,
10:59.0,B. Udrih misses 2-pt shot from 2 ft,,21-24,,
10:57.0,Offensive rebound by K. Koufos,,21-24,,
10:57.0,K. Koufos makes 2-pt shot from 1 ft,2,23-24,,
10:44.0,,,23-24,,A. Rivers misses 2-pt shot from 19 ft
10:40.0,Defensive rebound by N. Calathes,,23-24,,
10:24.0,B. Udrih misses 2-pt shot from 3 ft (block by A. Rivers),,23-24,,
10:21.0,,,23-24,,Defensive rebound by H. Turkoglu
10:21.0,,,23-24,,Turnover by H. Turkoglu (bad pass; steal by T. Allen)
10:21.0,Offensive charge foul by T. Allen,,23-24,,
10:21.0,Turnover by T. Allen (offensive foul),,23-24,,
10:04.0,,,23-24,,Offensive charge foul by A. Rivers
10:04.0,,,23-24,,Turnover by A. Rivers (offensive foul)
9:47.0,T. Allen makes 2-pt shot from 3 ft,2,25-24,,
9:20.0,,,25-26,2,H. Turkoglu makes 2-pt shot from 19 ft (assist by A. Rivers)
9:07.0,B. Udrih misses 3-pt shot from 25 ft,,25-26,,
9:06.0,,,25-26,,Defensive rebound by J. Crawford
