time,Toronto,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: O. Asik vs. J. Valanciunas (A. Johnson gains possession),,,,Jump ball: O. Asik vs. J. Valanciunas (A. Johnson gains possession)
11:44.0,J. Valanciunas makes 2-pt shot from 6 ft,2,2-0,,
11:30.0,,,2-0,,Shooting foul by A. Johnson (drawn by O. Asik)
11:30.0,,,2-0,,O. Asik misses free throw 1 of 2
11:30.0,,,2-0,,Offensive rebound by Team
11:30.0,,,2-1,1,O. Asik makes free throw 2 of 2
11:18.0,K. Lowry misses 3-pt shot from 26 ft,,2-1,,
11:17.0,,,2-1,,Defensive rebound by E. Gordon
11:05.0,,,2-1,,T. Evans misses 3-pt shot from 24 ft
11:04.0,Defensive rebound by J. Valanciunas,,2-1,,
10:51.0,K. Lowry makes 2-pt shot from 21 ft,2,4-1,,
10:28.0,,,4-1,,E. Gordon misses 3-pt shot from 25 ft
10:27.0,Defensive rebound by A. Johnson,,4-1,,
10:12.0,J. Johnson misses 2-pt shot from 2 ft (block by T. Evans),,4-1,,
10:10.0,Offensive rebound by A. Johnson,,4-1,,
10:10.0,A. Johnson makes 2-pt shot from 2 ft,2,6-1,,
9:51.0,,,6-1,,O. Asik misses 2-pt shot from 2 ft
9:50.0,Defensive rebound by J. Johnson,,6-1,,
9:45.0,J. Johnson makes 2-pt shot from 2 ft,2,8-1,,
9:25.0,,,8-1,,T. Evans misses 2-pt shot from 1 ft
9:24.0,,,8-1,,Offensive rebound by O. Asik
9:24.0,,,8-1,,Shooting foul by J. Johnson (drawn by O. Asik)
9:24.0,,,8-1,,O. Asik misses free throw 1 of 2
9:24.0,,,8-1,,Offensive rebound by Team
9:24.0,,,8-2,1,O. Asik makes free throw 2 of 2
9:03.0,A. Johnson misses 2-pt shot from 7 ft,,8-2,,
9:02.0,Offensive rebound by J. Valanciunas,,8-2,,
8:59.0,J. Valanciunas makes 2-pt shot from 7 ft,2,10-2,,
8:43.0,,,10-4,2,E. Gordon makes 2-pt shot at rim
8:28.0,D. DeRozan makes 2-pt shot from 16 ft,2,12-4,,
8:05.0,,,12-6,2,Q. Pondexter makes 2-pt shot from 15 ft
7:50.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,14-6,,
7:33.0,,,14-9,3,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans)
7:13.0,D. DeRozan makes 2-pt shot from 16 ft,2,16-9,,
6:57.0,,,16-9,,D. Cunningham misses 2-pt shot from 19 ft
6:56.0,Defensive rebound by J. Valanciunas,,16-9,,
6:37.0,Turnover by A. Johnson (lost ball; steal by D. Cunningham),,16-9,,
6:32.0,,,16-11,2,T. Evans makes 2-pt shot from 1 ft (assist by E. Gordon)
6:10.0,D. DeRozan misses 3-pt shot from 25 ft,,16-11,,
6:09.0,,,16-11,,Defensive rebound by E. Gordon
6:04.0,,,16-11,,E. Gordon misses 3-pt shot from 25 ft
6:02.0,,,16-11,,Offensive rebound by D. Cunningham
5:58.0,,,16-11,,E. Gordon misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by Team,,16-11,,
5:58.0,,,16-11,,New Orleans full timeout
5:58.0,,,16-11,,A. Ajinca enters the game for D. Cunningham
5:46.0,Shooting foul by T. Evans (drawn by D. DeRozan),,16-11,,
5:46.0,D. DeRozan makes free throw 1 of 2,1,17-11,,
5:46.0,D. DeRozan misses free throw 2 of 2,,17-11,,
5:45.0,Offensive rebound by J. Johnson,,17-11,,
5:40.0,K. Lowry makes 3-pt shot from 25 ft (assist by J. Valanciunas),3,20-11,,
5:18.0,,,20-11,,Turnover by E. Gordon (bad pass; steal by D. DeRozan)
5:04.0,A. Johnson misses 3-pt shot from 27 ft,,20-11,,
5:02.0,Offensive rebound by D. DeRozan,,20-11,,
4:48.0,Turnover by J. Valanciunas (offensive foul),,20-11,,
4:48.0,Offensive foul by J. Valanciunas,,20-11,,
4:48.0,,,20-11,,N. Cole enters the game for E. Gordon
4:37.0,,,20-11,,T. Evans misses 2-pt shot from 20 ft
4:36.0,,,20-11,,Offensive rebound by O. Asik
4:27.0,,,20-11,,A. Ajinca misses 2-pt shot from 3 ft
4:26.0,Defensive rebound by Team,,20-11,,
4:10.0,K. Lowry misses 3-pt shot from 26 ft,,20-11,,
4:09.0,,,20-11,,Defensive rebound by Team
3:44.0,,,20-11,,T. Evans misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by J. Valanciunas,,20-11,,
3:26.0,D. DeRozan misses 2-pt shot from 20 ft,,20-11,,
3:25.0,,,20-11,,Defensive rebound by O. Asik
3:19.0,,,20-11,,T. Evans misses 2-pt shot from 2 ft
3:18.0,Defensive rebound by D. DeRozan,,20-11,,
3:01.0,D. DeRozan misses 2-pt shot from 11 ft,,20-11,,
3:00.0,,,20-11,,Defensive rebound by A. Ajinca
2:55.0,,,20-11,,Turnover by T. Evans (bad pass; steal by A. Johnson)
2:48.0,Toronto full timeout,,20-11,,
2:48.0,L. Williams enters the game for D. DeRozan,,20-11,,
2:34.0,K. Lowry misses 2-pt shot from 2 ft (block by A. Ajinca),,20-11,,
2:33.0,Offensive rebound by J. Valanciunas,,20-11,,
