time,Toronto,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Valanciunas (D. Nowitzki gains possession),,,,Jump ball: T. Chandler vs. J. Valanciunas (D. Nowitzki gains possession)
11:46.0,,,0-2,2,D. Nowitzki makes 2-pt shot from 20 ft (assist by R. Rondo)
11:31.0,Jump ball: R. Jefferson vs. A. Johnson,,,,Jump ball: R. Jefferson vs. A. Johnson
11:28.0,,,0-2,,Personal foul by R. Rondo (drawn by K. Lowry)
11:12.0,D. DeRozan makes 2-pt shot from 19 ft,2,2-2,,
10:56.0,,,2-4,2,T. Chandler makes 2-pt shot at rim
10:36.0,D. DeRozan misses 2-pt shot from 16 ft,,2-4,,
10:35.0,,,2-4,,Defensive rebound by D. Nowitzki
10:26.0,,,2-7,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by R. Rondo)
10:08.0,Turnover by J. Johnson (bad pass; steal by D. Nowitzki),,2-7,,
10:07.0,Personal take foul by A. Johnson (drawn by R. Jefferson),,2-7,,
9:55.0,,,2-7,,Shooting foul by A. Johnson (drawn by D. Nowitzki)
9:55.0,,,2-8,1,D. Nowitzki makes free throw 1 of 2
9:55.0,P. Patterson enters the game for A. Johnson,,2-8,,
9:55.0,,,2-9,1,D. Nowitzki makes free throw 2 of 2
9:37.0,K. Lowry makes 2-pt shot from 21 ft,2,4-9,,
9:25.0,,,4-9,,Turnover by R. Jefferson (bad pass; steal by J. Johnson)
9:24.0,Turnover by J. Johnson (traveling),,4-9,,
9:13.0,,,4-11,2,R. Jefferson makes 2-pt shot from 16 ft
9:00.0,D. DeRozan misses 2-pt shot from 6 ft,,4-11,,
8:59.0,Offensive rebound by D. DeRozan,,4-11,,
8:57.0,Turnover by D. DeRozan (lost ball; steal by M. Ellis),,4-11,,
8:47.0,,,4-11,,R. Rondo misses 2-pt shot from 17 ft
8:46.0,Defensive rebound by J. Valanciunas,,4-11,,
8:37.0,K. Lowry misses 2-pt shot from 10 ft,,4-11,,
8:36.0,,,4-11,,Defensive rebound by D. Nowitzki
8:29.0,,,4-11,,R. Jefferson misses 3-pt shot from 22 ft
8:27.0,Defensive rebound by P. Patterson,,4-11,,
8:18.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,6-11,,
7:58.0,,,6-11,,R. Rondo misses 2-pt shot from 21 ft
7:57.0,Defensive rebound by J. Valanciunas,,6-11,,
7:45.0,Turnover by J. Valanciunas (lost ball; steal by T. Chandler),,6-11,,
7:38.0,,,6-11,,R. Rondo misses 2-pt shot from 6 ft
7:37.0,Defensive rebound by J. Johnson,,6-11,,
7:25.0,J. Valanciunas makes 2-pt shot at rim,2,8-11,,
7:07.0,,,8-13,2,D. Nowitzki makes 2-pt shot from 21 ft (assist by M. Ellis)
6:53.0,J. Valanciunas makes 2-pt shot from 6 ft (assist by D. DeRozan),2,10-13,,
