time,Indiana,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. S. Ibaka (D. West gains possession),,,,Jump ball: R. Hibbert vs. S. Ibaka (D. West gains possession)
11:39.0,Turnover by G. Hill (lost ball),,0-0,,
11:30.0,,,0-2,2,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook)
11:06.0,R. Hibbert misses 2-pt shot from 5 ft,,0-2,,
11:05.0,,,0-2,,Defensive rebound by A. Roberson
10:59.0,,,0-4,2,S. Ibaka makes 2-pt shot from 17 ft (assist by R. Westbrook)
10:42.0,Turnover by R. Hibbert (bad pass; steal by A. Roberson),,0-4,,
10:38.0,Personal foul by R. Hibbert (drawn by S. Ibaka),,0-4,,
10:38.0,,,0-5,1,S. Ibaka makes free throw 1 of 2
10:38.0,,,0-6,1,S. Ibaka makes free throw 2 of 2
10:22.0,D. West misses 2-pt shot from 18 ft,,0-6,,
10:21.0,,,0-6,,Defensive rebound by R. Westbrook
10:13.0,,,0-6,,K. Singler misses 3-pt shot from 24 ft
10:12.0,Defensive rebound by S. Hill,,0-6,,
10:03.0,Shooting foul by A. Roberson (drawn by G. Hill),,0-6,,
10:03.0,G. Hill makes free throw 1 of 2,1,1-6,,
10:03.0,G. Hill makes free throw 2 of 2,1,2-6,,
9:54.0,,,2-8,2,E. Kanter makes 2-pt shot from 19 ft (assist by R. Westbrook)
9:33.0,C. Miles misses 3-pt shot from 22 ft,,2-8,,
9:32.0,,,2-8,,Defensive rebound by S. Ibaka
9:26.0,,,2-8,,R. Westbrook misses 2-pt shot from 16 ft
9:26.0,Defensive rebound by S. Hill,,2-8,,
9:15.0,D. West misses 2-pt shot from 15 ft,,2-8,,
9:14.0,,,2-8,,Defensive rebound by R. Westbrook
9:07.0,,,2-8,,Turnover by R. Westbrook (bad pass)
8:52.0,S. Hill misses 2-pt shot from 2 ft (block by S. Ibaka),,2-8,,
