time,Houston,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Faried vs. T. Jones (P. Beverley gains possession),,,,Jump ball: K. Faried vs. T. Jones (P. Beverley gains possession)
11:43.0,T. Ariza makes 2-pt shot from 1 ft (assist by P. Beverley),2,2-0,,
11:36.0,,,2-0,,Turnover by R. Foye (bad pass)
11:20.0,Turnover by J. Harden (bad pass; steal by K. Faried),,2-0,,
11:12.0,,,2-3,3,R. Foye makes 3-pt shot from 26 ft (assist by D. Gallinari)
11:02.0,T. Ariza misses 3-pt shot from 24 ft,,2-3,,
11:01.0,,,2-3,,Defensive rebound by D. Gallinari
10:54.0,,,2-3,,Shooting foul by J. Harden (drawn by K. Faried)
10:54.0,,,2-4,1,K. Faried makes free throw 1 of 2
10:54.0,,,2-5,1,K. Faried makes free throw 2 of 2
10:38.0,D. Motiejunas misses 3-pt shot from 25 ft,,2-5,,
10:37.0,,,2-5,,Defensive rebound by W. Chandler
10:29.0,,,2-5,,K. Faried misses 2-pt shot from 12 ft
10:28.0,Defensive rebound by P. Beverley,,2-5,,
10:11.0,J. Harden misses 2-pt shot from 3 ft (block by R. Foye),,2-5,,
10:09.0,,,2-5,,Defensive rebound by K. Faried
10:03.0,,,2-5,,R. Foye misses 3-pt shot from 24 ft
10:02.0,Defensive rebound by Team,,2-5,,
9:56.0,D. Motiejunas misses 2-pt shot from 4 ft (block by D. Gallinari),,2-5,,
9:55.0,Offensive rebound by Team,,2-5,,
9:48.0,Turnover by T. Jones (bad pass; steal by W. Chandler),,2-5,,
9:44.0,,,2-7,2,W. Chandler makes 2-pt shot at rim (assist by R. Foye)
9:24.0,T. Jones misses 2-pt shot from 7 ft,,2-7,,
9:22.0,,,2-7,,Defensive rebound by D. Gallinari
9:15.0,,,2-7,,Offensive foul by D. Gallinari
9:15.0,,,2-7,,Turnover by D. Gallinari (offensive foul)
9:06.0,J. Harden makes 2-pt shot from 1 ft,2,4-7,,
8:53.0,,,4-7,,Turnover by R. Foye (bad pass; steal by T. Ariza)
8:48.0,P. Beverley makes 2-pt shot from 1 ft (assist by T. Ariza),2,6-7,,
8:30.0,,,6-7,,K. Faried misses 2-pt shot at rim
8:28.0,Defensive rebound by T. Jones,,6-7,,
8:21.0,D. Motiejunas misses 2-pt shot from 2 ft,,6-7,,
8:20.0,,,6-7,,Defensive rebound by T. Lawson
8:13.0,,,6-7,,T. Lawson misses 2-pt shot from 3 ft
8:12.0,Defensive rebound by T. Jones,,6-7,,
8:01.0,D. Motiejunas makes 2-pt shot from 7 ft (assist by J. Harden),2,8-7,,
7:46.0,,,8-10,3,W. Chandler makes 3-pt shot from 25 ft (assist by T. Lawson)
7:34.0,,,8-10,,Personal foul by D. Gallinari (drawn by D. Motiejunas)
7:34.0,,,8-10,,J. Hickson enters the game for D. Gallinari
7:25.0,T. Ariza misses 3-pt shot from 25 ft,,8-10,,
7:23.0,,,8-10,,Defensive rebound by J. Hickson
7:17.0,,,8-10,,K. Faried misses 2-pt shot from 2 ft
7:14.0,,,8-10,,Offensive rebound by J. Hickson
7:14.0,,,8-12,2,J. Hickson makes 2-pt shot from 1 ft
7:02.0,Turnover by D. Motiejunas (lost ball; steal by K. Faried),,8-12,,
6:57.0,,,8-14,2,R. Foye makes 2-pt shot from 2 ft (assist by W. Chandler)
6:44.0,T. Jones misses 2-pt shot from 1 ft,,8-14,,
6:43.0,,,8-14,,Defensive rebound by K. Faried
6:33.0,,,8-14,,J. Hickson misses 2-pt shot from 3 ft
6:32.0,Defensive rebound by J. Harden,,8-14,,
6:27.0,Turnover by J. Harden (bad pass; steal by W. Chandler),,8-14,,
6:14.0,,,8-16,2,R. Foye makes 2-pt shot from 20 ft (assist by T. Lawson)
6:13.0,Houston full timeout,,8-16,,
6:13.0,J. Smith enters the game for T. Jones,,8-16,,
6:13.0,J. Dorsey enters the game for D. Motiejunas,,8-16,,
6:13.0,,,8-16,,W. Barton enters the game for R. Foye
6:01.0,J. Harden misses 2-pt shot at rim (block by J. Hickson),,8-16,,
5:59.0,Offensive rebound by J. Dorsey,,8-16,,
5:57.0,J. Dorsey misses 2-pt shot from 1 ft (block by K. Faried),,8-16,,
5:55.0,,,8-16,,Defensive rebound by T. Lawson
5:52.0,,,8-16,,W. Barton misses 3-pt shot from 23 ft
5:51.0,Defensive rebound by Team,,8-16,,
5:51.0,,,8-16,,Loose ball foul by J. Hickson (drawn by T. Ariza)
5:34.0,Shooting foul by J. Hickson (drawn by J. Dorsey),,8-16,,
5:34.0,J. Dorsey misses free throw 1 of 2,,8-16,,
5:34.0,Offensive rebound by Team,,8-16,,
5:34.0,J. Dorsey misses free throw 2 of 2,,8-16,,
5:33.0,Offensive rebound by Team,,8-16,,
5:26.0,T. Ariza makes 2-pt shot from 21 ft (assist by J. Harden),2,10-16,,
5:06.0,,,10-16,,J. Hickson misses 2-pt shot from 4 ft
5:04.0,Defensive rebound by J. Smith,,10-16,,
4:56.0,P. Beverley makes 3-pt shot from 24 ft (assist by J. Smith),3,13-16,,
4:44.0,,,13-16,,J. Hickson misses 2-pt shot from 1 ft
4:43.0,,,13-16,,Offensive rebound by J. Hickson
4:43.0,,,13-18,2,J. Hickson makes 2-pt shot from 1 ft
4:33.0,J. Smith misses 3-pt shot from 24 ft,,13-18,,
4:32.0,,,13-18,,Defensive rebound by J. Hickson
4:21.0,,,13-20,2,W. Barton makes 2-pt shot from 2 ft (assist by T. Lawson)
4:05.0,J. Harden misses 2-pt shot at rim,,13-20,,
4:04.0,,,13-20,,Defensive rebound by J. Hickson
4:00.0,,,13-22,2,W. Barton makes 2-pt shot from 2 ft (assist by T. Lawson)
4:00.0,,,13-22,,Shooting foul by J. Dorsey (drawn by W. Barton)
4:00.0,C. Brewer enters the game for T. Ariza,,13-22,,
4:00.0,J. Terry enters the game for P. Beverley,,13-22,,
4:00.0,,,13-22,,W. Barton misses free throw 1 of 1
3:57.0,Defensive rebound by J. Dorsey,,13-22,,
3:36.0,J. Terry misses 2-pt shot from 14 ft,,13-22,,
3:35.0,Offensive rebound by J. Harden,,13-22,,
3:28.0,J. Harden misses 2-pt shot from 1 ft (block by K. Faried),,13-22,,
3:25.0,,,13-22,,Defensive rebound by T. Lawson
3:22.0,,,13-24,2,W. Chandler makes 2-pt shot at rim (assist by T. Lawson)
3:16.0,J. Harden makes 3-pt shot from 25 ft (assist by J. Smith),3,16-24,,
3:03.0,,,16-24,,W. Barton misses 2-pt shot from 12 ft
3:02.0,Defensive rebound by J. Smith,,16-24,,
2:57.0,Turnover by J. Smith (bad pass; steal by W. Barton),,16-24,,
2:54.0,,,16-26,2,W. Barton makes 2-pt shot from 1 ft
2:44.0,J. Smith misses 3-pt shot from 25 ft,,16-26,,
2:42.0,,,16-26,,Defensive rebound by J. Hickson
2:34.0,,,16-26,,T. Lawson misses 3-pt shot from 25 ft
2:32.0,Defensive rebound by J. Smith,,16-26,,
2:27.0,Offensive charge foul by J. Smith,,16-26,,
2:27.0,Turnover by J. Smith (offensive foul),,16-26,,
2:27.0,,,16-26,,Denver full timeout
2:21.0,,,16-26,,Turnover by T. Lawson (bad pass; steal by C. Brewer)
2:20.0,C. Brewer makes 2-pt shot at rim,2,18-26,,
2:20.0,Shooting foul by W. Chandler (drawn by C. Brewer),,18-26,,
2:20.0,C. Brewer makes free throw 1 of 1,1,19-26,,
1:58.0,,,19-26,,Turnover by W. Barton (bad pass; steal by J. Smith)
1:54.0,C. Brewer makes 2-pt shot at rim (assist by J. Smith),2,21-26,,
1:30.0,,,21-26,,J. Hickson misses 2-pt shot from 1 ft
1:28.0,,,21-26,,Offensive rebound by J. Hickson
1:28.0,,,21-26,,J. Hickson misses 2-pt shot from 1 ft
1:26.0,Defensive rebound by J. Smith,,21-26,,
1:20.0,J. Smith makes 2-pt shot at rim (assist by J. Harden),2,23-26,,
1:10.0,,,23-26,,T. Lawson misses 3-pt shot from 25 ft
1:08.0,,,23-26,,Offensive rebound by K. Faried
0:59.0,,,23-28,2,W. Barton makes 2-pt shot from 18 ft (assist by W. Chandler)
0:43.0,C. Brewer misses 3-pt shot from 24 ft,,23-28,,
0:41.0,,,23-28,,Defensive rebound by T. Lawson
0:27.0,,,23-28,,W. Chandler misses 2-pt shot from 2 ft
0:25.0,Defensive rebound by C. Brewer,,23-28,,
0:22.0,Shooting foul by J. Hickson (drawn by J. Smith),,23-28,,
0:22.0,J. Smith makes free throw 1 of 2,1,24-28,,
0:22.0,T. Ariza enters the game for J. Harden,,24-28,,
0:22.0,,,24-28,,D. Arthur enters the game for K. Faried
0:22.0,,,24-28,,D. Gallinari enters the game for J. Hickson
0:22.0,J. Smith misses free throw 2 of 2,,24-28,,
0:21.0,Offensive rebound by Team,,24-28,,
0:21.0,J. Harden enters the game for J. Dorsey,,24-28,,
0:21.0,,,24-28,,J. Lauvergne enters the game for D. Gallinari
0:01.0,Shooting foul by W. Barton (drawn by J. Harden),,24-28,,
0:01.0,J. Harden misses free throw 1 of 2,,24-28,,
0:01.0,Offensive rebound by Team,,24-28,,
0:01.0,J. Harden makes free throw 2 of 2,1,25-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,25-28,,Turnover by W. Chandler (step out of bounds)
11:24.0,Turnover by J. Smith (bad pass; steal by D. Arthur),,25-28,,
11:13.0,,,25-28,,W. Chandler misses 2-pt shot from 3 ft (block by D. Motiejunas)
11:09.0,Defensive rebound by J. Smith,,25-28,,
11:01.0,C. Brewer makes 2-pt shot at rim,2,27-28,,
10:54.0,,,27-30,2,J. Nelson makes 2-pt shot from 17 ft (assist by J. Lauvergne)
10:44.0,Shooting foul by D. Arthur (drawn by J. Smith),,27-30,,
10:44.0,J. Smith misses free throw 1 of 2,,27-30,,
10:44.0,Offensive rebound by Team,,27-30,,
10:44.0,J. Smith makes free throw 2 of 2,1,28-30,,
10:23.0,,,28-30,,J. Nelson misses 3-pt shot from 26 ft
10:23.0,Defensive rebound by Team,,28-30,,
10:23.0,,,28-30,,Loose ball foul by D. Arthur (drawn by C. Brewer)
10:23.0,T. Jones enters the game for J. Smith,,28-30,,
10:07.0,J. Terry misses 3-pt shot from 26 ft,,28-30,,
10:06.0,,,28-30,,Defensive rebound by W. Chandler
9:59.0,,,28-30,,D. Arthur misses 2-pt shot from 13 ft
9:57.0,Defensive rebound by T. Ariza,,28-30,,
9:50.0,T. Ariza misses 2-pt shot from 20 ft,,28-30,,
9:48.0,,,28-30,,Defensive rebound by J. Nelson
9:40.0,,,28-30,,W. Chandler misses 3-pt shot from 25 ft
9:38.0,Defensive rebound by D. Motiejunas,,28-30,,
9:27.0,C. Brewer makes 2-pt shot from 2 ft (assist by D. Motiejunas),2,30-30,,
9:16.0,Personal foul by T. Jones (drawn by J. Lauvergne),,30-30,,
9:02.0,,,30-32,2,J. Nelson makes 2-pt shot from 16 ft
8:34.0,T. Jones misses 2-pt shot from 7 ft,,30-32,,
8:33.0,Offensive rebound by T. Jones,,30-32,,
8:32.0,T. Jones misses 2-pt shot from 2 ft (block by W. Barton),,30-32,,
8:32.0,Offensive rebound by Team,,30-32,,
8:32.0,Official timeout,,30-32,,
8:28.0,Turnover by T. Ariza (bad pass; steal by J. Nelson),,30-32,,
8:13.0,,,30-32,,J. Nelson misses 2-pt shot from 22 ft
8:11.0,Defensive rebound by T. Jones,,30-32,,
8:01.0,T. Ariza misses 2-pt shot from 2 ft,,30-32,,
7:59.0,Offensive rebound by T. Ariza,,30-32,,
7:51.0,D. Motiejunas makes 3-pt shot from 23 ft,3,33-32,,
7:32.0,,,33-34,2,D. Arthur makes 2-pt shot from 18 ft
7:10.0,C. Brewer makes 2-pt shot from 16 ft,2,35-34,,
7:05.0,,,35-34,,Turnover by J. Nelson (bad pass; steal by C. Brewer)
7:00.0,T. Ariza makes 2-pt shot from 2 ft (assist by C. Brewer),2,37-34,,
7:00.0,Shooting foul by J. Lauvergne (drawn by T. Ariza),,37-34,,
7:00.0,P. Beverley enters the game for J. Terry,,37-34,,
7:00.0,,,37-34,,Denver full timeout
7:00.0,J. Harden enters the game for C. Brewer,,37-34,,
7:00.0,T. Ariza makes free throw 1 of 1,1,38-34,,
6:46.0,,,38-34,,D. Arthur misses 2-pt shot from 16 ft
6:45.0,,,38-34,,Offensive rebound by J. Lauvergne
6:45.0,,,38-34,,Turnover by J. Lauvergne (lost ball; steal by T. Ariza)
6:32.0,T. Ariza misses 3-pt shot from 23 ft,,38-34,,
6:31.0,Offensive rebound by T. Jones,,38-34,,
6:29.0,T. Ariza misses 2-pt shot from 2 ft (block by W. Barton),,38-34,,
6:28.0,Offensive rebound by Team,,38-34,,
6:28.0,,,38-34,,T. Lawson enters the game for J. Nelson
6:11.0,T. Ariza makes 3-pt shot from 25 ft (assist by D. Motiejunas),3,41-34,,
5:43.0,,,41-34,,W. Barton misses 2-pt shot from 19 ft
5:41.0,,,41-34,,Offensive rebound by T. Lawson
5:35.0,,,41-36,2,J. Lauvergne makes 2-pt shot at rim (assist by T. Lawson)
5:24.0,T. Jones makes 2-pt shot at rim (assist by D. Motiejunas),2,43-36,,
5:12.0,,,43-36,,J. Lauvergne misses 3-pt shot from 24 ft
5:10.0,Defensive rebound by P. Beverley,,43-36,,
5:02.0,J. Harden makes 2-pt shot from 1 ft (assist by T. Ariza),2,45-36,,
4:47.0,,,45-36,,D. Arthur misses 2-pt shot from 18 ft
4:46.0,Defensive rebound by D. Motiejunas,,45-36,,
4:41.0,Shooting foul by T. Lawson (drawn by J. Harden),,45-36,,
4:41.0,J. Harden makes free throw 1 of 2,1,46-36,,
4:41.0,C. Brewer enters the game for T. Ariza,,46-36,,
4:41.0,J. Dorsey enters the game for T. Jones,,46-36,,
4:41.0,J. Smith enters the game for D. Motiejunas,,46-36,,
4:41.0,,,46-36,,K. Faried enters the game for D. Arthur
4:41.0,J. Harden makes free throw 2 of 2,1,47-36,,
4:26.0,,,47-36,,W. Barton misses 3-pt shot from 23 ft
4:25.0,,,47-36,,Offensive rebound by J. Lauvergne
4:20.0,,,47-36,,J. Lauvergne misses 2-pt shot from 4 ft
4:19.0,,,47-36,,Offensive rebound by J. Lauvergne
4:19.0,,,47-36,,Shooting foul by J. Dorsey (drawn by J. Lauvergne)
4:19.0,,,47-37,1,J. Lauvergne makes free throw 1 of 2
4:19.0,,,47-37,,R. Foye enters the game for W. Barton
4:19.0,,,47-38,1,J. Lauvergne makes free throw 2 of 2
4:06.0,C. Brewer misses 3-pt shot from 22 ft,,47-38,,
4:05.0,Offensive rebound by C. Brewer,,47-38,,
4:00.0,J. Smith misses 2-pt shot from 4 ft,,47-38,,
3:59.0,,,47-38,,Defensive rebound by T. Lawson
3:52.0,Personal foul by J. Smith (drawn by K. Faried),,47-38,,
3:52.0,,,47-38,,D. Gallinari enters the game for J. Lauvergne
3:43.0,,,47-40,2,T. Lawson makes 2-pt shot from 1 ft
3:28.0,J. Smith makes 2-pt shot at rim (assist by J. Harden),2,49-40,,
3:15.0,,,49-40,,Turnover by K. Faried (lost ball; steal by J. Harden)
3:07.0,P. Beverley misses 3-pt shot from 24 ft,,49-40,,
3:06.0,Offensive rebound by C. Brewer,,49-40,,
2:59.0,C. Brewer makes 2-pt shot from 5 ft,2,51-40,,
2:59.0,,,51-40,,Denver full timeout
2:59.0,Houston full timeout,,51-40,,
2:50.0,,,51-40,,Shooting foul by J. Dorsey (drawn by T. Lawson)
2:50.0,,,51-41,1,T. Lawson makes free throw 1 of 2
2:50.0,T. Jones enters the game for J. Dorsey,,51-41,,
2:50.0,J. Terry enters the game for P. Beverley,,51-41,,
2:50.0,,,51-41,,T. Lawson misses free throw 2 of 2
2:48.0,Defensive rebound by T. Jones,,51-41,,
2:35.0,T. Jones makes 2-pt shot from 4 ft (assist by J. Harden),2,53-41,,
2:29.0,,,53-41,,Offensive foul by K. Faried
2:29.0,,,53-41,,Turnover by K. Faried (offensive foul)
2:17.0,C. Brewer misses 2-pt shot from 3 ft,,53-41,,
2:16.0,,,53-41,,Defensive rebound by K. Faried
2:05.0,,,53-41,,Shooting foul by J. Harden (drawn by T. Lawson)
2:05.0,,,53-41,,T. Lawson misses free throw 1 of 2
2:05.0,,,53-41,,Offensive rebound by Team
2:05.0,,,53-42,1,T. Lawson makes free throw 2 of 2
1:47.0,J. Smith makes 2-pt shot from 2 ft (assist by J. Harden),2,55-42,,
1:35.0,,,55-44,2,T. Lawson makes 2-pt shot from 18 ft
1:22.0,J. Harden misses 2-pt shot from 1 ft,,55-44,,
1:21.0,,,55-44,,Defensive rebound by K. Faried
1:16.0,,,55-44,,Turnover by W. Chandler (lost ball; steal by J. Terry)
1:12.0,T. Jones misses 2-pt shot from 6 ft,,55-44,,
1:11.0,Offensive rebound by J. Smith,,55-44,,
1:10.0,T. Ariza enters the game for J. Harden,,55-44,,
1:10.0,Jump ball: R. Foye vs. J. Smith (T. Jones gains possession),,,,Jump ball: R. Foye vs. J. Smith (T. Jones gains possession)
0:53.0,C. Brewer misses 3-pt shot from 25 ft,,55-44,,
0:52.0,,,55-44,,Defensive rebound by K. Faried
0:47.0,,,55-46,2,D. Gallinari makes 2-pt shot from 21 ft
0:36.0,T. Jones misses 3-pt shot from 26 ft,,55-46,,
0:35.0,,,55-46,,Defensive rebound by W. Chandler
0:15.0,,,55-48,2,W. Chandler makes 2-pt shot at rim (assist by T. Lawson)
0:03.0,J. Smith misses 3-pt shot from 24 ft,,55-48,,
0:02.0,,,55-48,,Defensive rebound by T. Lawson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
