time,New York,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. R. Gobert (D. Favors gains possession),,,,Jump ball: L. Amundson vs. R. Gobert (D. Favors gains possession)
11:36.0,,,0-2,2,D. Favors makes 2-pt shot from 1 ft
11:21.0,L. Amundson makes 2-pt shot from 6 ft (assist by A. Shved),2,2-2,,
10:54.0,,,2-4,2,R. Gobert makes 2-pt shot from 4 ft (assist by E. Millsap)
10:40.0,A. Bargnani makes 2-pt shot from 18 ft (assist by A. Shved),2,4-4,,
10:27.0,,,4-4,,T. Burke misses 2-pt shot from 19 ft
10:26.0,Defensive rebound by A. Shved,,4-4,,
10:17.0,A. Bargnani makes 2-pt shot from 20 ft (assist by A. Shved),2,6-4,,
10:15.0,,,6-4,,Utah full timeout
10:00.0,,,6-4,,R. Gobert misses 2-pt shot from 3 ft (block by L. Amundson)
9:57.0,,,6-4,,Offensive rebound by R. Gobert
9:54.0,,,6-4,,T. Burke misses 3-pt shot from 23 ft
9:53.0,Defensive rebound by A. Shved,,6-4,,
9:34.0,A. Bargnani misses 2-pt shot from 2 ft,,6-4,,
9:32.0,,,6-4,,Defensive rebound by D. Exum
9:22.0,Personal foul by L. Galloway,,6-4,,
9:12.0,,,6-6,2,D. Favors makes 2-pt shot from 1 ft (assist by T. Burke)
8:52.0,L. Galloway misses 3-pt shot from 25 ft,,6-6,,
8:51.0,,,6-6,,Defensive rebound by R. Gobert
8:43.0,Personal foul by L. Amundson (drawn by D. Exum),,6-6,,
8:30.0,,,6-8,2,R. Gobert makes 2-pt shot at rim (assist by D. Exum)
8:07.0,A. Shved misses 2-pt shot from 11 ft,,6-8,,
8:06.0,,,6-8,,Defensive rebound by R. Gobert
8:02.0,,,6-8,,Offensive charge foul by E. Millsap
8:02.0,,,6-8,,Turnover by E. Millsap (offensive foul)
7:48.0,A. Bargnani makes 2-pt shot from 20 ft (assist by L. Galloway),2,8-8,,
7:34.0,,,8-8,,Turnover by E. Millsap (bad pass)
7:26.0,L. Galloway makes 2-pt shot from 2 ft,2,10-8,,
7:17.0,,,10-8,,T. Burke misses 2-pt shot from 5 ft
7:17.0,,,10-8,,Offensive rebound by R. Gobert
7:17.0,,,10-8,,Shooting foul by L. Galloway (drawn by R. Gobert)
7:17.0,,,10-8,,R. Gobert misses free throw 1 of 2
7:17.0,,,10-8,,Offensive rebound by Team
7:17.0,S. Larkin enters the game for L. Galloway,,10-8,,
7:17.0,,,10-9,1,R. Gobert makes free throw 2 of 2
7:04.0,,,10-9,,Personal foul by E. Millsap (drawn by A. Shved)
7:04.0,,,10-9,,R. Hood enters the game for E. Millsap
6:58.0,A. Bargnani makes 2-pt shot from 2 ft,2,12-9,,
6:32.0,,,12-9,,T. Burke misses 2-pt shot from 16 ft
6:31.0,Defensive rebound by A. Bargnani,,12-9,,
6:23.0,A. Shved misses 2-pt shot from 2 ft (block by R. Gobert),,12-9,,
6:22.0,Offensive rebound by L. Amundson,,12-9,,
6:22.0,L. Amundson makes 2-pt shot from 1 ft,2,14-9,,
6:22.0,Shooting foul by R. Hood (drawn by L. Amundson),,14-9,,
6:22.0,L. Amundson makes free throw 1 of 1,1,15-9,,
6:07.0,,,15-9,,R. Hood misses 3-pt shot from 23 ft
6:06.0,Defensive rebound by A. Shved,,15-9,,
5:56.0,L. Thomas misses 3-pt shot from 24 ft,,15-9,,
5:55.0,,,15-9,,Defensive rebound by D. Favors
5:45.0,,,15-9,,D. Favors misses 2-pt shot from 18 ft
5:44.0,Defensive rebound by S. Larkin,,15-9,,
5:21.0,A. Shved misses 3-pt shot from 25 ft,,15-9,,
5:20.0,Offensive rebound by L. Amundson,,15-9,,
5:07.0,L. Amundson misses 2-pt shot from 15 ft,,15-9,,
5:05.0,,,15-9,,Defensive rebound by R. Gobert
4:56.0,,,15-11,2,D. Favors makes 2-pt shot from 3 ft
4:56.0,,,15-11,,Shooting foul by S. Larkin (drawn by D. Favors)
4:56.0,,,15-11,,J. Ingles enters the game for T. Burke
4:56.0,C. Early enters the game for L. Thomas,,15-11,,
4:56.0,J. Smith enters the game for L. Amundson,,15-11,,
