time,Memphis,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. M. Gasol (M. Smart gains possession),,,,Jump ball: B. Bass vs. M. Gasol (M. Smart gains possession)
11:38.0,,,0-2,2,A. Bradley makes 2-pt shot from 17 ft
11:23.0,J. Green misses 2-pt shot from 3 ft (block by T. Zeller),,0-2,,
11:22.0,,,0-2,,Defensive rebound by A. Bradley
11:16.0,,,0-4,2,T. Zeller makes 2-pt shot at rim (assist by E. Turner)
11:02.0,M. Gasol misses 2-pt shot from 14 ft,,0-4,,
11:00.0,,,0-4,,Defensive rebound by T. Zeller
10:38.0,,,0-4,,T. Zeller misses 2-pt shot from 6 ft
10:37.0,Defensive rebound by C. Lee,,0-4,,
10:19.0,M. Conley makes 2-pt shot from 8 ft,2,2-4,,
9:56.0,,,2-4,,Turnover by T. Zeller (lost ball; steal by J. Green)
9:39.0,M. Conley makes 2-pt shot at rim (assist by M. Gasol),2,4-4,,
9:22.0,,,4-4,,A. Bradley misses 3-pt shot from 24 ft
9:21.0,Defensive rebound by Z. Randolph,,4-4,,
9:09.0,M. Gasol misses 2-pt shot from 11 ft,,4-4,,
9:08.0,,,4-4,,Defensive rebound by T. Zeller
8:59.0,,,4-6,2,B. Bass makes 2-pt shot at rim (assist by E. Turner)
8:37.0,M. Conley makes 2-pt shot from 20 ft,2,6-6,,
8:20.0,,,6-6,,B. Bass misses 2-pt shot at rim
8:19.0,,,6-6,,Offensive rebound by B. Bass
8:19.0,,,6-8,2,B. Bass makes 2-pt shot at rim
8:04.0,M. Conley makes 2-pt shot from 5 ft,2,8-8,,
7:46.0,,,8-8,,E. Turner misses 2-pt shot from 2 ft
7:45.0,Defensive rebound by M. Gasol,,8-8,,
7:41.0,Shooting foul by T. Zeller (drawn by Z. Randolph),,8-8,,
7:41.0,Z. Randolph makes free throw 1 of 2,1,9-8,,
7:41.0,Z. Randolph makes free throw 2 of 2,1,10-8,,
7:30.0,,,10-10,2,B. Bass makes 2-pt shot from 18 ft (assist by A. Bradley)
7:09.0,Z. Randolph misses 2-pt shot from 2 ft,,10-10,,
7:08.0,,,10-10,,Defensive rebound by T. Zeller
6:56.0,,,10-10,,B. Bass misses 3-pt shot from 23 ft
6:55.0,Defensive rebound by J. Green,,10-10,,
6:38.0,J. Green misses 2-pt shot from 13 ft,,10-10,,
6:37.0,,,10-10,,Defensive rebound by Team
6:23.0,,,10-13,3,A. Bradley makes 3-pt shot from 25 ft (assist by T. Zeller)
6:06.0,C. Lee makes 2-pt shot from 18 ft,2,12-13,,
5:45.0,,,12-13,,E. Turner misses 2-pt shot from 20 ft
5:43.0,,,12-13,,Offensive rebound by A. Bradley
5:40.0,,,12-13,,A. Bradley misses 3-pt shot from 26 ft
5:38.0,Defensive rebound by M. Gasol,,12-13,,
5:31.0,C. Lee misses 2-pt shot from 18 ft,,12-13,,
5:29.0,,,12-13,,Defensive rebound by B. Bass
5:18.0,,,12-13,,T. Zeller misses 2-pt shot from 15 ft
5:17.0,Defensive rebound by Z. Randolph,,12-13,,
5:11.0,Turnover by C. Lee (bad pass),,12-13,,
5:11.0,,,12-13,,Boston full timeout
5:11.0,T. Allen enters the game for J. Green,,12-13,,
5:11.0,J. Green enters the game for Z. Randolph,,12-13,,
5:11.0,,,12-13,,J. Crowder enters the game for E. Turner
5:11.0,,,12-13,,K. Olynyk enters the game for T. Zeller
4:56.0,,,12-13,,Turnover by K. Olynyk (bad pass; steal by M. Conley)
4:48.0,M. Conley misses 3-pt shot from 25 ft,,12-13,,
4:47.0,,,12-13,,Defensive rebound by J. Crowder
4:37.0,,,12-13,,Turnover by M. Smart (bad pass)
4:24.0,J. Green makes 2-pt shot from 22 ft (assist by M. Conley),2,14-13,,
4:04.0,,,14-15,2,K. Olynyk makes 2-pt shot from 18 ft (assist by B. Bass)
3:52.0,,,14-15,,Personal foul by B. Bass (drawn by M. Gasol)
3:41.0,Turnover by J. Green (bad pass),,14-15,,
3:29.0,,,14-15,,K. Olynyk misses 3-pt shot from 25 ft
3:28.0,Defensive rebound by J. Green,,14-15,,
3:19.0,C. Lee misses 3-pt shot from 26 ft,,14-15,,
3:17.0,,,14-15,,Defensive rebound by B. Bass
3:14.0,,,14-15,,Turnover by A. Bradley (bad pass)
3:03.0,Turnover by M. Conley (bad pass; steal by K. Olynyk),,14-15,,
3:01.0,,,14-17,2,B. Bass makes 2-pt shot at rim (assist by K. Olynyk)
2:43.0,J. Green misses 2-pt shot from 20 ft,,14-17,,
2:42.0,,,14-17,,Defensive rebound by M. Smart
2:27.0,,,14-17,,A. Bradley misses 3-pt shot from 23 ft
2:26.0,,,14-17,,Offensive rebound by K. Olynyk
2:26.0,,,14-17,,Shooting foul by M. Conley (drawn by K. Olynyk)
2:26.0,Memphis full timeout,,14-17,,
2:26.0,,,14-17,,P. Pressey enters the game for M. Smart
2:26.0,K. Koufos enters the game for M. Gasol,,14-17,,
2:26.0,B. Udrih enters the game for M. Conley,,14-17,,
2:26.0,,,14-18,1,K. Olynyk makes free throw 1 of 2
2:26.0,,,14-18,,K. Olynyk misses free throw 2 of 2
2:25.0,Defensive rebound by K. Koufos,,14-18,,
2:07.0,J. Green makes 2-pt shot from 19 ft (assist by C. Lee),2,16-18,,
1:51.0,,,16-18,,A. Bradley misses 2-pt shot from 18 ft
1:51.0,,,16-18,,Offensive rebound by Team
1:51.0,Loose ball foul by K. Koufos (drawn by K. Olynyk),,16-18,,
1:51.0,V. Carter enters the game for C. Lee,,16-18,,
1:42.0,,,16-18,,Turnover by K. Olynyk (traveling)
1:33.0,B. Udrih misses 2-pt shot from 14 ft,,16-18,,
1:32.0,Offensive rebound by J. Green,,16-18,,
1:31.0,Turnover by B. Udrih (offensive goaltending),,16-18,,
1:18.0,,,16-18,,A. Bradley misses 3-pt shot from 23 ft (block by T. Allen)
1:17.0,Defensive rebound by J. Green,,16-18,,
1:09.0,B. Udrih misses 2-pt shot from 3 ft,,16-18,,
1:08.0,,,16-18,,Defensive rebound by A. Bradley
1:02.0,,,16-18,,K. Olynyk misses 3-pt shot from 25 ft
1:01.0,Defensive rebound by J. Green,,16-18,,
0:50.0,V. Carter misses 2-pt shot from 20 ft,,16-18,,
0:48.0,,,16-18,,Defensive rebound by K. Olynyk
0:42.0,,,16-20,2,B. Bass makes 2-pt shot at rim (assist by J. Crowder)
0:28.0,Turnover by B. Udrih (bad pass; steal by K. Olynyk),,16-20,,
0:09.0,,,16-20,,Turnover by P. Pressey (bad pass)
0:09.0,,,16-20,,L. Datome enters the game for A. Bradley
0:09.0,M. Conley enters the game for T. Allen,,16-20,,
0:04.0,K. Koufos makes 2-pt shot at rim (assist by B. Udrih),2,18-20,,
0:00.0,,,18-23,3,P. Pressey makes 3-pt shot from 33 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,J. Green misses 2-pt shot from 15 ft,,18-23,,
11:46.0,,,18-23,,Defensive rebound by P. Pressey
11:43.0,Personal block foul by V. Carter (drawn by J. Crowder),,18-23,,
11:32.0,,,18-23,,J. Crowder misses 2-pt shot from 15 ft
11:30.0,,,18-23,,Offensive rebound by J. Crowder
11:27.0,,,18-23,,J. Crowder misses 3-pt shot from 25 ft
11:25.0,,,18-23,,Offensive rebound by K. Olynyk
11:16.0,,,18-26,3,J. Crowder makes 3-pt shot from 23 ft (assist by P. Pressey)
11:00.0,J. Green misses 2-pt shot from 1 ft,,18-26,,
11:00.0,,,18-26,,Defensive rebound by Team
10:48.0,,,18-26,,J. Jerebko misses 2-pt shot from 1 ft (block by T. Allen)
10:45.0,Defensive rebound by J. Green,,18-26,,
10:41.0,K. Koufos makes 2-pt shot at rim (assist by J. Green),2,20-26,,
10:18.0,,,20-26,,Turnover by J. Jerebko (lost ball; steal by T. Allen)
10:14.0,T. Allen misses 2-pt shot from 3 ft (block by L. Datome),,20-26,,
10:13.0,Offensive rebound by T. Allen,,20-26,,
10:12.0,T. Allen makes 2-pt shot at rim,2,22-26,,
9:48.0,,,22-26,,L. Datome misses 2-pt shot from 20 ft
9:46.0,,,22-26,,Offensive rebound by K. Olynyk
9:45.0,,,22-26,,Turnover by K. Olynyk (bad pass; steal by T. Allen)
9:30.0,Turnover by K. Koufos (lost ball; steal by J. Crowder),,22-26,,
9:29.0,Personal foul by K. Koufos (drawn by J. Crowder),,22-26,,
9:29.0,,,22-26,,E. Turner enters the game for K. Olynyk
9:09.0,,,22-26,,J. Crowder misses 2-pt shot from 20 ft
9:07.0,,,22-26,,Offensive rebound by J. Jerebko
9:01.0,,,22-28,2,J. Crowder makes 2-pt shot from 18 ft (assist by P. Pressey)
8:43.0,V. Carter makes 2-pt shot from 7 ft,2,24-28,,
8:19.0,,,24-28,,L. Datome misses 3-pt shot from 24 ft
8:17.0,Defensive rebound by K. Koufos,,24-28,,
8:09.0,B. Udrih misses 2-pt shot from 18 ft,,24-28,,
8:07.0,,,24-28,,Defensive rebound by J. Jerebko
8:01.0,,,24-28,,J. Crowder misses 2-pt shot from 17 ft
8:01.0,,,24-28,,Offensive rebound by Team
8:01.0,Official timeout,,24-28,,
8:01.0,M. Conley enters the game for T. Allen,,24-28,,
8:01.0,Z. Randolph enters the game for B. Udrih,,24-28,,
8:01.0,Violation by V. Carter (kicked ball),,24-28,,
7:59.0,,,24-30,2,J. Jerebko makes 2-pt shot at rim (assist by E. Turner)
7:45.0,Shooting foul by J. Crowder (drawn by Z. Randolph),,24-30,,
7:45.0,Z. Randolph makes free throw 1 of 2,1,25-30,,
7:45.0,Z. Randolph makes free throw 2 of 2,1,26-30,,
7:22.0,,,26-30,,P. Pressey misses 3-pt shot from 23 ft
7:21.0,Defensive rebound by V. Carter,,26-30,,
7:06.0,J. Green makes 3-pt shot from 26 ft (assist by Z. Randolph),3,29-30,,
6:41.0,,,29-32,2,L. Datome makes 2-pt shot from 6 ft
6:24.0,Turnover by M. Conley (lost ball; steal by P. Pressey),,29-32,,
6:20.0,,,29-34,2,J. Crowder makes 2-pt shot at rim (assist by L. Datome)
6:20.0,,,29-34,,Shooting foul by V. Carter (drawn by J. Crowder)
6:20.0,M. Gasol enters the game for K. Koufos,,29-34,,
6:20.0,C. Lee enters the game for V. Carter,,29-34,,
6:20.0,,,29-35,1,J. Crowder makes free throw 1 of 1
6:02.0,Turnover by C. Lee (lost ball; steal by E. Turner),,29-35,,
5:41.0,,,29-35,,J. Jerebko misses 2-pt shot from 19 ft
5:40.0,Defensive rebound by M. Gasol,,29-35,,
5:35.0,,,29-35,,Personal foul by J. Jerebko (drawn by Z. Randolph)
5:35.0,,,29-35,,Boston full timeout
5:35.0,,,29-35,,A. Bradley enters the game for P. Pressey
5:35.0,,,29-35,,T. Zeller enters the game for L. Datome
5:35.0,,,29-35,,M. Smart enters the game for J. Crowder
5:35.0,N. Calathes enters the game for J. Green,,29-35,,
5:19.0,M. Conley makes 2-pt shot from 13 ft (assist by Z. Randolph),2,31-35,,
4:50.0,,,31-35,,A. Bradley misses 3-pt shot from 26 ft
4:49.0,Defensive rebound by C. Lee,,31-35,,
4:45.0,,,31-35,,Personal foul by J. Jerebko (drawn by M. Gasol)
4:45.0,,,31-35,,B. Bass enters the game for J. Jerebko
4:37.0,,,31-35,,Violation by B. Bass (kicked ball)
4:31.0,Turnover by M. Conley (back court),,31-35,,
4:12.0,,,31-35,,Turnover by E. Turner (bad pass; steal by M. Conley)
3:53.0,C. Lee misses 3-pt shot from 22 ft,,31-35,,
3:52.0,Offensive rebound by M. Gasol,,31-35,,
3:51.0,Turnover by M. Gasol (lost ball),,31-35,,
3:34.0,,,31-35,,E. Turner misses 2-pt shot from 6 ft
3:33.0,Defensive rebound by Z. Randolph,,31-35,,
3:27.0,M. Gasol makes 2-pt shot from 1 ft (assist by N. Calathes),2,33-35,,
3:06.0,,,33-37,2,T. Zeller makes 2-pt shot from 1 ft (assist by B. Bass)
2:49.0,,,33-37,,Personal foul by T. Zeller (drawn by Z. Randolph)
2:49.0,Memphis full timeout,,33-37,,
2:49.0,T. Allen enters the game for C. Lee,,33-37,,
2:36.0,M. Gasol misses 2-pt shot from 7 ft,,33-37,,
2:35.0,,,33-37,,Defensive rebound by T. Zeller
2:20.0,,,33-39,2,A. Bradley makes 2-pt shot from 21 ft (assist by T. Zeller)
2:04.0,Turnover by M. Gasol (traveling),,33-39,,
1:49.0,,,33-39,,T. Zeller misses 2-pt shot from 4 ft (block by M. Gasol)
1:48.0,,,33-39,,Offensive rebound by Team
1:33.0,,,33-39,,E. Turner misses 2-pt shot from 16 ft
1:32.0,Defensive rebound by Team,,33-39,,
1:14.0,Z. Randolph makes 2-pt shot from 3 ft,2,35-39,,
1:00.0,,,35-39,,A. Bradley misses 2-pt shot from 19 ft
0:59.0,Defensive rebound by M. Conley,,35-39,,
0:53.0,M. Conley makes 2-pt shot from 4 ft,2,37-39,,
0:50.0,,,37-39,,K. Olynyk enters the game for T. Zeller
0:47.0,,,37-39,,K. Olynyk misses 2-pt shot from 18 ft
0:46.0,Defensive rebound by Z. Randolph,,37-39,,
0:31.0,T. Allen makes 2-pt shot from 2 ft (assist by Z. Randolph),2,39-39,,
0:09.0,,,39-39,,M. Smart misses 3-pt shot from 26 ft
0:07.0,Defensive rebound by T. Allen,,39-39,,
0:02.0,Turnover by T. Allen (lost ball; steal by M. Smart),,39-39,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,Turnover by M. Conley (bad pass; steal by A. Bradley),,39-39,,
11:47.0,,,39-41,2,A. Bradley makes 2-pt shot at rim (assist by M. Smart)
11:25.0,Z. Randolph misses 2-pt shot from 18 ft,,39-41,,
11:24.0,,,39-41,,Defensive rebound by B. Bass
11:07.0,,,39-41,,E. Turner misses 2-pt shot from 10 ft
11:06.0,Defensive rebound by M. Gasol,,39-41,,
10:53.0,,,39-41,,Personal foul by M. Smart (drawn by M. Gasol)
10:40.0,J. Green misses 2-pt shot from 20 ft,,39-41,,
10:39.0,,,39-41,,Defensive rebound by M. Smart
10:30.0,,,39-41,,K. Olynyk misses 3-pt shot from 26 ft
10:29.0,Defensive rebound by C. Lee,,39-41,,
10:14.0,C. Lee misses 3-pt shot from 22 ft,,39-41,,
10:13.0,,,39-41,,Defensive rebound by Team
10:13.0,Loose ball foul by Z. Randolph (drawn by K. Olynyk),,39-41,,
10:02.0,,,39-41,,Turnover by E. Turner (bad pass; steal by C. Lee)
9:59.0,Shooting foul by E. Turner (drawn by J. Green),,39-41,,
9:59.0,J. Green makes free throw 1 of 2,1,40-41,,
9:59.0,J. Green makes free throw 2 of 2,1,41-41,,
9:44.0,,,41-41,,Offensive foul by K. Olynyk
9:44.0,,,41-41,,Turnover by K. Olynyk (offensive foul)
9:30.0,C. Lee misses 2-pt shot from 19 ft,,41-41,,
9:29.0,,,41-41,,Defensive rebound by K. Olynyk
9:15.0,,,41-41,,Turnover by K. Olynyk (bad pass; steal by C. Lee)
9:09.0,C. Lee makes 3-pt shot from 25 ft (assist by M. Conley),3,44-41,,
9:09.0,,,44-41,,Boston full timeout
8:51.0,,,44-41,,M. Smart misses 2-pt shot from 8 ft
8:48.0,Defensive rebound by Team,,44-41,,
8:34.0,M. Gasol misses 2-pt shot from 21 ft,,44-41,,
8:33.0,,,44-41,,Defensive rebound by A. Bradley
8:16.0,Violation by J. Green (kicked ball),,44-41,,
8:10.0,,,44-43,2,A. Bradley makes 2-pt shot from 19 ft (assist by K. Olynyk)
7:41.0,Z. Randolph misses 2-pt shot from 19 ft,,44-43,,
7:40.0,,,44-43,,Defensive rebound by K. Olynyk
7:34.0,Personal foul by J. Green (drawn by A. Bradley),,44-43,,
7:21.0,,,44-45,2,E. Turner makes 2-pt shot from 2 ft (assist by M. Smart)
7:07.0,Shooting foul by K. Olynyk (drawn by Z. Randolph),,44-45,,
7:07.0,Z. Randolph makes free throw 1 of 2,1,45-45,,
7:07.0,Z. Randolph makes free throw 2 of 2,1,46-45,,
6:56.0,,,46-48,3,K. Olynyk makes 3-pt shot from 25 ft (assist by E. Turner)
6:36.0,M. Gasol makes 2-pt shot from 16 ft (assist by Z. Randolph),2,48-48,,
6:27.0,,,48-48,,Shooting foul by Z. Randolph (drawn by E. Turner)
6:27.0,,,48-49,1,E. Turner makes free throw 1 of 2
6:27.0,,,48-50,1,E. Turner makes free throw 2 of 2
6:09.0,C. Lee misses 2-pt shot from 13 ft,,48-50,,
6:08.0,Offensive rebound by M. Gasol,,48-50,,
6:05.0,Offensive foul by Z. Randolph,,48-50,,
6:05.0,Turnover by Z. Randolph (offensive foul),,48-50,,
5:53.0,,,48-52,2,K. Olynyk makes 2-pt shot from 4 ft
5:45.0,Turnover by M. Conley (lost ball; steal by A. Bradley),,48-52,,
5:40.0,,,48-54,2,B. Bass makes 2-pt shot at rim (assist by E. Turner)
5:40.0,Memphis full timeout,,48-54,,
5:40.0,B. Udrih enters the game for M. Conley,,48-54,,
5:22.0,J. Green makes 2-pt shot from 6 ft (assist by M. Gasol),2,50-54,,
5:05.0,,,50-56,2,K. Olynyk makes 2-pt shot from 21 ft (assist by A. Bradley)
4:50.0,B. Udrih makes 2-pt shot at rim (assist by M. Gasol),2,52-56,,
4:34.0,,,52-58,2,A. Bradley makes 2-pt shot from 20 ft (assist by B. Bass)
4:13.0,M. Gasol misses 2-pt shot from 16 ft,,52-58,,
4:13.0,Offensive rebound by Team,,52-58,,
4:13.0,,,52-58,,Loose ball foul by K. Olynyk (drawn by Z. Randolph)
4:13.0,,,52-58,,J. Crowder enters the game for E. Turner
4:03.0,M. Gasol makes 2-pt shot at rim (assist by Z. Randolph),2,54-58,,
3:56.0,,,54-58,,Turnover by M. Smart (bad pass; steal by M. Gasol)
3:54.0,Turnover by B. Udrih (bad pass; steal by K. Olynyk),,54-58,,
3:50.0,,,54-58,,K. Olynyk misses 3-pt shot from 27 ft
3:47.0,Defensive rebound by Team,,54-58,,
3:47.0,,,54-58,,Personal foul by K. Olynyk (drawn by C. Lee)
3:47.0,C. Lee makes free throw 1 of 2,1,55-58,,
3:47.0,T. Allen enters the game for J. Green,,55-58,,
3:47.0,C. Lee makes free throw 2 of 2,1,56-58,,
3:33.0,,,56-58,,J. Crowder misses 2-pt shot from 15 ft
3:32.0,Defensive rebound by Z. Randolph,,56-58,,
3:29.0,,,56-58,,T. Zeller enters the game for K. Olynyk
3:29.0,Jump ball: T. Allen vs. M. Smart (A. Bradley gains possession),,,,Jump ball: T. Allen vs. M. Smart (A. Bradley gains possession)
3:29.0,Turnover by T. Allen (lost ball; steal by M. Smart),,56-58,,
3:14.0,,,56-58,,M. Smart misses 2-pt shot from 13 ft
3:13.0,Defensive rebound by C. Lee,,56-58,,
3:09.0,Shooting foul by A. Bradley (drawn by T. Allen),,56-58,,
3:09.0,T. Allen makes free throw 1 of 2,1,57-58,,
3:09.0,T. Allen makes free throw 2 of 2,1,58-58,,
2:48.0,,,58-58,,M. Smart misses 2-pt shot from 21 ft
2:47.0,Defensive rebound by Z. Randolph,,58-58,,
2:27.0,C. Lee misses 2-pt shot from 16 ft,,58-58,,
2:26.0,,,58-58,,Defensive rebound by M. Smart
2:13.0,,,58-58,,T. Zeller misses 2-pt shot from 15 ft
2:11.0,,,58-58,,Offensive rebound by T. Zeller
2:10.0,,,58-58,,Turnover by T. Zeller (lost ball; steal by B. Udrih)
2:06.0,C. Lee misses 2-pt shot at rim (block by M. Smart),,58-58,,
2:05.0,,,58-58,,Defensive rebound by Team
2:05.0,,,58-58,,P. Pressey enters the game for M. Smart
2:05.0,N. Calathes enters the game for C. Lee,,58-58,,
1:45.0,,,58-60,2,A. Bradley makes 2-pt shot from 15 ft (assist by J. Crowder)
1:29.0,Turnover by N. Calathes (bad pass; steal by J. Crowder),,58-60,,
1:24.0,,,58-62,2,J. Crowder makes 2-pt shot at rim
1:06.0,N. Calathes misses 2-pt shot from 21 ft,,58-62,,
1:05.0,Offensive rebound by M. Gasol,,58-62,,
1:05.0,M. Gasol makes 2-pt shot at rim,2,60-62,,
1:05.0,Shooting foul by T. Zeller (drawn by M. Gasol),,60-62,,
1:05.0,,,60-62,,J. Jerebko enters the game for B. Bass
1:05.0,M. Gasol makes free throw 1 of 1,1,61-62,,
0:55.0,,,61-62,,Turnover by A. Bradley (bad pass; steal by B. Udrih)
0:50.0,Z. Randolph makes 2-pt shot from 1 ft (assist by T. Allen),2,63-62,,
0:32.0,,,63-62,,P. Pressey misses 3-pt shot from 29 ft
0:31.0,Defensive rebound by Team,,63-62,,
0:31.0,K. Koufos enters the game for M. Gasol,,63-62,,
0:11.0,Z. Randolph misses 2-pt shot from 18 ft,,63-62,,
0:09.0,,,63-62,,Defensive rebound by J. Jerebko
0:04.0,Personal take foul by T. Allen (drawn by A. Bradley),,63-62,,
0:04.0,,,63-62,,K. Olynyk enters the game for T. Zeller
0:04.0,J. Green enters the game for Z. Randolph,,63-62,,
0:04.0,,,63-62,,L. Datome enters the game for J. Crowder
0:00.0,,,63-64,2,K. Olynyk makes 2-pt shot from 17 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,63-66,2,J. Jerebko makes 2-pt shot at rim (assist by J. Crowder)
11:29.0,J. Green misses 2-pt shot from 13 ft,,63-66,,
11:26.0,Offensive rebound by B. Udrih,,63-66,,
11:17.0,T. Allen makes 2-pt shot at rim (assist by N. Calathes),2,65-66,,
11:07.0,,,65-66,,Shooting foul by B. Udrih (drawn by P. Pressey)
11:07.0,,,65-67,1,P. Pressey makes free throw 1 of 2
11:07.0,,,65-67,,P. Pressey misses free throw 2 of 2
11:06.0,Defensive rebound by K. Koufos,,65-67,,
10:44.0,N. Calathes misses 2-pt shot from 10 ft,,65-67,,
10:44.0,,,65-67,,Defensive rebound by Team
10:44.0,Loose ball foul by K. Koufos (drawn by T. Zeller),,65-67,,
10:19.0,,,65-67,,J. Jerebko misses 2-pt shot from 4 ft
10:18.0,,,65-67,,Offensive rebound by J. Jerebko
10:17.0,,,65-67,,J. Jerebko misses 2-pt shot from 5 ft
10:16.0,Defensive rebound by J. Green,,65-67,,
10:11.0,Offensive foul by T. Allen,,65-67,,
10:11.0,Turnover by T. Allen (offensive foul),,65-67,,
9:58.0,,,65-70,3,J. Crowder makes 3-pt shot from 25 ft (assist by T. Zeller)
9:44.0,N. Calathes misses 2-pt shot from 6 ft (block by T. Zeller),,65-70,,
9:43.0,Offensive rebound by N. Calathes,,65-70,,
9:34.0,B. Udrih makes 3-pt shot from 27 ft,3,68-70,,
9:17.0,,,68-70,,P. Pressey misses 3-pt shot from 26 ft
9:16.0,Defensive rebound by K. Koufos,,68-70,,
9:06.0,T. Allen misses 2-pt shot from 13 ft,,68-70,,
9:05.0,Offensive rebound by Team,,68-70,,
9:05.0,V. Carter enters the game for N. Calathes,,68-70,,
9:05.0,M. Conley enters the game for B. Udrih,,68-70,,
8:57.0,J. Green makes 2-pt shot from 18 ft (assist by M. Conley),2,70-70,,
8:41.0,,,70-70,,Shooting foul by K. Koufos (drawn by T. Zeller)
8:41.0,Official timeout,,70-70,,
8:41.0,,,70-70,,M. Smart enters the game for L. Datome
8:41.0,,,70-71,1,T. Zeller makes free throw 1 of 2
8:41.0,,,70-72,1,T. Zeller makes free throw 2 of 2
8:25.0,T. Allen makes 2-pt shot from 1 ft (assist by V. Carter),2,72-72,,
8:06.0,,,72-72,,T. Zeller misses 2-pt shot from 2 ft (block by K. Koufos)
8:05.0,,,72-72,,Offensive rebound by T. Zeller
8:03.0,,,72-74,2,T. Zeller makes 2-pt shot from 2 ft
7:46.0,V. Carter misses 2-pt shot from 22 ft,,72-74,,
7:44.0,,,72-74,,Defensive rebound by J. Crowder
7:43.0,,,72-74,,Turnover by J. Crowder (bad pass; steal by V. Carter)
7:34.0,J. Green misses 3-pt shot from 25 ft,,72-74,,
7:33.0,Offensive rebound by T. Allen,,72-74,,
7:33.0,T. Allen makes 2-pt shot at rim,2,74-74,,
7:11.0,,,74-77,3,J. Jerebko makes 3-pt shot from 24 ft (assist by M. Smart)
6:55.0,M. Conley makes 3-pt shot from 26 ft,3,77-77,,
6:53.0,,,77-77,,Boston full timeout
6:53.0,Z. Randolph enters the game for J. Green,,77-77,,
6:53.0,M. Gasol enters the game for K. Koufos,,77-77,,
6:53.0,C. Lee enters the game for V. Carter,,77-77,,
6:30.0,,,77-77,,M. Smart misses 3-pt shot from 28 ft
6:29.0,,,77-77,,Offensive rebound by Team
6:29.0,,,77-77,,Turnover by Team (shot clock)
