time,Houston,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. D. Motiejunas (T. Jones gains possession),,,,Jump ball: R. Lopez vs. D. Motiejunas (T. Jones gains possession)
11:44.0,D. Motiejunas makes 3-pt shot from 22 ft (assist by J. Harden),3,3-0,,
11:17.0,,,3-2,2,R. Lopez makes 2-pt shot from 14 ft (assist by D. Lillard)
11:00.0,Shooting foul by R. Lopez (drawn by T. Jones),,3-2,,
11:00.0,T. Jones makes free throw 1 of 2,1,4-2,,
11:00.0,T. Jones misses free throw 2 of 2,,4-2,,
11:00.0,,,4-2,,Defensive rebound by N. Batum
10:39.0,,,4-2,,A. Afflalo misses 2-pt shot from 9 ft
10:38.0,,,4-2,,Offensive rebound by L. Aldridge
10:36.0,,,4-5,3,L. Aldridge makes 3-pt shot from 22 ft
10:23.0,Turnover by J. Harden (bad pass),,4-5,,
10:05.0,,,4-5,,L. Aldridge misses 2-pt shot from 20 ft
10:04.0,Defensive rebound by T. Jones,,4-5,,
9:49.0,J. Harden misses 3-pt shot from 24 ft,,4-5,,
9:46.0,,,4-5,,Defensive rebound by D. Lillard
9:42.0,,,4-5,,Turnover by D. Lillard (bad pass; steal by T. Ariza)
9:36.0,J. Harden misses 2-pt shot from 4 ft,,4-5,,
9:35.0,Offensive rebound by T. Jones,,4-5,,
9:35.0,T. Jones makes 2-pt shot at rim,2,6-5,,
9:17.0,,,6-7,2,R. Lopez makes 2-pt shot from 3 ft (assist by D. Lillard)
9:07.0,T. Ariza misses 3-pt shot from 25 ft,,6-7,,
9:06.0,,,6-7,,Defensive rebound by D. Lillard
8:53.0,,,6-9,2,N. Batum makes 2-pt shot at rim (assist by D. Lillard)
8:35.0,D. Motiejunas misses 2-pt shot from 6 ft,,6-9,,
8:34.0,,,6-9,,Defensive rebound by A. Afflalo
8:24.0,,,6-9,,L. Aldridge misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by Team,,6-9,,
8:16.0,P. Beverley misses 2-pt shot from 8 ft,,6-9,,
8:16.0,,,6-9,,Defensive rebound by N. Batum
8:12.0,,,6-9,,Turnover by N. Batum (bad pass)
7:59.0,T. Jones misses 3-pt shot from 24 ft,,6-9,,
7:57.0,,,6-9,,Defensive rebound by R. Lopez
7:44.0,,,6-9,,L. Aldridge misses 2-pt shot from 13 ft
7:42.0,Defensive rebound by P. Beverley,,6-9,,
7:39.0,J. Harden makes 2-pt shot from 1 ft (assist by P. Beverley),2,8-9,,
7:23.0,,,8-11,2,L. Aldridge makes 2-pt shot from 2 ft
7:05.0,T. Jones makes 2-pt shot from 3 ft (assist by T. Ariza),2,10-11,,
6:57.0,,,10-11,,D. Lillard misses 2-pt shot at rim
6:55.0,Defensive rebound by D. Motiejunas,,10-11,,
6:45.0,T. Jones misses 2-pt shot from 3 ft,,10-11,,
6:44.0,,,10-11,,Defensive rebound by N. Batum
6:35.0,,,10-11,,Offensive charge foul by L. Aldridge
6:35.0,,,10-11,,Turnover by L. Aldridge (offensive foul)
6:16.0,Turnover by J. Harden (traveling),,10-11,,
6:02.0,,,10-11,,D. Lillard misses 2-pt shot from 5 ft
6:01.0,,,10-11,,Offensive rebound by D. Lillard
6:00.0,,,10-13,2,D. Lillard makes 2-pt shot from 1 ft
5:45.0,D. Motiejunas makes 3-pt shot from 24 ft (assist by P. Beverley),3,13-13,,
5:44.0,,,13-13,,Portland full timeout
5:44.0,,,13-13,,C. Kaman enters the game for R. Lopez
5:44.0,,,13-13,,C. McCollum enters the game for A. Afflalo
5:25.0,,,13-15,2,N. Batum makes 2-pt shot at rim (assist by L. Aldridge)
5:16.0,Shooting foul by C. Kaman (drawn by T. Jones),,13-15,,
5:16.0,T. Jones makes free throw 1 of 2,1,14-15,,
