time,Milwaukee,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. Z. Pachulia (M. Carter-Williams gains possession),,,,Jump ball: I. Mahinmi vs. Z. Pachulia (M. Carter-Williams gains possession)
11:46.0,Z. Pachulia misses 2-pt shot from 16 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by D. West
11:28.0,,,0-0,,Turnover by I. Mahinmi (lost ball; steal by Z. Pachulia)
11:18.0,K. Middleton misses 2-pt shot from 9 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by I. Mahinmi
11:07.0,,,0-0,,D. West misses 2-pt shot from 10 ft
11:05.0,Defensive rebound by E. Ilyasova,,0-0,,
10:57.0,Turnover by M. Carter-Williams (bad pass; steal by G. Hill),,0-0,,
10:54.0,,,0-2,2,G. Hill makes 2-pt shot at rim (assist by I. Mahinmi)
10:36.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by Z. Pachulia),2,2-2,,
10:23.0,,,2-2,,G. Hill misses 3-pt shot from 26 ft
10:22.0,Defensive rebound by G. Antetokounmpo,,2-2,,
10:07.0,M. Carter-Williams misses 2-pt shot from 17 ft,,2-2,,
10:06.0,,,2-2,,Defensive rebound by C. Miles
9:53.0,,,2-2,,Turnover by D. West (bad pass; steal by M. Carter-Williams)
9:47.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,4-2,,
9:24.0,,,4-4,2,I. Mahinmi makes 2-pt shot from 17 ft (assist by G. Hill)
9:07.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by M. Carter-Williams),2,6-4,,
8:56.0,Personal block foul by E. Ilyasova (drawn by G. Hill),,6-4,,
8:48.0,,,6-4,,C. Miles misses 3-pt shot from 22 ft
8:46.0,Defensive rebound by E. Ilyasova,,6-4,,
8:38.0,K. Middleton misses 2-pt shot from 20 ft,,6-4,,
8:36.0,,,6-4,,Defensive rebound by D. West
8:17.0,,,6-4,,G. Hill misses 2-pt shot from 8 ft
8:15.0,Defensive rebound by G. Antetokounmpo,,6-4,,
8:08.0,G. Antetokounmpo misses 2-pt shot at rim,,6-4,,
8:07.0,,,6-4,,Defensive rebound by I. Mahinmi
7:47.0,,,6-6,2,S. Hill makes 2-pt shot from 1 ft (assist by C. Miles)
7:34.0,Shooting foul by C. Miles (drawn by K. Middleton),,6-6,,
7:34.0,K. Middleton makes free throw 1 of 2,1,7-6,,
7:34.0,K. Middleton makes free throw 2 of 2,1,8-6,,
7:12.0,,,8-6,,Turnover by G. Hill (lost ball; steal by M. Carter-Williams)
7:09.0,Shooting foul by S. Hill (drawn by Z. Pachulia),,8-6,,
7:09.0,Z. Pachulia makes free throw 1 of 2,1,9-6,,
7:09.0,Z. Pachulia makes free throw 2 of 2,1,10-6,,
6:55.0,,,10-9,3,C. Miles makes 3-pt shot from 26 ft (assist by D. West)
6:30.0,K. Middleton makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,13-9,,
6:18.0,,,13-9,,Offensive foul by D. West
6:18.0,,,13-9,,Turnover by D. West (offensive foul)
6:11.0,Z. Pachulia makes 2-pt shot at rim (assist by M. Carter-Williams),2,15-9,,
6:11.0,,,15-9,,Indiana full timeout
5:54.0,,,15-9,,Turnover by D. West (lost ball; steal by M. Carter-Williams)
5:45.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by Z. Pachulia),3,18-9,,
5:31.0,,,18-9,,Offensive foul by D. West
5:31.0,,,18-9,,Turnover by D. West (offensive foul)
5:31.0,C. Johnson enters the game for K. Middleton,,18-9,,
5:31.0,,,18-9,,L. Scola enters the game for D. West
5:31.0,,,18-9,,R. Stuckey enters the game for C. Miles
5:07.0,G. Antetokounmpo misses 2-pt shot from 13 ft,,18-9,,
5:05.0,,,18-9,,Defensive rebound by R. Stuckey
4:59.0,,,18-12,3,G. Hill makes 3-pt shot from 24 ft (assist by R. Stuckey)
4:43.0,Turnover by M. Carter-Williams (bad pass; steal by I. Mahinmi),,18-12,,
4:33.0,,,18-12,,L. Scola misses 2-pt shot from 10 ft
4:33.0,Defensive rebound by G. Antetokounmpo,,18-12,,
4:33.0,,,18-12,,Loose ball foul by S. Hill (drawn by G. Antetokounmpo)
4:16.0,M. Carter-Williams misses 3-pt shot from 26 ft,,18-12,,
4:15.0,,,18-12,,Defensive rebound by L. Scola
4:03.0,,,18-12,,Turnover by S. Hill (lost ball)
4:03.0,,,18-12,,D. Rudez enters the game for S. Hill
3:57.0,,,18-12,,Personal foul by D. Rudez (drawn by G. Antetokounmpo)
3:57.0,M. Plumlee enters the game for Z. Pachulia,,18-12,,
3:39.0,M. Carter-Williams makes 2-pt shot from 15 ft,2,20-12,,
3:26.0,,,20-12,,G. Hill misses 2-pt shot from 1 ft
3:25.0,Defensive rebound by G. Antetokounmpo,,20-12,,
3:12.0,M. Carter-Williams makes 2-pt shot at rim,2,22-12,,
3:07.0,Personal foul by G. Antetokounmpo (drawn by G. Hill),,22-12,,
3:07.0,J. Dudley enters the game for E. Ilyasova,,22-12,,
3:07.0,,,22-12,,L. Allen enters the game for I. Mahinmi
3:02.0,,,22-12,,G. Hill misses 3-pt shot from 25 ft
3:00.0,Defensive rebound by J. Dudley,,22-12,,
2:42.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,22-12,,
2:41.0,,,22-12,,Defensive rebound by L. Scola
2:34.0,,,22-14,2,L. Scola makes 2-pt shot from 1 ft (assist by R. Stuckey)
2:34.0,,,22-14,,Shooting foul by G. Antetokounmpo (drawn by L. Scola)
2:34.0,Milwaukee full timeout,,22-14,,
2:34.0,,,22-14,,C. Watson enters the game for G. Hill
2:34.0,K. Middleton enters the game for G. Antetokounmpo,,22-14,,
2:34.0,,,22-15,1,L. Scola makes free throw 1 of 1
2:22.0,M. Carter-Williams misses 2-pt shot from 4 ft,,22-15,,
2:21.0,,,22-15,,Defensive rebound by R. Stuckey
2:10.0,,,22-15,,R. Stuckey misses 2-pt shot from 18 ft
2:08.0,,,22-15,,Offensive rebound by L. Scola
2:04.0,,,22-15,,L. Scola misses 2-pt shot at rim (block by M. Plumlee)
2:02.0,Defensive rebound by M. Carter-Williams,,22-15,,
1:50.0,Shooting foul by L. Scola (drawn by M. Carter-Williams),,22-15,,
1:50.0,M. Carter-Williams makes free throw 1 of 2,1,23-15,,
1:50.0,M. Carter-Williams makes free throw 2 of 2,1,24-15,,
1:37.0,Personal foul by C. Johnson (drawn by R. Stuckey),,24-15,,
1:37.0,,,24-15,,R. Stuckey misses free throw 1 of 2
1:37.0,,,24-15,,Offensive rebound by Team
1:37.0,,,24-15,,R. Stuckey misses free throw 2 of 2
1:35.0,Defensive rebound by Team,,24-15,,
1:34.0,,,24-15,,Personal foul by C. Watson (drawn by M. Carter-Williams)
1:34.0,M. Carter-Williams misses free throw 1 of 2,,24-15,,
1:34.0,Offensive rebound by Team,,24-15,,
1:34.0,M. Carter-Williams makes free throw 2 of 2,1,25-15,,
1:15.0,,,25-15,,C. Watson misses 2-pt shot from 13 ft
1:14.0,,,25-15,,Offensive rebound by L. Scola
1:14.0,,,25-17,2,L. Scola makes 2-pt shot from 1 ft
0:50.0,,,25-17,,Personal foul by C. Watson (drawn by M. Carter-Williams)
0:50.0,M. Carter-Williams makes free throw 1 of 2,1,26-17,,
0:50.0,M. Carter-Williams makes free throw 2 of 2,1,27-17,,
0:32.0,,,27-17,,Turnover by C. Watson (bad pass; steal by K. Middleton)
0:27.0,Shooting foul by L. Scola (drawn by C. Johnson),,27-17,,
0:27.0,C. Johnson makes free throw 1 of 2,1,28-17,,
0:27.0,T. Ennis enters the game for M. Carter-Williams,,28-17,,
0:27.0,C. Johnson makes free throw 2 of 2,1,29-17,,
0:09.0,Shooting block foul by C. Johnson (drawn by R. Stuckey),,29-17,,
0:09.0,,,29-18,1,R. Stuckey makes free throw 1 of 2
0:09.0,,,29-18,,G. Hill enters the game for C. Watson
0:09.0,,,29-18,,I. Mahinmi enters the game for L. Scola
0:09.0,,,29-19,1,R. Stuckey makes free throw 2 of 2
0:01.0,K. Middleton makes 2-pt shot from 6 ft,2,31-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,31-21,2,R. Stuckey makes 2-pt shot from 15 ft
11:32.0,M. Plumlee makes 2-pt shot from 2 ft (assist by T. Ennis),2,33-21,,
11:15.0,,,33-24,3,C. Watson makes 3-pt shot from 25 ft (assist by R. Stuckey)
11:15.0,,,33-24,,Shooting foul by T. Ennis (drawn by C. Watson)
11:15.0,,,33-25,1,C. Watson makes free throw 1 of 1
11:03.0,K. Middleton makes 3-pt shot from 24 ft (assist by T. Ennis),3,36-25,,
10:48.0,,,36-25,,Turnover by R. Stuckey (step out of bounds)
10:34.0,K. Middleton misses 2-pt shot from 22 ft,,36-25,,
10:32.0,,,36-25,,Defensive rebound by L. Allen
10:18.0,,,36-25,,Turnover by D. Rudez (back court)
10:04.0,Turnover by J. Dudley (bad pass; steal by L. Scola),,36-25,,
10:00.0,,,36-25,,Shooting foul by T. Ennis (drawn by C. Watson)
10:00.0,,,36-26,1,C. Watson makes free throw 1 of 2
10:00.0,,,36-27,1,C. Watson makes free throw 2 of 2
9:46.0,T. Ennis makes 2-pt shot from 7 ft,2,38-27,,
9:35.0,,,38-29,2,L. Scola makes 2-pt shot from 16 ft (assist by C. Watson)
9:27.0,Offensive foul by J. Dudley,,38-29,,
9:27.0,Turnover by J. Dudley (offensive foul),,38-29,,
9:19.0,,,38-31,2,L. Scola makes 2-pt shot from 21 ft (assist by C. Watson)
8:53.0,C. Johnson misses 2-pt shot from 1 ft (block by L. Allen),,38-31,,
8:51.0,,,38-31,,Defensive rebound by L. Scola
8:48.0,,,38-33,2,R. Stuckey makes 2-pt shot from 1 ft
8:47.0,Milwaukee full timeout,,38-33,,
8:47.0,J. Henson enters the game for M. Plumlee,,38-33,,
