time,Memphis,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. K. Koufos (C. Lee gains possession),,,,Jump ball: M. Gortat vs. K. Koufos (C. Lee gains possession)
11:42.0,J. Green makes 2-pt shot from 6 ft,2,2-0,,
11:27.0,,,2-2,2,P. Pierce makes 2-pt shot from 17 ft (assist by D. Gooden)
11:20.0,Shooting foul by J. Wall (drawn by B. Udrih),,2-2,,
11:20.0,B. Udrih makes free throw 1 of 2,1,3-2,,
11:20.0,B. Udrih makes free throw 2 of 2,1,4-2,,
11:02.0,,,4-2,,D. Gooden misses 2-pt shot from 18 ft
11:01.0,Defensive rebound by Team,,4-2,,
10:50.0,C. Lee misses 2-pt shot from 20 ft,,4-2,,
10:50.0,,,4-2,,Defensive rebound by Team
10:50.0,Loose ball foul by J. Green (drawn by M. Gortat),,4-2,,
10:36.0,,,4-2,,B. Beal misses 2-pt shot from 20 ft
10:35.0,Defensive rebound by J. Green,,4-2,,
10:21.0,C. Lee misses 2-pt shot from 7 ft,,4-2,,
10:20.0,,,4-2,,Defensive rebound by M. Gortat
10:08.0,,,4-4,2,P. Pierce makes 2-pt shot from 16 ft
9:56.0,Shooting foul by B. Beal (drawn by C. Lee),,4-4,,
9:56.0,C. Lee makes free throw 1 of 2,1,5-4,,
9:56.0,C. Lee makes free throw 2 of 2,1,6-4,,
9:42.0,,,6-6,2,M. Gortat makes 2-pt shot at rim (assist by B. Beal)
9:25.0,B. Udrih makes 2-pt shot at rim (assist by C. Lee),2,8-6,,
9:14.0,,,8-6,,D. Gooden misses 2-pt shot from 17 ft
9:13.0,,,8-6,,Offensive rebound by M. Gortat
9:11.0,,,8-8,2,M. Gortat makes 2-pt shot from 4 ft
8:54.0,,,8-8,,Personal foul by D. Gooden (drawn by B. Udrih)
8:49.0,J. Green misses 3-pt shot from 28 ft,,8-8,,
8:48.0,,,8-8,,Defensive rebound by B. Beal
8:39.0,,,8-8,,Turnover by J. Wall (bad pass)
8:29.0,C. Lee misses 2-pt shot from 17 ft,,8-8,,
8:28.0,,,8-8,,Defensive rebound by B. Beal
8:19.0,,,8-8,,Turnover by B. Beal (lost ball; steal by K. Koufos)
8:10.0,J. Green makes 3-pt shot from 26 ft (assist by B. Udrih),3,11-8,,
7:56.0,,,11-10,2,J. Wall makes 2-pt shot from 16 ft
7:37.0,J. Green makes 2-pt shot from 19 ft (assist by B. Udrih),2,13-10,,
7:20.0,,,13-10,,M. Gortat misses 2-pt shot from 1 ft (block by J. Green)
7:18.0,,,13-10,,Offensive rebound by D. Gooden
7:16.0,,,13-12,2,D. Gooden makes 2-pt shot at rim
7:07.0,Memphis full timeout,,13-12,,
6:46.0,J. Green makes 2-pt shot from 4 ft,2,15-12,,
6:26.0,,,15-12,,J. Wall misses 2-pt shot from 4 ft
6:25.0,Defensive rebound by J. Green,,15-12,,
6:14.0,C. Lee makes 2-pt shot from 19 ft (assist by K. Koufos),2,17-12,,
5:59.0,Violation by K. Koufos (def goaltending),,17-12,,
5:59.0,,,17-14,2,J. Wall makes 2-pt shot from 3 ft
5:39.0,K. Koufos makes 2-pt shot from 13 ft (assist by C. Lee),2,19-14,,
5:22.0,,,19-14,,B. Beal misses 3-pt shot from 28 ft
5:20.0,Defensive rebound by K. Koufos,,19-14,,
5:10.0,J. Green misses 2-pt shot from 1 ft,,19-14,,
5:09.0,Offensive rebound by K. Koufos,,19-14,,
5:07.0,K. Koufos makes 2-pt shot from 1 ft,2,21-14,,
4:46.0,,,21-16,2,M. Gortat makes 2-pt shot from 5 ft (assist by D. Gooden)
4:30.0,B. Udrih misses 2-pt shot at rim,,21-16,,
4:29.0,,,21-16,,Defensive rebound by D. Gooden
4:24.0,,,21-16,,B. Beal misses 2-pt shot from 4 ft (block by K. Koufos)
4:20.0,Defensive rebound by J. Green,,21-16,,
4:19.0,Turnover by J. Green (bad pass; steal by J. Wall),,21-16,,
4:14.0,,,21-18,2,J. Wall makes 2-pt shot from 17 ft
3:49.0,B. Udrih makes 2-pt shot from 19 ft,2,23-18,,
3:39.0,,,23-18,,J. Wall misses 3-pt shot from 26 ft
3:38.0,Defensive rebound by B. Udrih,,23-18,,
3:29.0,K. Koufos makes 2-pt shot from 18 ft (assist by B. Udrih),2,25-18,,
3:26.0,Violation by Team (delay of game),,25-18,,
3:26.0,,,25-18,,Washington full timeout
3:26.0,,,25-18,,O. Porter enters the game for P. Pierce
3:26.0,N. Calathes enters the game for J. Green,,25-18,,
3:26.0,J. Leuer enters the game for J. Green,,25-18,,
3:26.0,V. Carter enters the game for C. Lee,,25-18,,
3:26.0,,,25-18,,R. Butler enters the game for B. Beal
3:15.0,,,25-20,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
3:15.0,,,25-20,,Shooting foul by J. Leuer (drawn by M. Gortat)
3:15.0,,,25-20,,M. Gortat misses free throw 1 of 1
3:14.0,Defensive rebound by N. Calathes,,25-20,,
3:02.0,K. Koufos makes 2-pt shot at rim (assist by N. Calathes),2,27-20,,
2:39.0,,,27-20,,D. Gooden misses 2-pt shot from 17 ft
2:39.0,Defensive rebound by Team,,27-20,,
2:39.0,,,27-20,,K. Seraphin enters the game for D. Gooden
2:28.0,,,27-20,,Personal foul by K. Seraphin (drawn by K. Koufos)
2:15.0,Shooting foul by R. Butler (drawn by B. Udrih),,27-20,,
2:15.0,B. Udrih makes free throw 1 of 2,1,28-20,,
2:15.0,B. Udrih makes free throw 2 of 2,1,29-20,,
1:58.0,,,29-20,,R. Butler misses 3-pt shot from 24 ft
1:57.0,Defensive rebound by N. Calathes,,29-20,,
1:45.0,V. Carter misses 3-pt shot from 26 ft,,29-20,,
1:44.0,Offensive rebound by K. Koufos,,29-20,,
1:34.0,J. Leuer misses 3-pt shot from 24 ft,,29-20,,
1:32.0,,,29-20,,Defensive rebound by J. Wall
1:26.0,,,29-22,2,K. Seraphin makes 2-pt shot at rim (assist by J. Wall)
1:14.0,N. Calathes misses 3-pt shot from 25 ft,,29-22,,
1:13.0,,,29-22,,Defensive rebound by M. Gortat
1:04.0,,,29-22,,R. Butler misses 3-pt shot from 23 ft
1:02.0,Defensive rebound by N. Calathes,,29-22,,
0:45.0,V. Carter makes 2-pt shot from 11 ft,2,31-22,,
0:36.0,,,31-24,2,J. Wall makes 2-pt shot from 14 ft
0:18.0,J. Leuer makes 2-pt shot from 15 ft,2,33-24,,
0:01.0,,,33-26,2,J. Wall makes 2-pt shot from 17 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,33-26,,Offensive foul by O. Porter
11:49.0,,,33-26,,Turnover by O. Porter (offensive foul)
11:31.0,Turnover by J. Stokes (bad pass),,33-26,,
11:19.0,,,33-26,,D. Blair misses 2-pt shot from 6 ft
11:18.0,Defensive rebound by J. Stokes,,33-26,,
11:09.0,Turnover by J. Leuer (traveling),,33-26,,
10:52.0,,,33-26,,Shooting foul by J. Adams (drawn by O. Porter)
10:52.0,,,33-27,1,O. Porter makes free throw 1 of 2
10:52.0,,,33-27,,O. Porter misses free throw 2 of 2
10:51.0,,,33-27,,Offensive rebound by O. Porter
10:49.0,,,33-27,,O. Porter misses 2-pt shot from 5 ft
10:48.0,,,33-27,,Offensive rebound by K. Seraphin
10:45.0,,,33-27,,Turnover by K. Seraphin (lost ball; steal by J. Stokes)
10:32.0,J. Adams misses 2-pt shot from 17 ft,,33-27,,
10:31.0,Offensive rebound by Team,,33-27,,
10:30.0,,,33-27,,B. Beal enters the game for R. Butler
10:19.0,J. Leuer misses 2-pt shot from 18 ft,,33-27,,
10:19.0,,,33-27,,Defensive rebound by Team
10:19.0,Loose ball foul by J. Stokes (drawn by B. Beal),,33-27,,
9:59.0,,,33-29,2,O. Porter makes 2-pt shot from 1 ft (assist by D. Blair)
9:45.0,V. Carter makes 3-pt shot from 29 ft (assist by N. Calathes),3,36-29,,
9:34.0,,,36-31,2,R. Sessions makes 2-pt shot at rim (assist by K. Seraphin)
9:19.0,V. Carter misses 3-pt shot from 27 ft,,36-31,,
9:18.0,,,36-31,,Defensive rebound by R. Sessions
9:12.0,,,36-33,2,R. Sessions makes 2-pt shot from 2 ft
9:04.0,Memphis full timeout,,36-33,,
8:58.0,,,36-33,,Shooting block foul by B. Beal (drawn by J. Stokes)
8:58.0,J. Stokes misses free throw 1 of 2,,36-33,,
8:58.0,Offensive rebound by Team,,36-33,,
8:58.0,J. Stokes makes free throw 2 of 2,1,37-33,,
8:44.0,,,37-33,,Turnover by B. Beal (offensive foul)
8:44.0,,,37-33,,J. Wall enters the game for B. Beal
8:44.0,J. Adams makes flagrant free throw 1 of 2,1,38-33,,
8:44.0,J. Adams makes flagrant free throw 2 of 2,1,39-33,,
8:36.0,Offensive foul by J. Stokes,,39-33,,
8:36.0,Turnover by J. Stokes (offensive foul),,39-33,,
8:36.0,,,39-33,,M. Gortat enters the game for K. Seraphin
8:36.0,,,39-33,,P. Pierce enters the game for D. Blair
8:10.0,,,39-33,,O. Porter misses 2-pt shot from 20 ft
8:09.0,Defensive rebound by N. Calathes,,39-33,,
8:03.0,V. Carter misses 3-pt shot from 26 ft,,39-33,,
8:01.0,,,39-33,,Defensive rebound by R. Sessions
7:58.0,,,39-35,2,R. Sessions makes 2-pt shot from 1 ft
7:41.0,J. Leuer makes 2-pt shot from 8 ft,2,41-35,,
7:20.0,,,41-35,,R. Sessions misses 2-pt shot from 3 ft (block by J. Stokes)
7:18.0,,,41-35,,Offensive rebound by O. Porter
7:14.0,,,41-35,,O. Porter misses 3-pt shot from 23 ft
7:13.0,Defensive rebound by V. Carter,,41-35,,
7:03.0,N. Calathes misses 2-pt shot from 12 ft,,41-35,,
7:02.0,,,41-35,,Defensive rebound by O. Porter
6:58.0,,,41-35,,Shooting foul by J. Adams (drawn by J. Wall)
6:58.0,,,41-36,1,J. Wall makes free throw 1 of 2
6:58.0,C. Lee enters the game for V. Carter,,41-36,,
6:58.0,J. Green enters the game for J. Leuer,,41-36,,
