time,Sacramento,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:40.0,,,0-0,,I. Canaan misses 3-pt shot from 25 ft
12:00.0,Jump ball: D. Cousins vs. N. Noel (R. Covington gains possession),,,,Jump ball: D. Cousins vs. N. Noel (R. Covington gains possession)
11:38.0,Defensive rebound by R. Gay,,0-0,,
11:32.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. McCallum),2,2-0,,
11:19.0,,,2-2,2,N. Noel makes 2-pt shot at rim (assist by J. Sampson)
11:03.0,D. Cousins makes 2-pt shot at rim (assist by R. McCallum),2,4-2,,
10:49.0,,,4-4,2,R. Covington makes 2-pt shot from 17 ft (assist by L. Mbah a Moute)
10:38.0,Turnover by D. Cousins (bad pass),,4-4,,
10:24.0,,,4-4,,N. Noel misses 2-pt shot from 2 ft
10:24.0,Defensive rebound by Team,,4-4,,
10:13.0,Offensive foul by D. Cousins,,4-4,,
10:13.0,Turnover by D. Cousins (offensive foul),,4-4,,
10:01.0,,,4-7,3,R. Covington makes 3-pt shot from 25 ft (assist by N. Noel)
9:36.0,R. McCallum makes 3-pt shot from 24 ft,3,7-7,,
9:20.0,,,7-7,,N. Noel misses 2-pt shot from 3 ft
9:18.0,Defensive rebound by C. Landry,,7-7,,
9:10.0,R. Gay makes 3-pt shot from 25 ft,3,10-7,,
8:50.0,,,10-7,,J. Sampson misses 3-pt shot from 25 ft
8:49.0,,,10-7,,Offensive rebound by J. Sampson
8:47.0,,,10-9,2,J. Sampson makes 2-pt shot at rim
8:25.0,B. McLemore misses 2-pt shot from 14 ft,,10-9,,
8:22.0,,,10-9,,Defensive rebound by N. Noel
8:16.0,,,10-11,2,J. Sampson makes 2-pt shot from 1 ft (assist by I. Canaan)
8:03.0,D. Cousins makes 2-pt shot at rim,2,12-11,,
7:53.0,,,12-14,3,R. Covington makes 3-pt shot from 26 ft (assist by I. Canaan)
7:37.0,R. Gay misses 2-pt shot from 4 ft,,12-14,,
