time,Portland,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. J. Valanciunas (L. Aldridge gains possession),,,,Jump ball: R. Lopez vs. J. Valanciunas (L. Aldridge gains possession)
11:44.0,N. Batum misses 2-pt shot from 16 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by J. Valanciunas
11:37.0,,,0-2,2,K. Lowry makes 2-pt shot from 19 ft
11:37.0,,,0-2,,Shooting foul by D. Lillard (drawn by K. Lowry)
11:37.0,,,0-3,1,K. Lowry makes free throw 1 of 1
11:19.0,D. Lillard misses 3-pt shot from 24 ft,,0-3,,
11:18.0,,,0-3,,Defensive rebound by D. DeRozan
11:08.0,,,0-3,,Turnover by J. Valanciunas (3 sec)
10:47.0,R. Lopez makes 2-pt shot from 1 ft (assist by D. Lillard),2,2-3,,
10:31.0,,,2-5,2,D. DeRozan makes 2-pt shot from 9 ft
10:14.0,A. Afflalo makes 2-pt shot from 23 ft (assist by D. Lillard),2,4-5,,
9:57.0,,,4-5,,D. DeRozan misses 2-pt shot from 14 ft
9:55.0,Defensive rebound by R. Lopez,,4-5,,
9:37.0,A. Afflalo makes 3-pt shot from 24 ft (assist by D. Lillard),3,7-5,,
9:23.0,,,7-7,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry)
9:02.0,A. Afflalo misses 3-pt shot from 24 ft,,7-7,,
9:01.0,,,7-7,,Defensive rebound by J. Valanciunas
8:55.0,,,7-7,,A. Johnson misses 2-pt shot at rim
8:53.0,Defensive rebound by L. Aldridge,,7-7,,
8:45.0,L. Aldridge misses 3-pt shot from 24 ft,,7-7,,
8:44.0,,,7-7,,Defensive rebound by J. Valanciunas
8:38.0,,,7-9,2,K. Lowry makes 2-pt shot from 10 ft (assist by J. Valanciunas)
8:19.0,R. Lopez misses 2-pt shot from 10 ft,,7-9,,
8:18.0,Offensive rebound by Team,,7-9,,
8:15.0,L. Aldridge makes 2-pt shot from 19 ft (assist by N. Batum),2,9-9,,
8:01.0,,,9-9,,Turnover by T. Ross (lost ball; steal by N. Batum)
8:00.0,Shooting foul by T. Ross (drawn by N. Batum),,9-9,,
8:00.0,N. Batum makes free throw 1 of 2,1,10-9,,
8:00.0,N. Batum makes free throw 2 of 2,1,11-9,,
7:56.0,Personal foul by A. Afflalo (drawn by D. DeRozan),,11-9,,
7:42.0,,,11-9,,T. Ross misses 2-pt shot from 14 ft
7:41.0,Defensive rebound by L. Aldridge,,11-9,,
7:29.0,L. Aldridge makes 2-pt shot from 19 ft,2,13-9,,
7:08.0,,,13-11,2,J. Valanciunas makes 2-pt shot from 7 ft
6:54.0,R. Lopez makes 2-pt shot at rim (assist by D. Lillard),2,15-11,,
6:43.0,,,15-11,,Toronto full timeout
6:31.0,,,15-13,2,D. DeRozan makes 2-pt shot from 17 ft
6:06.0,Shooting foul by J. Valanciunas (drawn by L. Aldridge),,15-13,,
6:06.0,L. Aldridge makes free throw 1 of 2,1,16-13,,
6:06.0,L. Aldridge misses free throw 2 of 2,,16-13,,
6:05.0,Offensive rebound by N. Batum,,16-13,,
6:04.0,,,16-13,,Personal foul by D. DeRozan (drawn by N. Batum)
5:52.0,R. Lopez misses 2-pt shot from 7 ft,,16-13,,
5:50.0,,,16-13,,Defensive rebound by D. DeRozan
5:39.0,,,16-15,2,D. DeRozan makes 2-pt shot from 12 ft
5:14.0,N. Batum makes 2-pt shot from 19 ft,2,18-15,,
4:53.0,,,18-15,,A. Johnson misses 2-pt shot from 6 ft
4:51.0,Defensive rebound by L. Aldridge,,18-15,,
4:42.0,D. Lillard makes 2-pt shot from 6 ft,2,20-15,,
4:14.0,,,20-18,3,K. Lowry makes 3-pt shot from 25 ft
3:54.0,D. Lillard makes 2-pt shot from 2 ft,2,22-18,,
3:41.0,,,22-20,2,D. DeRozan makes 2-pt shot from 15 ft
3:38.0,Portland full timeout,,22-20,,
3:38.0,C. Kaman enters the game for R. Lopez,,22-20,,
3:38.0,C. McCollum enters the game for A. Afflalo,,22-20,,
3:38.0,,,22-20,,G. Vasquez enters the game for T. Ross
3:38.0,,,22-20,,P. Patterson enters the game for K. Lowry
3:38.0,,,22-20,,T. Ross enters the game for J. Valanciunas
3:22.0,D. Lillard makes 2-pt shot from 2 ft (assist by L. Aldridge),2,24-20,,
3:05.0,,,24-20,,T. Ross misses 3-pt shot from 24 ft
3:04.0,Defensive rebound by L. Aldridge,,24-20,,
2:58.0,D. Lillard misses 3-pt shot from 24 ft,,24-20,,
2:57.0,,,24-20,,Defensive rebound by A. Johnson
2:47.0,,,24-22,2,G. Vasquez makes 2-pt shot from 4 ft
2:35.0,,,24-22,,Personal foul by T. Ross (drawn by N. Batum)
2:35.0,,,24-22,,L. Williams enters the game for T. Ross
2:35.0,S. Blake enters the game for D. Lillard,,24-22,,
2:28.0,C. McCollum makes 3-pt shot from 24 ft (assist by S. Blake),3,27-22,,
2:05.0,,,27-22,,D. DeRozan misses 2-pt shot from 19 ft
2:03.0,Defensive rebound by S. Blake,,27-22,,
1:52.0,L. Aldridge makes 2-pt shot from 3 ft,2,29-22,,
1:32.0,,,29-22,,A. Johnson misses 2-pt shot from 2 ft
1:31.0,Defensive rebound by C. McCollum,,29-22,,
1:19.0,L. Aldridge makes 2-pt shot from 11 ft (assist by N. Batum),2,31-22,,
1:13.0,,,31-22,,Toronto full timeout
1:13.0,,,31-22,,T. Hansbrough enters the game for A. Johnson
1:03.0,,,31-25,3,P. Patterson makes 3-pt shot from 24 ft (assist by L. Williams)
0:48.0,Turnover by S. Blake (bad pass),,31-25,,
0:37.0,,,31-28,3,G. Vasquez makes 3-pt shot from 23 ft (assist by D. DeRozan)
0:18.0,C. McCollum misses 2-pt shot from 20 ft,,31-28,,
0:17.0,,,31-28,,Defensive rebound by P. Patterson
0:06.0,,,31-28,,Shooting foul by C. McCollum (drawn by L. Williams)
0:06.0,,,31-29,1,L. Williams makes free throw 1 of 3
0:06.0,,,31-30,1,L. Williams makes free throw 2 of 3
