time,Toronto,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:39.0,G. Vasquez misses 3-pt shot from 25 ft,,0-0,,
12:00.0,Jump ball: P. Gasol vs. J. Valanciunas (A. Johnson gains possession),,,,Jump ball: P. Gasol vs. J. Valanciunas (A. Johnson gains possession)
11:38.0,,,0-0,,Defensive rebound by T. Snell
11:29.0,Violation by A. Johnson (def goaltending),,0-0,,
11:29.0,,,0-2,2,J. Noah makes 2-pt shot from 1 ft (assist by P. Gasol)
11:20.0,,,0-2,,Personal foul by M. Dunleavy (drawn by T. Ross)
11:15.0,A. Johnson misses 2-pt shot from 20 ft,,0-2,,
11:14.0,,,0-2,,Defensive rebound by P. Gasol
11:11.0,,,0-2,,Turnover by A. Brooks (bad pass)
10:52.0,T. Ross misses 3-pt shot from 26 ft,,0-2,,
10:51.0,,,0-2,,Defensive rebound by J. Noah
10:44.0,,,0-2,,T. Snell misses 3-pt shot from 24 ft
10:43.0,Defensive rebound by J. Valanciunas,,0-2,,
10:31.0,D. DeRozan makes 3-pt shot from 22 ft (assist by G. Vasquez),3,3-2,,
10:13.0,,,3-2,,P. Gasol misses 2-pt shot from 13 ft
10:12.0,Defensive rebound by D. DeRozan,,3-2,,
9:56.0,A. Johnson makes 2-pt shot from 4 ft (assist by T. Ross),2,5-2,,
9:36.0,,,5-4,2,A. Brooks makes 2-pt shot from 15 ft
9:20.0,T. Ross makes 2-pt shot from 13 ft,2,7-4,,
8:58.0,,,7-6,2,M. Dunleavy makes 2-pt shot from 1 ft (assist by J. Noah)
8:34.0,G. Vasquez makes 2-pt shot from 11 ft (assist by D. DeRozan),2,9-6,,
8:24.0,,,9-6,,A. Brooks misses 2-pt shot from 9 ft
8:21.0,Defensive rebound by A. Johnson,,9-6,,
8:05.0,Turnover by D. DeRozan (bad pass; steal by M. Dunleavy),,9-6,,
7:58.0,,,9-6,,A. Brooks misses 3-pt shot from 25 ft
7:57.0,,,9-6,,Offensive rebound by J. Noah
7:57.0,,,9-6,,J. Noah misses 2-pt shot from 2 ft
7:56.0,Defensive rebound by D. DeRozan,,9-6,,
7:53.0,Offensive charge foul by D. DeRozan,,9-6,,
7:53.0,Turnover by D. DeRozan (offensive foul),,9-6,,
7:41.0,,,9-6,,J. Noah misses 2-pt shot from 2 ft (block by J. Valanciunas)
7:41.0,,,9-6,,Offensive rebound by Team
7:31.0,,,9-8,2,M. Dunleavy makes 2-pt shot from 1 ft (assist by J. Noah)
7:06.0,Turnover by A. Johnson (bad pass; steal by M. Dunleavy),,9-8,,
6:58.0,,,9-8,,T. Snell misses 3-pt shot from 24 ft
6:57.0,,,9-8,,Offensive rebound by P. Gasol
6:55.0,,,9-10,2,T. Snell makes 2-pt shot from 1 ft (assist by P. Gasol)
6:47.0,Toronto full timeout,,9-10,,
6:40.0,D. DeRozan makes 2-pt shot from 21 ft (assist by A. Johnson),2,11-10,,
6:21.0,,,11-12,2,M. Dunleavy makes 2-pt shot from 19 ft (assist by J. Noah)
6:08.0,D. DeRozan makes 2-pt shot from 20 ft (assist by G. Vasquez),2,13-12,,
5:42.0,,,13-12,,P. Gasol misses 2-pt shot from 3 ft (block by A. Johnson)
5:40.0,Defensive rebound by D. DeRozan,,13-12,,
5:25.0,T. Ross makes 3-pt shot from 24 ft (assist by A. Johnson),3,16-12,,
