time,Washington,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. M. Gortat (N. Hilario gains possession),,,,Jump ball: D. Cousins vs. M. Gortat (N. Hilario gains possession)
11:41.0,N. Hilario misses 2-pt shot from 16 ft,,0-0,,
11:41.0,Offensive rebound by M. Gortat,,0-0,,
11:38.0,M. Gortat makes 2-pt shot from 9 ft,2,2-0,,
11:17.0,,,2-0,,O. Casspi misses 2-pt shot from 5 ft
11:16.0,Defensive rebound by N. Hilario,,2-0,,
10:59.0,B. Beal makes 3-pt shot from 24 ft (assist by M. Gortat),3,5-0,,
10:42.0,,,5-0,,D. Cousins misses 2-pt shot from 21 ft
10:41.0,Defensive rebound by M. Gortat,,5-0,,
10:32.0,N. Hilario misses 2-pt shot from 16 ft,,5-0,,
10:31.0,,,5-0,,Defensive rebound by D. Cousins
10:22.0,,,5-2,2,R. Gay makes 2-pt shot from 19 ft
10:22.0,,,5-2,,Shooting foul by M. Gortat (drawn by R. Gay)
10:22.0,,,5-3,1,R. Gay makes free throw 1 of 1
10:08.0,B. Beal misses 3-pt shot from 24 ft,,5-3,,
10:08.0,,,5-3,,Defensive rebound by R. Gay
9:56.0,,,5-5,2,D. Cousins makes 2-pt shot from 18 ft (assist by O. Casspi)
9:47.0,,,5-5,,Personal foul by D. Cousins (drawn by N. Hilario)
9:47.0,N. Hilario makes free throw 1 of 2,1,6-5,,
9:47.0,N. Hilario makes free throw 2 of 2,1,7-5,,
9:33.0,,,7-5,,D. Cousins misses 2-pt shot from 8 ft
9:32.0,Defensive rebound by J. Wall,,7-5,,
9:28.0,Turnover by J. Wall (bad pass; steal by O. Casspi),,7-5,,
9:23.0,,,7-5,,Turnover by D. Cousins (bad pass; steal by B. Beal)
9:19.0,J. Wall makes 2-pt shot at rim (assist by M. Gortat),2,9-5,,
9:12.0,,,9-8,3,O. Casspi makes 3-pt shot from 24 ft (assist by R. McCallum)
8:58.0,Turnover by N. Hilario (lost ball),,9-8,,
8:37.0,,,9-11,3,O. Casspi makes 3-pt shot from 25 ft (assist by B. McLemore)
8:15.0,B. Beal makes 2-pt shot from 3 ft (assist by J. Wall),2,11-11,,
8:02.0,,,11-13,2,O. Casspi makes 2-pt shot from 5 ft (assist by R. Gay)
7:47.0,P. Pierce misses 2-pt shot from 14 ft,,11-13,,
7:46.0,,,11-13,,Defensive rebound by D. Cousins
7:37.0,,,11-13,,Turnover by D. Cousins (bad pass; steal by M. Gortat)
7:22.0,J. Wall makes 3-pt shot from 25 ft (assist by B. Beal),3,14-13,,
7:00.0,,,14-15,2,D. Cousins makes 2-pt shot from 3 ft (assist by O. Casspi)
6:52.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,16-15,,
6:37.0,,,16-15,,R. Gay misses 2-pt shot from 10 ft
6:36.0,,,16-15,,Offensive rebound by Team
6:36.0,Loose ball foul by N. Hilario (drawn by D. Cousins),,16-15,,
6:36.0,,,16-15,,Sacramento full timeout
6:36.0,,,16-15,,N. Stauskas enters the game for B. McLemore
6:24.0,,,16-17,2,D. Cousins makes 2-pt shot at rim (assist by O. Casspi)
6:06.0,B. Beal makes 2-pt shot from 15 ft (assist by J. Wall),2,18-17,,
5:51.0,,,18-17,,Shooting foul by P. Pierce (drawn by D. Cousins)
5:51.0,,,18-18,1,D. Cousins makes free throw 1 of 2
5:51.0,,,18-19,1,D. Cousins makes free throw 2 of 2
5:35.0,N. Hilario misses 2-pt shot from 4 ft,,18-19,,
5:34.0,Offensive rebound by M. Gortat,,18-19,,
5:23.0,J. Wall misses 3-pt shot from 25 ft,,18-19,,
5:22.0,Offensive rebound by N. Hilario,,18-19,,
5:12.0,P. Pierce misses 3-pt shot from 24 ft,,18-19,,
5:11.0,,,18-19,,Defensive rebound by O. Casspi
5:09.0,,,18-19,,Turnover by O. Casspi (bad pass)
5:02.0,Shooting foul by R. Gay (drawn by N. Hilario),,18-19,,
5:02.0,N. Hilario makes free throw 1 of 2,1,19-19,,
5:02.0,N. Hilario makes free throw 2 of 2,1,20-19,,
4:50.0,,,20-21,2,R. McCallum makes 2-pt shot from 1 ft
4:36.0,Turnover by B. Beal (bad pass),,20-21,,
4:36.0,R. Sessions enters the game for B. Beal,,20-21,,
4:26.0,,,20-23,2,D. Cousins makes 2-pt shot from 16 ft (assist by R. McCallum)
4:05.0,Shooting foul by D. Cousins (drawn by N. Hilario),,20-23,,
4:05.0,N. Hilario makes free throw 1 of 2,1,21-23,,
4:05.0,,,21-23,,D. Williams enters the game for O. Casspi
4:05.0,,,21-23,,J. Thompson enters the game for D. Cousins
4:05.0,N. Hilario misses free throw 2 of 2,,21-23,,
4:04.0,,,21-23,,Defensive rebound by J. Thompson
3:48.0,,,21-25,2,R. Gay makes 2-pt shot from 10 ft
3:26.0,J. Wall misses 2-pt shot from 17 ft,,21-25,,
3:25.0,,,21-25,,Defensive rebound by R. Gay
3:19.0,,,21-25,,R. Gay misses 3-pt shot from 24 ft
3:18.0,Defensive rebound by R. Sessions,,21-25,,
3:13.0,J. Wall misses 2-pt shot from 9 ft (block by R. Gay),,21-25,,
3:13.0,Offensive rebound by Team,,21-25,,
3:13.0,Washington full timeout,,21-25,,
3:13.0,,,21-25,,A. Miller enters the game for R. McCallum
3:13.0,D. Gooden enters the game for N. Hilario,,21-25,,
3:01.0,D. Gooden misses 2-pt shot from 9 ft,,21-25,,
3:01.0,,,21-25,,Defensive rebound by Team
3:01.0,Loose ball foul by M. Gortat (drawn by J. Thompson),,21-25,,
3:01.0,K. Seraphin enters the game for M. Gortat,,21-25,,
3:01.0,R. Butler enters the game for P. Pierce,,21-25,,
2:49.0,,,21-27,2,D. Williams makes 2-pt shot at rim (assist by R. Gay)
2:49.0,,,21-27,,Shooting foul by D. Gooden (drawn by D. Williams)
2:49.0,,,21-28,1,D. Williams makes free throw 1 of 1
2:34.0,R. Sessions makes 2-pt shot from 2 ft (assist by D. Gooden),2,23-28,,
2:20.0,,,23-30,2,A. Miller makes 2-pt shot from 3 ft
2:02.0,D. Gooden makes 2-pt shot from 14 ft (assist by R. Butler),2,25-30,,
1:42.0,,,25-32,2,R. Gay makes 2-pt shot from 14 ft (assist by D. Williams)
1:30.0,R. Butler misses 3-pt shot from 22 ft,,25-32,,
1:29.0,,,25-32,,Defensive rebound by J. Thompson
