time,Sacramento,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Thompson (J. Green gains possession),,,,Jump ball: M. Gasol vs. J. Thompson (J. Green gains possession)
11:44.0,Personal foul by B. McLemore (drawn by M. Gasol),,0-0,,
11:36.0,Violation by R. Gay (kicked ball),,0-0,,
11:28.0,,,0-0,,M. Gasol misses 2-pt shot from 6 ft
11:26.0,Defensive rebound by R. Evans,,0-0,,
11:15.0,R. Gay misses 2-pt shot from 16 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by M. Gasol
11:08.0,,,0-2,2,J. Green makes 2-pt shot from 2 ft
10:43.0,J. Thompson misses 2-pt shot from 20 ft,,0-2,,
10:42.0,Offensive rebound by Team,,0-2,,
10:42.0,Turnover by Team (shot clock),,0-2,,
10:24.0,,,0-2,,M. Conley misses 3-pt shot from 22 ft
10:23.0,Defensive rebound by J. Thompson,,0-2,,
10:10.0,B. McLemore misses 2-pt shot from 16 ft (block by C. Lee),,0-2,,
10:08.0,Offensive rebound by J. Thompson,,0-2,,
10:04.0,R. McCallum misses 2-pt shot from 10 ft,,0-2,,
10:02.0,,,0-2,,Defensive rebound by M. Conley
9:57.0,,,0-4,2,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley)
9:43.0,Shooting foul by M. Gasol (drawn by R. McCallum),,0-4,,
9:43.0,R. McCallum makes free throw 1 of 2,1,1-4,,
9:43.0,R. McCallum misses free throw 2 of 2,,1-4,,
9:42.0,,,1-4,,Defensive rebound by J. Green
9:28.0,,,1-6,2,J. Green makes 2-pt shot at rim (assist by M. Gasol)
9:20.0,,,1-6,,Personal foul by Z. Randolph (drawn by R. Evans)
9:13.0,R. Gay misses 2-pt shot from 13 ft,,1-6,,
9:13.0,,,1-6,,Defensive rebound by Team
8:56.0,,,1-6,,J. Green misses 3-pt shot from 22 ft
8:55.0,,,1-6,,Offensive rebound by M. Gasol
8:47.0,,,1-6,,M. Gasol misses 2-pt shot from 19 ft
8:46.0,Defensive rebound by R. Evans,,1-6,,
8:36.0,B. McLemore makes 2-pt shot from 1 ft (assist by J. Thompson),2,3-6,,
8:17.0,,,3-8,2,Z. Randolph makes 2-pt shot from 18 ft (assist by C. Lee)
8:00.0,R. Evans makes 2-pt shot at rim,2,5-8,,
7:38.0,,,5-10,2,Z. Randolph makes 2-pt shot from 3 ft (assist by M. Gasol)
7:24.0,,,5-10,,Personal foul by Z. Randolph (drawn by R. Evans)
7:24.0,,,5-10,,K. Koufos enters the game for Z. Randolph
7:17.0,B. McLemore misses 3-pt shot from 25 ft,,5-10,,
7:16.0,,,5-10,,Defensive rebound by M. Gasol
7:06.0,,,5-12,2,M. Conley makes 2-pt shot from 14 ft
6:52.0,J. Thompson misses 2-pt shot from 16 ft,,5-12,,
6:51.0,,,5-12,,Defensive rebound by K. Koufos
6:42.0,,,5-14,2,M. Gasol makes 2-pt shot from 12 ft
6:35.0,Sacramento full timeout,,5-14,,
6:35.0,N. Stauskas enters the game for B. McLemore,,5-14,,
6:26.0,R. McCallum misses 3-pt shot from 26 ft,,5-14,,
6:26.0,,,5-14,,Defensive rebound by C. Lee
6:04.0,,,5-14,,C. Lee misses 3-pt shot from 22 ft
6:02.0,,,5-14,,Offensive rebound by K. Koufos
5:59.0,,,5-16,2,C. Lee makes 2-pt shot from 7 ft
5:44.0,R. Gay makes 2-pt shot from 8 ft,2,7-16,,
5:23.0,,,7-16,,M. Gasol misses 2-pt shot from 13 ft
5:22.0,,,7-16,,Offensive rebound by M. Gasol
5:15.0,,,7-16,,J. Green misses 3-pt shot from 24 ft
5:14.0,,,7-16,,Offensive rebound by K. Koufos
5:06.0,O. Casspi enters the game for R. Evans,,7-16,,
4:57.0,,,7-16,,Offensive foul by K. Koufos
4:57.0,,,7-16,,Turnover by K. Koufos (offensive foul)
4:43.0,,,7-16,,Personal foul by K. Koufos (drawn by R. McCallum)
4:43.0,,,7-16,,V. Carter enters the game for J. Green
4:36.0,R. Gay misses 2-pt shot from 17 ft,,7-16,,
4:35.0,,,7-16,,Defensive rebound by M. Gasol
4:27.0,,,7-16,,Turnover by M. Conley (bad pass; steal by N. Stauskas)
4:19.0,J. Thompson makes 2-pt shot from 2 ft (assist by R. Gay),2,9-16,,
3:59.0,,,9-16,,M. Conley misses 2-pt shot from 8 ft
3:57.0,,,9-16,,Offensive rebound by M. Gasol
3:57.0,,,9-16,,M. Gasol misses 2-pt shot from 1 ft
3:55.0,,,9-16,,Offensive rebound by M. Conley
3:53.0,,,9-16,,Shooting foul by R. Gay (drawn by M. Conley)
3:53.0,,,9-17,1,M. Conley makes free throw 1 of 2
3:53.0,,,9-17,,J. Green enters the game for M. Gasol
3:53.0,A. Miller enters the game for R. McCallum,,9-17,,
3:53.0,,,9-18,1,M. Conley makes free throw 2 of 2
3:35.0,R. Gay makes 3-pt shot from 24 ft (assist by N. Stauskas),3,12-18,,
3:20.0,,,12-20,2,J. Green makes 2-pt shot from 7 ft
2:55.0,R. Gay makes 2-pt shot at rim,2,14-20,,
2:45.0,,,14-20,,Memphis full timeout
2:45.0,,,14-20,,B. Udrih enters the game for C. Lee
2:45.0,D. Williams enters the game for J. Thompson,,14-20,,
2:33.0,,,14-22,2,K. Koufos makes 2-pt shot from 6 ft
2:13.0,R. Gay makes 3-pt shot from 24 ft,3,17-22,,
1:58.0,,,17-22,,B. Udrih misses 2-pt shot at rim
1:56.0,Defensive rebound by D. Williams,,17-22,,
1:35.0,D. Williams misses 3-pt shot from 23 ft,,17-22,,
1:35.0,,,17-22,,Defensive rebound by M. Conley
1:18.0,,,17-22,,J. Green misses 2-pt shot from 2 ft (block by R. Gay)
1:18.0,,,17-22,,Offensive rebound by Team
1:13.0,,,17-22,,V. Carter misses 2-pt shot from 13 ft
1:10.0,,,17-22,,Offensive rebound by K. Koufos
1:10.0,,,17-24,2,K. Koufos makes 2-pt shot from 2 ft
1:00.0,Turnover by A. Miller (bad pass; steal by V. Carter),,17-24,,
0:51.0,,,17-24,,V. Carter misses 3-pt shot from 23 ft
0:50.0,Defensive rebound by N. Stauskas,,17-24,,
0:37.0,,,17-24,,Personal foul by B. Udrih (drawn by N. Stauskas)
0:37.0,N. Stauskas misses free throw 1 of 2,,17-24,,
0:37.0,Offensive rebound by Team,,17-24,,
0:37.0,R. Hollins enters the game for R. Gay,,17-24,,
0:37.0,N. Stauskas makes free throw 2 of 2,1,18-24,,
0:27.0,,,18-24,,B. Udrih misses 2-pt shot from 2 ft
0:25.0,Defensive rebound by A. Miller,,18-24,,
0:06.0,D. Williams misses 3-pt shot from 25 ft,,18-24,,
