time,Miami,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: T. Mozgov vs. H. Whiteside (G. Dragic gains possession)
11:37.0,Turnover by L. Deng (lost ball; steal by K. Irving),,0-0,,
11:18.0,,,0-0,,T. Mozgov misses 2-pt shot from 6 ft
11:15.0,,,0-0,,Offensive rebound by T. Mozgov
11:10.0,,,0-3,3,J. Jones makes 3-pt shot from 25 ft (assist by J. Smith)
10:53.0,Shooting foul by J. Jones (drawn by G. Dragic),,0-3,,
10:53.0,G. Dragic makes free throw 1 of 2,1,1-3,,
10:53.0,G. Dragic makes free throw 2 of 2,1,2-3,,
10:40.0,,,2-3,,J. Smith misses 3-pt shot from 24 ft
10:39.0,Defensive rebound by L. Deng,,2-3,,
10:34.0,D. Wade makes 2-pt shot at rim (assist by L. Deng),2,4-3,,
10:19.0,,,4-3,,J. Smith misses 3-pt shot from 23 ft
10:18.0,Defensive rebound by D. Wade,,4-3,,
9:56.0,H. Walker makes 3-pt shot from 27 ft (assist by G. Dragic),3,7-3,,
9:40.0,,,7-5,2,T. Mozgov makes 2-pt shot at rim (assist by K. Irving)
9:20.0,L. Deng misses 2-pt shot from 16 ft,,7-5,,
9:19.0,,,7-5,,Defensive rebound by J. Smith
8:59.0,,,7-5,,L. James misses 2-pt shot from 14 ft
8:59.0,,,7-5,,Offensive rebound by T. Mozgov
8:59.0,Personal foul by H. Walker (drawn by T. Mozgov),,7-5,,
8:45.0,,,7-5,,J. Smith misses 3-pt shot from 26 ft
8:44.0,Defensive rebound by H. Whiteside,,7-5,,
8:33.0,D. Wade misses 2-pt shot from 14 ft,,7-5,,
8:31.0,Offensive rebound by H. Whiteside,,7-5,,
8:27.0,H. Whiteside makes 2-pt shot at rim,2,9-5,,
8:14.0,,,9-5,,Shooting foul by L. Deng (drawn by K. Irving)
8:14.0,,,9-6,1,K. Irving makes free throw 1 of 2
8:14.0,,,9-7,1,K. Irving makes free throw 2 of 2
8:05.0,G. Dragic misses 2-pt shot from 11 ft,,9-7,,
8:03.0,,,9-7,,Defensive rebound by T. Mozgov
7:51.0,,,9-7,,Shooting foul by H. Walker (drawn by J. Jones)
7:51.0,,,9-8,1,J. Jones makes free throw 1 of 3
7:51.0,,,9-9,1,J. Jones makes free throw 2 of 3
7:51.0,M. Beasley enters the game for H. Walker,,9-9,,
7:51.0,,,9-10,1,J. Jones makes free throw 3 of 3
7:40.0,Shooting foul by T. Mozgov (drawn by D. Wade),,9-10,,
7:40.0,D. Wade makes free throw 1 of 2,1,10-10,,
7:40.0,D. Wade makes free throw 2 of 2,1,11-10,,
7:22.0,,,11-12,2,L. James makes 2-pt shot from 5 ft
7:07.0,D. Wade misses 2-pt shot from 13 ft (block by J. Smith),,11-12,,
7:07.0,Offensive rebound by Team,,11-12,,
6:55.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,13-12,,
6:31.0,,,13-15,3,K. Irving makes 3-pt shot from 26 ft (assist by L. James)
6:16.0,D. Wade makes 3-pt shot from 24 ft (assist by H. Whiteside),3,16-15,,
6:02.0,,,16-18,3,J. Smith makes 3-pt shot from 25 ft
6:02.0,Miami full timeout,,16-18,,
6:02.0,M. Chalmers enters the game for G. Dragic,,16-18,,
