time,New York,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. M. Gortat (J. Wall gains possession),,,,Jump ball: L. Amundson vs. M. Gortat (J. Wall gains possession)
11:42.0,,,0-0,,B. Beal misses 2-pt shot from 15 ft
11:41.0,Defensive rebound by L. Amundson,,0-0,,
11:23.0,S. Larkin makes 2-pt shot from 20 ft (assist by L. Amundson),2,2-0,,
11:07.0,,,2-0,,Turnover by J. Wall (bad pass; steal by S. Larkin)
10:53.0,L. Thomas misses 3-pt shot from 23 ft (block by O. Porter),,2-0,,
10:49.0,,,2-0,,Defensive rebound by O. Porter
10:46.0,,,2-0,,B. Beal misses 2-pt shot at rim
10:43.0,,,2-0,,Offensive rebound by M. Gortat
10:39.0,,,2-0,,D. Gooden misses 3-pt shot from 25 ft
10:38.0,,,2-0,,Offensive rebound by O. Porter
10:29.0,,,2-0,,O. Porter misses 2-pt shot from 17 ft
10:27.0,Defensive rebound by S. Larkin,,2-0,,
10:10.0,A. Bargnani misses 2-pt shot from 18 ft,,2-0,,
10:09.0,,,2-0,,Defensive rebound by M. Gortat
10:04.0,,,2-0,,Turnover by B. Beal (lost ball)
9:41.0,A. Bargnani misses 2-pt shot from 18 ft,,2-0,,
9:40.0,,,2-0,,Defensive rebound by D. Gooden
9:40.0,Loose ball foul by L. Amundson (drawn by D. Gooden),,2-0,,
9:25.0,,,2-0,,M. Gortat misses 2-pt shot from 6 ft
9:24.0,Defensive rebound by A. Bargnani,,2-0,,
9:09.0,A. Bargnani misses 2-pt shot from 3 ft,,2-0,,
9:08.0,,,2-0,,Defensive rebound by D. Gooden
8:55.0,,,2-2,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
8:44.0,L. Galloway makes 2-pt shot from 2 ft,2,4-2,,
8:31.0,,,4-2,,J. Wall misses 2-pt shot from 13 ft
8:31.0,,,4-2,,Offensive rebound by Team
8:31.0,Loose ball foul by S. Larkin (drawn by M. Gortat),,4-2,,
8:19.0,,,4-5,3,D. Gooden makes 3-pt shot from 23 ft (assist by B. Beal)
8:02.0,L. Thomas misses 2-pt shot from 12 ft,,4-5,,
8:01.0,,,4-5,,Defensive rebound by D. Gooden
7:56.0,,,4-7,2,J. Wall makes 2-pt shot from 1 ft (assist by D. Gooden)
7:33.0,L. Galloway misses 3-pt shot from 25 ft,,4-7,,
7:32.0,,,4-7,,Defensive rebound by D. Gooden
7:11.0,,,4-9,2,M. Gortat makes 2-pt shot from 7 ft
6:58.0,L. Galloway misses 2-pt shot from 12 ft,,4-9,,
