time,Brooklyn,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. B. Lopez (D. Williams gains possession),,,,Jump ball: A. Horford vs. B. Lopez (D. Williams gains possession)
11:41.0,T. Young misses 2-pt shot from 9 ft,,0-0,,
11:39.0,Offensive rebound by T. Young,,0-0,,
11:39.0,T. Young misses 2-pt shot at rim,,0-0,,
11:38.0,,,0-0,,Defensive rebound by K. Korver
11:16.0,,,0-2,2,A. Horford makes 2-pt shot from 15 ft (assist by D. Carroll)
10:55.0,Turnover by D. Williams (bad pass; steal by A. Horford),,0-2,,
10:49.0,,,0-4,2,A. Horford makes 2-pt shot from 3 ft (assist by J. Teague)
10:33.0,Turnover by M. Brown (bad pass; steal by D. Carroll),,0-4,,
10:19.0,,,0-4,,P. Millsap misses 2-pt shot from 17 ft
10:17.0,Defensive rebound by J. Johnson,,0-4,,
10:11.0,Turnover by J. Johnson (lost ball),,0-4,,
9:57.0,,,0-4,,Shooting foul by J. Johnson (drawn by D. Carroll)
9:57.0,,,0-5,1,D. Carroll makes free throw 1 of 2
9:57.0,,,0-6,1,D. Carroll makes free throw 2 of 2
9:46.0,B. Lopez makes 2-pt shot from 7 ft (assist by D. Williams),2,2-6,,
9:37.0,,,2-6,,Turnover by J. Teague (traveling)
9:23.0,M. Brown misses 3-pt shot from 22 ft,,2-6,,
9:22.0,,,2-6,,Defensive rebound by D. Carroll
9:03.0,,,2-8,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
8:45.0,Turnover by B. Lopez (lost ball; steal by P. Millsap),,2-8,,
8:38.0,,,2-10,2,A. Horford makes 2-pt shot from 1 ft
8:36.0,Brooklyn full timeout,,2-10,,
8:25.0,D. Williams makes 3-pt shot from 24 ft (assist by J. Johnson),3,5-10,,
8:10.0,,,5-10,,P. Millsap misses 3-pt shot from 24 ft
8:09.0,Defensive rebound by J. Johnson,,5-10,,
8:02.0,Brooklyn full timeout,,5-10,,
7:55.0,,,5-10,,Personal foul by P. Millsap (drawn by M. Brown)
7:47.0,B. Lopez misses 2-pt shot from 13 ft,,5-10,,
7:46.0,Offensive rebound by T. Young,,5-10,,
7:46.0,T. Young misses 2-pt shot at rim,,5-10,,
7:44.0,,,5-10,,Defensive rebound by D. Carroll
7:23.0,,,5-10,,P. Millsap misses 2-pt shot from 15 ft
7:22.0,Defensive rebound by B. Lopez,,5-10,,
7:08.0,J. Johnson misses 2-pt shot from 20 ft,,5-10,,
7:07.0,,,5-10,,Defensive rebound by J. Teague
6:53.0,,,5-10,,P. Millsap misses 2-pt shot from 1 ft
6:51.0,Defensive rebound by T. Young,,5-10,,
6:41.0,Shooting foul by A. Horford (drawn by B. Lopez),,5-10,,
6:41.0,B. Lopez misses free throw 1 of 2,,5-10,,
6:41.0,Offensive rebound by Team,,5-10,,
6:41.0,B. Lopez makes free throw 2 of 2,1,6-10,,
6:23.0,,,6-10,,J. Teague misses 3-pt shot from 24 ft
6:21.0,Defensive rebound by D. Williams,,6-10,,
6:15.0,T. Young misses 2-pt shot from 2 ft (block by A. Horford),,6-10,,
6:14.0,Offensive rebound by B. Lopez,,6-10,,
6:14.0,B. Lopez makes 2-pt shot at rim,2,8-10,,
5:46.0,,,8-10,,A. Horford misses 2-pt shot from 12 ft
5:45.0,,,8-10,,Offensive rebound by P. Millsap
5:41.0,,,8-13,3,K. Korver makes 3-pt shot from 25 ft (assist by P. Millsap)
5:28.0,B. Lopez misses 2-pt shot from 19 ft,,8-13,,
5:27.0,,,8-13,,Defensive rebound by P. Millsap
5:22.0,,,8-13,,Shooting foul by J. Johnson (drawn by D. Carroll)
5:22.0,,,8-13,,D. Carroll misses free throw 1 of 2
5:22.0,,,8-13,,Offensive rebound by Team
5:22.0,,,8-13,,P. Antic enters the game for A. Horford
5:22.0,,,8-13,,K. Bazemore enters the game for K. Korver
5:22.0,B. Bogdanovic enters the game for J. Johnson,,8-13,,
5:22.0,,,8-13,,D. Carroll misses free throw 2 of 2
5:21.0,Defensive rebound by B. Lopez,,8-13,,
5:06.0,D. Williams misses 3-pt shot from 24 ft,,8-13,,
5:04.0,Offensive rebound by T. Young,,8-13,,
4:57.0,T. Young makes 2-pt shot at rim,2,10-13,,
4:45.0,,,10-15,2,J. Teague makes 2-pt shot from 4 ft
4:25.0,D. Williams makes 2-pt shot from 14 ft,2,12-15,,
4:06.0,,,12-17,2,P. Millsap makes 2-pt shot from 1 ft (assist by D. Carroll)
3:56.0,D. Williams misses 2-pt shot from 1 ft,,12-17,,
3:55.0,Offensive rebound by T. Young,,12-17,,
3:54.0,T. Young makes 2-pt shot at rim,2,14-17,,
3:49.0,Personal foul by D. Williams (drawn by J. Teague),,14-17,,
3:49.0,,,14-17,,S. Mack enters the game for J. Teague
3:49.0,J. Jack enters the game for B. Lopez,,14-17,,
3:49.0,M. Plumlee enters the game for M. Brown,,14-17,,
3:38.0,,,14-19,2,P. Antic makes 2-pt shot from 1 ft (assist by K. Bazemore)
3:38.0,,,14-19,,Shooting foul by D. Williams (drawn by P. Antic)
3:38.0,,,14-20,1,P. Antic makes free throw 1 of 1
3:21.0,T. Young makes 2-pt shot from 4 ft (assist by M. Plumlee),2,16-20,,
3:10.0,,,16-20,,Turnover by K. Bazemore (bad pass; steal by T. Young)
3:00.0,T. Young misses 3-pt shot from 24 ft,,16-20,,
2:59.0,,,16-20,,Defensive rebound by K. Bazemore
2:53.0,,,16-20,,Atlanta full timeout
2:53.0,M. Brown enters the game for D. Williams,,16-20,,
2:49.0,,,16-22,2,D. Carroll makes 2-pt shot at rim (assist by P. Millsap)
2:33.0,M. Brown misses 2-pt shot from 19 ft,,16-22,,
2:32.0,,,16-22,,Defensive rebound by D. Carroll
2:12.0,,,16-25,3,K. Bazemore makes 3-pt shot from 25 ft (assist by D. Carroll)
1:58.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by J. Jack),2,18-25,,
1:43.0,,,18-28,3,D. Carroll makes 3-pt shot from 23 ft (assist by P. Millsap)
1:24.0,J. Jack misses 2-pt shot from 18 ft,,18-28,,
1:23.0,,,18-28,,Defensive rebound by P. Millsap
1:12.0,,,18-28,,S. Mack misses 3-pt shot from 24 ft
1:11.0,,,18-28,,Offensive rebound by D. Carroll
0:55.0,,,18-31,3,D. Carroll makes 3-pt shot from 24 ft (assist by P. Millsap)
0:36.0,M. Plumlee misses 2-pt shot at rim,,18-31,,
0:36.0,Offensive rebound by M. Plumlee,,18-31,,
0:36.0,M. Plumlee makes 2-pt shot at rim,2,20-31,,
0:28.0,,,20-31,,Turnover by S. Mack (lost ball)
0:28.0,,,20-31,,A. Horford enters the game for P. Millsap
0:28.0,,,20-31,,K. Korver enters the game for D. Carroll
0:07.0,,,20-31,,Violation by A. Horford (def goaltending)
0:07.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by J. Jack),2,22-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,22-34,3,P. Antic makes 3-pt shot from 23 ft (assist by K. Korver)
11:28.0,,,22-34,,Personal foul by P. Antic (drawn by J. Jack)
11:28.0,,,22-34,,T. Sefolosha enters the game for K. Bazemore
11:22.0,B. Lopez misses 2-pt shot from 12 ft,,22-34,,
11:18.0,,,22-34,,Defensive rebound by S. Mack
11:12.0,,,22-37,3,P. Antic makes 3-pt shot from 25 ft (assist by A. Horford)
10:52.0,B. Bogdanovic makes 2-pt shot from 16 ft (assist by J. Johnson),2,24-37,,
10:32.0,,,24-39,2,S. Mack makes 2-pt shot from 11 ft (assist by A. Horford)
10:21.0,J. Jack misses 2-pt shot from 12 ft,,24-39,,
10:18.0,,,24-39,,Defensive rebound by T. Sefolosha
10:09.0,,,24-41,2,A. Horford makes 2-pt shot from 18 ft
10:01.0,Brooklyn full timeout,,24-41,,
10:01.0,,,24-41,,M. Muscala enters the game for P. Antic
9:47.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by J. Johnson),3,27-41,,
9:32.0,,,27-43,2,A. Horford makes 2-pt shot at rim (assist by S. Mack)
