time,Utah,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. R. Gobert (C. Landry gains possession),,,,Jump ball: D. Cousins vs. R. Gobert (C. Landry gains possession)
11:40.0,,,0-3,3,B. McLemore makes 3-pt shot from 24 ft (assist by R. McCallum)
11:26.0,Turnover by D. Exum (bad pass; steal by C. Landry),,0-3,,
11:21.0,,,0-3,,Turnover by R. McCallum (bad pass; steal by R. Gobert)
11:14.0,R. Hood misses 3-pt shot from 25 ft,,0-3,,
11:13.0,Offensive rebound by D. Favors,,0-3,,
10:49.0,R. Hood misses 3-pt shot from 25 ft,,0-3,,
10:48.0,,,0-3,,Defensive rebound by R. McCallum
10:42.0,,,0-3,,D. Cousins misses 2-pt shot from 19 ft
10:41.0,Defensive rebound by R. Gobert,,0-3,,
10:31.0,G. Hayward misses 2-pt shot from 17 ft,,0-3,,
10:30.0,,,0-3,,Defensive rebound by O. Casspi
10:22.0,,,0-3,,D. Cousins misses 2-pt shot from 6 ft
10:21.0,,,0-3,,Offensive rebound by C. Landry
10:07.0,,,0-6,3,R. McCallum makes 3-pt shot from 22 ft (assist by D. Cousins)
9:45.0,D. Favors misses 2-pt shot from 21 ft,,0-6,,
9:45.0,Offensive rebound by R. Gobert,,0-6,,
9:30.0,G. Hayward makes 3-pt shot from 25 ft (assist by R. Gobert),3,3-6,,
9:09.0,,,3-6,,Turnover by D. Cousins (bad pass; steal by D. Exum)
9:06.0,D. Exum makes 2-pt shot at rim,2,5-6,,
9:06.0,Shooting foul by B. McLemore (drawn by D. Exum),,5-6,,
9:06.0,D. Exum misses free throw 1 of 1,,5-6,,
9:03.0,,,5-6,,Defensive rebound by O. Casspi
8:51.0,,,5-8,2,O. Casspi makes 2-pt shot from 2 ft (assist by D. Cousins)
8:32.0,D. Favors makes 2-pt shot at rim (assist by R. Gobert),2,7-8,,
8:15.0,,,7-8,,O. Casspi misses 3-pt shot from 22 ft
8:14.0,Defensive rebound by D. Exum,,7-8,,
8:11.0,Turnover by D. Exum (lost ball; steal by O. Casspi),,7-8,,
8:04.0,,,7-8,,D. Cousins misses 2-pt shot from 5 ft (block by D. Favors)
8:03.0,,,7-8,,Offensive rebound by D. Cousins
7:55.0,,,7-11,3,O. Casspi makes 3-pt shot from 23 ft (assist by B. McLemore)
7:45.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,9-11,,
7:29.0,,,9-13,2,D. Cousins makes 2-pt shot from 18 ft (assist by R. McCallum)
7:19.0,D. Exum makes 3-pt shot from 24 ft (assist by G. Hayward),3,12-13,,
7:03.0,,,12-15,2,C. Landry makes 2-pt shot from 2 ft (assist by R. McCallum)
6:47.0,D. Favors misses 2-pt shot from 14 ft,,12-15,,
6:46.0,,,12-15,,Defensive rebound by D. Cousins
6:25.0,,,12-15,,Offensive charge foul by D. Cousins
6:25.0,,,12-15,,Turnover by D. Cousins (offensive foul)
6:10.0,G. Hayward misses 3-pt shot from 25 ft,,12-15,,
6:10.0,,,12-15,,Defensive rebound by R. McCallum
6:03.0,,,12-15,,B. McLemore misses 3-pt shot from 24 ft
6:03.0,Defensive rebound by G. Hayward,,12-15,,
5:58.0,,,12-15,,Personal foul by C. Landry (drawn by G. Hayward)
5:58.0,,,12-15,,Sacramento full timeout
5:47.0,D. Favors makes 2-pt shot from 2 ft (assist by G. Hayward),2,14-15,,
5:33.0,,,14-15,,C. Landry misses 2-pt shot from 18 ft
5:33.0,Defensive rebound by R. Hood,,14-15,,
5:23.0,D. Favors misses 2-pt shot from 20 ft,,14-15,,
5:23.0,Offensive rebound by R. Gobert,,14-15,,
5:15.0,Shooting foul by O. Casspi (drawn by R. Hood),,14-15,,
5:15.0,R. Hood makes free throw 1 of 2,1,15-15,,
5:15.0,J. Ingles enters the game for G. Hayward,,15-15,,
5:15.0,T. Booker enters the game for D. Favors,,15-15,,
5:15.0,,,15-15,,N. Stauskas enters the game for C. Landry
5:15.0,,,15-15,,J. Thompson enters the game for B. McLemore
5:15.0,R. Hood makes free throw 2 of 2,1,16-15,,
4:59.0,,,16-15,,Turnover by O. Casspi (lost ball; steal by R. Hood)
4:55.0,R. Hood makes 2-pt shot at rim,2,18-15,,
4:39.0,,,18-17,2,D. Cousins makes 2-pt shot from 6 ft
4:27.0,,,18-17,,D. Williams enters the game for O. Casspi
4:14.0,Turnover by Team (shot clock),,18-17,,
4:00.0,,,18-17,,Turnover by D. Cousins (lost ball)
3:50.0,J. Ingles makes 3-pt shot from 25 ft (assist by D. Exum),3,21-17,,
3:35.0,,,21-17,,Shooting foul by R. Gobert (drawn by D. Cousins)
3:35.0,,,21-18,1,D. Cousins makes free throw 1 of 2
3:35.0,J. Cooley enters the game for R. Gobert,,21-18,,
3:35.0,,,21-19,1,D. Cousins makes free throw 2 of 2
3:21.0,R. Hood misses 2-pt shot from 20 ft,,21-19,,
3:21.0,,,21-19,,Defensive rebound by R. McCallum
3:12.0,,,21-19,,N. Stauskas misses 3-pt shot from 23 ft
3:11.0,Defensive rebound by T. Booker,,21-19,,
2:47.0,R. Hood misses 3-pt shot from 23 ft,,21-19,,
2:47.0,Offensive rebound by Team,,21-19,,
2:47.0,,,21-19,,Loose ball foul by D. Cousins (drawn by J. Cooley)
2:47.0,Utah full timeout,,21-19,,
2:47.0,,,21-19,,Technical foul by D. Cousins (drawn by J. Cooley)
2:47.0,,,21-19,,B. McLemore enters the game for D. Cousins
2:47.0,R. Hood makes technical free throw,1,22-19,,
2:36.0,Turnover by D. Exum (bad pass; steal by R. McCallum),,22-19,,
2:32.0,,,22-21,2,R. McCallum makes 2-pt shot from 2 ft
2:09.0,R. Hood makes 2-pt shot from 3 ft,2,24-21,,
1:55.0,,,24-21,,Shooting foul by J. Cooley (drawn by J. Thompson)
1:55.0,,,24-22,1,J. Thompson makes free throw 1 of 2
1:55.0,B. Cotton enters the game for R. Hood,,24-22,,
1:55.0,C. Johnson enters the game for D. Exum,,24-22,,
1:55.0,,,24-22,,A. Miller enters the game for R. McCallum
1:55.0,,,24-23,1,J. Thompson makes free throw 2 of 2
1:36.0,J. Ingles makes 2-pt shot from 19 ft,2,26-23,,
1:25.0,,,26-23,,Turnover by J. Thompson (bad pass; steal by C. Johnson)
1:19.0,C. Johnson misses 2-pt shot from 2 ft,,26-23,,
1:17.0,Offensive rebound by J. Cooley,,26-23,,
1:16.0,J. Cooley misses 2-pt shot from 1 ft,,26-23,,
1:16.0,Offensive rebound by B. Cotton,,26-23,,
1:00.0,T. Booker makes 2-pt shot from 19 ft (assist by B. Cotton),2,28-23,,
0:46.0,,,28-25,2,D. Williams makes 2-pt shot from 19 ft (assist by B. McLemore)
0:27.0,Shooting foul by J. Thompson (drawn by J. Cooley),,28-25,,
0:27.0,J. Cooley misses free throw 1 of 2,,28-25,,
0:27.0,Offensive rebound by Team,,28-25,,
0:27.0,J. Cooley misses free throw 2 of 2,,28-25,,
0:27.0,,,28-25,,Defensive rebound by J. Thompson
0:04.0,,,28-27,2,N. Stauskas makes 2-pt shot from 3 ft
0:00.0,B. Cotton makes 3-pt shot from 26 ft,3,31-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,T. Booker makes 2-pt shot from 11 ft,2,33-27,,
11:19.0,Violation by B. Cotton (kicked ball),,33-27,,
11:19.0,D. Favors enters the game for J. Cooley,,33-27,,
11:11.0,,,33-30,3,D. Williams makes 3-pt shot from 25 ft (assist by N. Stauskas)
10:45.0,D. Favors misses 2-pt shot from 8 ft,,33-30,,
10:45.0,,,33-30,,Defensive rebound by A. Miller
10:33.0,,,33-32,2,B. McLemore makes 2-pt shot from 20 ft
10:18.0,Turnover by B. Cotton (bad pass; steal by D. Williams),,33-32,,
10:16.0,,,33-32,,Shooting foul by T. Booker (drawn by D. Williams)
10:16.0,,,33-34,2,D. Williams makes 2-pt shot from 2 ft
10:16.0,E. Millsap enters the game for J. Ingles,,33-34,,
10:16.0,,,33-34,,D. Williams misses free throw 1 of 1
10:14.0,Defensive rebound by D. Favors,,33-34,,
9:56.0,Turnover by E. Millsap (bad pass),,33-34,,
9:56.0,Loose ball foul by E. Millsap (drawn by B. McLemore),,33-34,,
9:45.0,Personal foul by E. Millsap (drawn by A. Miller),,33-34,,
9:45.0,D. Exum enters the game for B. Cotton,,33-34,,
9:32.0,,,33-34,,A. Miller misses 3-pt shot from 24 ft
9:32.0,Defensive rebound by T. Booker,,33-34,,
9:08.0,Turnover by Team (shot clock),,33-34,,
8:55.0,Personal foul by C. Johnson (drawn by J. Thompson),,33-34,,
8:55.0,Official timeout,,33-34,,
8:55.0,R. Hood enters the game for C. Johnson,,33-34,,
8:50.0,,,33-34,,Turnover by A. Miller (bad pass; steal by D. Favors)
8:45.0,E. Millsap misses 2-pt shot from 4 ft,,33-34,,
8:44.0,,,33-34,,Defensive rebound by A. Miller
8:36.0,,,33-34,,Turnover by B. McLemore (lost ball)
8:36.0,,,33-34,,Loose ball foul by J. Thompson (drawn by D. Favors)
8:36.0,R. Gobert enters the game for T. Booker,,33-34,,
8:14.0,R. Hood misses 2-pt shot from 10 ft,,33-34,,
8:14.0,Offensive rebound by D. Favors,,33-34,,
8:14.0,D. Favors makes 2-pt shot from 2 ft,2,35-34,,
8:14.0,Shooting foul by B. McLemore (drawn by D. Favors),,35-34,,
8:14.0,,,35-34,,O. Casspi enters the game for N. Stauskas
8:14.0,D. Favors makes free throw 1 of 1,1,36-34,,
8:10.0,,,36-34,,Turnover by A. Miller (lost ball)
7:47.0,R. Hood misses 3-pt shot from 23 ft,,36-34,,
7:47.0,Offensive rebound by Team,,36-34,,
7:47.0,,,36-34,,D. Cousins enters the game for J. Thompson
7:38.0,D. Exum misses 3-pt shot from 23 ft,,36-34,,
7:37.0,,,36-34,,Defensive rebound by D. Cousins
7:21.0,,,36-34,,Turnover by O. Casspi (bad pass; steal by R. Hood)
7:16.0,R. Gobert makes 2-pt shot at rim (assist by R. Hood),2,38-34,,
7:09.0,Personal foul by E. Millsap (drawn by A. Miller),,38-34,,
7:09.0,,,38-34,,J. Thompson enters the game for D. Williams
7:09.0,T. Booker enters the game for D. Favors,,38-34,,
7:09.0,,,38-34,,A. Miller misses free throw 1 of 2
7:09.0,,,38-34,,Offensive rebound by Team
7:09.0,G. Hayward enters the game for E. Millsap,,38-34,,
7:09.0,,,38-34,,A. Miller misses free throw 2 of 2
7:08.0,Defensive rebound by G. Hayward,,38-34,,
6:46.0,R. Gobert makes 2-pt shot from 2 ft (assist by D. Exum),2,40-34,,
6:29.0,,,40-34,,D. Cousins misses 2-pt shot from 18 ft
6:28.0,Defensive rebound by R. Gobert,,40-34,,
6:17.0,Turnover by G. Hayward (bad pass; steal by B. McLemore),,40-34,,
6:12.0,Personal foul by R. Hood (drawn by B. McLemore),,40-34,,
6:12.0,,,40-35,1,B. McLemore makes free throw 1 of 2
6:12.0,,,40-35,,R. McCallum enters the game for A. Miller
6:12.0,,,40-36,1,B. McLemore makes free throw 2 of 2
6:00.0,G. Hayward misses 2-pt shot from 18 ft,,40-36,,
5:59.0,,,40-36,,Defensive rebound by D. Cousins
5:54.0,,,40-36,,Shooting foul by D. Exum (drawn by D. Cousins)
5:54.0,,,40-36,,Sacramento full timeout
5:54.0,,,40-36,,D. Cousins misses free throw 1 of 2
5:54.0,,,40-36,,Offensive rebound by Team
5:54.0,,,40-37,1,D. Cousins makes free throw 2 of 2
5:42.0,Turnover by G. Hayward (bad pass; steal by D. Cousins),,40-37,,
5:28.0,,,40-39,2,D. Cousins makes 2-pt shot from 2 ft (assist by B. McLemore)
5:24.0,Turnover by R. Gobert (bad pass),,40-39,,
5:24.0,J. Ingles enters the game for R. Hood,,40-39,,
5:12.0,,,40-41,2,D. Cousins makes 2-pt shot at rim (assist by R. McCallum)
4:51.0,J. Ingles misses 3-pt shot from 24 ft,,40-41,,
4:49.0,Offensive rebound by T. Booker,,40-41,,
4:38.0,G. Hayward misses 2-pt shot from 13 ft,,40-41,,
4:37.0,,,40-41,,Defensive rebound by J. Thompson
4:24.0,,,40-43,2,B. McLemore makes 2-pt shot from 19 ft
4:24.0,Utah full timeout,,40-43,,
4:24.0,R. Hood enters the game for J. Ingles,,40-43,,
4:06.0,G. Hayward misses 2-pt shot from 5 ft,,40-43,,
4:05.0,,,40-43,,Defensive rebound by D. Cousins
3:59.0,,,40-43,,Turnover by D. Cousins (bad pass; steal by R. Hood)
3:54.0,Turnover by G. Hayward (bad pass; steal by B. McLemore),,40-43,,
3:36.0,,,40-43,,Turnover by D. Cousins (bad pass)
3:19.0,R. Hood makes 2-pt shot from 10 ft (assist by D. Exum),2,42-43,,
2:59.0,,,42-43,,R. McCallum misses 2-pt shot at rim
2:58.0,,,42-43,,Offensive rebound by R. McCallum
2:58.0,,,42-45,2,R. McCallum makes 2-pt shot at rim
2:47.0,D. Exum misses 2-pt shot from 2 ft,,42-45,,
2:46.0,,,42-45,,Defensive rebound by J. Thompson
2:44.0,,,42-47,2,O. Casspi makes 2-pt shot at rim (assist by J. Thompson)
2:23.0,R. Gobert misses 2-pt shot from 4 ft,,42-47,,
2:22.0,,,42-47,,Defensive rebound by J. Thompson
2:17.0,,,42-47,,O. Casspi misses 2-pt shot from 3 ft
2:16.0,Defensive rebound by T. Booker,,42-47,,
1:52.0,D. Exum makes 3-pt shot from 25 ft (assist by T. Booker),3,45-47,,
1:39.0,,,45-47,,B. McLemore misses 2-pt shot from 2 ft
1:38.0,,,45-47,,Offensive rebound by D. Cousins
1:37.0,,,45-47,,Turnover by D. Cousins (bad pass)
1:37.0,J. Evans enters the game for T. Booker,,45-47,,
1:37.0,,,45-47,,D. Williams enters the game for O. Casspi
1:24.0,G. Hayward misses 2-pt shot from 20 ft,,45-47,,
1:24.0,,,45-47,,Defensive rebound by J. Thompson
1:15.0,,,45-47,,D. Cousins misses 2-pt shot from 6 ft
1:14.0,Defensive rebound by R. Gobert,,45-47,,
1:06.0,J. Evans misses 2-pt shot from 3 ft (block by J. Thompson),,45-47,,
1:04.0,Offensive rebound by J. Evans,,45-47,,
0:58.0,J. Evans misses 2-pt shot from 7 ft,,45-47,,
0:56.0,Offensive rebound by J. Evans,,45-47,,
0:56.0,J. Evans makes 2-pt shot from 5 ft,2,47-47,,
0:40.0,,,47-47,,R. McCallum misses 2-pt shot from 18 ft
0:39.0,Defensive rebound by G. Hayward,,47-47,,
0:36.0,,,47-47,,Personal foul by R. McCallum (drawn by G. Hayward)
0:36.0,,,47-47,,N. Stauskas enters the game for B. McLemore
0:27.0,Turnover by J. Evans (traveling),,47-47,,
0:09.0,Violation by J. Evans (def goaltending),,47-47,,
0:09.0,,,47-49,2,D. Cousins makes 2-pt shot from 4 ft
0:02.0,G. Hayward makes 2-pt shot from 21 ft,2,49-49,,
0:00.0,,,49-49,,R. McCallum misses 3-pt shot from 44 ft
0:00.0,,,49-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,D. Exum misses 3-pt shot from 23 ft,,49-49,,
11:40.0,,,49-49,,Defensive rebound by B. McLemore
11:28.0,,,49-49,,D. Cousins misses 2-pt shot from 19 ft
11:28.0,Defensive rebound by G. Hayward,,49-49,,
11:19.0,Shooting foul by O. Casspi (drawn by R. Hood),,49-49,,
11:19.0,R. Hood makes free throw 1 of 2,1,50-49,,
11:19.0,R. Hood misses free throw 2 of 2,,50-49,,
11:17.0,,,50-49,,Defensive rebound by O. Casspi
11:05.0,,,50-51,2,O. Casspi makes 2-pt shot from 1 ft (assist by D. Cousins)
