time,Portland,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. R. Lopez (T. Young gains possession),,,,Jump ball: B. Lopez vs. R. Lopez (T. Young gains possession)
11:45.0,,,0-2,2,D. Williams makes 2-pt shot from 9 ft
11:27.0,R. Lopez misses 2-pt shot from 18 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by D. Williams
11:16.0,,,0-2,,T. Young misses 2-pt shot from 16 ft
11:15.0,Defensive rebound by C. McCollum,,0-2,,
10:59.0,D. Lillard misses 2-pt shot from 18 ft,,0-2,,
10:58.0,,,0-2,,Defensive rebound by D. Williams
10:51.0,,,0-4,2,B. Lopez makes 2-pt shot from 18 ft (assist by D. Williams)
10:33.0,C. McCollum makes 2-pt shot from 5 ft,2,2-4,,
10:19.0,,,2-6,2,T. Young makes 2-pt shot from 2 ft (assist by D. Williams)
9:59.0,C. McCollum makes 2-pt shot from 17 ft,2,4-6,,
9:38.0,,,4-6,,D. Williams misses 2-pt shot from 18 ft
9:37.0,Defensive rebound by M. Leonard,,4-6,,
9:27.0,D. Lillard makes 2-pt shot from 1 ft,2,6-6,,
9:15.0,,,6-8,2,B. Lopez makes 2-pt shot from 16 ft (assist by D. Williams)
8:58.0,A. Afflalo misses 2-pt shot from 15 ft,,6-8,,
8:57.0,Offensive rebound by M. Leonard,,6-8,,
8:53.0,A. Afflalo misses 2-pt shot from 13 ft,,6-8,,
8:52.0,,,6-8,,Defensive rebound by B. Lopez
8:43.0,,,6-8,,B. Lopez misses 2-pt shot from 1 ft (block by R. Lopez)
8:42.0,,,6-8,,Offensive rebound by Team
8:39.0,,,6-8,,D. Williams misses 2-pt shot from 12 ft
8:38.0,Defensive rebound by C. McCollum,,6-8,,
8:31.0,C. McCollum makes 2-pt shot from 2 ft,2,8-8,,
8:31.0,Shooting foul by M. Brown (drawn by C. McCollum),,8-8,,
8:31.0,C. McCollum misses free throw 1 of 1,,8-8,,
8:30.0,,,8-8,,Defensive rebound by B. Lopez
8:15.0,,,8-8,,M. Brown misses 2-pt shot from 3 ft (block by R. Lopez)
8:14.0,Defensive rebound by A. Afflalo,,8-8,,
7:58.0,A. Afflalo misses 3-pt shot from 23 ft,,8-8,,
7:57.0,,,8-8,,Defensive rebound by M. Brown
7:52.0,,,8-8,,T. Young misses 2-pt shot from 2 ft
7:51.0,Defensive rebound by M. Leonard,,8-8,,
7:39.0,R. Lopez makes 2-pt shot at rim (assist by D. Lillard),2,10-8,,
7:38.0,,,10-8,,Brooklyn full timeout
7:31.0,,,10-8,,T. Young misses 2-pt shot from 8 ft
7:30.0,Defensive rebound by M. Leonard,,10-8,,
7:19.0,Turnover by M. Leonard (3 sec),,10-8,,
7:01.0,,,10-10,2,B. Lopez makes 2-pt shot from 3 ft (assist by J. Johnson)
6:42.0,M. Leonard misses 3-pt shot from 26 ft,,10-10,,
6:41.0,Offensive rebound by Team,,10-10,,
6:41.0,,,10-10,,Loose ball foul by B. Lopez (drawn by R. Lopez)
6:34.0,D. Lillard makes 3-pt shot from 25 ft,3,13-10,,
6:13.0,,,13-10,,Shooting foul by D. Lillard (drawn by J. Johnson)
6:13.0,,,13-10,,J. Johnson misses free throw 1 of 2
6:13.0,,,13-10,,Offensive rebound by Team
6:13.0,,,13-10,,J. Johnson misses free throw 2 of 2
6:12.0,Defensive rebound by M. Leonard,,13-10,,
5:58.0,D. Lillard misses 2-pt shot from 20 ft,,13-10,,
5:57.0,,,13-10,,Defensive rebound by J. Johnson
5:47.0,,,13-13,3,D. Williams makes 3-pt shot from 24 ft (assist by J. Johnson)
5:30.0,A. Afflalo makes 2-pt shot from 19 ft,2,15-13,,
